FUNIT: Hz
UNIT: dB
1.000000e+04 [-40.98, -36.23] [-40.78, -35.23] [-40.58, -34.23]
1.000000e+07 [-40.98, -36.23] [-40.78, -35.23] [-40.58, -34.23]
1.038189e+07 [-39.72, -34.88] [-39.52, -33.88] [-39.32, -32.88]
1.077836e+07 [-40.43, -38.67] [-40.23, -37.67] [-40.03, -36.67]
1.118997e+07 [-40.51, -35.08] [-40.31, -34.08] [-40.11, -33.08]
1.161731e+07 [-39.79, -38.36] [-39.59, -37.36] [-39.39, -36.36]
1.206096e+07 [-41.07, -38.04] [-40.87, -37.04] [-40.67, -36.04]
1.252155e+07 [-40.73, -40.93] [-40.53, -39.93] [-40.33, -38.93]
1.299974e+07 [-40.16, -42.03] [-39.96, -41.03] [-39.76, -40.03]
1.349618e+07 [-40.51, -44.38] [-40.31, -43.38] [-40.11, -42.38]
1.401158e+07 [-40.79, -46.95] [-40.59, -45.95] [-40.39, -44.95]
1.454667e+07 [-40.59, -45.53] [-40.39, -44.53] [-40.19, -43.53]
1.510219e+07 [-40.47, -47.68] [-40.27, -46.68] [-40.07, -45.68]
1.567893e+07 [-40.68, -50.26] [-40.48, -49.26] [-40.28, -48.26]
1.627769e+07 [-40.95, -52.69] [-40.75, -51.69] [-40.55, -50.69]
1.689931e+07 [-40.74, -52.69] [-40.54, -51.69] [-40.34, -50.69]
1.754468e+07 [-40.95, -55.08] [-40.75, -54.08] [-40.55, -53.08]
1.821469e+07 [-40.97, -61.14] [-40.77, -60.14] [-40.57, -59.14]
1.891029e+07 [-40.51, -59.06] [-40.31, -58.06] [-40.11, -57.06]
1.963245e+07 [-40.84, -60.54] [-40.64, -59.54] [-40.44, -58.54]
2.038219e+07 [-40.75, -61.77] [-40.55, -60.77] [-40.35, -59.77]
2.116056e+07 [-40.58, -64.56] [-40.38, -63.56] [-40.18, -62.56]
2.196866e+07 [-40.79, -65.93] [-40.59, -64.93] [-40.39, -63.93]
2.280762e+07 [-40.81, -69.53] [-40.61, -68.53] [-40.41, -67.53]
2.367862e+07 [-40.44, -70.62] [-40.24, -69.62] [-40.04, -68.62]
2.458288e+07 [-40.97, -73.30] [-40.77, -72.30] [-40.57, -71.30]
2.552167e+07 [-40.60, -76.17] [-40.40, -75.17] [-40.20, -74.17]
2.649631e+07 [-40.54, -79.09] [-40.34, -78.09] [-40.14, -77.09]
2.750818e+07 [-40.66, -79.84] [-40.46, -78.84] [-40.26, -77.84]
2.855868e+07 [-40.50, -85.51] [-40.30, -84.51] [-40.10, -83.51]
2.964930e+07 [-40.22, -88.15] [-40.02, -87.15] [-39.82, -86.15]
3.078158e+07 [-40.68, -91.59] [-40.48, -90.59] [-40.28, -89.59]
3.195709e+07 [-40.43, -94.79] [-40.23, -93.79] [-40.03, -92.79]
3.317750e+07 [-40.23, -98.63] [-40.03, -97.63] [-39.83, -96.63]
3.444451e+07 [-40.21, -101.42] [-40.01, -100.42] [-39.81, -99.42]
3.575990e+07 [-40.33, -107.75] [-40.13, -106.75] [-39.93, -105.75]
3.712553e+07 [-40.41, -110.60] [-40.21, -109.60] [-40.01, -108.60]
3.854331e+07 [-40.36, -114.63] [-40.16, -113.63] [-39.96, -112.63]
4.001524e+07 [-40.29, -120.38] [-40.09, -119.38] [-39.89, -118.38]
4.154338e+07 [-40.46, -124.86] [-40.26, -123.86] [-40.06, -122.86]
4.312987e+07 [-40.46, -129.90] [-40.26, -128.90] [-40.06, -127.90]
4.477695e+07 [-40.54, -135.20] [-40.34, -134.20] [-40.14, -133.20]
4.648693e+07 [-40.42, -140.29] [-40.22, -139.29] [-40.02, -138.29]
4.826221e+07 [-40.70, -146.86] [-40.50, -145.86] [-40.30, -144.86]
5.010529e+07 [-40.55, -151.81] [-40.35, -150.81] [-40.15, -149.81]
5.201875e+07 [-40.58, -157.42] [-40.38, -156.42] [-40.18, -155.42]
5.400529e+07 [-40.73, -163.16] [-40.53, -162.16] [-40.33, -161.16]
5.606769e+07 [-40.87, -169.22] [-40.67, -168.22] [-40.47, -167.22]
5.820885e+07 [-41.01, -175.48] [-40.81, -174.48] [-40.61, -173.48]
6.043178e+07 [-40.84, 178.48] [-40.64, 179.48] [-40.44, 180.48]
6.273960e+07 [-41.03, 172.71] [-40.83, 173.71] [-40.63, 174.71]
6.513556e+07 [-40.99, 166.27] [-40.79, 167.27] [-40.59, 168.27]
6.762301e+07 [-40.77, 160.06] [-40.57, 161.06] [-40.37, 162.06]
7.020545e+07 [-40.82, 151.62] [-40.62, 152.62] [-40.42, 153.62]
7.288652e+07 [-40.62, 143.54] [-40.42, 144.54] [-40.22, 145.54]
7.566997e+07 [-40.66, 135.37] [-40.46, 136.37] [-40.26, 137.37]
7.855972e+07 [-40.64, 126.34] [-40.44, 127.34] [-40.24, 128.34]
8.155983e+07 [-40.54, 116.51] [-40.34, 117.51] [-40.14, 118.51]
8.467450e+07 [-40.55, 107.05] [-40.35, 108.05] [-40.15, 109.05]
8.790813e+07 [-40.65, 96.88] [-40.45, 97.88] [-40.25, 98.88]
9.126524e+07 [-40.82, 87.03] [-40.62, 88.03] [-40.42, 89.03]
9.475055e+07 [-40.89, 76.72] [-40.69, 77.72] [-40.49, 78.72]
9.836897e+07 [-41.03, 66.94] [-40.83, 67.94] [-40.63, 68.94]
1.021256e+08 [-41.07, 56.35] [-40.87, 57.35] [-40.67, 58.35]
1.060256e+08 [-41.05, 45.56] [-40.85, 46.56] [-40.65, 47.56]
1.100746e+08 [-40.98, 34.67] [-40.78, 35.67] [-40.58, 36.67]
1.142782e+08 [-40.86, 22.13] [-40.66, 23.13] [-40.46, 24.13]
1.186424e+08 [-40.76, 8.93] [-40.56, 9.93] [-40.36, 10.93]
1.231732e+08 [-40.80, -5.48] [-40.60, -4.48] [-40.40, -3.48]
1.278771e+08 [-40.86, -19.46] [-40.66, -18.46] [-40.46, -17.46]
1.327605e+08 [-40.92, -34.27] [-40.72, -33.27] [-40.52, -32.27]
1.378305e+08 [-41.10, -49.30] [-40.90, -48.30] [-40.70, -47.30]
1.430941e+08 [-41.11, -63.66] [-40.91, -62.66] [-40.71, -61.66]
1.485587e+08 [-41.13, -78.98] [-40.93, -77.98] [-40.73, -76.98]
1.542320e+08 [-41.02, -95.35] [-40.82, -94.35] [-40.62, -93.35]
1.601219e+08 [-40.95, -112.71] [-40.75, -111.71] [-40.55, -110.71]
1.662368e+08 [-40.86, -131.26] [-40.66, -130.26] [-40.46, -129.26]
1.725852e+08 [-40.94, -150.52] [-40.74, -149.52] [-40.54, -148.52]
1.791760e+08 [-41.05, -169.97] [-40.85, -168.97] [-40.65, -167.97]
1.860186e+08 [-41.06, 170.20] [-40.86, 171.20] [-40.66, 172.20]
1.931224e+08 [-41.11, 150.13] [-40.91, 151.13] [-40.71, 152.13]
2.004975e+08 [-41.04, 128.51] [-40.84, 129.51] [-40.64, 130.51]
2.081543e+08 [-40.98, 105.93] [-40.78, 106.93] [-40.58, 107.93]
2.161035e+08 [-40.98, 82.43] [-40.78, 83.43] [-40.58, 84.43]
2.243562e+08 [-41.04, 57.89] [-40.84, 58.89] [-40.64, 59.89]
2.329241e+08 [-41.03, 32.88] [-40.83, 33.88] [-40.63, 34.88]
2.418192e+08 [-41.09, 6.87] [-40.89, 7.87] [-40.69, 8.87]
2.510540e+08 [-41.07, -19.89] [-40.87, -18.89] [-40.67, -17.89]
2.606415e+08 [-40.99, -47.95] [-40.79, -46.95] [-40.59, -45.95]
2.705951e+08 [-40.93, -77.47] [-40.73, -76.47] [-40.53, -75.47]
2.809288e+08 [-40.97, -108.33] [-40.77, -107.33] [-40.57, -106.33]
2.916571e+08 [-41.09, -139.60] [-40.89, -138.60] [-40.69, -137.60]
3.027952e+08 [-41.03, -171.74] [-40.83, -170.74] [-40.63, -169.74]
3.143586e+08 [-40.88, 154.00] [-40.68, 155.00] [-40.48, 156.00]
3.263636e+08 [-40.96, 117.66] [-40.76, 118.66] [-40.56, 119.66]
3.388271e+08 [-41.13, 81.81] [-40.93, 82.81] [-40.73, 83.81]
3.517665e+08 [-40.95, 45.01] [-40.75, 46.01] [-40.55, 47.01]
3.652000e+08 [-40.84, 3.90] [-40.64, 4.90] [-40.44, 5.90]
3.791466e+08 [-41.11, -37.24] [-40.91, -36.24] [-40.71, -35.24]
3.936258e+08 [-41.03, -77.51] [-40.83, -76.51] [-40.63, -75.51]
4.086579e+08 [-40.72, -123.36] [-40.52, -122.36] [-40.32, -121.36]
4.242641e+08 [-41.05, -170.15] [-40.85, -169.15] [-40.65, -168.15]
4.404662e+08 [-40.99, 145.00] [-40.79, 146.00] [-40.59, 147.00]
4.572871e+08 [-40.75, 93.38] [-40.55, 94.38] [-40.35, 95.38]
4.747504e+08 [-41.09, 42.76] [-40.89, 43.76] [-40.69, 44.76]
4.928806e+08 [-40.63, -9.02] [-40.43, -8.02] [-40.23, -7.02]
5.117031e+08 [-40.86, -67.19] [-40.66, -66.19] [-40.46, -65.19]
5.312445e+08 [-40.77, -121.24] [-40.57, -120.24] [-40.37, -119.24]
5.515321e+08 [-40.50, 174.91] [-40.30, 175.91] [-40.10, 176.91]
5.725945e+08 [-40.96, 115.74] [-40.76, 116.74] [-40.56, 117.74]
