FUNIT: Hz
UNIT: dB
1.000000e+07 [-69.25, 86.82] [-69.05, 87.82] [-68.85, 88.82]
1.038189e+07 [-67.88, 62.96] [-67.68, 63.96] [-67.48, 64.96]
1.077836e+07 [-80.96, 71.23] [-80.76, 72.23] [-80.56, 73.23]
1.118997e+07 [-68.67, 80.77] [-68.47, 81.77] [-68.27, 82.77]
1.161731e+07 [-81.05, -176.55] [-80.85, -175.55] [-80.65, -174.55]
1.206096e+07 [-78.73, 52.47] [-78.53, 53.47] [-78.33, 54.47]
1.252155e+07 [-70.54, 17.24] [-70.34, 18.24] [-70.14, 19.24]
1.299974e+07 [-66.78, 43.39] [-66.58, 44.39] [-66.38, 45.39]
1.349618e+07 [-70.41, 38.62] [-70.21, 39.62] [-70.01, 40.62]
1.401158e+07 [-70.89, 54.88] [-70.69, 55.88] [-70.49, 56.88]
1.454667e+07 [-79.20, 72.86] [-79.00, 73.86] [-78.80, 74.86]
1.510219e+07 [-78.79, -38.47] [-78.59, -37.47] [-78.39, -36.47]
1.567893e+07 [-80.93, 37.84] [-80.73, 38.84] [-80.53, 39.84]
1.627769e+07 [-70.47, 19.71] [-70.27, 20.71] [-70.07, 21.71]
1.689931e+07 [-72.92, 47.63] [-72.72, 48.63] [-72.52, 49.63]
1.754468e+07 [-73.20, 31.64] [-73.00, 32.64] [-72.80, 33.64]
1.821469e+07 [-68.18, -1.09] [-67.98, -0.09] [-67.78, 0.91]
1.891029e+07 [-71.51, 21.21] [-71.31, 22.21] [-71.11, 23.21]
1.963245e+07 [-73.10, 32.12] [-72.90, 33.12] [-72.70, 34.12]
2.038219e+07 [-73.39, 12.52] [-73.19, 13.52] [-72.99, 14.52]
2.116056e+07 [-70.30, 17.62] [-70.10, 18.62] [-69.90, 19.62]
2.196866e+07 [-71.37, 32.36] [-71.17, 33.36] [-70.97, 34.36]
2.280762e+07 [-70.18, -0.99] [-69.98, 0.01] [-69.78, 1.01]
2.367862e+07 [-70.15, 11.55] [-69.95, 12.55] [-69.75, 13.55]
2.458288e+07 [-69.39, 32.93] [-69.19, 33.93] [-68.99, 34.93]
2.552167e+07 [-69.87, 17.55] [-69.67, 18.55] [-69.47, 19.55]
