FUNIT: Hz
UNIT: dB
1.000000e+04 [-41.14, -107.03] [-40.94, -106.03] [-40.74, -105.03]
1.000000e+07 [-41.14, -107.03] [-40.94, -106.03] [-40.74, -105.03]
1.038189e+07 [-39.81, -108.86] [-39.61, -107.86] [-39.41, -106.86]
1.077836e+07 [-40.46, -117.28] [-40.26, -116.28] [-40.06, -115.28]
1.118997e+07 [-40.43, -115.94] [-40.23, -114.94] [-40.03, -113.94]
1.161731e+07 [-39.71, -121.89] [-39.51, -120.89] [-39.31, -119.89]
1.206096e+07 [-41.09, -122.75] [-40.89, -121.75] [-40.69, -120.75]
1.252155e+07 [-40.92, -129.94] [-40.72, -128.94] [-40.52, -127.94]
1.299974e+07 [-40.35, -137.35] [-40.15, -136.35] [-39.95, -135.35]
1.349618e+07 [-40.73, -142.80] [-40.53, -141.80] [-40.33, -140.80]
1.401158e+07 [-40.84, -148.16] [-40.64, -147.16] [-40.44, -146.16]
1.454667e+07 [-40.61, -150.63] [-40.41, -149.63] [-40.21, -148.63]
1.510219e+07 [-40.60, -157.47] [-40.40, -156.47] [-40.20, -155.47]
1.567893e+07 [-40.86, -163.31] [-40.66, -162.31] [-40.46, -161.31]
1.627769e+07 [-40.90, -173.28] [-40.70, -172.28] [-40.50, -171.28]
1.689931e+07 [-40.68, -176.41] [-40.48, -175.41] [-40.28, -174.41]
1.754468e+07 [-41.09, 175.64] [-40.89, 176.64] [-40.69, 177.64]
1.821469e+07 [-41.11, 163.77] [-40.91, 164.77] [-40.71, 165.77]
1.891029e+07 [-40.62, 161.84] [-40.42, 162.84] [-40.22, 163.84]
1.963245e+07 [-41.17, 154.39] [-40.97, 155.39] [-40.77, 156.39]
2.038219e+07 [-41.01, 147.09] [-40.81, 148.09] [-40.61, 149.09]
2.116056e+07 [-40.94, 137.98] [-40.74, 138.98] [-40.54, 139.98]
2.196866e+07 [-41.17, 131.30] [-40.97, 132.30] [-40.77, 133.30]
2.280762e+07 [-41.31, 120.99] [-41.11, 121.99] [-40.91, 122.99]
2.367862e+07 [-40.95, 112.28] [-40.75, 113.28] [-40.55, 114.28]
2.458288e+07 [-41.57, 102.73] [-41.37, 103.73] [-41.17, 104.73]
2.552167e+07 [-41.26, 92.12] [-41.06, 93.12] [-40.86, 94.12]
2.649631e+07 [-41.34, 82.24] [-41.14, 83.24] [-40.94, 84.24]
2.750818e+07 [-41.32, 73.25] [-41.12, 74.25] [-40.92, 75.25]
2.855868e+07 [-41.29, 60.14] [-41.09, 61.14] [-40.89, 62.14]
2.964930e+07 [-41.11, 48.91] [-40.91, 49.91] [-40.71, 50.91]
3.078158e+07 [-41.47, 36.10] [-41.27, 37.10] [-41.07, 38.10]
3.195709e+07 [-41.34, 25.08] [-41.14, 26.08] [-40.94, 27.08]
3.317750e+07 [-41.10, 11.43] [-40.90, 12.43] [-40.70, 13.43]
3.444451e+07 [-41.26, 0.10] [-41.06, 1.10] [-40.86, 2.10]
3.575990e+07 [-41.27, -16.37] [-41.07, -15.37] [-40.87, -14.37]
3.712553e+07 [-41.35, -29.33] [-41.15, -28.33] [-40.95, -27.33]
3.854331e+07 [-41.36, -43.51] [-41.16, -42.51] [-40.96, -41.51]
4.001524e+07 [-41.24, -60.19] [-41.04, -59.19] [-40.84, -58.19]
4.154338e+07 [-41.31, -76.12] [-41.11, -75.12] [-40.91, -74.12]
4.312987e+07 [-41.24, -92.29] [-41.04, -91.29] [-40.84, -90.29]
4.477695e+07 [-41.26, -109.22] [-41.06, -108.22] [-40.86, -107.22]
4.648693e+07 [-41.02, -127.13] [-40.82, -126.13] [-40.62, -125.13]
4.826221e+07 [-41.20, -146.13] [-41.00, -145.13] [-40.80, -144.13]
5.010529e+07 [-40.96, -164.48] [-40.76, -163.48] [-40.56, -162.48]
5.201875e+07 [-40.88, 175.34] [-40.68, 176.34] [-40.48, 177.34]
5.400529e+07 [-40.92, 155.28] [-40.72, 156.28] [-40.52, 157.28]
5.606769e+07 [-40.96, 134.11] [-40.76, 135.11] [-40.56, 136.11]
5.820885e+07 [-41.08, 111.06] [-40.88, 112.06] [-40.68, 113.06]
6.043178e+07 [-40.87, 88.76] [-40.67, 89.76] [-40.47, 90.76]
6.273960e+07 [-41.16, 65.50] [-40.96, 66.50] [-40.76, 67.50]
6.513556e+07 [-41.18, 40.77] [-40.98, 41.77] [-40.78, 42.77]
6.762301e+07 [-41.18, 16.01] [-40.98, 17.01] [-40.78, 18.01]
7.020545e+07 [-41.41, -11.34] [-41.21, -10.34] [-41.01, -9.34]
7.288652e+07 [-41.42, -39.32] [-41.22, -38.32] [-41.02, -37.32]
7.566997e+07 [-41.61, -67.87] [-41.41, -66.87] [-41.21, -65.87]
7.855972e+07 [-41.78, -98.17] [-41.58, -97.17] [-41.38, -96.17]
8.155983e+07 [-41.72, -129.61] [-41.52, -128.61] [-41.32, -127.61]
8.467450e+07 [-41.76, -161.96] [-41.56, -160.96] [-41.36, -159.96]
8.790813e+07 [-41.77, 164.30] [-41.57, 165.30] [-41.37, 166.30]
9.126524e+07 [-41.74, 129.20] [-41.54, 130.20] [-41.34, 131.20]
9.475055e+07 [-41.61, 93.02] [-41.41, 94.02] [-41.21, 95.02]
9.836897e+07 [-41.52, 55.29] [-41.32, 56.29] [-41.12, 57.29]
1.021256e+08 [-41.46, 15.83] [-41.26, 16.83] [-41.06, 17.83]
1.060256e+08 [-41.37, -24.83] [-41.17, -23.83] [-40.97, -22.83]
1.100746e+08 [-41.40, -66.33] [-41.20, -65.33] [-41.00, -64.33]
1.142782e+08 [-41.45, -109.85] [-41.25, -108.85] [-41.05, -107.85]
1.186424e+08 [-41.56, -154.60] [-41.36, -153.60] [-41.16, -152.60]
1.231732e+08 [-41.77, 159.12] [-41.57, 160.12] [-41.37, 161.12]
1.278771e+08 [-41.97, 111.50] [-41.77, 112.50] [-41.57, 113.50]
1.327605e+08 [-42.02, 61.47] [-41.82, 62.47] [-41.62, 63.47]
1.378305e+08 [-42.07, 8.98] [-41.87, 9.98] [-41.67, 10.98]
