FUNIT: Hz
UNIT: dB
0.0 [-0.2, -1.0] [0.0, 0.0] [0.2, +1.0]
1.000000e+07 [-0.45, -38.04] [-0.25, -37.04] [-0.05, -36.04]
1.038189e+07 [0.19, -38.62] [0.39, -37.62] [0.59, -36.62]
1.077836e+07 [-0.24, -43.05] [-0.04, -42.05] [0.16, -41.05]
1.118997e+07 [0.06, -42.20] [0.26, -41.20] [0.46, -40.20]
1.161731e+07 [-0.01, -44.79] [0.19, -43.79] [0.39, -42.79]
1.206096e+07 [-0.61, -43.42] [-0.41, -42.42] [-0.21, -41.42]
1.252155e+07 [-0.35, -45.61] [-0.15, -44.61] [0.05, -43.61]
1.299974e+07 [-0.11, -49.78] [0.09, -48.78] [0.29, -47.78]
1.349618e+07 [-0.31, -50.99] [-0.11, -49.99] [0.09, -48.99]
1.401158e+07 [-0.28, -52.89] [-0.08, -51.89] [0.12, -50.89]
1.454667e+07 [-0.16, -53.28] [0.04, -52.28] [0.24, -51.28]
1.510219e+07 [-0.14, -56.72] [0.06, -55.72] [0.26, -54.72]
1.567893e+07 [-0.48, -57.94] [-0.28, -56.94] [-0.08, -55.94]
1.627769e+07 [-0.31, -61.74] [-0.11, -60.74] [0.09, -59.74]
1.689931e+07 [-0.27, -63.96] [-0.07, -62.96] [0.13, -61.96]
1.754468e+07 [-0.38, -66.36] [-0.18, -65.36] [0.02, -64.36]
1.821469e+07 [-0.52, -69.67] [-0.32, -68.67] [-0.12, -67.67]
1.891029e+07 [-0.26, -71.12] [-0.06, -70.12] [0.14, -69.12]
1.963245e+07 [-0.29, -72.38] [-0.09, -71.38] [0.11, -70.38]
2.038219e+07 [-0.24, -75.68] [-0.04, -74.68] [0.16, -73.68]
2.116056e+07 [-0.31, -77.77] [-0.11, -76.77] [0.09, -75.77]
2.196866e+07 [-0.27, -80.65] [-0.07, -79.65] [0.13, -78.65]
2.280762e+07 [-0.44, -83.84] [-0.24, -82.84] [-0.04, -81.84]
2.367862e+07 [-0.25, -88.05] [-0.05, -87.05] [0.15, -86.05]
2.458288e+07 [-0.50, -90.25] [-0.30, -89.25] [-0.10, -88.25]
2.552167e+07 [-0.27, -93.40] [-0.07, -92.40] [0.13, -91.40]
2.649631e+07 [-0.36, -96.89] [-0.16, -95.89] [0.04, -94.89]
2.750818e+07 [-0.38, -99.43] [-0.18, -98.43] [0.02, -97.43]
2.855868e+07 [-0.26, -105.34] [-0.06, -104.34] [0.14, -103.34]
2.964930e+07 [-0.12, -107.94] [0.08, -106.94] [0.28, -105.94]
3.078158e+07 [-0.40, -113.06] [-0.20, -112.06] [-0.00, -111.06]
3.195709e+07 [-0.34, -116.88] [-0.14, -115.88] [0.06, -114.88]
3.317750e+07 [-0.18, -121.55] [0.02, -120.55] [0.22, -119.55]
3.444451e+07 [-0.19, -125.20] [0.01, -124.20] [0.21, -123.20]
3.575990e+07 [-0.40, -131.03] [-0.20, -130.03] [-0.00, -129.03]
3.712553e+07 [-0.45, -134.90] [-0.25, -133.90] [-0.05, -132.90]
3.854331e+07 [-0.50, -140.12] [-0.30, -139.12] [-0.10, -138.12]
