FUNIT: Hz
UNIT: dB
0 [-0.2, -2.00] [0, 0] [0.2, 2.00]
1.000000e+07 [-0.29, -48.00] [-0.09, -47.00] [0.11, -46.00]
1.038189e+07 [-0.31, -49.62] [-0.11, -48.62] [0.09, -47.62]
1.077836e+07 [-0.32, -49.98] [-0.12, -48.98] [0.08, -47.98]
1.118997e+07 [-0.52, -53.93] [-0.32, -52.93] [-0.12, -51.93]
1.161731e+07 [-0.37, -54.14] [-0.17, -53.14] [0.03, -52.14]
1.206096e+07 [-0.31, -56.77] [-0.11, -55.77] [0.09, -54.77]
1.252155e+07 [-0.28, -59.31] [-0.08, -58.31] [0.12, -57.31]
1.299974e+07 [-0.33, -60.76] [-0.13, -59.76] [0.07, -58.76]
1.349618e+07 [-0.29, -63.53] [-0.09, -62.53] [0.11, -61.53]
1.401158e+07 [-0.22, -65.71] [-0.02, -64.71] [0.18, -63.71]
1.454667e+07 [-0.39, -68.47] [-0.19, -67.47] [0.01, -66.47]
1.510219e+07 [-0.45, -70.03] [-0.25, -69.03] [-0.05, -68.03]
1.567893e+07 [-0.30, -73.59] [-0.10, -72.59] [0.10, -71.59]
1.627769e+07 [-0.37, -75.89] [-0.17, -74.89] [0.03, -73.89]
1.689931e+07 [-0.27, -78.60] [-0.07, -77.60] [0.13, -76.60]
1.754468e+07 [-0.28, -81.87] [-0.08, -80.87] [0.12, -79.87]
1.821469e+07 [-0.40, -84.51] [-0.20, -83.51] [-0.00, -82.51]
1.891029e+07 [-0.33, -87.90] [-0.13, -86.90] [0.07, -85.90]
1.963245e+07 [-0.39, -91.79] [-0.19, -90.79] [0.01, -89.79]
2.038219e+07 [-0.36, -95.01] [-0.16, -94.01] [0.04, -93.01]
2.116056e+07 [-0.36, -98.11] [-0.16, -97.11] [0.04, -96.11]
2.196866e+07 [-0.38, -102.21] [-0.18, -101.21] [0.02, -100.21]
2.280762e+07 [-0.32, -105.65] [-0.12, -104.65] [0.08, -103.65]
2.367862e+07 [-0.35, -110.29] [-0.15, -109.29] [0.05, -108.29]
2.458288e+07 [-0.34, -114.09] [-0.14, -113.09] [0.06, -112.09]
2.552167e+07 [-0.34, -118.39] [-0.14, -117.39] [0.06, -116.39]
2.649631e+07 [-0.36, -123.09] [-0.16, -122.09] [0.04, -121.09]
2.750818e+07 [-0.35, -127.34] [-0.15, -126.34] [0.05, -125.34]
2.855868e+07 [-0.36, -132.22] [-0.16, -131.22] [0.04, -130.22]
2.964930e+07 [-0.34, -137.56] [-0.14, -136.56] [0.06, -135.56]
3.078158e+07 [-0.38, -142.37] [-0.18, -141.37] [0.02, -140.37]
3.195709e+07 [-0.37, -147.81] [-0.17, -146.81] [0.03, -145.81]
3.317750e+07 [-0.38, -153.53] [-0.18, -152.53] [0.02, -151.53]
3.444451e+07 [-0.40, -159.38] [-0.20, -158.38] [-0.00, -157.38]
3.575990e+07 [-0.41, -165.08] [-0.21, -164.08] [-0.01, -163.08]
3.712553e+07 [-0.39, -171.60] [-0.19, -170.60] [0.01, -169.60]
3.854331e+07 [-0.42, -177.98] [-0.22, -176.98] [-0.02, -175.98]
4.001524e+07 [-0.43, 175.13] [-0.23, 176.13] [-0.03, 177.13]
4.154338e+07 [-0.41, 168.47] [-0.21, 169.47] [-0.01, 170.47]
4.312987e+07 [-0.40, 161.04] [-0.20, 162.04] [0.00, 163.04]
4.477695e+07 [-0.40, 153.61] [-0.20, 154.61] [0.00, 155.61]
4.648693e+07 [-0.40, 145.52] [-0.20, 146.52] [-0.00, 147.52]
4.826221e+07 [-0.39, 137.31] [-0.19, 138.31] [0.01, 139.31]
5.010529e+07 [-0.42, 128.96] [-0.22, 129.96] [-0.02, 130.96]
5.201875e+07 [-0.46, 120.14] [-0.26, 121.14] [-0.06, 122.14]
