# Version 1.00
#
freq[Hz];db:Trc1_S21;ang:Trc1_S21;
1.000000000000000E+007;-1.283497020272377E-001;-5.886961308909898E+001;
1.038188855303029E+007;-1.291075830924741E-001;-6.097038929700857E+001;
1.077836099275414E+007;-9.211452897492503E-002;-6.168597363769007E+001;
1.118997426111024E+007;-3.607963999101928E-001;-6.590056454280133E+001;
1.161730656901240E+007;-2.058268034863462E-001;-6.691521701888904E+001;
1.206095820858735E+007;-1.277751464594362E-001;-7.012148761093387E+001;
1.252155239643097E+007;-1.027689682685528E-001;-7.279990546063888E+001;
1.299973614906757E+007;-1.361651785018306E-001;-7.515393184043980E+001;
1.349618119184187E+007;-1.006871081639320E-001;-7.852735165557429E+001;
1.401158490252058E+007;-4.852750550962013E-002;-8.135348959115316E+001;
1.454667129092905E+007;-1.916727085202108E-001;-8.484372330481421E+001;
1.510219201599907E+007;-2.829783506250541E-001;-8.696228080726674E+001;
1.567892744165662E+007;-1.362663971408318E-001;-9.133236500307680E+001;
1.627768773303274E+007;-1.619541553461246E-001;-9.416994994984439E+001;
1.689931399453742E+007;-5.527719610073053E-002;-9.773720411162499E+001;
1.754467945139527E+007;-8.530400582603276E-002;-1.017313048565210E+002;
1.821469067630263E+007;-1.840508315516044E-001;-1.052333600317567E+002;
1.891028886292939E+007;-1.699519872556007E-001;-1.094772569422877E+002;
1.963245114805428E+007;-1.932951175711529E-001;-1.142626713655570E+002;
2.038219198419111E+007;-1.612073979255547E-001;-1.182157070386344E+002;
2.116056456463395E+007;-1.660553365040116E-001;-1.222378851341057E+002;
2.196866230292316E+007;-1.723378825733737E-001;-1.275225788528875E+002;
2.280762036881060E+007;-1.478095150968867E-001;-1.318377340924350E+002;
2.367861728288153E+007;-1.550584039517657E-001;-1.373333845764110E+002;
2.458287657207330E+007;-1.383568538537998E-001;-1.424309064516912E+002;
2.552166848841643E+007;-1.505069658850007E-001;-1.476472108295727E+002;
2.649631179341245E+007;-1.720505615841823E-001;-1.534415813283641E+002;
2.750817561055502E+007;-1.591934141161158E-001;-1.591375924978987E+002;
2.855868134859682E+007;-1.720721535855408E-001;-1.653212688117470E+002;
2.964930469826371E+007;-1.271544043776015E-001;-1.718436207470286E+002;
3.078157770522112E+007;-1.869317641906672E-001;-1.779739091547782E+002;
3.195709092220476E+007;-1.718902147612067E-001;1.750366110378506E+002;
3.317749564333858E+007;-1.890708429032465E-001;1.679500341083745E+002;
3.444450622377892E+007;-2.044852953723968E-001;1.605956492876103E+002;
3.575990248794310E+007;-2.112520610272861E-001;1.534260568141989E+002;
