FUNIT: Hz
UNIT: dB
1.000000e+07 [-0.38, -68.38] [-0.18, -67.38] [0.02, -66.38]
1.038189e+07 [-0.33, -70.98] [-0.13, -69.98] [0.07, -68.98]
1.077836e+07 [-0.34, -72.21] [-0.14, -71.21] [0.06, -70.21]
1.118997e+07 [-0.60, -76.54] [-0.40, -75.54] [-0.20, -74.54]
1.161731e+07 [-0.38, -78.02] [-0.18, -77.02] [0.02, -76.02]
1.206096e+07 [-0.32, -81.43] [-0.12, -80.43] [0.08, -79.43]
1.252155e+07 [-0.32, -84.92] [-0.12, -83.92] [0.08, -82.92]
1.299974e+07 [-0.38, -87.42] [-0.18, -86.42] [0.02, -85.42]
1.349618e+07 [-0.31, -90.91] [-0.11, -89.91] [0.09, -88.91]
1.401158e+07 [-0.26, -94.65] [-0.06, -93.65] [0.14, -92.65]
1.454667e+07 [-0.45, -98.34] [-0.25, -97.34] [-0.05, -96.34]
1.510219e+07 [-0.48, -101.02] [-0.28, -100.02] [-0.08, -99.02]
1.567893e+07 [-0.35, -105.70] [-0.15, -104.70] [0.05, -103.70]
1.627769e+07 [-0.39, -108.95] [-0.19, -107.95] [0.01, -106.95]
1.689931e+07 [-0.30, -113.24] [-0.10, -112.24] [0.10, -111.24]
1.754468e+07 [-0.34, -117.67] [-0.14, -116.67] [0.06, -115.67]
1.821469e+07 [-0.43, -121.86] [-0.23, -120.86] [-0.03, -119.86]
1.891029e+07 [-0.39, -126.56] [-0.19, -125.56] [0.01, -124.56]
1.963245e+07 [-0.41, -131.99] [-0.21, -130.99] [-0.01, -129.99]
2.038219e+07 [-0.40, -136.60] [-0.20, -135.60] [-0.00, -134.60]
2.116056e+07 [-0.41, -141.28] [-0.21, -140.28] [-0.01, -139.28]
2.196866e+07 [-0.43, -147.17] [-0.23, -146.17] [-0.03, -145.17]
2.280762e+07 [-0.39, -152.35] [-0.19, -151.35] [0.01, -150.35]
2.367862e+07 [-0.39, -158.56] [-0.19, -157.56] [0.01, -156.56]
2.458288e+07 [-0.37, -164.36] [-0.17, -163.36] [0.03, -162.36]
2.552167e+07 [-0.39, -170.58] [-0.19, -169.58] [0.01, -168.58]
2.649631e+07 [-0.41, -177.10] [-0.21, -176.10] [-0.01, -175.10]
2.750818e+07 [-0.40, 176.40] [-0.20, 177.40] [-0.00, 178.40]
2.855868e+07 [-0.42, 169.42] [-0.22, 170.42] [-0.02, 171.42]
2.964930e+07 [-0.38, 161.80] [-0.18, 162.80] [0.02, 163.80]
3.078158e+07 [-0.44, 154.89] [-0.24, 155.89] [-0.04, 156.89]
