# Version 1.00
#
freq[Hz];db:Trc1_S21;ang:Trc1_S21;
1.000000000000000E+007;-1.237574815158462E-001;-3.856575494160890E+001;
1.038188855303029E+007;-8.809927605559953E-002;-3.988112203055384E+001;
1.077836099275414E+007;-3.095570008879999E-002;-4.006354865266480E+001;
1.118997426111024E+007;-3.183146798386729E-001;-4.339905295682438E+001;
1.161730656901240E+007;-1.301319571857554E-001;-4.352129669541854E+001;
1.206095820858735E+007;-1.045159786832969E-001;-4.573862630832223E+001;
1.252155239643097E+007;-1.065823289538386E-001;-4.764817322158366E+001;
1.299973614906757E+007;-1.177386077292704E-001;-4.901746166690091E+001;
1.349618119184187E+007;-7.103285500608349E-002;-5.119564664309880E+001;
1.401158490252058E+007;-1.759343301667073E-002;-5.314962135780512E+001;
1.454667129092905E+007;-1.641215050797204E-001;-5.552561218765949E+001;
1.510219201599907E+007;-2.427238681277211E-001;-5.660654293207684E+001;
1.567892744165662E+007;-8.704735589679323E-002;-5.967629043542338E+001;
1.627768773303274E+007;-1.249728982103368E-001;-6.131624455653061E+001;
1.689931399453742E+007;-2.254486963146524E-002;-6.369023848005610E+001;
1.754467945139527E+007;-5.432227616741080E-002;-6.640116820159480E+001;
1.821469067630263E+007;-1.777073581865936E-001;-6.864157190954813E+001;
1.891028886292939E+007;-1.360299796967948E-001;-7.135572391759668E+001;
1.963245114805428E+007;-1.560791835877481E-001;-7.479646166735918E+001;
2.038219198419111E+007;-1.158708327471466E-001;-7.728621065683352E+001;
2.116056456463395E+007;-1.670185232512771E-001;-7.964226345979861E+001;
2.196866230292316E+007;-1.350290812767189E-001;-8.331106719429127E+001;
2.280762036881060E+007;-1.127082468064479E-001;-8.592665483348247E+001;
2.367861728288153E+007;-1.010232106686174E-001;-8.971317491601671E+001;
2.458287657207330E+007;-1.024426449061405E-001;-9.298041775851394E+001;
2.552166848841643E+007;-1.162059565405086E-001;-9.645822922785141E+001;
2.649631179341245E+007;-1.260500504671616E-001;-1.002367456779659E+002;
2.750817561055502E+007;-1.305301776314908E-001;-1.039446114211711E+002;
2.855868134859682E+007;-1.227936116118010E-001;-1.079434826692816E+002;
2.964930469826371E+007;-1.005886311375955E-001;-1.122962670130018E+002;
3.078157770522112E+007;-1.399716585470263E-001;-1.162305175018600E+002;
3.195709092220476E+007;-1.398892025727899E-001;-1.208401868946233E+002;
3.317749564333858E+007;-1.389480772488378E-001;-1.254414392687091E+002;
3.444450622377892E+007;-1.447489557003771E-001;-1.302617840037014E+002;
3.575990248794310E+007;-1.640192449974291E-001;-1.350043746107255E+002;
3.712553222970559E+007;-1.592558059011584E-001;-1.403463147334784E+002;
3.854331380807376E+007;-1.808233410776414E-001;-1.454471867016686E+002;
4.001523884198953E+007;-1.938841605174526E-001;-1.512429195856529E+002;
4.154337500804243E+007;-1.739167178805878E-001;-1.566443454729802E+002;
4.312986894502404E+007;-1.595303726863136E-001;-1.628146239411217E+002;
4.477694926940417E+007;-1.566509964943258E-001;-1.688364175221275E+002;
4.648692970596453E+007;-1.645942191849835E-001;-1.756062258918634E+002;
4.826221233798770E+007;-1.474491562901352E-001;1.777485412830940E+002;
5.010529098156718E+007;-1.746456596895120E-001;1.708192528135351E+002;
5.201875468877842E+007;-2.046645683919311E-001;1.635493774996237E+002;
5.400529138463195E+007;-1.811621828442606E-001;1.562540570966213E+002;
5.606769164291760E+007;-1.834094004021691E-001;1.484153707726909E+002;
5.820885260624383E+007;-2.069928066563144E-001;1.403997770046062E+002;
6.043178205577903E+007;-1.479893954712147E-001;1.318388756289349E+002;
6.273960263641138E+007;-2.065058253185605E-001;1.231075548438675E+002;
6.513555624326284E+007;-2.286482988117343E-001;1.141995740327165E+002;
6.762300857571912E+007;-2.226987505918549E-001;1.048494120364852E+002;
7.020545386537276E+007;-2.357629761057546E-001;9.528494295515371E+001;
7.288651978452097E+007;-2.109821902850282E-001;8.505664907010852E+001;
7.566997254211341E+007;-2.010262287269902E-001;7.467508500436807E+001;
7.855972217430838E+007;-2.614076538649328E-001;6.374918286403429E+001;
8.155982803706922E+007;-2.316694430166926E-001;5.248010667222619E+001;
8.467450450851679E+007;-2.448547637197840E-001;4.065231325954788E+001;
8.790812690904823E+007;-2.290075145409127E-001;2.857730918082336E+001;
9.126523764753820E+007;-2.404236116767707E-001;1.597336330225059E+001;
9.475055260225661E+007;-2.352257109622716E-001;2.857437026467251E+000;
9.836896774546625E+007;-2.399981100995142E-001;-1.076867730715919E+001;
1.021255660210062E+008;-2.579564096258530E-001;-2.476805174737700E+001;
1.060256244845224E+008;-2.519187096649415E-001;-3.961716041279101E+001;
1.100746217163751E+008;-2.581005499434286E-001;-5.486545137980011E+001;
1.142782455176374E+008;-2.691777261552445E-001;-7.067278279894336E+001;
1.186424008999945E+008;-2.734108651580665E-001;-8.694826158525700E+001;
1.231732183807684E+008;-2.857732883810469E-001;-1.040232946263508E+002;
1.278770625947199E+008;-2.732245940600223E-001;-1.217672218390782E+002;
1.327605412347261E+008;-2.847804989174691E-001;-1.401856539370931E+002;
1.378305143338909E+008;-2.995728550444815E-001;-1.591753820897670E+002;
1.430941039021300E+008;-2.881309002069125E-001;-1.789898037330821E+002;
1.485587039307650E+008;-3.015065956674282E-001;1.605248632044554E+002;
1.542319907791826E+008;-3.053045186725686E-001;1.391760201612455E+002;
1.601219339581469E+008;-3.141577451013131E-001;1.169897572537752E+002;
1.662368073249158E+008;-3.186117183489998E-001;9.398831685275241E+001;
1.725852007058845E+008;-3.257121280561443E-001;7.007978463908090E+001;
1.791760319630858E+008;-3.293585392127622E-001;4.540267798755690E+001;
1.860185595214950E+008;-3.389697390272903E-001;1.965391223195451E+001;
1.931223953747393E+008;-3.481672144645386E-001;-7.093898618804196E+000;
2.004975185874796E+008;-3.588193285763611E-001;-3.479393675481836E+001;
2.081542893134333E+008;-3.624001611444558E-001;-6.359501027316095E+001;
2.161034633487289E+008;-3.772118691563628E-001;-9.340565697377768E+001;
2.243562072410370E+008;-3.671503897232226E-001;-1.244765305007446E+002;
2.329241139757013E+008;-3.870936667667670E-001;-1.566937932339766E+002;
2.418192192609057E+008;-3.919987182623613E-001;1.698623145353372E+002;
2.510540184347519E+008;-3.940595662573571E-001;1.351726254599875E+002;
2.606414840180006E+008;-4.067529301088818E-001;9.915482783113991E+001;
2.705950839371309E+008;-4.142047905996316E-001;6.171282574599147E+001;
2.809288004433170E+008;-4.208531130062230E-001;2.290023781020800E+001;
2.916571497539004E+008;-4.321019923830059E-001;-1.739739114002706E+001;
3.027952024439460E+008;-4.341668297730097E-001;-5.925358847341830E+001;
3.143586046165293E+008;-4.501212638484541E-001;-1.027067604534332E+002;
3.263635998814921E+008;-4.600442723514452E-001;-1.478454961114362E+002;
3.388270521735421E+008;-4.659821423123646E-001;1.653667445637794E+002;
3.517664694417494E+008;-4.734566054228926E-001;1.167302658723586E+002;
3.652000282437178E+008;-4.813090344870675E-001;6.626107198859381E+001;
3.791465992789793E+008;-4.943537119516087E-001;1.387683933781737E+001;
3.936257738974798E+008;-5.025865713272211E-001;-4.055396719968898E+001;
4.086578916203936E+008;-5.167674450078305E-001;-9.702666242134085E+001;
4.242640687119258E+008;-5.285817686327761E-001;-1.556664389244632E+002;
4.404662278422399E+008;-5.345290860946009E-001;1.435057492171165E+002;
4.572871288831783E+008;-5.434156407115960E-001;8.031006831726977E+001;
4.747504008800356E+008;-5.551014477581839E-001;1.467190899341523E+001;
4.928805752442984E+008;-5.714786534829910E-001;-5.340559109215597E+001;
5.117031202139767E+008;-5.783817695167995E-001;-1.241245447902017E+002;
5.312444766299368E+008;-5.910009527607316E-001;1.624961766369806E+002;
5.515320950784909E+008;-6.039797015292316E-001;8.629643808616756E+001;
5.725944744524199E+008;-6.140441328224510E-001;7.196307658679491E+000;
5.944612019845973E+008;-6.263262107744041E-001;-7.493909098232507E+001;
6.171629948104519E+008;-6.390775692314165E-001;-1.602443324342254E+002;
6.407317431176524E+008;-6.501659297203563E-001;1.112460970491742E+002;
6.652005549436301E+008;-6.684358085529953E-001;1.934536432234076E+001;
6.906038026838671E+008;-6.776171168238342E-001;-7.606836173189643E+001;
7.169771713762831E+008;-6.887779700042900E-001;-1.751026526969622E+002;
7.443577088295471E+008;-6.990852179203091E-001;8.204850759370974E+001;
7.727838776657330E+008;-7.161682572270063E-001;-2.470588427212247E+001;
8.022956093504235E+008;-7.312537214136970E-001;-1.355027781761991E+002;
8.329343602861624E+008;-7.416733213400663E-001;1.094597662222908E+002;
8.647431700480518E+008;-7.563136752367289E-001;-1.004781265296629E+001;
8.977667218432996E+008;-7.756230889549842E-001;-1.340956784627840E+002;
9.320514052796482E+008;-7.886744310754144E-001;9.718800455898166E+001;
9.676453815308577E+008;-8.034521410784480E-001;-3.651051992746964E+001;
1.004598650990784E+009;-8.231221691210279E-001;-1.752396621809180E+002;
1.042963123511089E+009;-8.333172580283693E-001;4.069242076340909E+001;
1.082792691321250E+009;-8.492738815889978E-001;-1.088946762996006E+002;
1.124143304733295E+009;-8.639672995211476E-001;9.582792275659283E+001;
1.167073050737623E+009;-8.803239785300385E-001;-6.537804386725635E+001;
1.211642234600307E+009;-8.989032775836120E-001;1.272530046657979E+002;
1.257913464576497E+009;-9.122325914005121E-001;-4.650729804562524E+001;
1.305951739858941E+009;-9.338844251331748E-001;1.331276075047822E+002;
1.355824541885154E+009;-9.531577570938115E-001;-5.416167345320215E+001;
1.407601929131501E+009;-9.637928575794701E-001;1.114135907468458E+002;
1.461356635527369E+009;-9.861931536282477E-001;-9.040931227458573E+001;
1.517164172627645E+009;-1.002573215204178E+000;5.999817297369069E+001;
1.575102935687062E+009;-1.021842541409248E+000;-1.576061638256404E+002;
1.635254313785392E+009;-1.040875813810464E+000;-2.341828991854028E+001;
1.697702804158197E+009;-1.064757253027963E+000;1.021115503611333E+002;
1.762536130893741E+009;-1.090443305694822E+000;-1.412961615804270E+002;
1.829845368162803E+009;-1.119403799593150E+000;-3.402797398091001E+001;
1.899725068154491E+009;-1.127954237921538E+000;6.367820250371242E+001;
1.972273393897780E+009;-1.159606044319320E+000;1.511507690989676E+002;
