FUNIT: Hz
UNIT: dB
1.000000e+07 [-0.32, -39.57] [-0.12, -38.57] [0.08, -37.57]
1.038189e+07 [-0.29, -40.88] [-0.09, -39.88] [0.11, -38.88]
1.077836e+07 [-0.23, -41.06] [-0.03, -40.06] [0.17, -39.06]
1.118997e+07 [-0.52, -44.40] [-0.32, -43.40] [-0.12, -42.40]
1.161731e+07 [-0.33, -44.52] [-0.13, -43.52] [0.07, -42.52]
1.206096e+07 [-0.30, -46.74] [-0.10, -45.74] [0.10, -44.74]
1.252155e+07 [-0.31, -48.65] [-0.11, -47.65] [0.09, -46.65]
1.299974e+07 [-0.32, -50.02] [-0.12, -49.02] [0.08, -48.02]
1.349618e+07 [-0.27, -52.20] [-0.07, -51.20] [0.13, -50.20]
1.401158e+07 [-0.22, -54.15] [-0.02, -53.15] [0.18, -52.15]
1.454667e+07 [-0.36, -56.53] [-0.16, -55.53] [0.04, -54.53]
1.510219e+07 [-0.44, -57.61] [-0.24, -56.61] [-0.04, -55.61]
1.567893e+07 [-0.29, -60.68] [-0.09, -59.68] [0.11, -58.68]
1.627769e+07 [-0.32, -62.32] [-0.12, -61.32] [0.08, -60.32]
1.689931e+07 [-0.22, -64.69] [-0.02, -63.69] [0.18, -62.69]
1.754468e+07 [-0.25, -67.40] [-0.05, -66.40] [0.15, -65.40]
1.821469e+07 [-0.38, -69.64] [-0.18, -68.64] [0.02, -67.64]
1.891029e+07 [-0.34, -72.36] [-0.14, -71.36] [0.06, -70.36]
1.963245e+07 [-0.36, -75.80] [-0.16, -74.80] [0.04, -73.80]
2.038219e+07 [-0.32, -78.29] [-0.12, -77.29] [0.08, -76.29]
2.116056e+07 [-0.37, -80.64] [-0.17, -79.64] [0.03, -78.64]
2.196866e+07 [-0.34, -84.31] [-0.14, -83.31] [0.06, -82.31]
2.280762e+07 [-0.31, -86.93] [-0.11, -85.93] [0.09, -84.93]
2.367862e+07 [-0.30, -90.71] [-0.10, -89.71] [0.10, -88.71]
2.458288e+07 [-0.30, -93.98] [-0.10, -92.98] [0.10, -91.98]
2.552167e+07 [-0.32, -97.46] [-0.12, -96.46] [0.08, -95.46]
2.649631e+07 [-0.33, -101.24] [-0.13, -100.24] [0.07, -99.24]
2.750818e+07 [-0.33, -104.94] [-0.13, -103.94] [0.07, -102.94]
2.855868e+07 [-0.32, -108.94] [-0.12, -107.94] [0.08, -106.94]
2.964930e+07 [-0.30, -113.30] [-0.10, -112.30] [0.10, -111.30]
3.078158e+07 [-0.34, -117.23] [-0.14, -116.23] [0.06, -115.23]
3.195709e+07 [-0.34, -121.84] [-0.14, -120.84] [0.06, -119.84]
3.317750e+07 [-0.34, -126.44] [-0.14, -125.44] [0.06, -124.44]
3.444451e+07 [-0.34, -131.26] [-0.14, -130.26] [0.06, -129.26]
3.575990e+07 [-0.36, -136.00] [-0.16, -135.00] [0.04, -134.00]
3.712553e+07 [-0.36, -141.35] [-0.16, -140.35] [0.04, -139.35]
3.854331e+07 [-0.38, -146.45] [-0.18, -145.45] [0.02, -144.45]
4.001524e+07 [-0.39, -152.24] [-0.19, -151.24] [0.01, -150.24]
4.154338e+07 [-0.37, -157.64] [-0.17, -156.64] [0.03, -155.64]
4.312987e+07 [-0.36, -163.81] [-0.16, -162.81] [0.04, -161.81]
4.477695e+07 [-0.36, -169.84] [-0.16, -168.84] [0.04, -167.84]
4.648693e+07 [-0.36, -176.61] [-0.16, -175.61] [0.04, -174.61]
4.826221e+07 [-0.35, 176.75] [-0.15, 177.75] [0.05, 178.75]
5.010529e+07 [-0.37, 169.82] [-0.17, 170.82] [0.03, 171.82]
5.201875e+07 [-0.40, 162.55] [-0.20, 163.55] [-0.00, 164.55]
5.400529e+07 [-0.38, 155.25] [-0.18, 156.25] [0.02, 157.25]
5.606769e+07 [-0.38, 147.42] [-0.18, 148.42] [0.02, 149.42]
5.820885e+07 [-0.41, 139.40] [-0.21, 140.40] [-0.01, 141.40]
6.043178e+07 [-0.35, 130.84] [-0.15, 131.84] [0.05, 132.84]
6.273960e+07 [-0.41, 122.11] [-0.21, 123.11] [-0.01, 124.11]
6.513556e+07 [-0.43, 113.20] [-0.23, 114.20] [-0.03, 115.20]
6.762301e+07 [-0.42, 103.85] [-0.22, 104.85] [-0.02, 105.85]
7.020545e+07 [-0.44, 94.28] [-0.24, 95.28] [-0.04, 96.28]
7.288652e+07 [-0.41, 84.06] [-0.21, 85.06] [-0.01, 86.06]
7.566997e+07 [-0.40, 73.68] [-0.20, 74.68] [-0.00, 75.68]
7.855972e+07 [-0.46, 62.75] [-0.26, 63.75] [-0.06, 64.75]
8.155983e+07 [-0.43, 51.48] [-0.23, 52.48] [-0.03, 53.48]
8.467450e+07 [-0.44, 39.65] [-0.24, 40.65] [-0.04, 41.65]
8.790813e+07 [-0.43, 27.58] [-0.23, 28.58] [-0.03, 29.58]
9.126524e+07 [-0.44, 14.97] [-0.24, 15.97] [-0.04, 16.97]
9.475055e+07 [-0.44, 1.86] [-0.24, 2.86] [-0.04, 3.86]
9.836897e+07 [-0.44, -11.77] [-0.24, -10.77] [-0.04, -9.77]
1.021256e+08 [-0.46, -25.77] [-0.26, -24.77] [-0.06, -23.77]
1.060256e+08 [-0.45, -40.62] [-0.25, -39.62] [-0.05, -38.62]
1.100746e+08 [-0.46, -55.87] [-0.26, -54.87] [-0.06, -53.87]
1.142782e+08 [-0.47, -71.67] [-0.27, -70.67] [-0.07, -69.67]
1.186424e+08 [-0.47, -87.95] [-0.27, -86.95] [-0.07, -85.95]
1.231732e+08 [-0.49, -105.02] [-0.29, -104.02] [-0.09, -103.02]
