# Version 1.00
#
freq[Hz];db:Trc1_S21;ang:Trc1_S21;
1.000000000000000E+007;-1.444956709049984E-001;-3.860812191629118E+001;
1.038188855303029E+007;-1.119125522608313E-001;-3.995558403165563E+001;
1.077836099275414E+007;-9.716200350450539E-002;-3.995732002396657E+001;
1.118997426111024E+007;-3.057307220403465E-001;-4.335189795591152E+001;
1.161730656901240E+007;-1.427183402821932E-001;-4.343676280707074E+001;
1.206095820858735E+007;-1.123761536031495E-001;-4.567769788349042E+001;
1.252155239643097E+007;-1.070512645061629E-001;-4.786387673584621E+001;
1.299973614906757E+007;-1.253205851046420E-001;-4.903168163416150E+001;
1.349618119184187E+007;-4.643935584558410E-002;-5.122652527772277E+001;
1.401158490252058E+007;-1.917974885572260E-002;-5.325831711424389E+001;
1.454667129092905E+007;-1.974873670670761E-001;-5.554496362679889E+001;
1.510219201599907E+007;-2.409109917741862E-001;-5.649850139624957E+001;
1.567892744165662E+007;-9.675515126584304E-002;-5.972215273393282E+001;
1.627768773303274E+007;-1.308686568859885E-001;-6.152527464846282E+001;
1.689931399453742E+007;-4.209639305524145E-002;-6.373656272342153E+001;
1.754467945139527E+007;-5.470384260633716E-002;-6.631519651360311E+001;
1.821469067630263E+007;-1.640029756000647E-001;-6.852405061948439E+001;
1.891028886292939E+007;-1.478319733065887E-001;-7.140269480124756E+001;
1.963245114805428E+007;-1.564374335049508E-001;-7.468024144858593E+001;
2.038219198419111E+007;-1.372737658358380E-001;-7.717411013085565E+001;
2.116056456463395E+007;-1.515256773642188E-001;-7.970597971617927E+001;
2.196866230292316E+007;-1.523075285148307E-001;-8.328844446395975E+001;
2.280762036881060E+007;-1.161767853253960E-001;-8.595691962974848E+001;
2.367861728288153E+007;-1.168340654384540E-001;-8.970298221242560E+001;
2.458287657207330E+007;-9.766568114079087E-002;-9.295730182434599E+001;
2.552166848841643E+007;-1.108568570601681E-001;-9.637233037696794E+001;
2.649631179341245E+007;-1.309217595940495E-001;-1.002415551607880E+002;
2.750817561055502E+007;-1.427325255951729E-001;-1.038284898594085E+002;
2.855868134859682E+007;-1.220934613480730E-001;-1.078428395979042E+002;
2.964930469826371E+007;-1.002047760113943E-001;-1.123439862473429E+002;
3.078157770522112E+007;-1.404561897125143E-001;-1.160649319677415E+002;
3.195709092220476E+007;-1.361267423168681E-001;-1.206441612433375E+002;
3.317749564333858E+007;-1.489591449876863E-001;-1.254030464445107E+002;
3.444450622377892E+007;-1.628936160782416E-001;-1.301687722582803E+002;
3.575990248794310E+007;-1.615583733965748E-001;-1.349096061176811E+002;
3.712553222970559E+007;-1.616167275652249E-001;-1.401755390307850E+002;
3.854331380807376E+007;-1.752853921154996E-001;-1.454034321906763E+002;
4.001523884198953E+007;-2.016760508900801E-001;-1.511078867987976E+002;
4.154337500804243E+007;-1.746946758537619E-001;-1.565301281661416E+002;
4.312986894502404E+007;-1.711890270035421E-001;-1.626909229264074E+002;
4.477694926940417E+007;-1.517632434536926E-001;-1.687408137858803E+002;
4.648692970596453E+007;-1.684566957905036E-001;-1.754962536890266E+002;
4.826221233798770E+007;-1.459146575133993E-001;1.778568083914362E+002;
5.010529098156718E+007;-1.826498456215388E-001;1.709559221426902E+002;
5.201875468877842E+007;-2.049788135404036E-001;1.636731781434246E+002;
5.400529138463195E+007;-1.843288898749181E-001;1.563816377864078E+002;
5.606769164291760E+007;-1.878570546662216E-001;1.485858918859343E+002;
5.820885260624383E+007;-2.089074956491576E-001;1.405684664379163E+002;
6.043178205577903E+007;-1.569411715036990E-001;1.320428291531608E+002;
6.273960263641138E+007;-2.166316571623816E-001;1.232979178049748E+002;
6.513555624326284E+007;-2.293726281349293E-001;1.143384079233418E+002;
6.762300857571912E+007;-2.296901157868166E-001;1.050399183998420E+002;
7.020545386537276E+007;-2.313947406737590E-001;9.550383539355629E+001;
7.288651978452097E+007;-2.166017252483957E-001;8.528715044919733E+001;
7.566997254211341E+007;-2.030900915598341E-001;7.491282635615140E+001;
7.855972217430838E+007;-2.644282275476325E-001;6.395728019234218E+001;
8.155982803706922E+007;-2.361515811689658E-001;5.268238918944580E+001;
8.467450450851679E+007;-2.435413457367138E-001;4.086944378016713E+001;
8.790812690904823E+007;-2.357227205949154E-001;2.880439098567986E+001;
9.126523764753820E+007;-2.469791639661430E-001;1.620713251307143E+001;
9.475055260225661E+007;-2.412374579888068E-001;3.116925037163516E+000;
9.836896774546625E+007;-2.442711657678315E-001;-1.050662560176340E+001;
1.021255660210062E+008;-2.612719625122239E-001;-2.451194032018235E+001;
1.060256244845224E+008;-2.584731897866047E-001;-3.930876833730979E+001;
1.100746217163751E+008;-2.661952511813783E-001;-5.456040776027560E+001;
1.142782455176374E+008;-2.756236395886200E-001;-7.033448288761494E+001;
1.186424008999945E+008;-2.797065738157948E-001;-8.662960365915590E+001;
1.231732183807684E+008;-2.944378406750400E-001;-1.036608484264852E+002;
1.278770625947199E+008;-2.840942660150071E-001;-1.213861264545093E+002;
1.327605412347261E+008;-2.934982190944250E-001;-1.397888852644858E+002;
1.378305143338909E+008;-3.046012171022663E-001;-1.587935546647153E+002;
1.430941039021300E+008;-2.978932048972748E-001;-1.786168836767845E+002;
1.485587039307650E+008;-3.094180481508099E-001;1.609522945910108E+002;
1.542319907791826E+008;-3.144284612325105E-001;1.396161370395206E+002;
1.601219339581469E+008;-3.232395870421375E-001;1.174485282338099E+002;
1.662368073249158E+008;-3.241399526478189E-001;9.449040733649480E+001;
1.725852007058845E+008;-3.381965665981014E-001;7.060385515995642E+001;
1.791760319630858E+008;-3.429190632843299E-001;4.593717400160697E+001;
1.860185595214950E+008;-3.482998922619422E-001;2.019291761993167E+001;
1.931223953747393E+008;-3.581738174962759E-001;-6.508861021762908E+000;
2.004975185874796E+008;-3.706192710313286E-001;-3.418731372492730E+001;
2.081542893134333E+008;-3.706834097451703E-001;-6.296142298488255E+001;
2.161034633487289E+008;-3.888448868631993E-001;-9.275009845094672E+001;
2.243562072410370E+008;-3.779353449355684E-001;-1.237934386773137E+002;
2.329241139757013E+008;-3.969796438520492E-001;-1.559866725075436E+002;
2.418192192609057E+008;-4.049099097595025E-001;1.706039558552348E+002;
2.510540184347519E+008;-4.048882061704860E-001;1.359405320147000E+002;
2.606414840180006E+008;-4.180577199573455E-001;9.996849015343776E+001;
2.705950839371309E+008;-4.256410905941198E-001;6.255665145690853E+001;
2.809288004433170E+008;-4.325612776663870E-001;2.376225533373817E+001;
2.916571497539004E+008;-4.439921756410434E-001;-1.649972675858165E+001;
3.027952024439460E+008;-4.468124783388173E-001;-5.833654488586205E+001;
3.143586046165293E+008;-4.613481767477619E-001;-1.017390182503000E+002;
3.263635998814921E+008;-4.745270348492918E-001;-1.468388690080164E+002;
3.388270521735421E+008;-4.802823464474925E-001;1.664187710252128E+002;
3.517664694417494E+008;-4.870714095972806E-001;1.178349553439284E+002;
3.652000282437178E+008;-4.945962546973579E-001;6.740206450770167E+001;
3.791465992789793E+008;-5.082114832787785E-001;1.505969634318043E+001;
3.936257738974798E+008;-5.158004690107170E-001;-3.932300487961962E+001;
