# Version 1.00
#
freq[Hz];db:Trc1_S21;ang:Trc1_S21;
1.000000000000000E+007;-1.573193462726235E-001;-6.365775745061544E+001;
1.038188855303029E+007;-1.248398173734155E-001;-6.584707266579149E+001;
1.077836099275414E+007;-1.183859527345235E-001;-6.682493270553566E+001;
1.118997426111024E+007;-4.008395859212331E-001;-7.119091605471411E+001;
1.161730656901240E+007;-2.029999418329185E-001;-7.228675708885915E+001;
1.206095820858735E+007;-1.086815786301438E-001;-7.590524622039108E+001;
1.252155239643097E+007;-1.508078047213964E-001;-7.914365144352642E+001;
1.299973614906757E+007;-1.760525197626953E-001;-8.146309847491631E+001;
1.349618119184187E+007;-1.325195321632718E-001;-8.502833398403287E+001;
1.401158490252058E+007;-9.907721342956043E-002;-8.829246532192938E+001;
1.454667129092905E+007;-2.254899249311732E-001;-9.166167193924333E+001;
1.510219201599907E+007;-3.220640127735360E-001;-9.411327910860398E+001;
1.567892744165662E+007;-1.835716575782927E-001;-9.884308059056076E+001;
1.627768773303274E+007;-2.180560879752153E-001;-1.020132483127689E+002;
1.689931399453742E+007;-1.202744655445928E-001;-1.059872178153771E+002;
1.754467945139527E+007;-1.519676937620935E-001;-1.101717795789652E+002;
1.821469067630263E+007;-2.207341692164504E-001;-1.140513904932524E+002;
1.891028886292939E+007;-2.010843009591872E-001;-1.187393731863242E+002;
1.963245114805428E+007;-2.312424861234733E-001;-1.236617128265441E+002;
2.038219198419111E+007;-2.022392016911892E-001;-1.280730452680091E+002;
2.116056456463395E+007;-2.230221760830748E-001;-1.325216913424844E+002;
2.196866230292316E+007;-2.362706901859724E-001;-1.379174245111324E+002;
2.280762036881060E+007;-2.018086920632589E-001;-1.428471858360517E+002;
2.367861728288153E+007;-1.909341830290726E-001;-1.487742265672215E+002;
2.458287657207330E+007;-1.903034651913834E-001;-1.541513887130157E+002;
2.552166848841643E+007;-1.819165865268378E-001;-1.599654434636464E+002;
2.649631179341245E+007;-2.147673637947727E-001;-1.661902238424492E+002;
2.750817561055502E+007;-2.108981820001769E-001;-1.723395704112652E+002;
2.855868134859682E+007;-2.100985575887303E-001;-1.790075809526595E+002;
2.964930469826371E+007;-1.718309445041038E-001;1.738536030801664E+002;
3.078157770522112E+007;-2.309102243377045E-001;1.672914084288645E+002;
3.195709092220476E+007;-2.321592635754076E-001;1.596524491135579E+002;
3.317749564333858E+007;-2.373136887672971E-001;1.519859226990473E+002;
3.444450622377892E+007;-2.529592187048089E-001;1.440575230960862E+002;
3.575990248794310E+007;-2.595784688415059E-001;1.360620063074537E+002;
3.712553222970559E+007;-2.474730494617763E-001;1.272707992937658E+002;
3.854331380807376E+007;-2.871767842844947E-001;1.185888105877290E+002;
4.001523884198953E+007;-2.962839937177781E-001;1.092063392772502E+002;
4.154337500804243E+007;-2.801799125244643E-001;1.000884532522763E+002;
4.312986894502404E+007;-2.720172962772519E-001;8.996749843237154E+001;
4.477694926940417E+007;-2.612246558052900E-001;7.981019590321718E+001;
4.648692970596453E+007;-2.817917339637071E-001;6.883929898262365E+001;
4.826221233798770E+007;-2.649851980921200E-001;5.774140851462889E+001;
5.010529098156718E+007;-2.904066462716365E-001;4.632831927000352E+001;
5.201875468877842E+007;-3.184225101271138E-001;3.422915106028694E+001;
5.400529138463195E+007;-2.958774391046691E-001;2.204726445678844E+001;
5.606769164291760E+007;-3.050370663627836E-001;9.186145311747882E+000;
5.820885260624383E+007;-3.327748333930496E-001;-4.191334360220224E+000;
6.043178205577903E+007;-2.717346962755748E-001;-1.825439402924404E+001;
6.273960263641138E+007;-3.410189001134817E-001;-3.266527275764875E+001;
6.513555624326284E+007;-3.540134875862946E-001;-4.757720095127220E+001;
6.762300857571912E+007;-3.528956739737312E-001;-6.308418786909950E+001;
7.020545386537276E+007;-3.619963194642603E-001;-7.898868555397610E+001;
7.288651978452097E+007;-3.506159391140403E-001;-9.591089448356013E+001;
7.566997254211341E+007;-3.440861327390851E-001;-1.131879127061967E+002;
7.855972217430838E+007;-4.010069878747775E-001;-1.312333995631357E+002;
8.155982803706922E+007;-3.730642517531079E-001;-1.500294182772817E+002;
8.467450450851679E+007;-3.924056904085796E-001;-1.695325814401642E+002;
8.790812690904823E+007;-3.826989219396262E-001;1.703731599332144E+002;
9.126523764753820E+007;-3.965069151951791E-001;1.494750455737736E+002;
9.475055260225661E+007;-3.980003384963788E-001;1.276747013403341E+002;
9.836896774546625E+007;-4.063212348418938E-001;1.051233424697547E+002;
1.021255660210062E+008;-4.223713165839825E-001;8.185034539078445E+001;
1.060256244845224E+008;-4.262781494596936E-001;5.734950898636973E+001;
1.100746217163751E+008;-4.323308419743386E-001;3.207685458851529E+001;
1.142782455176374E+008;-4.492363924709457E-001;5.880781718620474E+000;
1.186424008999945E+008;-4.538819321470585E-001;-2.119795755030081E+001;
1.231732183807684E+008;-4.744895474869685E-001;-4.949826358752255E+001;
1.278770625947199E+008;-4.640209598414348E-001;-7.887392166431424E+001;
1.327605412347261E+008;-4.759279172817139E-001;-1.093453531562235E+002;
1.378305143338909E+008;-4.952859668773403E-001;-1.409371545169416E+002;
1.430941039021300E+008;-4.911210040476222E-001;-1.737577082652772E+002;
1.485587039307650E+008;-5.056397051533559E-001;1.522294751816413E+002;
1.542319907791826E+008;-5.108037303199052E-001;1.168428860217766E+002;
1.601219339581469E+008;-5.253013781225573E-001;8.006647501707622E+001;
1.662368073249158E+008;-5.342888536722035E-001;4.197694933473144E+001;
1.725852007058845E+008;-5.455578801663902E-001;2.363260265152626E+000;
1.791760319630858E+008;-5.569784215213627E-001;-3.863901605189301E+001;
1.860185595214950E+008;-5.652477055372187E-001;-8.133775662248854E+001;
1.931223953747393E+008;-5.837284716633693E-001;-1.256771206689972E+002;
2.004975185874796E+008;-5.958426008127690E-001;-1.715865060036451E+002;
2.081542893134333E+008;-6.050880538116487E-001;1.406352010388542E+002;
2.161034633487289E+008;-6.287070764753140E-001;9.117149922645247E+001;
2.243562072410370E+008;-6.206645135804281E-001;3.967079286178638E+001;
2.329241139757013E+008;-6.454071947528833E-001;-1.373036979546410E+001;
2.418192192609057E+008;-6.581049252750264E-001;-6.919978894991054E+001;
2.510540184347519E+008;-6.696533819785544E-001;-1.267440933487332E+002;
2.606414840180006E+008;-6.918121420638724E-001;1.735350372349114E+002;
