# Version 1.00
#
freq[Hz];db:Trc1_S21;ang:Trc1_S21;
1.000000000000000E+007;-1.228036896003325E-001;-4.351159893360745E+001;
1.038188855303029E+007;-1.220797222228922E-001;-4.515184441405769E+001;
1.077836099275414E+007;-5.289486706095595E-002;-4.532505568420590E+001;
1.118997426111024E+007;-3.246264445302097E-001;-4.893518533438030E+001;
1.161730656901240E+007;-1.371156782096760E-001;-4.973062635133726E+001;
1.206095820858735E+007;-6.540174877890759E-002;-5.181892492486163E+001;
1.252155239643097E+007;-5.803377114526608E-002;-5.432992969349197E+001;
1.299973614906757E+007;-1.291083124759894E-001;-5.550944281946840E+001;
1.349618119184187E+007;-6.650253082810312E-002;-5.806843332834477E+001;
1.401158490252058E+007;-1.106011703670633E-002;-6.033110113541388E+001;
1.454667129092905E+007;-1.597416216117047E-001;-6.297627153151151E+001;
1.510219201599907E+007;-2.425319055932128E-001;-6.440720862623378E+001;
1.567892744165662E+007;-8.462658208059574E-002;-6.782582624892264E+001;
1.627768773303274E+007;-1.514645946364892E-001;-6.988475362551812E+001;
1.689931399453742E+007;-5.233803052325246E-002;-7.236182830647786E+001;
1.754467945139527E+007;-8.407125482863735E-002;-7.539889317243303E+001;
1.821469067630263E+007;-1.694927400855506E-001;-7.807206317441721E+001;
1.891028886292939E+007;-1.438960415848354E-001;-8.105764553490788E+001;
1.963245114805428E+007;-1.718594936356699E-001;-8.479006213652710E+001;
2.038219198419111E+007;-1.260088760064849E-001;-8.753110801914698E+001;
2.116056456463395E+007;-1.617820422523884E-001;-9.064816293047598E+001;
2.196866230292316E+007;-1.477063421000219E-001;-9.465122238395988E+001;
2.280762036881060E+007;-1.136377044544289E-001;-9.779289515547880E+001;
2.367861728288153E+007;-1.228133085918580E-001;-1.019041344613194E+002;
2.458287657207330E+007;-1.164581143665065E-001;-1.055717625314101E+002;
2.552166848841643E+007;-1.261953088928114E-001;-1.096245126037165E+002;
2.649631179341245E+007;-1.291451185918498E-001;-1.139308482417848E+002;
2.750817561055502E+007;-1.386955947337557E-001;-1.180754058218372E+002;
2.855868134859682E+007;-1.296543168767603E-001;-1.226187219009749E+002;
2.964930469826371E+007;-1.099801347384709E-001;-1.275290707174759E+002;
3.078157770522112E+007;-1.417581150216968E-001;-1.319962534446594E+002;
3.195709092220476E+007;-1.483498391302742E-001;-1.372532616280781E+002;
3.317749564333858E+007;-1.513539456363501E-001;-1.424620645562755E+002;
3.444450622377892E+007;-1.587381615084916E-001;-1.479612883418231E+002;
3.575990248794310E+007;-1.710959650941064E-001;-1.533488392818471E+002;
3.712553222970559E+007;-1.610950891217139E-001;-1.593704153386475E+002;
3.854331380807376E+007;-1.852742750945946E-001;-1.653198265387440E+002;
4.001523884198953E+007;-2.017562585349770E-001;-1.717727753813868E+002;
4.154337500804243E+007;-1.872821972388696E-001;-1.780239148883740E+002;
4.312986894502404E+007;-1.733765090389939E-001;1.750006381298738E+002;
4.477694926940417E+007;-1.594818639763488E-001;1.681129724889426E+002;
4.648692970596453E+007;-1.717442539277811E-001;1.604770438824894E+002;
4.826221233798770E+007;-1.557422534067364E-001;1.528987992545772E+002;
5.010529098156718E+007;-1.841899727206708E-001;1.450116994296118E+002;
5.201875468877842E+007;-2.088591811195809E-001;1.368138281899971E+002;
5.400529138463195E+007;-1.852755110468008E-001;1.284608031108311E+002;
5.606769164291760E+007;-1.972604861058906E-001;1.196095241768919E+002;
5.820885260624383E+007;-2.219691951951586E-001;1.104656599347551E+002;
6.043178205577903E+007;-1.604042630236909E-001;1.007371367666840E+002;
6.273960263641138E+007;-2.183126655416078E-001;9.084020238419598E+001;
6.513555624326284E+007;-2.435418455329036E-001;8.068397290363271E+001;
6.762300857571912E+007;-2.385120854073337E-001;7.005014340843451E+001;
7.020545386537276E+007;-2.416252037960821E-001;5.923489245872499E+001;
7.288651978452097E+007;-2.281051790064804E-001;4.759737868908168E+001;
7.566997254211341E+007;-2.116386272470018E-001;3.575318219926662E+001;
7.855972217430838E+007;-2.733773572203047E-001;2.336930320643207E+001;
8.155982803706922E+007;-2.399236783785530E-001;1.050390416693423E+001;
8.467450450851679E+007;-2.545766683228943E-001;-2.910615017163031E+000;
8.790812690904823E+007;-2.385603761247838E-001;-1.668786061094067E+001;
9.126523764753820E+007;-2.485883123369228E-001;-3.100203212002491E+001;
9.475055260225661E+007;-2.427828718708417E-001;-4.587492986990090E+001;
9.836896774546625E+007;-2.515720046832905E-001;-6.140278688162696E+001;
1.021255660210062E+008;-2.691821204546297E-001;-7.729485694242074E+001;
1.060256244845224E+008;-2.642832675809235E-001;-9.415479285422543E+001;
1.100746217163751E+008;-2.754096692321133E-001;-1.114720372845064E+002;
1.142782455176374E+008;-2.828896749353606E-001;-1.294268323917149E+002;
1.186424008999945E+008;-2.906807421089218E-001;-1.479711703595708E+002;
1.231732183807684E+008;-3.035265011340892E-001;-1.673464439268485E+002;
1.278770625947199E+008;-2.905341629018694E-001;1.724775162382564E+002;
1.327605412347261E+008;-3.017924396924772E-001;1.515622331287229E+002;
1.378305143338909E+008;-3.084215515086193E-001;1.299637247928862E+002;
1.430941039021300E+008;-3.044465971004674E-001;1.074283894463955E+002;
1.485587039307650E+008;-3.148508500155347E-001;8.411588555644049E+001;
1.542319907791826E+008;-3.161310212840147E-001;5.986997644792193E+001;
1.601219339581469E+008;-3.295769470771397E-001;3.463340618374636E+001;
1.662368073249158E+008;-3.331282899835592E-001;8.528785485532596E+000;
1.725852007058845E+008;-3.392169155457705E-001;-1.865284687996902E+001;
1.791760319630858E+008;-3.463567246113162E-001;-4.674736769959952E+001;
1.860185595214950E+008;-3.556393612502231E-001;-7.602702764535043E+001;
1.931223953747393E+008;-3.672608978063982E-001;-1.063984381241986E+002;
2.004975185874796E+008;-3.776512699156050E-001;-1.378405056844952E+002;
2.081542893134333E+008;-3.753466038752016E-001;-1.706078691663495E+002;
2.161034633487289E+008;-3.929107909279527E-001;1.554699005034059E+002;
2.243562072410370E+008;-3.832326994788792E-001;1.201718344084706E+002;
2.329241139757013E+008;-4.012492173177764E-001;8.356361534782184E+001;
2.418192192609057E+008;-4.072002668788441E-001;4.551768289766992E+001;
2.510540184347519E+008;-4.114235306282458E-001;6.086273943772516E+000;
2.606414840180006E+008;-4.233957936812262E-001;-3.485494332022068E+001;
2.705950839371309E+008;-4.327446442400260E-001;-7.742569069425773E+001;
2.809288004433170E+008;-4.396955231323959E-001;-1.215442149324852E+002;
2.916571497539004E+008;-4.492409270788116E-001;-1.673358910674636E+002;
3.027952024439460E+008;-4.530434591239711E-001;1.450647624958282E+002;
3.143586046165293E+008;-4.665984597847531E-001;9.567173828025683E+001;
3.263635998814921E+008;-4.762818154651183E-001;4.434881383337983E+001;
3.388270521735421E+008;-4.857464415794955E-001;-8.870741412200031E+000;
3.517664694417494E+008;-5.002445248778225E-001;-6.414380977095412E+001;
3.652000282437178E+008;-5.109034387983692E-001;-1.214905288330159E+002;
3.791465992789793E+008;-5.199560932329167E-001;1.790013577723878E+002;
3.936257738974798E+008;-5.220076106772967E-001;1.170961461835130E+002;
4.086578916203936E+008;-5.403780916975784E-001;5.287635326507684E+001;
4.242640687119258E+008;-5.535889516329777E-001;-1.378356781245392E+001;
4.404662278422399E+008;-5.649053418039819E-001;-8.291440379821135E+001;
4.572871288831783E+008;-5.680504775450931E-001;-1.547126411524855E+002;
4.747504008800356E+008;-5.779928748707033E-001;1.306527785720532E+002;
4.928805752442984E+008;-5.961222949043553E-001;5.323900232701730E+001;
5.117031202139767E+008;-6.020018398979403E-001;-2.709506925528193E+001;
5.312444766299368E+008;-6.089250819944301E-001;-1.105947362763687E+002;
5.515320950784909E+008;-6.223503679763325E-001;1.627921791066273E+002;
5.725944744524199E+008;-6.420231226661920E-001;7.286100567841942E+001;
5.944612019845973E+008;-6.502666666963258E-001;-2.051642986244754E+001;
6.171629948104519E+008;-6.589473888939080E-001;-1.174869066435428E+002;
6.407317431176524E+008;-6.772053009364601E-001;1.418582900509204E+002;
6.652005549436301E+008;-7.003367352473554E-001;3.741015486574747E+001;
6.906038026838671E+008;-7.048083401370983E-001;-7.106691127277290E+001;
7.169771713762831E+008;-7.182470778267163E-001;1.763026507477729E+002;
7.443577088295471E+008;-7.412528565531030E-001;5.942211417302691E+001;
7.727838776657330E+008;-7.449972587212350E-001;-6.190161046301469E+001;
