FUNIT: Hz
UNIT: dB
1.000000e+07 [-0.31, -53.33] [-0.11, -52.33] [0.09, -51.33]
1.038189e+07 [-0.30, -55.33] [-0.10, -54.33] [0.10, -53.33]
1.077836e+07 [-0.32, -55.96] [-0.12, -54.96] [0.08, -53.96]
1.118997e+07 [-0.56, -59.42] [-0.36, -58.42] [-0.16, -57.42]
1.161731e+07 [-0.36, -60.33] [-0.16, -59.33] [0.04, -58.33]
1.206096e+07 [-0.34, -63.24] [-0.14, -62.24] [0.06, -61.24]
1.252155e+07 [-0.29, -66.07] [-0.09, -65.07] [0.11, -64.07]
1.299974e+07 [-0.34, -67.75] [-0.14, -66.75] [0.06, -65.75]
1.349618e+07 [-0.29, -70.55] [-0.09, -69.55] [0.11, -68.55]
1.401158e+07 [-0.26, -73.37] [-0.06, -72.37] [0.14, -71.37]
1.454667e+07 [-0.43, -76.20] [-0.23, -75.20] [-0.03, -74.20]
1.510219e+07 [-0.48, -78.39] [-0.28, -77.39] [-0.08, -76.39]
1.567893e+07 [-0.35, -82.06] [-0.15, -81.06] [0.05, -80.06]
1.627769e+07 [-0.37, -84.72] [-0.17, -83.72] [0.03, -82.72]
1.689931e+07 [-0.27, -87.87] [-0.07, -86.87] [0.13, -85.87]
1.754468e+07 [-0.32, -91.36] [-0.12, -90.36] [0.08, -89.36]
1.821469e+07 [-0.42, -94.61] [-0.22, -93.61] [-0.02, -92.61]
1.891029e+07 [-0.36, -98.36] [-0.16, -97.36] [0.04, -96.36]
1.963245e+07 [-0.40, -102.60] [-0.20, -101.60] [-0.00, -100.60]
2.038219e+07 [-0.38, -106.10] [-0.18, -105.10] [0.02, -104.10]
2.116056e+07 [-0.37, -109.59] [-0.17, -108.59] [0.03, -107.59]
2.196866e+07 [-0.39, -114.28] [-0.19, -113.28] [0.01, -112.28]
2.280762e+07 [-0.36, -118.23] [-0.16, -117.23] [0.04, -116.23]
2.367862e+07 [-0.37, -123.17] [-0.17, -122.17] [0.03, -121.17]
2.458288e+07 [-0.35, -127.59] [-0.15, -126.59] [0.05, -125.59]
2.552167e+07 [-0.36, -132.28] [-0.16, -131.28] [0.04, -130.28]
2.649631e+07 [-0.37, -137.49] [-0.17, -136.49] [0.03, -135.49]
2.750818e+07 [-0.36, -142.46] [-0.16, -141.46] [0.04, -140.46]
2.855868e+07 [-0.38, -147.98] [-0.18, -146.98] [0.02, -145.98]
2.964930e+07 [-0.34, -153.84] [-0.14, -152.84] [0.06, -151.84]
3.078158e+07 [-0.40, -159.16] [-0.20, -158.16] [-0.00, -157.16]
3.195709e+07 [-0.38, -165.55] [-0.18, -164.55] [0.02, -163.55]
3.317750e+07 [-0.40, -171.74] [-0.20, -170.74] [0.00, -169.74]
3.444451e+07 [-0.43, -178.38] [-0.23, -177.38] [-0.03, -176.38]
3.575990e+07 [-0.41, 175.17] [-0.21, 176.17] [-0.01, 177.17]
3.712553e+07 [-0.41, 168.01] [-0.21, 169.01] [-0.01, 170.01]
3.854331e+07 [-0.44, 160.83] [-0.24, 161.83] [-0.04, 162.83]
4.001524e+07 [-0.46, 153.18] [-0.26, 154.18] [-0.06, 155.18]
4.154338e+07 [-0.43, 145.62] [-0.23, 146.62] [-0.03, 147.62]
4.312987e+07 [-0.42, 137.30] [-0.22, 138.30] [-0.02, 139.30]
4.477695e+07 [-0.42, 129.02] [-0.22, 130.02] [-0.02, 131.02]
4.648693e+07 [-0.43, 119.90] [-0.23, 120.90] [-0.03, 121.90]
4.826221e+07 [-0.41, 110.80] [-0.21, 111.80] [-0.01, 112.80]
5.010529e+07 [-0.44, 101.41] [-0.24, 102.41] [-0.04, 103.41]
5.201875e+07 [-0.47, 91.56] [-0.27, 92.56] [-0.07, 93.56]
5.400529e+07 [-0.45, 81.50] [-0.25, 82.50] [-0.05, 83.50]
5.606769e+07 [-0.46, 70.93] [-0.26, 71.93] [-0.06, 72.93]
5.820885e+07 [-0.48, 59.95] [-0.28, 60.95] [-0.08, 61.95]
6.043178e+07 [-0.41, 48.41] [-0.21, 49.41] [-0.01, 50.41]
6.273960e+07 [-0.47, 36.54] [-0.27, 37.54] [-0.07, 38.54]
6.513556e+07 [-0.50, 24.35] [-0.30, 25.35] [-0.10, 26.35]
6.762301e+07 [-0.49, 11.62] [-0.29, 12.62] [-0.09, 13.62]
7.020545e+07 [-0.50, -1.42] [-0.30, -0.42] [-0.10, 0.58]
7.288652e+07 [-0.49, -15.34] [-0.29, -14.34] [-0.09, -13.34]
7.566997e+07 [-0.47, -29.48] [-0.27, -28.48] [-0.07, -27.48]
7.855972e+07 [-0.53, -44.36] [-0.33, -43.36] [-0.13, -42.36]
8.155983e+07 [-0.51, -59.74] [-0.31, -58.74] [-0.11, -57.74]
8.467450e+07 [-0.52, -75.79] [-0.32, -74.79] [-0.12, -73.79]
8.790813e+07 [-0.51, -92.28] [-0.31, -91.28] [-0.11, -90.28]
9.126524e+07 [-0.52, -109.45] [-0.32, -108.45] [-0.12, -107.45]
9.475055e+07 [-0.52, -127.30] [-0.32, -126.30] [-0.12, -125.30]
9.836897e+07 [-0.53, -145.83] [-0.33, -144.83] [-0.13, -143.83]
1.021256e+08 [-0.54, -164.95] [-0.34, -163.95] [-0.14, -162.95]
1.060256e+08 [-0.54, 174.90] [-0.34, 175.90] [-0.14, 176.90]
1.100746e+08 [-0.55, 154.15] [-0.35, 155.15] [-0.15, 156.15]
1.142782e+08 [-0.56, 132.61] [-0.36, 133.61] [-0.16, 134.61]
1.186424e+08 [-0.57, 110.41] [-0.37, 111.41] [-0.17, 112.41]
1.231732e+08 [-0.58, 87.16] [-0.38, 88.16] [-0.18, 89.16]
1.278771e+08 [-0.57, 63.02] [-0.37, 64.02] [-0.17, 65.02]
1.327605e+08 [-0.58, 37.97] [-0.38, 38.97] [-0.18, 39.97]
1.378305e+08 [-0.60, 12.07] [-0.40, 13.07] [-0.20, 14.07]
1.430941e+08 [-0.59, -14.91] [-0.39, -13.91] [-0.19, -12.91]
1.485587e+08 [-0.61, -42.82] [-0.41, -41.82] [-0.21, -40.82]
1.542320e+08 [-0.61, -71.88] [-0.41, -70.88] [-0.21, -69.88]
1.601219e+08 [-0.63, -102.10] [-0.43, -101.10] [-0.23, -100.10]
1.662368e+08 [-0.63, -133.37] [-0.43, -132.37] [-0.23, -131.37]
1.725852e+08 [-0.64, -165.89] [-0.44, -164.89] [-0.24, -163.89]
1.791760e+08 [-0.65, 160.45] [-0.45, 161.45] [-0.25, 162.45]
1.860186e+08 [-0.66, 125.39] [-0.46, 126.39] [-0.26, 127.39]
1.931224e+08 [-0.67, 88.98] [-0.47, 89.98] [-0.27, 90.98]
2.004975e+08 [-0.68, 51.28] [-0.48, 52.28] [-0.28, 53.28]
2.081543e+08 [-0.68, 12.07] [-0.48, 13.07] [-0.28, 14.07]
2.161035e+08 [-0.70, -28.57] [-0.50, -27.57] [-0.30, -26.57]
2.243562e+08 [-0.70, -70.84] [-0.50, -69.84] [-0.30, -68.84]
2.329241e+08 [-0.71, -114.69] [-0.51, -113.69] [-0.31, -112.69]
2.418192e+08 [-0.73, -160.26] [-0.53, -159.26] [-0.33, -158.26]
2.510540e+08 [-0.73, 152.52] [-0.53, 153.52] [-0.33, 154.52]
2.606415e+08 [-0.75, 103.47] [-0.55, 104.47] [-0.35, 105.47]
2.705951e+08 [-0.76, 52.50] [-0.56, 53.50] [-0.36, 54.50]
2.809288e+08 [-0.76, -0.36] [-0.56, 0.64] [-0.36, 1.64]
2.916571e+08 [-0.78, -55.24] [-0.58, -54.24] [-0.38, -53.24]
3.027952e+08 [-0.78, -112.26] [-0.58, -111.26] [-0.38, -110.26]
3.143586e+08 [-0.80, -171.40] [-0.60, -170.40] [-0.40, -169.40]
3.263636e+08 [-0.82, 127.14] [-0.62, 128.14] [-0.42, 129.14]
3.388271e+08 [-0.83, 63.43] [-0.63, 64.43] [-0.43, 65.43]
3.517665e+08 [-0.83, -2.79] [-0.63, -1.79] [-0.43, -0.79]
3.652000e+08 [-0.85, -71.53] [-0.65, -70.53] [-0.45, -69.53]
3.791466e+08 [-0.86, -142.85] [-0.66, -141.85] [-0.46, -140.85]
3.936258e+08 [-0.87, 143.05] [-0.67, 144.05] [-0.47, 145.05]
4.086579e+08 [-0.89, 66.14] [-0.69, 67.14] [-0.49, 68.14]
4.242641e+08 [-0.90, -13.70] [-0.70, -12.70] [-0.50, -11.70]
4.404662e+08 [-0.91, -96.54] [-0.71, -95.54] [-0.51, -94.54]
