# Version 1.00
#
freq[Hz];db:Trc1_S21;ang:Trc1_S21;
1.000000000000000E+007;-6.372800281280979E+001;1.558805207606027E+001;
1.038188855303029E+007;-6.657224761946834E+001;1.441292834754764E+001;
1.077836099275414E+007;-6.843535952210776E+001;1.851887965759774E+001;
1.118997426111024E+007;-6.340957963660873E+001;-4.834696641750774E+001;
1.161730656901240E+007;-6.600012197344115E+001;-2.359127778878480E+001;
1.206095820858735E+007;-6.358310944181982E+001;-6.417981827612142E+001;
1.252155239643097E+007;-6.506694810849237E+001;-6.092716273538463E+001;
1.299973614906757E+007;-6.333669764373983E+001;-1.063834583486010E+002;
1.349618119184187E+007;-6.377446650120746E+001;-1.073902316854627E+002;
1.401158490252058E+007;-6.430882422042605E+001;-1.175541834724361E+002;
1.454667129092905E+007;-6.269257079265536E+001;-1.406237174422516E+002;
1.510219201599907E+007;-6.267404349474639E+001;-1.595998926976421E+002;
1.567892744165662E+007;-6.214925129394674E+001;1.781075547012436E+002;
1.627768773303274E+007;-6.137400300259024E+001;1.517276954635884E+002;
1.689931399453742E+007;-5.981215433164438E+001;1.370246299142026E+002;
1.754467945139527E+007;-5.811377678557257E+001;1.157760212608891E+002;
1.821469067630263E+007;-5.824907529474945E+001;8.673967561490967E+001;
1.891028886292939E+007;-5.857329039464266E+001;6.682481841065082E+001;
1.963245114805428E+007;-5.722114541917492E+001;3.971196009862018E+001;
2.038219198419111E+007;-5.734561425475571E+001;1.437354989289103E+001;
2.116056456463395E+007;-5.689507625345109E+001;-9.949094533272289E+000;
2.196866230292316E+007;-5.648754787149959E+001;-4.479973063406062E+001;
2.280762036881060E+007;-5.572876328873866E+001;-6.586136648692420E+001;
2.367861728288153E+007;-5.558070678736569E+001;-9.641959437444315E+001;
2.458287657207330E+007;-5.514848953562187E+001;-1.280397067341403E+002;
2.552166848841643E+007;-5.456772117085349E+001;-1.592656769742108E+002;
2.649631179341245E+007;-5.428041973359688E+001;1.681406443481989E+002;
2.750817561055502E+007;-5.363403309388453E+001;1.349154418114270E+002;
2.855868134859682E+007;-5.310750097871870E+001;9.962255717228942E+001;
2.964930469826371E+007;-5.285612423371715E+001;6.433830295861385E+001;
3.078157770522112E+007;-5.246469524859455E+001;2.801000117007474E+001;
3.195709092220476E+007;-5.199373030942201E+001;-1.213268062055538E+001;
3.317749564333858E+007;-5.147829610788543E+001;-5.164810793250268E+001;
3.444450622377892E+007;-5.121404662085421E+001;-9.415443346327463E+001;
3.575990248794310E+007;-5.068279815103453E+001;-1.378719491157524E+002;
3.712553222970559E+007;-5.042096356200281E+001;1.748447466059843E+002;
3.854331380807376E+007;-5.006734332874963E+001;1.262912769955184E+002;
4.001523884198953E+007;-4.949696156907230E+001;7.732459550256071E+001;
4.154337500804243E+007;-4.899873847141795E+001;2.667317227127188E+001;
4.312986894502404E+007;-4.846999748956581E+001;-2.661687639900615E+001;
4.477694926940417E+007;-4.803429388210233E+001;-7.994307536984836E+001;
4.648692970596453E+007;-4.755237425320129E+001;-1.361744917713261E+002;
4.826221233798770E+007;-4.710413193631698E+001;1.661705847228857E+002;
5.010529098156718E+007;-4.665770087633530E+001;1.063034040364891E+002;
5.201875468877842E+007;-4.615289179570087E+001;4.193502589138492E+001;
5.400529138463195E+007;-4.552281042574996E+001;-2.544281217945379E+001;
5.606769164291760E+007;-4.528321185255256E+001;-9.661565049710661E+001;
5.820885260624383E+007;-4.475929160658501E+001;-1.700700987913286E+002;
6.043178205577903E+007;-4.417096026362707E+001;1.146513477481215E+002;
6.273960263641138E+007;-4.355654895007424E+001;3.832975414634124E+001;
6.513555624326284E+007;-4.305428922346263E+001;-4.118262011553270E+001;
6.762300857571912E+007;-4.275870827743484E+001;-1.252747599283067E+002;
7.020545386537276E+007;-4.262582185230709E+001;1.463341896737902E+002;
7.288651978452097E+007;-4.244363217835796E+001;5.228724537436983E+001;
7.566997254211341E+007;-4.198297611730645E+001;-4.353587311465507E+001;
7.855972217430838E+007;-4.174532323199568E+001;-1.403377843262525E+002;
8.155982803706922E+007;-4.178304856091665E+001;1.197129541229912E+002;
8.467450450851679E+007;-4.201295160623538E+001;1.501395596122797E+001;
8.790812690904823E+007;-4.176036575376610E+001;-9.521655740424424E+001;
9.126523764753820E+007;-4.165480910017789E+001;1.519225901115583E+002;
9.475055260225661E+007;-4.185352264411351E+001;3.787977735966096E+001;
9.836896774546625E+007;-4.201659151341881E+001;-8.286249161367610E+001;
1.021255660210062E+008;-4.190249170727858E+001;1.491190640626751E+002;
1.060256244845224E+008;-4.270778687458626E+001;3.148870884073110E+001;
1.100746217163751E+008;-4.228741234203130E+001;-1.047956743345589E+002;
1.142782455176374E+008;-4.230497216580595E+001;1.094157604805404E+002;
1.186424008999945E+008;-4.221551585752581E+001;-3.361169766446344E+001;
1.231732183807684E+008;-4.238210016559182E+001;-1.739506483747090E+002;
1.278770625947199E+008;-4.257295672588494E+001;2.388729274702673E+001;
1.327605412347261E+008;-4.259813257563751E+001;-1.379260241614243E+002;
1.378305143338909E+008;-4.269550281059598E+001;6.607423153356889E+001;
1.430941039021300E+008;-4.321250220878489E+001;-1.180133278772438E+002;
1.485587039307650E+008;-4.578222452976119E+001;5.641425191002898E+001;
1.542319907791826E+008;-4.302095599453410E+001;-1.005846064211164E+002;
1.601219339581469E+008;-4.299480512615189E+001;5.597147344748560E+001;
1.662368073249158E+008;-4.316888209867345E+001;-1.592462606279896E+002;
1.725852007058845E+008;-4.295090938038005E+001;-9.650669219549549E+000;
1.791760319630858E+008;-4.400502566419829E+001;1.183065137042980E+002;
1.860185595214950E+008;-4.410224093732040E+001;-1.684471801675934E+002;
1.931223953747393E+008;-5.658792155263406E+001;6.979498056500312E+001;
