FUNIT: Hz
UNIT: dB
1.000000e+07 [-63.93, 14.59] [-63.73, 15.59] [-63.53, 16.59]
1.038189e+07 [-66.77, 13.41] [-66.57, 14.41] [-66.37, 15.41]
1.077836e+07 [-68.64, 17.52] [-68.44, 18.52] [-68.24, 19.52]
1.118997e+07 [-63.61, -49.35] [-63.41, -48.35] [-63.21, -47.35]
1.161731e+07 [-66.20, -24.59] [-66.00, -23.59] [-65.80, -22.59]
1.206096e+07 [-63.78, -65.18] [-63.58, -64.18] [-63.38, -63.18]
1.252155e+07 [-65.27, -61.93] [-65.07, -60.93] [-64.87, -59.93]
1.299974e+07 [-63.54, -107.38] [-63.34, -106.38] [-63.14, -105.38]
1.349618e+07 [-63.97, -108.39] [-63.77, -107.39] [-63.57, -106.39]
1.401158e+07 [-64.51, -118.55] [-64.31, -117.55] [-64.11, -116.55]
1.454667e+07 [-62.89, -141.62] [-62.69, -140.62] [-62.49, -139.62]
1.510219e+07 [-62.87, -160.60] [-62.67, -159.60] [-62.47, -158.60]
1.567893e+07 [-62.35, 177.11] [-62.15, 178.11] [-61.95, 179.11]
1.627769e+07 [-61.57, 150.73] [-61.37, 151.73] [-61.17, 152.73]
1.689931e+07 [-60.01, 136.02] [-59.81, 137.02] [-59.61, 138.02]
1.754468e+07 [-58.31, 114.78] [-58.11, 115.78] [-57.91, 116.78]
1.821469e+07 [-58.45, 85.74] [-58.25, 86.74] [-58.05, 87.74]
1.891029e+07 [-58.77, 65.82] [-58.57, 66.82] [-58.37, 67.82]
1.963245e+07 [-57.42, 38.71] [-57.22, 39.71] [-57.02, 40.71]
2.038219e+07 [-57.55, 13.37] [-57.35, 14.37] [-57.15, 15.37]
2.116056e+07 [-57.10, -10.95] [-56.90, -9.95] [-56.70, -8.95]
2.196866e+07 [-56.69, -45.80] [-56.49, -44.80] [-56.29, -43.80]
2.280762e+07 [-55.93, -66.86] [-55.73, -65.86] [-55.53, -64.86]
2.367862e+07 [-55.78, -97.42] [-55.58, -96.42] [-55.38, -95.42]
2.458288e+07 [-55.35, -129.04] [-55.15, -128.04] [-54.95, -127.04]
2.552167e+07 [-54.77, -160.27] [-54.57, -159.27] [-54.37, -158.27]
2.649631e+07 [-54.48, 167.14] [-54.28, 168.14] [-54.08, 169.14]
2.750818e+07 [-53.83, 133.92] [-53.63, 134.92] [-53.43, 135.92]
2.855868e+07 [-53.31, 98.62] [-53.11, 99.62] [-52.91, 100.62]
2.964930e+07 [-53.06, 63.34] [-52.86, 64.34] [-52.66, 65.34]
3.078158e+07 [-52.66, 27.01] [-52.46, 28.01] [-52.26, 29.01]
3.195709e+07 [-52.19, -13.13] [-51.99, -12.13] [-51.79, -11.13]
3.317750e+07 [-51.68, -52.65] [-51.48, -51.65] [-51.28, -50.65]
3.444451e+07 [-51.41, -95.15] [-51.21, -94.15] [-51.01, -93.15]
3.575990e+07 [-50.88, -138.87] [-50.68, -137.87] [-50.48, -136.87]
3.712553e+07 [-50.62, 173.84] [-50.42, 174.84] [-50.22, 175.84]
3.854331e+07 [-50.27, 125.29] [-50.07, 126.29] [-49.87, 127.29]
4.001524e+07 [-49.70, 76.32] [-49.50, 77.32] [-49.30, 78.32]
4.154338e+07 [-49.20, 25.67] [-49.00, 26.67] [-48.80, 27.67]
4.312987e+07 [-48.67, -27.62] [-48.47, -26.62] [-48.27, -25.62]
4.477695e+07 [-48.23, -80.94] [-48.03, -79.94] [-47.83, -78.94]
4.648693e+07 [-47.75, -137.17] [-47.55, -136.17] [-47.35, -135.17]
4.826221e+07 [-47.30, 165.17] [-47.10, 166.17] [-46.90, 167.17]
5.010529e+07 [-46.86, 105.30] [-46.66, 106.30] [-46.46, 107.30]
5.201875e+07 [-46.35, 40.94] [-46.15, 41.94] [-45.95, 42.94]
5.400529e+07 [-45.72, -26.44] [-45.52, -25.44] [-45.32, -24.44]
5.606769e+07 [-45.48, -97.62] [-45.28, -96.62] [-45.08, -95.62]
5.820885e+07 [-44.96, -171.07] [-44.76, -170.07] [-44.56, -169.07]
6.043178e+07 [-44.37, 113.65] [-44.17, 114.65] [-43.97, 115.65]
6.273960e+07 [-43.76, 37.33] [-43.56, 38.33] [-43.36, 39.33]
