# Version 1.00
#
freq[Hz];db:Trc1_S21;ang:Trc1_S21;
1.000000000000000E+007;-6.995745163929382E+001;9.568544128849396E+001;
1.038188855303029E+007;-6.354147694497510E+001;9.521515629571064E+001;
1.077836099275414E+007;-7.242500517513598E+001;5.385260314978158E+001;
1.118997426111024E+007;-7.420178582756336E+001;-6.272217449154284E+001;
1.161730656901240E+007;-7.681369862281656E+001;-1.650086066397176E+002;
1.206095820858735E+007;-7.184285119454090E+001;2.993998528547676E+000;
1.252155239643097E+007;-8.861129669306388E+001;-5.573988977331217E-001;
1.299973614906757E+007;-6.937332546959377E+001;6.308996720984423E+000;
1.349618119184187E+007;-7.105919323458872E+001;-8.675810964157520E+000;
1.401158490252058E+007;-7.431398824967955E+001;-3.916373967110780E+001;
1.454667129092905E+007;-7.101484765377587E+001;-6.445336623432618E+001;
1.510219201599907E+007;-7.971630068780374E+001;-1.177302606608850E+002;
1.567892744165662E+007;-6.786931489788802E+001;-7.819207888909814E+001;
1.627768773303274E+007;-6.598558132223425E+001;-1.080123827830647E+002;
1.689931399453742E+007;-6.929255567780014E+001;-1.024406045603068E+002;
1.754467945139527E+007;-6.722952639191182E+001;-1.491646686985488E+002;
1.821469067630263E+007;-6.773581533758360E+001;-1.414149637496979E+002;
1.891028886292939E+007;-6.664041895376221E+001;-1.475684768478335E+002;
1.963245114805428E+007;-6.480766613773450E+001;-1.684322782753833E+002;
2.038219198419111E+007;-6.403610703917518E+001;-1.785286561135097E+002;
2.116056456463395E+007;-6.400227048980015E+001;1.653418521557543E+002;
2.196866230292316E+007;-6.271229315326843E+001;1.508581579863352E+002;
2.280762036881060E+007;-6.125587138036734E+001;1.327050760907351E+002;
2.367861728288153E+007;-6.062671446638161E+001;1.178283742762909E+002;
2.458287657207330E+007;-6.042817030801210E+001;9.869784105814267E+001;
2.552166848841643E+007;-5.992871612096128E+001;8.047927301939758E+001;
2.649631179341245E+007;-5.912840934185613E+001;6.442582778339715E+001;
2.750817561055502E+007;-5.823693349355553E+001;4.935627861641096E+001;
2.855868134859682E+007;-5.746712848439598E+001;3.569882501008515E+001;
2.964930469826371E+007;-5.674639626885058E+001;1.563481863686429E+001;
3.078157770522112E+007;-5.595980540212224E+001;-5.632672098724352E+000;
3.195709092220476E+007;-5.575757878725542E+001;-2.420205837520558E+001;
3.317749564333858E+007;-5.482656941745098E+001;-4.211323348862300E+001;
3.444450622377892E+007;-5.445887707406808E+001;-6.098829883117956E+001;
3.575990248794310E+007;-5.332471783168383E+001;-8.256292142212382E+001;
3.712553222970559E+007;-5.286381960067232E+001;-1.018004424325534E+002;
3.854331380807376E+007;-5.227864399161313E+001;-1.250317671052716E+002;
4.001523884198953E+007;-5.146400755635175E+001;-1.466033091758065E+002;
4.154337500804243E+007;-5.099002376638197E+001;-1.690712267846370E+002;
4.312986894502404E+007;-5.036188169725749E+001;1.659673934274958E+002;
4.477694926940417E+007;-4.972226623936807E+001;1.426052095682275E+002;
4.648692970596453E+007;-4.889320977679893E+001;1.156206093482901E+002;
4.826221233798770E+007;-4.843750574153758E+001;8.989405096824552E+001;
5.010529098156718E+007;-4.778636812989144E+001;6.201938775574986E+001;
5.201875468877842E+007;-4.723988753276685E+001;3.401653355697524E+001;
5.400529138463195E+007;-4.677062367858655E+001;4.519864114978783E+000;
5.606769164291760E+007;-4.616378061453570E+001;-2.563696590010711E+001;
5.820885260624383E+007;-4.559853815226528E+001;-5.737215174017552E+001;
6.043178205577903E+007;-4.499039518634807E+001;-9.048662872580422E+001;
6.273960263641138E+007;-4.448027831527126E+001;-1.249986629145556E+002;
6.513555624326284E+007;-4.409747875410601E+001;-1.606465303175374E+002;
6.762300857571912E+007;-4.354610032087007E+001;1.621488621351056E+002;
7.020545386537276E+007;-4.321462677066563E+001;1.232170821788860E+002;
7.288651978452097E+007;-4.287119212754938E+001;8.259517939890530E+001;
7.566997254211341E+007;-4.259802670967509E+001;4.063482741954816E+001;
7.855972217430838E+007;-4.255997712469723E+001;-2.586490378264986E+000;
8.155982803706922E+007;-4.248877252873066E+001;-4.704435458358859E+001;
8.467450450851679E+007;-4.254329801251178E+001;-9.289597350743843E+001;
8.790812690904823E+007;-4.254152628902460E+001;-1.396229460131267E+002;
9.126523764753820E+007;-4.261553917362586E+001;1.715686401588066E+002;
9.475055260225661E+007;-4.272032844148570E+001;1.209171319873753E+002;
9.836896774546625E+007;-4.293803342569757E+001;6.777906868324588E+001;
1.021255660210062E+008;-4.321481102259928E+001;1.274018523153185E+001;
1.060256244845224E+008;-4.354896885780369E+001;-4.479800189336942E+001;
1.100746217163751E+008;-4.381500460376689E+001;-1.057464051700790E+002;
1.142782455176374E+008;-4.405776706007622E+001;-1.712392371908622E+002;
1.186424008999945E+008;-4.434144380583227E+001;1.179698665781965E+002;
1.231732183807684E+008;-4.474385876790263E+001;4.115032328123790E+001;
1.278770625947199E+008;-4.513761286185397E+001;-3.887830666240855E+001;
1.327605412347261E+008;-4.519603381880589E+001;-1.211126885229309E+002;
1.378305143338909E+008;-4.486856888415151E+001;1.550956042036095E+002;
1.430941039021300E+008;-4.434296035988356E+001;6.971042721235838E+001;
1.485587039307650E+008;-4.396194255402598E+001;-1.694793345001730E+001;
1.542319907791826E+008;-4.365116499553083E+001;-1.043217788255327E+002;
1.601219339581469E+008;-4.340034499578584E+001;1.664499045798695E+002;
1.662368073249158E+008;-4.317225312459483E+001;7.506389167295347E+001;
1.725852007058845E+008;-4.307273705051089E+001;-1.783342296440823E+001;
1.791760319630858E+008;-4.287045425280046E+001;-1.116718292107083E+002;
1.860185595214950E+008;-4.258846736518766E+001;1.518601717080170E+002;
1.931223953747393E+008;-4.255619539370385E+001;5.257403725654037E+001;
2.004975185874796E+008;-4.269426887682558E+001;-4.829837183129389E+001;
2.081542893134333E+008;-4.266350085939293E+001;-1.536936247149092E+002;
2.161034633487289E+008;-4.271480929252660E+001;9.162955665864338E+001;
2.243562072410370E+008;-4.312305111526738E+001;-3.131549896884787E+001;
2.329241139757013E+008;-4.337713456620919E+001;-1.607557932592063E+002;
2.418192192609057E+008;-4.342828537301751E+001;6.393401675120443E+001;
2.510540184347519E+008;-4.346347435658997E+001;-7.408694142207659E+001;
2.606414840180006E+008;-4.344816841575756E+001;1.414862504149986E+002;
2.705950839371309E+008;-4.372664791879987E+001;-1.113656032835799E+001;
2.809288004433170E+008;-4.360474173432345E+001;-1.691065029371931E+002;
2.916571497539004E+008;-4.359889156549357E+001;3.328555488478499E+001;
3.027952024439460E+008;-4.334971675276366E+001;-1.196642367056505E+002;
3.143586046165293E+008;-4.321086538989788E+001;7.870375097494600E+001;
3.263635998814921E+008;-4.405024106974122E+001;-9.559538867254216E+001;
3.388270521735421E+008;-4.495029163706740E+001;7.866957866042623E+001;
3.517664694417494E+008;-4.472345893859129E+001;-1.112637791030845E+002;
3.652000282437178E+008;-4.486895334745040E+001;5.351163485891156E+001;
3.791465992789793E+008;-4.426820077981605E+001;-1.593912532281084E+002;
3.936257738974798E+008;-4.398810249747810E+001;-3.027456288732243E+001;
4.086578916203936E+008;-4.342259612127164E+001;1.138205247407693E+002;
4.242640687119258E+008;-4.291411913531159E+001;-1.094102760908711E+002;
4.404662278422399E+008;-4.402397574907361E+001;1.437671776153373E+001;
4.572871288831783E+008;-4.276362570822329E+001;1.400600722110143E+002;
4.747504008800356E+008;-4.284640938798647E+001;-9.752855981474862E+001;
4.928805752442984E+008;-4.377404229028393E+001;4.720032601246736E+000;
5.117031202139767E+008;-4.391528271129106E+001;8.053071512464584E+001;
5.312444766299368E+008;-4.305709562733320E+001;1.571265591539278E+002;
5.515320950784909E+008;-4.390467530817328E+001;-1.438232485143969E+002;
5.725944744524199E+008;-4.263148621580920E+001;-7.794247344023448E+001;
5.944612019845973E+008;-4.342070019903928E+001;-1.855401770370612E+001;
6.171629948104519E+008;-4.479272247142288E+001;-7.062205590034379E+000;
6.407317431176524E+008;-4.454209803767226E+001;-8.554163300129421E+000;
6.652005549436301E+008;-4.433595934823936E+001;-2.842059285920390E+001;
6.906038026838671E+008;-4.358729092450610E+001;-1.787542071704527E+001;
7.169771713762831E+008;-4.568342876202128E+001;-3.518459930325154E+001;
7.443577088295471E+008;-4.511605914533069E+001;-6.582538390146520E+001;
7.727838776657330E+008;-4.739512910946343E+001;-1.332629863021610E+002;
8.022956093504235E+008;-4.538105143388125E+001;1.798972989531597E+002;
8.329343602861624E+008;-4.486312381490410E+001;8.578536677867493E+001;
8.647431700480518E+008;-4.542940771022884E+001;-1.569013155401071E+001;
8.977667218432996E+008;-4.441772251367346E+001;-1.425948506757889E+002;
9.320514052796482E+008;-4.711432640070257E+001;7.106581195791250E+001;
9.676453815308577E+008;-4.556677584408674E+001;-9.963977195521771E+001;
1.004598650990784E+009;-4.379590733297258E+001;6.161288022796787E+001;
1.042963123511089E+009;-4.472216440225777E+001;-1.476324227321562E+002;
1.082792691321250E+009;-4.639431461944291E+001;1.109711749803880E+001;
1.124143304733295E+009;-4.541593636799357E+001;1.477555911793089E+002;
1.167073050737623E+009;-4.979951119604535E+001;-1.192712365050300E+002;
1.211642234600307E+009;-4.757302411113301E+001;-1.352055738963538E+002;
1.257913464576497E+009;-4.479288039929070E+001;-5.710970807963638E+001;
1.305951739858941E+009;-5.562005455481406E+001;3.635778163493883E+001;
1.355824541885154E+009;-4.605333702567727E+001;-1.400217407889151E+002;
1.407601929131501E+009;-4.611731706093239E+001;-3.165767430456686E+001;
1.461356635527369E+009;-4.469212780936856E+001;6.815337844615247E+000;
1.517164172627645E+009;-5.250322619418786E+001;2.990422385962900E+001;
1.575102935687062E+009;-5.602732620393712E+001;1.277912503979912E+002;
1.635254313785392E+009;-5.259320472338700E+001;-1.389370666398196E+002;
1.697702804158197E+009;-4.180050751872201E+001;1.008478830543033E+002;
1.762536130893741E+009;-4.306694840041733E+001;-5.742439762570116E+001;
1.829845368162803E+009;-5.157057563983803E+001;-5.377163002954235E+000;
1.899725068154491E+009;-4.055995773740666E+001;-6.280575973957959E+001;
1.972273393897780E+009;-4.206645574032274E+001;3.961059716880027E+001;
2.047592257155356E+009;-4.881628681403925E+001;5.475805423999221E+001;
2.125787461583465E+009;-3.922923333401975E+001;-8.341389233381372E+001;
2.206968851358869E+009;-5.663692723079412E+001;1.326593346977234E+002;
2.291250465481706E+009;-3.507907090954587E+001;5.364851619814059E+001;
2.378750697970985E+009;-3.772952173669363E+001;1.387786169106942E+002;
2.469592464177779E+009;-3.396690109403293E+001;4.642748173048645E+001;
2.563903373449715E+009;-3.541846355221193E+001;9.433987352109850E+001;
2.661815908389335E+009;-2.992372502602797E+001;-3.149807777239159E+001;
2.763467610958116E+009;-3.039416455300877E+001;1.753962891849770E+002;
2.869001275687604E+009;-3.100333228042533E+001;-2.255403558275290E+000;
2.978565150269043E+009;-3.443611641043990E+001;1.095890749827585E+002;
3.092313143803313E+009;-3.054487830737048E+001;6.675040621656436E+001;
3.210405043003673E+009;-3.056286328961165E+001;1.855076231866969E+001;
3.333006736655056E+009;-3.302301232483124E+001;-3.893894235939986E+001;
3.460290448645197E+009;-3.618831960809522E+001;-1.053211035353327E+002;
3.592434979894962E+009;-3.773917101659842E+001;2.907962014713926E+001;
3.729625959527711E+009;-4.966701916590937E+001;-1.746609462718496E+001;
3.872056105630537E+009;-4.216597503208968E+001;-3.007598996826551E+001;
4.019925495973672E+009;-4.171456038370722E+001;-1.046004414972267E+002;
4.173441849068368E+009;-4.545820646270175E+001;2.559365409030015E+001;
4.332820815958047E+009;-3.742461099757453E+001;2.464859789654006E+001;
4.498286283152621E+009;-4.338229963583994E+001;1.069765512033377E+002;
4.670070687131537E+009;-4.678058341047637E+001;1.324285823613004E+002;
4.848415340857322E+009;-5.259839420688707E+001;1.342809249033019E+002;
5.033570772758309E+009;-4.527133812473757E+001;5.587083133764368E+000;
5.225797078656734E+009;-5.359630633746964E+001;-1.137672590431887E+002;
5.425364287136548E+009;-4.070352255048148E+001;1.173937098296464E+002;
5.632552738864227E+009;-3.425334209692394E+001;-6.483951269368740E+001;
5.847653480395394E+009;-3.685042692257920E+001;-9.595108784346060E+001;
6.070968673020469E+009;-3.950477572718746E+001;1.046423467559369E+002;
6.302812017223670E+009;-3.187441221386918E+001;1.302010788191510E+002;
6.543509193351618E+009;-3.518804624328777E+001;-5.551878452437930E+001;
6.793398319110564E+009;-4.466648494519936E+001;1.790227764080648E+002;
7.052830424534919E+009;-4.837779860911229E+001;-8.610160664516324E+001;
7.322169945094285E+009;-4.338835717106891E+001;-1.613965516397586E+001;
7.601795233631680E+009;-5.436263238326270E+001;9.471318912001543E+001;
7.892099091852097E+009;-6.143082278747585E+001;-1.578173818560608E+002;
8.193489322108005E+009;-4.672854723065107E+001;3.584459565781657E+001;
8.506389300256902E+009;-4.716329117224982E+001;1.782015706724292E+000;
8.831238570395649E+009;-5.256071581144134E+001;-8.552490495966671E+001;
