# Version 1.00
#
freq[Hz];db:Trc1_S21;ang:Trc1_S21;
1.000000000000000E+007;-6.738311747522043E+001;9.250746162752986E+001;
1.038188855303029E+007;-6.731233459007093E+001;5.911451163553868E+001;
1.077836099275414E+007;-7.529481184434090E+001;1.158247173594476E+002;
1.118997426111024E+007;-6.699734297721864E+001;4.420146966646708E+001;
1.161730656901240E+007;-6.446922558487751E+001;6.611730865693356E+001;
1.206095820858735E+007;-6.458535880234715E+001;3.710771941934651E+001;
1.252155239643097E+007;-6.736612029505005E+001;6.744332196911458E+001;
1.299973614906757E+007;-6.489161797333449E+001;5.435594565149508E+001;
1.349618119184187E+007;-6.171622060962206E+001;3.692554090791395E+001;
1.401158490252058E+007;-6.076813672480646E+001;3.646724256076524E+001;
1.454667129092905E+007;-6.252987898831266E+001;2.411899524104000E+001;
1.510219201599907E+007;-6.072855637481491E+001;2.475577317996198E+001;
1.567892744165662E+007;-6.084740338734463E+001;1.227695027635553E+001;
1.627768773303274E+007;-6.224147939062262E+001;1.468855963592927E+001;
1.689931399453742E+007;-6.020438402729263E+001;7.557624446156757E+000;
1.754467945139527E+007;-5.879741384952999E+001;6.132319145016584E+000;
1.821469067630263E+007;-5.869587470657618E+001;-6.698868055054430E-001;
1.891028886292939E+007;-5.787168219598642E+001;-7.702831591360625E+000;
1.963245114805428E+007;-5.796578250241151E+001;-1.539660674247925E+001;
2.038219198419111E+007;-5.735890045076270E+001;-2.530896725046430E+001;
2.116056456463395E+007;-5.715021035022333E+001;-2.901295438747451E+001;
2.196866230292316E+007;-5.607510430198808E+001;-3.660846600248278E+001;
2.280762036881060E+007;-5.514741928080964E+001;-4.768547946438678E+001;
2.367861728288153E+007;-5.492393305990435E+001;-5.510716750027419E+001;
2.458287657207330E+007;-5.470581975647765E+001;-6.109253191418338E+001;
2.552166848841643E+007;-5.418587850777129E+001;-6.874154112304042E+001;
2.649631179341245E+007;-5.366095231846074E+001;-8.059240878412345E+001;
2.750817561055502E+007;-5.308475171577403E+001;-8.952127475270163E+001;
2.855868134859682E+007;-5.280175336891151E+001;-9.743485093161350E+001;
2.964930469826371E+007;-5.229096025216084E+001;-1.076548686862910E+002;
3.078157770522112E+007;-5.158724958697806E+001;-1.164369595156514E+002;
3.195709092220476E+007;-5.128293579561161E+001;-1.282637871654067E+002;
3.317749564333858E+007;-5.081405906452942E+001;-1.377657569454170E+002;
3.444450622377892E+007;-5.060155173868039E+001;-1.491909288335366E+002;
3.575990248794310E+007;-5.018486540304975E+001;-1.608475097539120E+002;
3.712553222970559E+007;-4.957428513916509E+001;-1.712508723709916E+002;
3.854331380807376E+007;-4.907586972181800E+001;1.756687479452081E+002;
4.001523884198953E+007;-4.872257702900419E+001;1.634280799562796E+002;
4.154337500804243E+007;-4.824519516430163E+001;1.515056266396476E+002;
4.312986894502404E+007;-4.765087260694031E+001;1.377518595579938E+002;
4.477694926940417E+007;-4.708438340959787E+001;1.250601887265223E+002;
4.648692970596453E+007;-4.670563627752644E+001;1.094899274417711E+002;
4.826221233798770E+007;-4.609321245565402E+001;9.399393960142523E+001;
5.010529098156718E+007;-4.571865712637317E+001;7.824451915555660E+001;
5.201875468877842E+007;-4.519982162693087E+001;6.159205613968255E+001;
5.400529138463195E+007;-4.469914511777457E+001;4.544980500664757E+001;
5.606769164291760E+007;-4.420595342516692E+001;2.720090199471368E+001;
5.820885260624383E+007;-4.372940377123690E+001;8.918215039882904E+000;
6.043178205577903E+007;-4.313208387149246E+001;-1.060119970895214E+001;
6.273960263641138E+007;-4.263224539559127E+001;-3.064945640535294E+001;
6.513555624326284E+007;-4.216466187994022E+001;-5.183861905167852E+001;
6.762300857571912E+007;-4.163378449973857E+001;-7.440964193812606E+001;
7.020545386537276E+007;-4.117838920948275E+001;-9.778154031221712E+001;
7.288651978452097E+007;-4.083935851511657E+001;-1.226395043650826E+002;
7.566997254211341E+007;-4.053401863247991E+001;-1.480198055280278E+002;
7.855972217430838E+007;-4.046131434073576E+001;-1.742319167385016E+002;
8.155982803706922E+007;-4.037901559646600E+001;1.588631188023344E+002;
8.467450450851679E+007;-4.035378441439174E+001;1.316774468955243E+002;
8.790812690904823E+007;-4.033675265660302E+001;1.039500297321218E+002;
9.126523764753820E+007;-4.033249843187665E+001;7.558277320309854E+001;
9.475055260225661E+007;-4.038553611163982E+001;4.633879744676388E+001;
9.836896774546625E+007;-4.047131496642469E+001;1.624813494911720E+001;
1.021255660210062E+008;-4.058263824165569E+001;-1.397944076314979E+001;
1.060256244845224E+008;-4.062332794458300E+001;-4.523575135256186E+001;
1.100746217163751E+008;-4.059867248384047E+001;-7.711107596127359E+001;
1.142782455176374E+008;-4.045857740301498E+001;-1.106574543379315E+002;
1.186424008999945E+008;-4.029522636200659E+001;-1.462528368664616E+002;
1.231732183807684E+008;-4.034702895426431E+001;1.763207252143035E+002;
1.278770625947199E+008;-4.057252703542538E+001;1.382766723534412E+002;
1.327605412347261E+008;-4.075797901957848E+001;1.004721134675064E+002;
1.378305143338909E+008;-4.077132843371132E+001;6.170119596393425E+001;
1.430941039021300E+008;-4.068142576711450E+001;2.052107891874449E+001;
1.485587039307650E+008;-4.066667783023721E+001;-2.219640997935336E+001;
1.542319907791826E+008;-4.068800549476217E+001;-6.637573478474707E+001;
1.601219339581469E+008;-4.063025821828231E+001;-1.123952691320819E+002;
1.662368073249158E+008;-4.062030466620430E+001;-1.606144078015930E+002;
1.725852007058845E+008;-4.073724517781822E+001;1.497866157483801E+002;
1.791760319630858E+008;-4.078935424322987E+001;9.926123156476480E+001;
1.860185595214950E+008;-4.074584146656628E+001;4.609850381563881E+001;
1.931223953747393E+008;-4.088086291634743E+001;-9.309210450435618E+000;
2.004975185874796E+008;-4.103943278021809E+001;-6.484094495177584E+001;
2.081542893134333E+008;-4.085433583546104E+001;-1.224335405514868E+002;
2.161034633487289E+008;-4.058521142485168E+001;1.753173639120217E+002;
2.243562072410370E+008;-4.068507368954544E+001;1.102213740275295E+002;
2.329241139757013E+008;-4.082463663964978E+001;4.428247221039572E+001;
2.418192192609057E+008;-4.097085682582654E+001;-2.408309304167424E+001;
2.510540184347519E+008;-4.103833334338366E+001;-9.323362358782137E+001;
2.606414840180006E+008;-4.077874588017412E+001;-1.665708431272901E+002;
2.705950839371309E+008;-4.075812679239516E+001;1.161314940166606E+002;
2.809288004433170E+008;-4.075848912435153E+001;3.579843030111999E+001;
2.916571497539004E+008;-4.120132768822440E+001;-4.658060672727051E+001;
3.027952024439460E+008;-4.113642118786785E+001;-1.281952178739208E+002;
3.143586046165293E+008;-4.064089239606206E+001;1.422552894914958E+002;
3.263635998814921E+008;-4.077300522014725E+001;4.787160028843871E+001;
3.388270521735421E+008;-4.120744125992085E+001;-4.696019874251561E+001;
3.517664694417494E+008;-4.097252664784013E+001;-1.434659949671409E+002;
3.652000282437178E+008;-4.101620342997621E+001;1.123198639891101E+002;
3.791465992789793E+008;-4.079228922425016E+001;6.651247440619320E+000;
3.936257738974798E+008;-4.121616305333105E+001;-1.061221949404567E+002;
4.086578916203936E+008;-4.121253081534872E+001;1.430319412197850E+002;
4.242640687119258E+008;-4.045051321972338E+001;2.124158222126074E+001;
4.404662278422399E+008;-4.159997113290753E+001;-1.034020854156643E+002;
4.572871288831783E+008;-4.098199873591034E+001;1.319282663794524E+002;
