FUNIT: Hz
UNIT: dB
1.000000e+07 [-67.58, 91.51] [-67.38, 92.51] [-67.18, 93.51]
1.038189e+07 [-67.51, 58.11] [-67.31, 59.11] [-67.11, 60.11]
1.077836e+07 [-75.49, 114.82] [-75.29, 115.82] [-75.09, 116.82]
1.118997e+07 [-67.20, 43.20] [-67.00, 44.20] [-66.80, 45.20]
1.161731e+07 [-64.67, 65.12] [-64.47, 66.12] [-64.27, 67.12]
1.206096e+07 [-64.79, 36.11] [-64.59, 37.11] [-64.39, 38.11]
1.252155e+07 [-67.57, 66.44] [-67.37, 67.44] [-67.17, 68.44]
1.299974e+07 [-65.09, 53.36] [-64.89, 54.36] [-64.69, 55.36]
1.349618e+07 [-61.92, 35.93] [-61.72, 36.93] [-61.52, 37.93]
1.401158e+07 [-60.97, 35.47] [-60.77, 36.47] [-60.57, 37.47]
1.454667e+07 [-62.73, 23.12] [-62.53, 24.12] [-62.33, 25.12]
1.510219e+07 [-60.93, 23.76] [-60.73, 24.76] [-60.53, 25.76]
1.567893e+07 [-61.05, 11.28] [-60.85, 12.28] [-60.65, 13.28]
1.627769e+07 [-62.44, 13.69] [-62.24, 14.69] [-62.04, 15.69]
1.689931e+07 [-60.40, 6.56] [-60.20, 7.56] [-60.00, 8.56]
1.754468e+07 [-59.00, 5.13] [-58.80, 6.13] [-58.60, 7.13]
1.821469e+07 [-58.90, -1.67] [-58.70, -0.67] [-58.50, 0.33]
1.891029e+07 [-58.07, -8.70] [-57.87, -7.70] [-57.67, -6.70]
1.963245e+07 [-58.17, -16.40] [-57.97, -15.40] [-57.77, -14.40]
2.038219e+07 [-57.56, -26.31] [-57.36, -25.31] [-57.16, -24.31]
2.116056e+07 [-57.35, -30.01] [-57.15, -29.01] [-56.95, -28.01]
2.196866e+07 [-56.28, -37.61] [-56.08, -36.61] [-55.88, -35.61]
2.280762e+07 [-55.35, -48.69] [-55.15, -47.69] [-54.95, -46.69]
2.367862e+07 [-55.12, -56.11] [-54.92, -55.11] [-54.72, -54.11]
2.458288e+07 [-54.91, -62.09] [-54.71, -61.09] [-54.51, -60.09]
2.552167e+07 [-54.39, -69.74] [-54.19, -68.74] [-53.99, -67.74]
2.649631e+07 [-53.86, -81.59] [-53.66, -80.59] [-53.46, -79.59]
2.750818e+07 [-53.28, -90.52] [-53.08, -89.52] [-52.88, -88.52]
2.855868e+07 [-53.00, -98.43] [-52.80, -97.43] [-52.60, -96.43]
2.964930e+07 [-52.49, -108.65] [-52.29, -107.65] [-52.09, -106.65]
3.078158e+07 [-51.79, -117.44] [-51.59, -116.44] [-51.39, -115.44]
3.195709e+07 [-51.48, -129.26] [-51.28, -128.26] [-51.08, -127.26]
3.317750e+07 [-51.01, -138.77] [-50.81, -137.77] [-50.61, -136.77]
3.444451e+07 [-50.80, -150.19] [-50.60, -149.19] [-50.40, -148.19]
3.575990e+07 [-50.38, -161.85] [-50.18, -160.85] [-49.98, -159.85]
3.712553e+07 [-49.77, -172.25] [-49.57, -171.25] [-49.37, -170.25]
3.854331e+07 [-49.28, 174.67] [-49.08, 175.67] [-48.88, 176.67]
4.001524e+07 [-48.92, 162.43] [-48.72, 163.43] [-48.52, 164.43]
4.154338e+07 [-48.45, 150.51] [-48.25, 151.51] [-48.05, 152.51]
4.312987e+07 [-47.85, 136.75] [-47.65, 137.75] [-47.45, 138.75]
4.477695e+07 [-47.28, 124.06] [-47.08, 125.06] [-46.88, 126.06]
4.648693e+07 [-46.91, 108.49] [-46.71, 109.49] [-46.51, 110.49]
4.826221e+07 [-46.29, 92.99] [-46.09, 93.99] [-45.89, 94.99]
5.010529e+07 [-45.92, 77.24] [-45.72, 78.24] [-45.52, 79.24]
5.201875e+07 [-45.40, 60.59] [-45.20, 61.59] [-45.00, 62.59]
5.400529e+07 [-44.90, 44.45] [-44.70, 45.45] [-44.50, 46.45]
5.606769e+07 [-44.41, 26.20] [-44.21, 27.20] [-44.01, 28.20]
5.820885e+07 [-43.93, 7.92] [-43.73, 8.92] [-43.53, 9.92]
6.043178e+07 [-43.33, -11.60] [-43.13, -10.60] [-42.93, -9.60]
6.273960e+07 [-42.83, -31.65] [-42.63, -30.65] [-42.43, -29.65]
6.513556e+07 [-42.36, -52.84] [-42.16, -51.84] [-41.96, -50.84]
6.762301e+07 [-41.83, -75.41] [-41.63, -74.41] [-41.43, -73.41]
7.020545e+07 [-41.38, -98.78] [-41.18, -97.78] [-40.98, -96.78]
7.288652e+07 [-41.04, -123.64] [-40.84, -122.64] [-40.64, -121.64]
7.566997e+07 [-40.73, -149.02] [-40.53, -148.02] [-40.33, -147.02]
7.855972e+07 [-40.66, -175.23] [-40.46, -174.23] [-40.26, -173.23]
8.155983e+07 [-40.58, 157.86] [-40.38, 158.86] [-40.18, 159.86]
