# Version 1.00
#
freq[Hz];db:Trc1_S21;ang:Trc1_S21;
1.000000000000000E+007;-9.181556012036626E-002;-3.033039070396692E+001;
1.038188855303029E+007;-1.173134673568614E-001;-3.137904861335425E+001;
1.077836099275414E+007;-1.041670303437448E-001;-3.149837339912176E+001;
1.118997426111024E+007;-3.243590174223518E-001;-3.410048549506399E+001;
1.161730656901240E+007;-1.416682018390041E-001;-3.414363999043644E+001;
1.206095820858735E+007;-6.744398314141141E-002;-3.600564171836161E+001;
1.252155239643097E+007;-1.200001740832258E-001;-3.775287790368065E+001;
1.299973614906757E+007;-1.334912043335791E-001;-3.862149502190844E+001;
1.349618119184187E+007;-3.935852857198447E-002;-4.057689888194453E+001;
1.401158490252058E+007;-2.905246595966500E-002;-4.183139254481970E+001;
1.454667129092905E+007;-1.763950963409883E-001;-4.379031919815150E+001;
1.510219201599907E+007;-2.479306686598760E-001;-4.447590365566712E+001;
1.567892744165662E+007;-9.964479999256390E-002;-4.723092835786966E+001;
1.627768773303274E+007;-1.532007197295772E-001;-4.831068485623732E+001;
1.689931399453742E+007;-4.895230139363406E-002;-5.012637326725237E+001;
1.754467945139527E+007;-6.295647095294954E-002;-5.235941397426139E+001;
1.821469067630263E+007;-1.763391073984467E-001;-5.393447390646160E+001;
1.891028886292939E+007;-1.205741540954753E-001;-5.607131007778511E+001;
1.963245114805428E+007;-1.363001913234281E-001;-5.900118166143253E+001;
2.038219198419111E+007;-1.131073478878895E-001;-6.090667617746604E+001;
2.116056456463395E+007;-1.443991953244252E-001;-6.270749445856202E+001;
2.196866230292316E+007;-1.461937848563906E-001;-6.571348677441006E+001;
2.280762036881060E+007;-1.145382407859123E-001;-6.773444905187262E+001;
2.367861728288153E+007;-1.116370422204556E-001;-7.086986501119581E+001;
2.458287657207330E+007;-9.650553299309805E-002;-7.340378862508231E+001;
2.552166848841643E+007;-9.393959611209246E-002;-7.606131797324960E+001;
2.649631179341245E+007;-1.272783648009494E-001;-7.916310972041713E+001;
2.750817561055502E+007;-1.267911828515134E-001;-8.202867306015796E+001;
2.855868134859682E+007;-1.364645945785514E-001;-8.513012001580921E+001;
2.964930469826371E+007;-9.986014249598452E-002;-8.867154519584854E+001;
3.078157770522112E+007;-1.387104260663070E-001;-9.160813649298038E+001;
3.195709092220476E+007;-1.418492883642518E-001;-9.534003257673230E+001;
3.317749564333858E+007;-1.379755702315635E-001;-9.901576579129551E+001;
3.444450622377892E+007;-1.533369569745363E-001;-1.028436067013292E+002;
3.575990248794310E+007;-1.629542569512178E-001;-1.064765478913908E+002;
3.712553222970559E+007;-1.475743009852656E-001;-1.107412026897844E+002;
3.854331380807376E+007;-1.682937825972077E-001;-1.147440323419880E+002;
4.001523884198953E+007;-1.895395039855424E-001;-1.193405789276676E+002;
4.154337500804243E+007;-1.732099386311231E-001;-1.234825704590741E+002;
4.312986894502404E+007;-1.619608667495331E-001;-1.284111745218347E+002;
4.477694926940417E+007;-1.454287506549145E-001;-1.331600268044457E+002;
4.648692970596453E+007;-1.674558472160175E-001;-1.385759667784260E+002;
4.826221233798770E+007;-1.421507864112085E-001;-1.438624332486937E+002;
5.010529098156718E+007;-1.753619617249682E-001;-1.493099344702860E+002;
5.201875468877842E+007;-1.967993534948836E-001;-1.550265300888475E+002;
5.400529138463195E+007;-1.756900785005030E-001;-1.607608474119492E+002;
5.606769164291760E+007;-1.727714990741728E-001;-1.668780494214238E+002;
5.820885260624383E+007;-1.998835371024265E-001;-1.732051420605083E+002;
6.043178205577903E+007;-1.433640141640859E-001;1.799757948084124E+002;
6.273960263641138E+007;-2.000063845956178E-001;1.730992973602996E+002;
6.513555624326284E+007;-2.209475676560101E-001;1.660932117283017E+002;
6.762300857571912E+007;-2.126425025735351E-001;1.586804003944330E+002;
