FUNIT: Hz
UNIT: dB
1.000000e+07 [-0.29, -31.33] [-0.09, -30.33] [0.11, -29.33]
1.038189e+07 [-0.32, -32.38] [-0.12, -31.38] [0.08, -30.38]
1.077836e+07 [-0.30, -32.50] [-0.10, -31.50] [0.10, -30.50]
1.118997e+07 [-0.52, -35.10] [-0.32, -34.10] [-0.12, -33.10]
1.161731e+07 [-0.34, -35.14] [-0.14, -34.14] [0.06, -33.14]
1.206096e+07 [-0.27, -37.01] [-0.07, -36.01] [0.13, -35.01]
1.252155e+07 [-0.32, -38.75] [-0.12, -37.75] [0.08, -36.75]
1.299974e+07 [-0.33, -39.62] [-0.13, -38.62] [0.07, -37.62]
1.349618e+07 [-0.24, -41.58] [-0.04, -40.58] [0.16, -39.58]
1.401158e+07 [-0.23, -42.83] [-0.03, -41.83] [0.17, -40.83]
1.454667e+07 [-0.38, -44.79] [-0.18, -43.79] [0.02, -42.79]
1.510219e+07 [-0.45, -45.48] [-0.25, -44.48] [-0.05, -43.48]
1.567893e+07 [-0.30, -48.23] [-0.10, -47.23] [0.10, -46.23]
1.627769e+07 [-0.35, -49.31] [-0.15, -48.31] [0.05, -47.31]
1.689931e+07 [-0.25, -51.13] [-0.05, -50.13] [0.15, -49.13]
1.754468e+07 [-0.26, -53.36] [-0.06, -52.36] [0.14, -51.36]
1.821469e+07 [-0.38, -54.93] [-0.18, -53.93] [0.02, -52.93]
1.891029e+07 [-0.32, -57.07] [-0.12, -56.07] [0.08, -55.07]
1.963245e+07 [-0.34, -60.00] [-0.14, -59.00] [0.06, -58.00]
2.038219e+07 [-0.31, -61.91] [-0.11, -60.91] [0.09, -59.91]
2.116056e+07 [-0.34, -63.71] [-0.14, -62.71] [0.06, -61.71]
2.196866e+07 [-0.35, -66.71] [-0.15, -65.71] [0.05, -64.71]
2.280762e+07 [-0.31, -68.73] [-0.11, -67.73] [0.09, -66.73]
2.367862e+07 [-0.31, -71.87] [-0.11, -70.87] [0.09, -69.87]
2.458288e+07 [-0.30, -74.40] [-0.10, -73.40] [0.10, -72.40]
2.552167e+07 [-0.29, -77.06] [-0.09, -76.06] [0.11, -75.06]
2.649631e+07 [-0.33, -80.16] [-0.13, -79.16] [0.07, -78.16]
2.750818e+07 [-0.33, -83.03] [-0.13, -82.03] [0.07, -81.03]
2.855868e+07 [-0.34, -86.13] [-0.14, -85.13] [0.06, -84.13]
2.964930e+07 [-0.30, -89.67] [-0.10, -88.67] [0.10, -87.67]
3.078158e+07 [-0.34, -92.61] [-0.14, -91.61] [0.06, -90.61]
3.195709e+07 [-0.34, -96.34] [-0.14, -95.34] [0.06, -94.34]
3.317750e+07 [-0.34, -100.02] [-0.14, -99.02] [0.06, -98.02]
3.444451e+07 [-0.35, -103.84] [-0.15, -102.84] [0.05, -101.84]
3.575990e+07 [-0.36, -107.48] [-0.16, -106.48] [0.04, -105.48]
3.712553e+07 [-0.35, -111.74] [-0.15, -110.74] [0.05, -109.74]
3.854331e+07 [-0.37, -115.74] [-0.17, -114.74] [0.03, -113.74]
4.001524e+07 [-0.39, -120.34] [-0.19, -119.34] [0.01, -118.34]
4.154338e+07 [-0.37, -124.48] [-0.17, -123.48] [0.03, -122.48]
4.312987e+07 [-0.36, -129.41] [-0.16, -128.41] [0.04, -127.41]
4.477695e+07 [-0.35, -134.16] [-0.15, -133.16] [0.05, -132.16]
4.648693e+07 [-0.37, -139.58] [-0.17, -138.58] [0.03, -137.58]
4.826221e+07 [-0.34, -144.86] [-0.14, -143.86] [0.06, -142.86]
5.010529e+07 [-0.38, -150.31] [-0.18, -149.31] [0.02, -148.31]
5.201875e+07 [-0.40, -156.03] [-0.20, -155.03] [0.00, -154.03]
5.400529e+07 [-0.38, -161.76] [-0.18, -160.76] [0.02, -159.76]
5.606769e+07 [-0.37, -167.88] [-0.17, -166.88] [0.03, -165.88]
5.820885e+07 [-0.40, -174.21] [-0.20, -173.21] [0.00, -172.21]
6.043178e+07 [-0.34, 178.98] [-0.14, 179.98] [0.06, 180.98]
6.273960e+07 [-0.40, 172.10] [-0.20, 173.10] [-0.00, 174.10]
6.513556e+07 [-0.42, 165.09] [-0.22, 166.09] [-0.02, 167.09]
6.762301e+07 [-0.41, 157.68] [-0.21, 158.68] [-0.01, 159.68]
7.020545e+07 [-0.42, 150.21] [-0.22, 151.21] [-0.02, 152.21]
7.288652e+07 [-0.40, 142.11] [-0.20, 143.11] [-0.00, 144.11]
7.566997e+07 [-0.40, 133.91] [-0.20, 134.91] [0.00, 135.91]
7.855972e+07 [-0.45, 125.30] [-0.25, 126.30] [-0.05, 127.30]
8.155983e+07 [-0.42, 116.39] [-0.22, 117.39] [-0.02, 118.39]
8.467450e+07 [-0.43, 107.03] [-0.23, 108.03] [-0.03, 109.03]
8.790813e+07 [-0.42, 97.50] [-0.22, 98.50] [-0.02, 99.50]
9.126524e+07 [-0.43, 87.58] [-0.23, 88.58] [-0.03, 89.58]
9.475055e+07 [-0.43, 77.27] [-0.23, 78.27] [-0.03, 79.27]
9.836897e+07 [-0.44, 66.50] [-0.24, 67.50] [-0.04, 68.50]
1.021256e+08 [-0.44, 55.51] [-0.24, 56.51] [-0.04, 57.51]
1.060256e+08 [-0.44, 43.77] [-0.24, 44.77] [-0.04, 45.77]
1.100746e+08 [-0.45, 31.73] [-0.25, 32.73] [-0.05, 33.73]
1.142782e+08 [-0.46, 19.27] [-0.26, 20.27] [-0.06, 21.27]
1.186424e+08 [-0.46, 6.46] [-0.26, 7.46] [-0.06, 8.46]
1.231732e+08 [-0.48, -7.00] [-0.28, -6.00] [-0.08, -5.00]
1.278771e+08 [-0.47, -21.02] [-0.27, -20.02] [-0.07, -19.02]
1.327605e+08 [-0.48, -35.54] [-0.28, -34.54] [-0.08, -33.54]
1.378305e+08 [-0.48, -50.50] [-0.28, -49.50] [-0.08, -48.50]
1.430941e+08 [-0.48, -66.14] [-0.28, -65.14] [-0.08, -64.14]
1.485587e+08 [-0.49, -82.30] [-0.29, -81.30] [-0.09, -80.30]
1.542320e+08 [-0.49, -99.14] [-0.29, -98.14] [-0.09, -97.14]
1.601219e+08 [-0.50, -116.66] [-0.30, -115.66] [-0.10, -114.66]
1.662368e+08 [-0.51, -134.75] [-0.31, -133.75] [-0.11, -132.75]
1.725852e+08 [-0.51, -153.59] [-0.31, -152.59] [-0.11, -151.59]
1.791760e+08 [-0.52, -173.07] [-0.32, -172.07] [-0.12, -171.07]
1.860186e+08 [-0.52, 166.62] [-0.32, 167.62] [-0.12, 168.62]
1.931224e+08 [-0.53, 145.53] [-0.33, 146.53] [-0.13, 147.53]
2.004975e+08 [-0.55, 123.71] [-0.35, 124.71] [-0.15, 125.71]
2.081543e+08 [-0.55, 100.98] [-0.35, 101.98] [-0.15, 102.98]
2.161035e+08 [-0.56, 77.51] [-0.36, 78.51] [-0.16, 79.51]
2.243562e+08 [-0.55, 53.00] [-0.35, 54.00] [-0.15, 55.00]
2.329241e+08 [-0.57, 27.58] [-0.37, 28.58] [-0.17, 29.58]
2.418192e+08 [-0.58, 1.21] [-0.38, 2.21] [-0.18, 3.21]
2.510540e+08 [-0.58, -26.13] [-0.38, -25.13] [-0.18, -24.13]
2.606415e+08 [-0.59, -54.52] [-0.39, -53.52] [-0.19, -52.52]
2.705951e+08 [-0.60, -84.05] [-0.40, -83.05] [-0.20, -82.05]
2.809288e+08 [-0.60, -114.66] [-0.40, -113.66] [-0.20, -112.66]
2.916571e+08 [-0.61, -146.42] [-0.41, -145.42] [-0.21, -144.42]
3.027952e+08 [-0.62, -179.42] [-0.42, -178.42] [-0.22, -177.42]
3.143586e+08 [-0.63, 146.33] [-0.43, 147.33] [-0.23, 148.33]
3.263636e+08 [-0.64, 110.73] [-0.44, 111.73] [-0.24, 112.73]
3.388271e+08 [-0.65, 73.84] [-0.45, 74.84] [-0.25, 75.84]
3.517665e+08 [-0.65, 35.52] [-0.45, 36.52] [-0.25, 37.52]
