# Version 1.00
#
freq[Hz];db:Trc1_S21;ang:Trc1_S21;
1.000000000000000E+007;-1.130994464039100E-001;-2.876663157392930E+001;
1.038188855303029E+007;-8.564223552538797E-002;-2.982727959011014E+001;
1.077836099275414E+007;-1.030251978963450E-001;-2.957110834138313E+001;
1.118997426111024E+007;-3.338459414315431E-001;-3.246566602698772E+001;
1.161730656901240E+007;-1.049890414554611E-001;-3.226706170178009E+001;
1.206095820858735E+007;-1.063585344513414E-001;-3.371593657183735E+001;
1.252155239643097E+007;-1.210461015449976E-001;-3.560095053331088E+001;
1.299973614906757E+007;-1.176350159298042E-001;-3.625214622930672E+001;
1.349618119184187E+007;-6.897708747037756E-002;-3.818213049621462E+001;
1.401158490252058E+007;-3.307749733172795E-002;-3.958260784012047E+001;
1.454667129092905E+007;-1.792403034189560E-001;-4.133214184488025E+001;
1.510219201599907E+007;-2.484273398856987E-001;-4.184192111808862E+001;
1.567892744165662E+007;-9.519372911526478E-002;-4.445039185414674E+001;
1.627768773303274E+007;-1.281364054956143E-001;-4.564953066608192E+001;
1.689931399453742E+007;-4.562731970692045E-002;-4.720058056067936E+001;
1.754467945139527E+007;-6.752355261004751E-002;-4.950680302151412E+001;
1.821469067630263E+007;-1.722721862270189E-001;-5.096376912981344E+001;
1.891028886292939E+007;-1.274348709862853E-001;-5.306072927946602E+001;
1.963245114805428E+007;-1.531153878849375E-001;-5.580204089327033E+001;
2.038219198419111E+007;-1.235676488178703E-001;-5.746574665008617E+001;
2.116056456463395E+007;-1.363815931001904E-001;-5.915066757725903E+001;
2.196866230292316E+007;-1.255009393032246E-001;-6.195562692401727E+001;
2.280762036881060E+007;-1.232792743241485E-001;-6.382991661177611E+001;
2.367861728288153E+007;-1.040717936398570E-001;-6.672640263120050E+001;
2.458287657207330E+007;-8.533180814206653E-002;-6.922437987873235E+001;
2.552166848841643E+007;-1.117450363106588E-001;-7.168572153869840E+001;
2.649631179341245E+007;-1.244460525322149E-001;-7.469445873296723E+001;
2.750817561055502E+007;-1.102448454582359E-001;-7.731016129968728E+001;
2.855868134859682E+007;-1.199145276550143E-001;-8.029356291529803E+001;
2.964930469826371E+007;-9.288988674191505E-002;-8.370451434435866E+001;
3.078157770522112E+007;-1.460646662164863E-001;-8.637055687609990E+001;
3.195709092220476E+007;-1.350000816241703E-001;-8.986239036143961E+001;
3.317749564333858E+007;-1.384550312302296E-001;-9.337379210014260E+001;
3.444450622377892E+007;-1.550441669914853E-001;-9.700887821495407E+001;
3.575990248794310E+007;-1.542421710225910E-001;-1.003605553183360E+002;
3.712553222970559E+007;-1.461276939912244E-001;-1.044310870195130E+002;
3.854331380807376E+007;-1.659367691533261E-001;-1.082703847814041E+002;
4.001523884198953E+007;-1.919541053539245E-001;-1.125599615527376E+002;
4.154337500804243E+007;-1.650723505667063E-001;-1.164944427701808E+002;
4.312986894502404E+007;-1.616360960710114E-001;-1.211419594482422E+002;
4.477694926940417E+007;-1.407030810497841E-001;-1.255751878629876E+002;
4.648692970596453E+007;-1.610557268312397E-001;-1.307123367675245E+002;
4.826221233798770E+007;-1.400566793732950E-001;-1.356730964815789E+002;
5.010529098156718E+007;-1.624431125422142E-001;-1.408096882358186E+002;
