FUNIT: Hz
UNIT: dB
1.000000e+07 [-0.31, -29.77] [-0.11, -28.77] [0.09, -27.77]
1.038189e+07 [-0.29, -30.83] [-0.09, -29.83] [0.11, -28.83]
1.077836e+07 [-0.30, -30.57] [-0.10, -29.57] [0.10, -28.57]
1.118997e+07 [-0.53, -33.47] [-0.33, -32.47] [-0.13, -31.47]
1.161731e+07 [-0.30, -33.27] [-0.10, -32.27] [0.10, -31.27]
1.206096e+07 [-0.31, -34.72] [-0.11, -33.72] [0.09, -32.72]
1.252155e+07 [-0.32, -36.60] [-0.12, -35.60] [0.08, -34.60]
1.299974e+07 [-0.32, -37.25] [-0.12, -36.25] [0.08, -35.25]
1.349618e+07 [-0.27, -39.18] [-0.07, -38.18] [0.13, -37.18]
1.401158e+07 [-0.23, -40.58] [-0.03, -39.58] [0.17, -38.58]
1.454667e+07 [-0.38, -42.33] [-0.18, -41.33] [0.02, -40.33]
1.510219e+07 [-0.45, -42.84] [-0.25, -41.84] [-0.05, -40.84]
1.567893e+07 [-0.30, -45.45] [-0.10, -44.45] [0.10, -43.45]
1.627769e+07 [-0.33, -46.65] [-0.13, -45.65] [0.07, -44.65]
1.689931e+07 [-0.25, -48.20] [-0.05, -47.20] [0.15, -46.20]
1.754468e+07 [-0.27, -50.51] [-0.07, -49.51] [0.13, -48.51]
1.821469e+07 [-0.37, -51.96] [-0.17, -50.96] [0.03, -49.96]
1.891029e+07 [-0.33, -54.06] [-0.13, -53.06] [0.07, -52.06]
1.963245e+07 [-0.35, -56.80] [-0.15, -55.80] [0.05, -54.80]
2.038219e+07 [-0.32, -58.47] [-0.12, -57.47] [0.08, -56.47]
2.116056e+07 [-0.34, -60.15] [-0.14, -59.15] [0.06, -58.15]
2.196866e+07 [-0.33, -62.96] [-0.13, -61.96] [0.07, -60.96]
2.280762e+07 [-0.32, -64.83] [-0.12, -63.83] [0.08, -62.83]
2.367862e+07 [-0.30, -67.73] [-0.10, -66.73] [0.10, -65.73]
2.458288e+07 [-0.29, -70.22] [-0.09, -69.22] [0.11, -68.22]
2.552167e+07 [-0.31, -72.69] [-0.11, -71.69] [0.09, -70.69]
2.649631e+07 [-0.32, -75.69] [-0.12, -74.69] [0.08, -73.69]
2.750818e+07 [-0.31, -78.31] [-0.11, -77.31] [0.09, -76.31]
2.855868e+07 [-0.32, -81.29] [-0.12, -80.29] [0.08, -79.29]
2.964930e+07 [-0.29, -84.70] [-0.09, -83.70] [0.11, -82.70]
3.078158e+07 [-0.35, -87.37] [-0.15, -86.37] [0.05, -85.37]
3.195709e+07 [-0.34, -90.86] [-0.14, -89.86] [0.06, -88.86]
3.317750e+07 [-0.34, -94.37] [-0.14, -93.37] [0.06, -92.37]
3.444451e+07 [-0.36, -98.01] [-0.16, -97.01] [0.04, -96.01]
3.575990e+07 [-0.35, -101.36] [-0.15, -100.36] [0.05, -99.36]
3.712553e+07 [-0.35, -105.43] [-0.15, -104.43] [0.05, -103.43]
3.854331e+07 [-0.37, -109.27] [-0.17, -108.27] [0.03, -107.27]
4.001524e+07 [-0.39, -113.56] [-0.19, -112.56] [0.01, -111.56]
4.154338e+07 [-0.37, -117.49] [-0.17, -116.49] [0.03, -115.49]
4.312987e+07 [-0.36, -122.14] [-0.16, -121.14] [0.04, -120.14]
4.477695e+07 [-0.34, -126.58] [-0.14, -125.58] [0.06, -124.58]
4.648693e+07 [-0.36, -131.71] [-0.16, -130.71] [0.04, -129.71]
4.826221e+07 [-0.34, -136.67] [-0.14, -135.67] [0.06, -134.67]
5.010529e+07 [-0.36, -141.81] [-0.16, -140.81] [0.04, -139.81]
5.201875e+07 [-0.39, -147.24] [-0.19, -146.24] [0.01, -145.24]
5.400529e+07 [-0.37, -152.60] [-0.17, -151.60] [0.03, -150.60]
5.606769e+07 [-0.37, -158.42] [-0.17, -157.42] [0.03, -156.42]
5.820885e+07 [-0.40, -164.43] [-0.20, -163.43] [0.00, -162.43]
6.043178e+07 [-0.33, -170.79] [-0.13, -169.79] [0.07, -168.79]
6.273960e+07 [-0.39, -177.30] [-0.19, -176.30] [0.01, -175.30]
6.513556e+07 [-0.41, 176.08] [-0.21, 177.08] [-0.01, 178.08]
6.762301e+07 [-0.41, 169.09] [-0.21, 170.09] [-0.01, 171.09]
7.020545e+07 [-0.42, 162.09] [-0.22, 163.09] [-0.02, 164.09]
7.288652e+07 [-0.40, 154.43] [-0.20, 155.43] [0.00, 156.43]
7.566997e+07 [-0.38, 146.74] [-0.18, 147.74] [0.02, 148.74]
7.855972e+07 [-0.44, 138.58] [-0.24, 139.58] [-0.04, 140.58]
8.155983e+07 [-0.41, 130.16] [-0.21, 131.16] [-0.01, 132.16]
8.467450e+07 [-0.42, 121.34] [-0.22, 122.34] [-0.02, 123.34]
8.790813e+07 [-0.41, 112.37] [-0.21, 113.37] [-0.01, 114.37]
9.126524e+07 [-0.42, 103.02] [-0.22, 104.02] [-0.02, 105.02]
9.475055e+07 [-0.42, 93.24] [-0.22, 94.24] [-0.02, 95.24]
9.836897e+07 [-0.42, 83.11] [-0.22, 84.11] [-0.02, 85.11]
1.021256e+08 [-0.43, 72.76] [-0.23, 73.76] [-0.03, 74.76]
1.060256e+08 [-0.43, 61.65] [-0.23, 62.65] [-0.03, 63.65]
1.100746e+08 [-0.44, 50.31] [-0.24, 51.31] [-0.04, 52.31]
1.142782e+08 [-0.45, 38.55] [-0.25, 39.55] [-0.05, 40.55]
1.186424e+08 [-0.45, 26.47] [-0.25, 27.47] [-0.05, 28.47]
1.231732e+08 [-0.47, 13.76] [-0.27, 14.76] [-0.07, 15.76]
1.278771e+08 [-0.46, 0.56] [-0.26, 1.56] [-0.06, 2.56]
1.327605e+08 [-0.46, -13.14] [-0.26, -12.14] [-0.06, -11.14]
1.378305e+08 [-0.47, -27.25] [-0.27, -26.25] [-0.07, -25.25]
1.430941e+08 [-0.47, -42.02] [-0.27, -41.02] [-0.07, -40.02]
1.485587e+08 [-0.48, -57.26] [-0.28, -56.26] [-0.08, -55.26]
1.542320e+08 [-0.48, -73.12] [-0.28, -72.12] [-0.08, -71.12]
