# Version 1.00
#
freq[Hz];db:Trc1_S21;ang:Trc1_S21;
1.000000000000000E+007;-1.689177529764105E-001;-6.422936618021841E+001;
1.038188855303029E+007;-1.598424873778437E-001;-6.628725308933262E+001;
1.077836099275414E+007;-1.261898882758556E-001;-6.766423006223624E+001;
1.118997426111024E+007;-4.092839440587023E-001;-7.182247106301843E+001;
1.161730656901240E+007;-2.673630454975524E-001;-7.323710735745073E+001;
1.206095820858735E+007;-1.395285304385642E-001;-7.652658160462183E+001;
1.252155239643097E+007;-1.330038322752568E-001;-7.989790739129695E+001;
1.299973614906757E+007;-2.039437069364362E-001;-8.219217988398727E+001;
1.349618119184187E+007;-1.448156003999405E-001;-8.549751881102375E+001;
1.401158490252058E+007;-8.695796594721665E-002;-8.905392490602593E+001;
1.454667129092905E+007;-2.306036510425892E-001;-9.242992761106606E+001;
1.510219201599907E+007;-3.176628935724872E-001;-9.494322948499961E+001;
1.567892744165662E+007;-1.852853751388626E-001;-9.957820869441261E+001;
1.627768773303274E+007;-2.082996034892527E-001;-1.028149236041780E+002;
1.689931399453742E+007;-1.034964012032243E-001;-1.069084608145483E+002;
1.754467945139527E+007;-1.616203040512965E-001;-1.111208710556483E+002;
1.821469067630263E+007;-2.429836208059847E-001;-1.151545784143717E+002;
1.891028886292939E+007;-2.304165813924487E-001;-1.195375520527621E+002;
1.963245114805428E+007;-2.570518179264857E-001;-1.246772978268462E+002;
2.038219198419111E+007;-2.315137687715699E-001;-1.288989199556377E+002;
2.116056456463395E+007;-2.159934862741513E-001;-1.335650651233428E+002;
2.196866230292316E+007;-2.585178648379322E-001;-1.391722884577795E+002;
2.280762036881060E+007;-2.096979955246587E-001;-1.440704761394588E+002;
2.367861728288153E+007;-2.142814418874034E-001;-1.500336651686936E+002;
2.458287657207330E+007;-2.074480330674334E-001;-1.555220653151341E+002;
2.552166848841643E+007;-2.173821208885411E-001;-1.612798140194639E+002;
2.649631179341245E+007;-2.266232369942327E-001;-1.676899453079468E+002;
2.750817561055502E+007;-2.203405329380638E-001;-1.737355900607732E+002;
2.855868134859682E+007;-2.165769751023718E-001;1.794537619135916E+002;
2.964930469826371E+007;-2.030780318625154E-001;1.723325242890057E+002;
3.078157770522112E+007;-2.641563096891733E-001;1.656781776211449E+002;
3.195709092220476E+007;-2.378247582189733E-001;1.579868377518877E+002;
3.317749564333858E+007;-2.582506639915375E-001;1.502328522503572E+002;
3.444450622377892E+007;-2.719725236110539E-001;1.422227160152763E+002;
3.575990248794310E+007;-2.679218787135314E-001;1.342438137412780E+002;
3.712553222970559E+007;-2.767164079448188E-001;1.253711476059884E+002;
3.854331380807376E+007;-3.057020547995942E-001;1.166842551916331E+002;
4.001523884198953E+007;-3.162530582423381E-001;1.071919057951354E+002;
4.154337500804243E+007;-2.990545390379330E-001;9.792456611899853E+001;
4.312986894502404E+007;-2.907940071656792E-001;8.769797248202910E+001;
4.477694926940417E+007;-2.821963398826301E-001;7.749731291734921E+001;
4.648692970596453E+007;-2.936284968868955E-001;6.642877818392471E+001;
4.826221233798770E+007;-2.862513934350047E-001;5.525765796715507E+001;
5.010529098156718E+007;-3.086935483353467E-001;4.367704794282302E+001;
5.201875468877842E+007;-3.448648689362531E-001;3.155081221360940E+001;
5.400529138463195E+007;-3.243050900903434E-001;1.926993568700754E+001;
5.606769164291760E+007;-3.317036783027543E-001;6.270342896004030E+000;
5.820885260624383E+007;-3.528436139527107E-001;-7.226830450915937E+000;
6.043178205577903E+007;-2.945980045719034E-001;-2.140226733944797E+001;
6.273960263641138E+007;-3.621864998796299E-001;-3.594015670709408E+001;
6.513555624326284E+007;-3.822470771612009E-001;-5.094591441566654E+001;
6.762300857571912E+007;-3.820305686149458E-001;-6.654464653218392E+001;
7.020545386537276E+007;-3.932245208681855E-001;-8.261393791906814E+001;
7.288651978452097E+007;-3.810488412389687E-001;-9.969504639396561E+001;
7.566997254211341E+007;-3.743786829199375E-001;-1.170750277868202E+002;
7.855972217430838E+007;-4.306784680366294E-001;-1.353031811220611E+002;
8.155982803706922E+007;-4.017332302742098E-001;-1.542196323727561E+002;
8.467450450851679E+007;-4.252441049042027E-001;-1.738802802761182E+002;
8.790812690904823E+007;-4.102709549661832E-001;1.658715246797125E+002;
9.126523764753820E+007;-4.287109432895567E-001;1.447848358796349E+002;
9.475055260225661E+007;-4.247758998603727E-001;1.228669153554145E+002;
9.836896774546625E+007;-4.382007530669528E-001;1.001071728581208E+002;
1.021255660210062E+008;-4.513901786549700E-001;7.664285888262803E+001;
1.060256244845224E+008;-4.494350533809078E-001;5.192623381362405E+001;
1.100746217163751E+008;-4.625449389341342E-001;2.643020834979293E+001;
1.142782455176374E+008;-4.745201064665535E-001;1.250540533024172E-002;
1.186424008999945E+008;-4.857783754652738E-001;-2.727679308926971E+001;
1.231732183807684E+008;-5.072956080982426E-001;-5.578495258348610E+001;
1.278770625947199E+008;-4.975479074241242E-001;-8.541704266911700E+001;
1.327605412347261E+008;-5.079015091591327E-001;-1.161351600931898E+002;
1.378305143338909E+008;-5.247077501559394E-001;-1.479679944277010E+002;
1.430941039021300E+008;-5.232231063385124E-001;1.789132332167783E+002;
1.485587039307650E+008;-5.403870167603929E-001;1.446355128695939E+002;
1.542319907791826E+008;-5.497191223917440E-001;1.089537326678828E+002;
1.601219339581469E+008;-5.639471398266865E-001;7.188087719640538E+001;
1.662368073249158E+008;-5.738826596738423E-001;3.348167967895737E+001;
1.725852007058845E+008;-5.849611748416164E-001;-6.430320620901951E+000;
1.791760319630858E+008;-5.930637717831047E-001;-4.775546290258487E+001;
1.860185595214950E+008;-6.032348772035623E-001;-9.081410125022615E+001;
1.931223953747393E+008;-6.218349431815489E-001;-1.354989694198870E+002;
2.004975185874796E+008;-6.357167758104048E-001;1.782200968853499E+002;
2.081542893134333E+008;-6.450147401747260E-001;1.300683822698085E+002;
2.161034633487289E+008;-6.637643280549452E-001;8.021318122977256E+001;
2.243562072410370E+008;-6.584129018489250E-001;2.828983848835494E+001;
2.329241139757013E+008;-6.861276427639795E-001;-2.554817987268058E+001;
2.418192192609057E+008;-6.978726855170190E-001;-8.147542839357767E+001;
2.510540184347519E+008;-7.108083736368365E-001;-1.394602707923019E+002;
2.606414840180006E+008;-7.301758140223722E-001;1.603528196900616E+002;
2.705950839371309E+008;-7.427004440642883E-001;9.779278475805113E+001;
2.809288004433170E+008;-7.557082698132247E-001;3.289700077431110E+001;
2.916571497539004E+008;-7.751014384705098E-001;-3.444356512412504E+001;
3.027952024439460E+008;-7.812844085865284E-001;-1.044120827851569E+002;
3.143586046165293E+008;-8.024610347929031E-001;-1.770331765958682E+002;
3.263635998814921E+008;-8.185119500942606E-001;1.075172428345983E+002;
