# Version 1.00
#
freq[Hz];db:Trc1_S21;ang:Trc1_S21;
1.000000000000000E+007;-2.033341703714978E+001;-8.094124937686182E+001;
1.038188855303029E+007;-2.037645390964104E+001;-8.465376584093610E+001;
1.077836099275414E+007;-2.042343843664106E+001;-8.749143355341468E+001;
1.118997426111024E+007;-2.080553079947547E+001;-9.173145988742071E+001;
1.161730656901240E+007;-2.032834586046129E+001;-9.444275251365440E+001;
1.206095820858735E+007;-2.043659319911268E+001;-9.751541535339683E+001;
1.252155239643097E+007;-2.042440018568292E+001;-1.023832908106809E+002;
1.299973614906757E+007;-2.040416663341775E+001;-1.051436353444078E+002;
1.349618119184187E+007;-2.037979798315888E+001;-1.099557721054002E+002;
1.401158490252058E+007;-2.034396997516458E+001;-1.145574192207507E+002;
1.454667129092905E+007;-2.053541098742538E+001;-1.182482793760940E+002;
1.510219201599907E+007;-2.052799039589096E+001;-1.215457699109041E+002;
1.567892744165662E+007;-2.035725231659473E+001;-1.273882312262329E+002;
1.627768773303274E+007;-2.043806753808218E+001;-1.314948817788948E+002;
1.689931399453742E+007;-2.038579921976589E+001;-1.366798847130068E+002;
1.754467945139527E+007;-2.035908700245522E+001;-1.420701611891557E+002;
1.821469067630263E+007;-2.057920549095730E+001;-1.475461322822752E+002;
1.891028886292939E+007;-2.053069566928562E+001;-1.535972727422177E+002;
1.963245114805428E+007;-2.053650754528714E+001;-1.592849719255072E+002;
2.038219198419111E+007;-2.038983616597831E+001;-1.655553981654994E+002;
2.116056456463395E+007;-2.049863968467897E+001;-1.711989958879967E+002;
2.196866230292316E+007;-2.043169269359967E+001;-1.782956100736258E+002;
2.280762036881060E+007;-2.044930172308203E+001;1.749754900766746E+002;
2.367861728288153E+007;-2.035590956858731E+001;1.681695259372569E+002;
2.458287657207330E+007;-2.044509685685016E+001;1.606572072859324E+002;
2.552166848841643E+007;-2.047007509341210E+001;1.534150581872183E+002;
2.649631179341245E+007;-2.051517054908784E+001;1.454233241192783E+002;
2.750817561055502E+007;-2.047913645796503E+001;1.375843859974230E+002;
2.855868134859682E+007;-2.054373359983632E+001;1.289042338823231E+002;
2.964930469826371E+007;-2.047004754954132E+001;1.200541333513355E+002;
3.078157770522112E+007;-2.055263918663752E+001;1.111474635772777E+002;
3.195709092220476E+007;-2.052789105273653E+001;1.012801835897617E+002;
3.317749564333858E+007;-2.057507595991651E+001;9.127328089604511E+001;
3.444450622377892E+007;-2.056204867001769E+001;8.104262413587567E+001;
3.575990248794310E+007;-2.054429988502237E+001;7.061423104134501E+001;
3.712553222970559E+007;-2.055235881002313E+001;5.955172475021995E+001;
3.854331380807376E+007;-2.059745715454874E+001;4.854632315510121E+001;
4.001523884198953E+007;-2.058446575211204E+001;3.654926496401529E+001;
4.154337500804243E+007;-2.059438384198375E+001;2.426159220331566E+001;
4.312986894502404E+007;-2.059228810350399E+001;1.114256708110705E+001;
4.477694926940417E+007;-2.056575811085162E+001;-1.769970548200191E+000;
4.648692970596453E+007;-2.059566251845301E+001;-1.613384448566857E+001;
4.826221233798770E+007;-2.056032865302568E+001;-3.032816131843068E+001;
5.010529098156718E+007;-2.061640941737366E+001;-4.496827181016811E+001;
5.201875468877842E+007;-2.064793103432984E+001;-6.034622210744644E+001;
5.400529138463195E+007;-2.062184286386475E+001;-7.647556485160358E+001;
5.606769164291760E+007;-2.066682933189292E+001;-9.293739468857062E+001;
5.820885260624383E+007;-2.070946421130289E+001;-1.100027731380171E+002;
6.043178205577903E+007;-2.061382140794190E+001;-1.282884155807903E+002;
6.273960263641138E+007;-2.067010765551560E+001;-1.469002089638058E+002;
6.513555624326284E+007;-2.070320057127124E+001;-1.661604907652919E+002;
6.762300857571912E+007;-2.072955150836977E+001;1.740107691213883E+002;
7.020545386537276E+007;-2.072559246177126E+001;1.533113799051334E+002;
7.288651978452097E+007;-2.069377344208742E+001;1.315840146965516E+002;
7.566997254211341E+007;-2.070999105615195E+001;1.091899096382265E+002;
7.855972217430838E+007;-2.076279198484953E+001;8.618576949390004E+001;
8.155982803706922E+007;-2.071550289131781E+001;6.171556253877121E+001;
8.467450450851679E+007;-2.075956030658130E+001;3.679691192268177E+001;
8.790812690904823E+007;-2.075146981368234E+001;1.075731468221261E+001;
9.126523764753820E+007;-2.076163603419441E+001;-1.631076877056345E+001;
9.475055260225661E+007;-2.077471378324725E+001;-4.439283067368361E+001;
9.836896774546625E+007;-2.078412906759838E+001;-7.353901857885347E+001;
1.021255660210062E+008;-2.081566782070630E+001;-1.036413102839409E+002;
1.060256244845224E+008;-2.081229886196837E+001;-1.351264864997962E+002;
1.100746217163751E+008;-2.081873936537677E+001;-1.676127374725922E+002;
1.142782455176374E+008;-2.083087688646327E+001;1.585089330100086E+002;
1.186424008999945E+008;-2.085027977280299E+001;1.234372600783810E+002;
1.231732183807684E+008;-2.088737956013413E+001;8.697067908280270E+001;
1.278770625947199E+008;-2.088185660474642E+001;4.915150764655225E+001;
1.327605412347261E+008;-2.088651652794439E+001;9.725847441680385E+000;
1.378305143338909E+008;-2.092623348112820E+001;-3.093892155472580E+001;
