FUNIT: Hz
UNIT: dB
1.000000e+07 [-20.53, -81.94] [-20.33, -80.94] [-20.13, -79.94]
1.038189e+07 [-20.58, -85.65] [-20.38, -84.65] [-20.18, -83.65]
1.077836e+07 [-20.62, -88.49] [-20.42, -87.49] [-20.22, -86.49]
1.118997e+07 [-21.01, -92.73] [-20.81, -91.73] [-20.61, -90.73]
1.161731e+07 [-20.53, -95.44] [-20.33, -94.44] [-20.13, -93.44]
1.206096e+07 [-20.64, -98.52] [-20.44, -97.52] [-20.24, -96.52]
1.252155e+07 [-20.62, -103.38] [-20.42, -102.38] [-20.22, -101.38]
1.299974e+07 [-20.60, -106.14] [-20.40, -105.14] [-20.20, -104.14]
1.349618e+07 [-20.58, -110.96] [-20.38, -109.96] [-20.18, -108.96]
1.401158e+07 [-20.54, -115.56] [-20.34, -114.56] [-20.14, -113.56]
1.454667e+07 [-20.74, -119.25] [-20.54, -118.25] [-20.34, -117.25]
1.510219e+07 [-20.73, -122.55] [-20.53, -121.55] [-20.33, -120.55]
1.567893e+07 [-20.56, -128.39] [-20.36, -127.39] [-20.16, -126.39]
1.627769e+07 [-20.64, -132.49] [-20.44, -131.49] [-20.24, -130.49]
1.689931e+07 [-20.59, -137.68] [-20.39, -136.68] [-20.19, -135.68]
1.754468e+07 [-20.56, -143.07] [-20.36, -142.07] [-20.16, -141.07]
1.821469e+07 [-20.78, -148.55] [-20.58, -147.55] [-20.38, -146.55]
1.891029e+07 [-20.73, -154.60] [-20.53, -153.60] [-20.33, -152.60]
1.963245e+07 [-20.74, -160.28] [-20.54, -159.28] [-20.34, -158.28]
2.038219e+07 [-20.59, -166.56] [-20.39, -165.56] [-20.19, -164.56]
2.116056e+07 [-20.70, -172.20] [-20.50, -171.20] [-20.30, -170.20]
2.196866e+07 [-20.63, -179.30] [-20.43, -178.30] [-20.23, -177.30]
2.280762e+07 [-20.65, 173.98] [-20.45, 174.98] [-20.25, 175.98]
2.367862e+07 [-20.56, 167.17] [-20.36, 168.17] [-20.16, 169.17]
2.458288e+07 [-20.65, 159.66] [-20.45, 160.66] [-20.25, 161.66]
2.552167e+07 [-20.67, 152.42] [-20.47, 153.42] [-20.27, 154.42]
