# Version 1.00
#
freq[Hz];db:Trc1_S21;ang:Trc1_S21;
1.000000000000000E+007;-1.959617171903871E-001;-5.583086975172436E+001;
1.038188855303029E+007;-1.482881315334707E-001;-5.805571576184801E+001;
1.077836099275414E+007;-1.340505615120095E-001;-5.885344782010674E+001;
1.118997426111024E+007;-3.870948462826067E-001;-6.297768393077983E+001;
1.161730656901240E+007;-2.265596134556102E-001;-6.367113582726140E+001;
1.206095820858735E+007;-1.230572376539212E-001;-6.678717739598963E+001;
1.252155239643097E+007;-1.255899272642242E-001;-6.987077720814021E+001;
1.299973614906757E+007;-1.515443720868160E-001;-7.177552613614691E+001;
1.349618119184187E+007;-1.221301649010775E-001;-7.504118035895293E+001;
1.401158490252058E+007;-6.930209067709887E-002;-7.760117118279271E+001;
1.454667129092905E+007;-2.470024391917271E-001;-8.112142567582433E+001;
1.510219201599907E+007;-3.189198161986809E-001;-8.313260126543479E+001;
1.567892744165662E+007;-1.706675159989538E-001;-8.727159708476479E+001;
1.627768773303274E+007;-1.998127386703861E-001;-9.013867477223951E+001;
1.689931399453742E+007;-1.096746631542618E-001;-9.343536534683099E+001;
1.754467945139527E+007;-1.438420477405369E-001;-9.714024965606170E+001;
1.821469067630263E+007;-2.212725989065438E-001;-1.004951627564285E+002;
1.891028886292939E+007;-2.023266065856177E-001;-1.045994469995305E+002;
1.963245114805428E+007;-2.262291674238335E-001;-1.091592661474662E+002;
2.038219198419111E+007;-2.054809291638918E-001;-1.130184638879353E+002;
2.116056456463395E+007;-2.065226826190825E-001;-1.168617220920058E+002;
2.196866230292316E+007;-2.365133956829034E-001;-1.217842228976394E+002;
2.280762036881060E+007;-1.872255610301839E-001;-1.260193567252604E+002;
2.367861728288153E+007;-1.939845764843832E-001;-1.313114404752386E+002;
2.458287657207330E+007;-1.715809722041923E-001;-1.360193454511537E+002;
2.552166848841643E+007;-1.894195008410009E-001;-1.411804469611178E+002;
2.649631179341245E+007;-2.110864669907856E-001;-1.466955896206113E+002;
2.750817561055502E+007;-2.036593690413431E-001;-1.520784477105530E+002;
2.855868134859682E+007;-1.945035344527719E-001;-1.580148223995981E+002;
2.964930469826371E+007;-1.929956228811331E-001;-1.642847680129949E+002;
3.078157770522112E+007;-2.400882179046850E-001;-1.701707346462627E+002;
3.195709092220476E+007;-2.176106074771148E-001;-1.768460662893139E+002;
3.317749564333858E+007;-2.323002442913422E-001;1.764148363617780E+002;
3.444450622377892E+007;-2.469070018963027E-001;1.693547711571733E+002;
3.575990248794310E+007;-2.542431809953124E-001;1.624654489181480E+002;
3.712553222970559E+007;-2.388004067883221E-001;1.546192990035471E+002;
3.854331380807376E+007;-2.677510162928291E-001;1.469494622258281E+002;
4.001523884198953E+007;-2.930457602519085E-001;1.386686473200575E+002;
4.154337500804243E+007;-2.681077353763708E-001;1.305877652137704E+002;
4.312986894502404E+007;-2.622365549915200E-001;1.216623159566064E+002;
4.477694926940417E+007;-2.564936793360869E-001;1.127122762591706E+002;
4.648692970596453E+007;-2.757977888478799E-001;1.029776099455904E+002;
4.826221233798770E+007;-2.573099039510198E-001;9.323173246702953E+001;
5.010529098156718E+007;-2.872159025836104E-001;8.307508028392223E+001;
5.201875468877842E+007;-3.099694196800737E-001;7.245623207807763E+001;
5.400529138463195E+007;-2.984239907818416E-001;6.170554987913568E+001;
5.606769164291760E+007;-3.046675758540325E-001;5.030815313923468E+001;
5.820885260624383E+007;-3.233999345184954E-001;3.855325188569502E+001;
6.043178205577903E+007;-2.627767164864261E-001;2.615460887841575E+001;
6.273960263641138E+007;-3.295663306803043E-001;1.337022199813258E+001;
6.513555624326284E+007;-3.474337976038122E-001;2.767443849200256E-001;
6.762300857571912E+007;-3.467278568384545E-001;-1.342959503148469E+001;
7.020545386537276E+007;-3.568488354413015E-001;-2.740428875596297E+001;
7.288651978452097E+007;-3.445534921367123E-001;-4.239212888135344E+001;
7.566997254211341E+007;-3.326931056968151E-001;-5.764017726235117E+001;
7.855972217430838E+007;-3.933684366600602E-001;-7.358812840793500E+001;
8.155982803706922E+007;-3.653375467416167E-001;-9.011267220383753E+001;
8.467450450851679E+007;-3.786740357153222E-001;-1.073572562354601E+002;
8.790812690904823E+007;-3.746726696270332E-001;-1.250735409581300E+002;
9.126523764753820E+007;-3.834991084048611E-001;-1.435335459683419E+002;
9.475055260225661E+007;-3.868468187053621E-001;-1.627300909884552E+002;
9.836896774546625E+007;-3.925471296688931E-001;1.773593119653044E+002;
1.021255660210062E+008;-4.074012894778767E-001;1.568117432450828E+002;
1.060256244845224E+008;-4.045730999904622E-001;1.351831234295228E+002;
1.100746217163751E+008;-4.194122133909338E-001;1.128632836416611E+002;
1.142782455176374E+008;-4.305758178115516E-001;8.972574324716146E+001;
1.186424008999945E+008;-4.384976176707490E-001;6.583641967658041E+001;
1.231732183807684E+008;-4.556003196286134E-001;4.089045204954721E+001;
1.278770625947199E+008;-4.509462850668423E-001;1.494910675958202E+001;
1.327605412347261E+008;-4.588125722033573E-001;-1.196299890711805E+001;
1.378305143338909E+008;-4.739817203182608E-001;-3.979051688511884E+001;
1.430941039021300E+008;-4.719453403201889E-001;-6.877396029746797E+001;
1.485587039307650E+008;-4.849322074249617E-001;-9.879386041318118E+001;
1.542319907791826E+008;-4.888794560621509E-001;-1.300453306998006E+002;
1.601219339581469E+008;-5.075501112438431E-001;-1.624825125218376E+002;
1.662368073249158E+008;-5.113334437935959E-001;1.638953361393399E+002;
1.725852007058845E+008;-5.213084663119264E-001;1.289268402060893E+002;
1.791760319630858E+008;-5.330855026777279E-001;9.274938587404216E+001;
1.860185595214950E+008;-5.439502041107558E-001;5.508180554704071E+001;
1.931223953747393E+008;-5.598036890318733E-001;1.598983989476021E+001;
2.004975185874796E+008;-5.706257732187973E-001;-2.453380061799243E+001;
2.081542893134333E+008;-5.765879118272225E-001;-6.668694967129105E+001;
2.161034633487289E+008;-5.952851887816530E-001;-1.103245937501791E+002;
2.243562072410370E+008;-5.914382251958354E-001;-1.557810950640091E+002;
2.329241139757013E+008;-6.140633830715306E-001;1.570953457177417E+002;
2.418192192609057E+008;-6.244738259737358E-001;1.081430784665577E+002;
2.510540184347519E+008;-6.347606654673097E-001;5.736979407808132E+001;
2.606414840180006E+008;-6.547233926375082E-001;4.695313298970090E+000;
2.705950839371309E+008;-6.650839283380945E-001;-5.006455989044242E+001;
2.809288004433170E+008;-6.749857323671422E-001;-1.068786032273369E+002;
2.916571497539004E+008;-6.894169789607101E-001;-1.658446537198798E+002;
3.027952024439460E+008;-6.980975715624044E-001;1.328963735114349E+002;
3.143586046165293E+008;-7.197055305977747E-001;6.931351011022923E+001;
3.263635998814921E+008;-7.362474597219951E-001;3.305165223221214E+000;
3.388270521735421E+008;-7.497646995845095E-001;-6.518932911016580E+001;
3.517664694417494E+008;-7.607750589579312E-001;-1.363179778303069E+002;
3.652000282437178E+008;-7.778351512879151E-001;1.498153339581440E+002;
3.791465992789793E+008;-7.912431371507460E-001;7.315428831116481E+001;
3.936257738974798E+008;-8.174532538699149E-001;-6.459113027900959E+000;
4.086578916203936E+008;-8.335489901219855E-001;-8.903606770110197E+001;
4.242640687119258E+008;-8.456055703462257E-001;-1.748236507202408E+002;
4.404662278422399E+008;-8.568457600683715E-001;9.613623506402379E+001;
4.572871288831783E+008;-8.721656943279325E-001;3.690604395999650E+000;
4.747504008800356E+008;-8.876887413140457E-001;-9.234839987974458E+001;
4.928805752442984E+008;-9.140521722883661E-001;1.680093485539530E+002;
5.117031202139767E+008;-9.254591714988131E-001;6.454845217869193E+001;
5.312444766299368E+008;-9.530418084269635E-001;-4.286637717382975E+001;
5.515320950784909E+008;-9.829233407286028E-001;-1.542502072197636E+002;
5.725944744524199E+008;-9.871219078056566E-001;9.003623671373225E+001;
5.944612019845973E+008;-1.002350367342666E+000;-3.018756478289829E+001;
6.171629948104519E+008;-1.024442765733045E+000;-1.550359559318788E+002;
6.407317431176524E+008;-1.049366199192259E+000;7.554204404982733E+001;
6.652005549436301E+008;-1.063722374598135E+000;-5.896574951023317E+001;
6.906038026838671E+008;-1.096880234521619E+000;1.614463413354466E+002;
7.169771713762831E+008;-1.101470544054203E+000;1.660379536766984E+001;
7.443577088295471E+008;-1.118785846459220E+000;-1.339515582276462E+002;
7.727838776657330E+008;-1.149788551310696E+000;6.985843883448600E+001;
8.022956093504235E+008;-1.170368444974663E+000;-9.221264915943965E+001;
8.329343602861624E+008;-1.190283184923330E+000;9.938778050009874E+001;
8.647431700480518E+008;-1.225839646945524E+000;-7.534562424964986E+001;
8.977667218432996E+008;-1.240400420382001E+000;1.031359406403139E+002;
9.320514052796482E+008;-1.272612739970171E+000;-8.518363054743972E+001;
9.676453815308577E+008;-1.287738086740626E+000;7.910315389724184E+001;
1.004598650990784E+009;-1.341464592312725E+000;-1.236975124104022E+002;
1.042963123511089E+009;-1.346699390684236E+000;2.543825124089248E+001;
1.082792691321250E+009;-1.373328769244903E+000;1.666353657857357E+002;
1.124143304733295E+009;-1.406719877393945E+000;-6.060729119037860E+001;
1.167073050737623E+009;-1.425871000119219E+000;6.364865166230881E+001;
1.211642234600307E+009;-1.473476631721940E+000;1.786328535630729E+002;
1.257913464576497E+009;-1.472849682458622E+000;-7.545152099590311E+001;
1.305951739858941E+009;-1.514158538920916E+000;2.056307585742399E+001;
1.355824541885154E+009;-1.580849033548703E+000;1.065886214406864E+002;
1.407601929131501E+009;-1.549851850608871E+000;-1.777752043986700E+002;
1.461356635527369E+009;-1.621781681076291E+000;-1.131540797339154E+002;
1.517164172627645E+009;-1.659565769939704E+000;-5.961086738076119E+001;
1.575102935687062E+009;-1.664860007875435E+000;-1.817738361250698E+001;
1.635254313785392E+009;-1.697183908298483E+000;1.141019604438776E+001;
1.697702804158197E+009;-1.739554505038633E+000;2.860193721475091E+001;
1.762536130893741E+009;-1.773886131866003E+000;3.235651304358339E+001;
1.829845368162803E+009;-1.854536183620808E+000;2.289632271581674E+001;
1.899725068154491E+009;-1.845461613197158E+000;-1.058992907745374E+000;
1.972273393897780E+009;-1.922571459411480E+000;-3.949478879126114E+001;
2.047592257155356E+009;-1.929610266064061E+000;-9.340641663681640E+001;
2.125787461583465E+009;-2.010662319748181E+000;-1.629209513194808E+002;
2.206968851358869E+009;-2.002475202309737E+000;1.113273696950490E+002;
2.291250465481706E+009;-2.073896242276943E+000;8.363633845062688E+000;
2.378750697970985E+009;-2.071639117990057E+000;-1.123398532740721E+002;
2.469592464177779E+009;-2.149999760864144E+000;1.086472675020211E+002;
2.563903373449715E+009;-2.196941677984628E+000;-4.928105249705979E+001;
2.661815908389335E+009;-2.227979419100331E+000;1.331704958263813E+002;
2.763467610958116E+009;-2.296063235785932E+000;-6.536159713298096E+001;
2.869001275687604E+009;-2.328183304944846E+000;7.513538636514906E+001;
