# Version 1.00
#
freq[Hz];db:Trc1_S21;ang:Trc1_S21;
1.000000000000000E+007;-1.922280279288935E-001;-6.741958976039597E+001;
1.038188855303029E+007;-1.769454433535964E-001;-6.977271261517670E+001;
1.077836099275414E+007;-1.565293232993633E-001;-7.130696209690208E+001;
1.118997426111024E+007;-4.182675712081393E-001;-7.573141066605652E+001;
1.161730656901240E+007;-2.298685487248086E-001;-7.692519987680294E+001;
1.206095820858735E+007;-1.318904391439157E-001;-8.065114774802031E+001;
1.252155239643097E+007;-1.415499255383244E-001;-8.401983192764305E+001;
1.299973614906757E+007;-2.005570758864331E-001;-8.662436581868597E+001;
1.349618119184187E+007;-1.232654564615064E-001;-9.023707622763723E+001;
1.401158490252058E+007;-8.463823766508867E-002;-9.377451033531989E+001;
1.454667129092905E+007;-2.699865192212251E-001;-9.747769667574239E+001;
1.510219201599907E+007;-3.264584985027743E-001;-1.001189424413950E+002;
1.567892744165662E+007;-1.871779171132123E-001;-1.049427195551266E+002;
1.627768773303274E+007;-2.262891145661738E-001;-1.083958170086133E+002;
1.689931399453742E+007;-1.323172351587099E-001;-1.127497893573135E+002;
1.754467945139527E+007;-1.741040533655405E-001;-1.170009260687010E+002;
1.821469067630263E+007;-2.361763388672303E-001;-1.210316395123777E+002;
1.891028886292939E+007;-2.096387690856664E-001;-1.260319866497404E+002;
1.963245114805428E+007;-2.446089908604457E-001;-1.314976169579417E+002;
2.038219198419111E+007;-2.274203269526022E-001;-1.360098806023010E+002;
2.116056456463395E+007;-2.235014669605584E-001;-1.406728472216083E+002;
2.196866230292316E+007;-2.587570189417625E-001;-1.466411575585288E+002;
2.280762036881060E+007;-2.323961485640402E-001;-1.517239268894561E+002;
2.367861728288153E+007;-2.327040736506246E-001;-1.580406401490781E+002;
2.458287657207330E+007;-2.076487245866280E-001;-1.638328780993214E+002;
2.552166848841643E+007;-2.267225071041938E-001;-1.699785450362968E+002;
2.649631179341245E+007;-2.373058686979676E-001;-1.766272815470245E+002;
2.750817561055502E+007;-2.295166330065800E-001;1.768856861354580E+002;
2.855868134859682E+007;-2.251321363788388E-001;1.697718816619619E+002;
2.964930469826371E+007;-2.144060350077293E-001;1.622356389715591E+002;
3.078157770522112E+007;-2.653135036479851E-001;1.551204856101593E+002;
3.195709092220476E+007;-2.459927708415043E-001;1.471791506557159E+002;
3.317749564333858E+007;-2.583873374978173E-001;1.389900332688897E+002;
3.444450622377892E+007;-2.822145448961733E-001;1.304774548715402E+002;
3.575990248794310E+007;-2.828568415690500E-001;1.220954387111105E+002;
3.712553222970559E+007;-2.869537045672096E-001;1.127969152632605E+002;
3.854331380807376E+007;-3.086353657465749E-001;1.035505944927693E+002;
4.001523884198953E+007;-3.307584546023110E-001;9.358621304482499E+001;
4.154337500804243E+007;-3.075754782598472E-001;8.374351794602114E+001;
4.312986894502404E+007;-3.010626802973885E-001;7.303617317914753E+001;
4.477694926940417E+007;-2.944695556355970E-001;6.226132692070180E+001;
4.648692970596453E+007;-3.080311652427984E-001;5.062828764204868E+001;
4.826221233798770E+007;-2.964243933216340E-001;3.880992876156909E+001;
5.010529098156718E+007;-3.279364606882029E-001;2.662989045584148E+001;
5.201875468877842E+007;-3.601519189906540E-001;1.387496170312129E+001;
5.400529138463195E+007;-3.303865984708745E-001;8.673951355142670E-001;
5.606769164291760E+007;-3.425237058259143E-001;-1.281454069238442E+001;
5.820885260624383E+007;-3.669822619089952E-001;-2.698931755238485E+001;
6.043178205577903E+007;-3.096111104959382E-001;-4.193856212421909E+001;
6.273960263641138E+007;-3.763436170922025E-001;-5.725100011797530E+001;
6.513555624326284E+007;-3.939682921628661E-001;-7.306989344457071E+001;
6.762300857571912E+007;-3.929267184512368E-001;-8.952713049381859E+001;
7.020545386537276E+007;-4.050223853869028E-001;-1.065253812673288E+002;
7.288651978452097E+007;-3.889787371345481E-001;-1.244552683001705E+002;
7.566997254211341E+007;-3.868764431218843E-001;-1.427766172078017E+002;
7.855972217430838E+007;-4.495105317722542E-001;-1.620016589604116E+002;
8.155982803706922E+007;-4.187999365535190E-001;1.780958188320494E+002;
8.467450450851679E+007;-4.379583833820200E-001;1.573660600046374E+002;
8.790812690904823E+007;-4.264786390961733E-001;1.360032724751375E+002;
9.126523764753820E+007;-4.412664811227492E-001;1.137703625991730E+002;
9.475055260225661E+007;-4.350835881351933E-001;9.066009609948634E+001;
9.836896774546625E+007;-4.496335009470487E-001;6.668889461436457E+001;
1.021255660210062E+008;-4.659334658624568E-001;4.193861441193582E+001;
1.060256244845224E+008;-4.693696254755013E-001;1.589269655248687E+001;
1.100746217163751E+008;-4.852283309032433E-001;-1.095612034946186E+001;
1.142782455176374E+008;-4.942785821333097E-001;-3.880946128800844E+001;
