# Version 1.00
#
freq[Hz];db:Trc1_S21;ang:Trc1_S21;
1.000000000000000E+007;-2.042862035194009E+001;-8.509838249126059E+001;
1.038188855303029E+007;-2.043544408939134E+001;-8.856810239390603E+001;
1.077836099275414E+007;-2.041153707746938E+001;-9.024645839095197E+001;
1.118997426111024E+007;-2.066434834461768E+001;-9.548623461516280E+001;
1.161730656901240E+007;-2.043575919784691E+001;-9.761112457824100E+001;
1.206095820858735E+007;-2.044452758621947E+001;-1.020899238484173E+002;
1.252155239643097E+007;-2.043241628814020E+001;-1.066105359326926E+002;
1.299973614906757E+007;-2.044889181926546E+001;-1.098231737344828E+002;
1.349618119184187E+007;-2.038711661041826E+001;-1.143324779499549E+002;
1.401158490252058E+007;-2.034956435629886E+001;-1.186391265201936E+002;
1.454667129092905E+007;-2.053135134781219E+001;-1.235220596333559E+002;
1.510219201599907E+007;-2.058164836977590E+001;-1.271015840649954E+002;
1.567892744165662E+007;-2.042840297249316E+001;-1.328748082327614E+002;
1.627768773303274E+007;-2.047705043020168E+001;-1.374985204622720E+002;
1.689931399453742E+007;-2.040992631032274E+001;-1.427320575008165E+002;
1.754467945139527E+007;-2.042446550188336E+001;-1.483147014335275E+002;
1.821469067630263E+007;-2.049362510047051E+001;-1.536026406904345E+002;
1.891028886292939E+007;-2.047997264546106E+001;-1.596472860625813E+002;
1.963245114805428E+007;-2.051662351583572E+001;-1.663422237970137E+002;
2.038219198419111E+007;-2.051981912117559E+001;-1.722887540059500E+002;
2.116056456463395E+007;-2.050312198383661E+001;-1.784046661251381E+002;
2.196866230292316E+007;-2.052459884897835E+001;1.742905760848784E+002;
2.280762036881060E+007;-2.048100212464087E+001;1.676143992018779E+002;
2.367861728288153E+007;-2.048032137333365E+001;1.599730716969829E+002;
2.458287657207330E+007;-2.047989919144146E+001;1.524139290593079E+002;
2.552166848841643E+007;-2.050086993379424E+001;1.444898004780618E+002;
2.649631179341245E+007;-2.051047299093169E+001;1.361483437413471E+002;
2.750817561055502E+007;-2.049692476226708E+001;1.278562575580628E+002;
2.855868134859682E+007;-2.051263346841362E+001;1.189514883365290E+002;
2.964930469826371E+007;-2.048259710640872E+001;1.094192851652780E+002;
3.078157770522112E+007;-2.054553893961734E+001;1.004514471701216E+002;
3.195709092220476E+007;-2.053559095458285E+001;9.029367596783979E+001;
3.317749564333858E+007;-2.055899193308465E+001;7.996422042610249E+001;
3.444450622377892E+007;-2.056940038845924E+001;6.927441808567569E+001;
3.575990248794310E+007;-2.057005868826686E+001;5.854832301340523E+001;
3.712553222970559E+007;-2.056873444631842E+001;4.677530417209704E+001;
3.854331380807376E+007;-2.059866579978939E+001;3.504255228912408E+001;
4.001523884198953E+007;-2.063402789558798E+001;2.244212320949384E+001;
4.154337500804243E+007;-2.060265584969325E+001;9.986908921930066E+000;
4.312986894502404E+007;-2.059929720128550E+001;-3.450438047283363E+000;
4.477694926940417E+007;-2.059670180239452E+001;-1.725392082395825E+001;
4.648692970596453E+007;-2.060481214973824E+001;-3.193543590767813E+001;
4.826221233798770E+007;-2.059792169110149E+001;-4.681878660830589E+001;
5.010529098156718E+007;-2.062906361171055E+001;-6.226507801636630E+001;
5.201875468877842E+007;-2.066880136737337E+001;-7.845511119515567E+001;
