# Version 1.00
#
freq[Hz];db:Trc1_S21;ang:Trc1_S21;
1.000000000000000E+007;-1.669621952907500E-001;-5.956647645165028E+001;
1.038188855303029E+007;-1.674010700410972E-001;-6.158857612910967E+001;
1.077836099275414E+007;-9.719043339344000E-002;-6.254597141949778E+001;
1.118997426111024E+007;-3.836954625196963E-001;-6.671342251699744E+001;
1.161730656901240E+007;-2.216941221541845E-001;-6.782796913601918E+001;
1.206095820858735E+007;-1.499406907481741E-001;-7.096321835505192E+001;
1.252155239643097E+007;-1.810487404330315E-001;-7.436779437314948E+001;
1.299973614906757E+007;-1.945706320963750E-001;-7.646334577796782E+001;
1.349618119184187E+007;-1.217935828319195E-001;-7.952407854974491E+001;
1.401158490252058E+007;-6.557474977353427E-002;-8.251684144396576E+001;
1.454667129092905E+007;-2.492869337328692E-001;-8.607979977014364E+001;
1.510219201599907E+007;-3.244159889825293E-001;-8.839761112496188E+001;
1.567892744165662E+007;-1.583813023768819E-001;-9.269771132622731E+001;
1.627768773303274E+007;-2.206317262921788E-001;-9.562193653152444E+001;
1.689931399453742E+007;-1.050454793882969E-001;-9.943182547138687E+001;
1.754467945139527E+007;-1.544856920380933E-001;-1.031906310801091E+002;
1.821469067630263E+007;-2.132417607309210E-001;-1.068317399267314E+002;
1.891028886292939E+007;-2.089906297005231E-001;-1.110790773544902E+002;
1.963245114805428E+007;-2.255213487459464E-001;-1.159754918743785E+002;
2.038219198419111E+007;-2.086768326619511E-001;-1.199628623400149E+002;
2.116056456463395E+007;-2.216493943287012E-001;-1.241481698080504E+002;
2.196866230292316E+007;-2.262578532260798E-001;-1.292594889920986E+002;
2.280762036881060E+007;-1.716530265623362E-001;-1.338967938872995E+002;
2.367861728288153E+007;-2.135366494405516E-001;-1.394963615523867E+002;
2.458287657207330E+007;-1.868110555111115E-001;-1.445893095925568E+002;
2.552166848841643E+007;-1.890057994086280E-001;-1.499860687358828E+002;
2.649631179341245E+007;-2.283186911281523E-001;-1.559351565711796E+002;
2.750817561055502E+007;-2.166174626525944E-001;-1.615361910055107E+002;
2.855868134859682E+007;-2.194878866035651E-001;-1.678931045055633E+002;
2.964930469826371E+007;-1.993007360443762E-001;-1.746297594619656E+002;
3.078157770522112E+007;-2.438818930699882E-001;1.792485605289269E+002;
3.195709092220476E+007;-2.203050840627863E-001;1.720665490701148E+002;
3.317749564333858E+007;-2.384783283851587E-001;1.649015415552015E+002;
3.444450622377892E+007;-2.749464049235396E-001;1.574954517602488E+002;
3.575990248794310E+007;-2.522311915793224E-001;1.500466032843821E+002;
3.712553222970559E+007;-2.643597866690600E-001;1.417886131417879E+002;
3.854331380807376E+007;-2.864742294579958E-001;1.336722963016030E+002;
4.001523884198953E+007;-3.077424573625142E-001;1.248072398731752E+002;
4.154337500804243E+007;-2.772604158431586E-001;1.162661602052576E+002;
4.312986894502404E+007;-2.725327729592399E-001;1.067218391191457E+002;
4.477694926940417E+007;-2.664349102552131E-001;9.725203435913846E+001;
4.648692970596453E+007;-2.866596050181898E-001;8.694825666464193E+001;
4.826221233798770E+007;-2.733470508372279E-001;7.654820538244404E+001;
5.010529098156718E+007;-2.886704559949265E-001;6.582114462892851E+001;
5.201875468877842E+007;-3.248104467830314E-001;5.450302393812071E+001;
5.400529138463195E+007;-3.099036015326953E-001;4.311323250237367E+001;
5.606769164291760E+007;-3.137585112276824E-001;3.100366050804411E+001;
5.820885260624383E+007;-3.471747231782826E-001;1.843625638290013E+001;
6.043178205577903E+007;-2.840909470840839E-001;5.282903143424359E+000;
6.273960263641138E+007;-3.396701177822711E-001;-8.262772578984016E+000;
6.513555624326284E+007;-3.690227146062892E-001;-2.221213819343633E+001;
6.762300857571912E+007;-3.640104792243250E-001;-3.675615873235392E+001;
7.020545386537276E+007;-3.724219227161302E-001;-5.166474657691574E+001;
7.288651978452097E+007;-3.566230603239818E-001;-6.751692171642776E+001;
7.566997254211341E+007;-3.505297388072661E-001;-8.372366139963505E+001;
7.855972217430838E+007;-4.089318864072821E-001;-1.006495425549936E+002;
8.155982803706922E+007;-3.866196196856490E-001;-1.182413711482072E+002;
8.467450450851679E+007;-3.993200888122711E-001;-1.365372565164604E+002;
8.790812690904823E+007;-3.926961663170547E-001;-1.553764255079205E+002;
9.126523764753820E+007;-4.073894618367393E-001;-1.749745500769312E+002;
9.475055260225661E+007;-4.002474288475355E-001;1.646421023209362E+002;
9.836896774546625E+007;-4.080755669783787E-001;1.434663613943720E+002;
1.021255660210062E+008;-4.294177060728119E-001;1.216487013475858E+002;
1.060256244845224E+008;-4.300524886676431E-001;9.866559299089482E+001;
1.100746217163751E+008;-4.361193646174517E-001;7.494170532025883E+001;
1.142782455176374E+008;-4.499383985833332E-001;5.036834182974825E+001;
1.186424008999945E+008;-4.650460107326446E-001;2.499675390930428E+001;
1.231732183807684E+008;-4.789918331064660E-001;-1.554909199196070E+000;
1.278770625947199E+008;-4.743261590638433E-001;-2.911010680210091E+001;
1.327605412347261E+008;-4.834086560271423E-001;-5.767458773371342E+001;
1.378305143338909E+008;-4.966228890590964E-001;-8.727038157083543E+001;
1.430941039021300E+008;-4.986273622974897E-001;-1.180755634433224E+002;
1.485587039307650E+008;-5.160311754216407E-001;-1.499712043378493E+002;
1.542319907791826E+008;-5.222476040738853E-001;1.768734740793597E+002;
1.601219339581469E+008;-5.339061483107320E-001;1.423950590287738E+002;
1.662368073249158E+008;-5.406752746194474E-001;1.066709107431777E+002;
1.725852007058845E+008;-5.548405773204916E-001;6.953235313310420E+001;
1.791760319630858E+008;-5.642460682543706E-001;3.110417286686879E+001;
1.860185595214950E+008;-5.764084195402776E-001;-8.933229883648282E+000;
1.931223953747393E+008;-5.900402710938805E-001;-5.047549805398234E+001;
2.004975185874796E+008;-6.057131728523105E-001;-9.353635858007758E+001;
2.081542893134333E+008;-6.130987353602243E-001;-1.383133018118788E+002;
2.161034633487289E+008;-6.313080186585075E-001;1.752950942066370E+002;
2.243562072410370E+008;-6.301454602793730E-001;1.270334563642198E+002;
2.329241139757013E+008;-6.486445592310866E-001;7.695395342262800E+001;
2.418192192609057E+008;-6.635904290391838E-001;2.493660142192281E+001;
2.510540184347519E+008;-6.701125982615617E-001;-2.898094526643279E+001;
2.606414840180006E+008;-6.904766828767497E-001;-8.497997436025879E+001;
2.705950839371309E+008;-7.054623935820374E-001;-1.431670275876852E+002;
2.809288004433170E+008;-7.164699104266695E-001;1.565075302557513E+002;
2.916571497539004E+008;-7.314593080800012E-001;9.386127501541415E+001;
3.027952024439460E+008;-7.399830847381473E-001;2.876453191360941E+001;
3.143586046165293E+008;-7.607576971444174E-001;-3.876531574636604E+001;
3.263635998814921E+008;-7.760832421336170E-001;-1.089576400540076E+002;
3.388270521735421E+008;-7.967255217246643E-001;1.783041136444427E+002;
3.517664694417494E+008;-8.077279405270892E-001;1.027364451989875E+002;
3.652000282437178E+008;-8.200360263440025E-001;2.424815230025061E+001;
3.791465992789793E+008;-8.387998191271044E-001;-5.720075237202660E+001;
3.936257738974798E+008;-8.675365565491618E-001;-1.418162197459357E+002;
4.086578916203936E+008;-8.857454828073081E-001;1.305149246642667E+002;
4.242640687119258E+008;-8.947254117806965E-001;3.934957344681285E+001;
4.404662278422399E+008;-9.058296771363749E-001;-5.526211235255256E+001;
4.572871288831783E+008;-9.234563704882691E-001;-1.535016059156547E+002;
4.747504008800356E+008;-9.407942718053124E-001;1.044797935622384E+002;
4.928805752442984E+008;-9.674176389492900E-001;-1.402030204997322E+000;
5.117031202139767E+008;-9.808028647852816E-001;-1.113092278561433E+002;
