# Version 1.00
#
freq[Hz];db:Trc1_S21;ang:Trc1_S21;
1.000000000000000E+007;-2.041651665041177E+001;-7.736974818307485E+001;
1.038188855303029E+007;-2.038348328190796E+001;-8.033800990912687E+001;
1.077836099275414E+007;-2.035816874111050E+001;-8.221451355275752E+001;
1.118997426111024E+007;-2.062803964803628E+001;-8.665748770932171E+001;
1.161730656901240E+007;-2.045565615643387E+001;-8.826865071432565E+001;
1.206095820858735E+007;-2.043155145936052E+001;-9.267362444413627E+001;
1.252155239643097E+007;-2.037806174595062E+001;-9.680193677549697E+001;
1.299973614906757E+007;-2.044394580584498E+001;-9.978187039554790E+001;
1.349618119184187E+007;-2.038797595051861E+001;-1.036122206992786E+002;
1.401158490252058E+007;-2.034645509426272E+001;-1.077737406754691E+002;
1.454667129092905E+007;-2.049513994173086E+001;-1.122224054160156E+002;
1.510219201599907E+007;-2.057040920481071E+001;-1.151790079828153E+002;
1.567892744165662E+007;-2.039784631730914E+001;-1.204537775838701E+002;
1.627768773303274E+007;-2.047812832370279E+001;-1.247194268638578E+002;
1.689931399453742E+007;-2.039116291442716E+001;-1.294769499203933E+002;
1.754467945139527E+007;-2.040689577901575E+001;-1.345460650057089E+002;
1.821469067630263E+007;-2.050908874328508E+001;-1.396008636197501E+002;
1.891028886292939E+007;-2.048098173930989E+001;-1.448382157885376E+002;
1.963245114805428E+007;-2.051057748570697E+001;-1.508363823752360E+002;
2.038219198419111E+007;-2.048583780634084E+001;-1.563852042624185E+002;
2.116056456463395E+007;-2.046641901581383E+001;-1.618816236447337E+002;
2.196866230292316E+007;-2.047269491278794E+001;-1.685079116298030E+002;
2.280762036881060E+007;-2.045701964927806E+001;-1.744520260078535E+002;
2.367861728288153E+007;-2.048071943261705E+001;1.782982906456950E+002;
2.458287657207330E+007;-2.044358559185402E+001;1.716940859508391E+002;
2.552166848841643E+007;-2.047275543652750E+001;1.645555984151696E+002;
2.649631179341245E+007;-2.049971152331557E+001;1.570299279729999E+002;
2.750817561055502E+007;-2.048683068677488E+001;1.494280663798352E+002;
2.855868134859682E+007;-2.049191332493851E+001;1.412728266527529E+002;
