# Version 1.00
#
freq[Hz];db:Trc1_S21;ang:Trc1_S21;
1.000000000000000E+007;-1.190540463933038E-001;-5.061936063927392E+001;
1.038188855303029E+007;-1.446151302209142E-001;-5.246320241154788E+001;
1.077836099275414E+007;-8.534586532026117E-002;-5.585872304267203E+001;
1.118997426111024E+007;-1.054350298742182E-001;-5.808330156518786E+001;
1.161730656901240E+007;7.469266206026475E-002;-6.075720484549067E+001;
1.206095820858735E+007;-1.434757715247099E-001;-6.352152682187658E+001;
1.252155239643097E+007;-1.995265142113273E-001;-6.534468783712184E+001;
1.299973614906757E+007;-9.784782325089454E-002;-6.699843578367873E+001;
1.349618119184187E+007;-1.238232340046270E-001;-6.973125657832890E+001;
1.401158490252058E+007;-1.277139754813352E-001;-7.220741959585388E+001;
1.454667129092905E+007;-1.526829899462678E-001;-7.453515244042067E+001;
1.510219201599907E+007;-1.665565815035506E-001;-7.793595037405687E+001;
1.567892744165662E+007;-1.422500819216694E-001;-8.163735730919196E+001;
1.627768773303274E+007;-1.414748953881884E-001;-8.417903371666880E+001;
1.689931399453742E+007;-9.571164671495319E-002;-8.685734858900686E+001;
1.754467945139527E+007;-2.002242579843591E-001;-9.056416339315450E+001;
1.821469067630263E+007;-1.397082492761599E-001;-9.405111988484988E+001;
1.891028886292939E+007;-1.870368540993309E-001;-9.796321230496643E+001;
1.963245114805428E+007;-1.235307265995256E-001;-1.009370485933237E+002;
2.038219198419111E+007;-1.799306451323845E-001;-1.052371982341011E+002;
2.116056456463395E+007;-9.820184127209898E-002;-1.094296676338437E+002;
2.196866230292316E+007;-1.174383032017709E-001;-1.133515137008301E+002;
2.280762036881060E+007;-2.009450067178820E-001;-1.171607467388534E+002;
2.367861728288153E+007;-1.218627055498595E-001;-1.218162120721719E+002;
2.458287657207330E+007;-1.612923204406266E-001;-1.265482190112474E+002;
2.552166848841643E+007;-2.125267483444147E-001;-1.316394299100811E+002;
2.649631179341245E+007;-1.397342086269117E-001;-1.366136171993583E+002;
2.750817561055502E+007;-1.708026322225228E-001;-1.417518657528799E+002;
2.855868134859682E+007;-1.048057468189335E-001;-1.472313071142078E+002;
2.964930469826371E+007;-1.494075499596824E-001;-1.528232097538578E+002;
3.078157770522112E+007;-1.542091033516741E-001;-1.586461364016607E+002;
3.195709092220476E+007;-1.566036856769251E-001;-1.645704901311597E+002;
3.317749564333858E+007;-1.780660135323242E-001;-1.707467667996701E+002;
3.444450622377892E+007;-1.202846986529721E-001;-1.772209606549405E+002;
3.575990248794310E+007;-2.218013538642768E-001;1.760770871359487E+002;
3.712553222970559E+007;-2.096934587201349E-001;1.693435938657013E+002;
3.854331380807376E+007;-2.270975708891078E-001;1.615356250580813E+002;
4.001523884198953E+007;-1.848452775374826E-001;1.541763756976113E+002;
4.154337500804243E+007;-1.977810522479452E-001;1.463129732056665E+002;
4.312986894502404E+007;-2.286767417044483E-001;1.382182409039061E+002;
4.477694926940417E+007;-2.105282139385280E-001;1.300026431859144E+002;
4.648692970596453E+007;-1.938138231692669E-001;1.211831473908629E+002;
4.826221233798770E+007;-1.950375065180348E-001;1.117588718315769E+002;
5.010529098156718E+007;-2.609938060934316E-001;1.022850585327843E+002;
5.201875468877842E+007;-2.049742924540096E-001;9.271357270161951E+001;
5.400529138463195E+007;-2.217599907700122E-001;8.236023110852096E+001;
5.606769164291760E+007;-1.945633693579552E-001;7.176626472907307E+001;
5.820885260624383E+007;-2.224463033869088E-001;6.090847630832231E+001;
6.043178205577903E+007;-2.316911785883317E-001;4.949232149972146E+001;
6.273960263641138E+007;-2.604026766555401E-001;3.762015343425835E+001;
6.513555624326284E+007;-2.473850131745115E-001;2.527493875726738E+001;
6.762300857571912E+007;-2.818022081180113E-001;1.250606877274816E+001;
7.020545386537276E+007;-2.540876335612327E-001;-5.679732714019251E-001;
7.288651978452097E+007;-2.629671094723798E-001;-1.434584419499982E+001;
7.566997254211341E+007;-2.592553910916758E-001;-2.853539777941226E+001;
7.855972217430838E+007;-2.762007371439564E-001;-4.324448951400997E+001;
8.155982803706922E+007;-2.902991568055400E-001;-5.889828162283401E+001;
8.467450450851679E+007;-2.769870017744369E-001;-7.465997332068322E+001;
8.790812690904823E+007;-2.902501406177396E-001;-9.136372414121188E+001;
9.126523764753820E+007;-3.008684941363093E-001;-1.084112190630085E+002;
9.475055260225661E+007;-3.069441919929208E-001;-1.263652688021993E+002;
9.836896774546625E+007;-3.290020020642770E-001;-1.448528176088393E+002;
1.021255660210062E+008;-3.192227986036497E-001;-1.640823163797810E+002;
1.060256244845224E+008;-3.319413016086031E-001;1.759834852584523E+002;
1.100746217163751E+008;-3.499161737878409E-001;1.551954875278585E+002;
1.142782455176374E+008;-3.409863550782460E-001;1.337345119593031E+002;
1.186424008999945E+008;-3.517755912346028E-001;1.112567233644690E+002;
1.231732183807684E+008;-3.486800103095374E-001;8.812315768013994E+001;
1.278770625947199E+008;-3.514718488369404E-001;6.412647698242749E+001;
1.327605412347261E+008;-3.652117384958449E-001;3.901621093282085E+001;
1.378305143338909E+008;-3.863830336913439E-001;1.304994232559438E+001;
1.430941039021300E+008;-3.859152274087485E-001;-1.388024769678677E+001;
1.485587039307650E+008;-3.970933014845909E-001;-4.180878407542398E+001;
1.542319907791826E+008;-3.890371111005238E-001;-7.085449234312560E+001;
1.601219339581469E+008;-4.009382930825203E-001;-1.010762653739736E+002;
1.662368073249158E+008;-4.142578418695045E-001;-1.323939613516538E+002;
1.725852007058845E+008;-4.261493782717589E-001;-1.648930704339493E+002;
1.791760319630858E+008;-4.440387076842501E-001;1.613988964750677E+002;
1.860185595214950E+008;-4.401217952585834E-001;1.263364644554428E+002;
1.931223953747393E+008;-4.525648662226605E-001;9.007934789395824E+001;
2.004975185874796E+008;-4.583038585535922E-001;5.226974282008855E+001;
2.081542893134333E+008;-4.619204571993303E-001;1.310245857590355E+001;
2.161034633487289E+008;-4.792905734232409E-001;-2.763225539646550E+001;
2.243562072410370E+008;-4.983923961065410E-001;-6.979442501248393E+001;
2.329241139757013E+008;-5.016502464805388E-001;-1.137149391527193E+002;
2.418192192609057E+008;-5.141558040213330E-001;-1.592001963871356E+002;
2.510540184347519E+008;-5.241260627205545E-001;1.535515514787627E+002;
2.606414840180006E+008;-5.325521571296634E-001;1.044953452204348E+002;
2.705950839371309E+008;-5.433367848859971E-001;5.357791402523869E+001;
