# Version 1.00
#
freq[Hz];db:Trc1_S21;ang:Trc1_S21;
1.000000000000000E+007;-1.012967909370886E-001;-3.179205843246760E+001;
1.038188855303029E+007;-1.262302114699253E-001;-3.296900304865427E+001;
1.077836099275414E+007;-3.307514387570586E-002;-3.541221916920778E+001;
1.118997426111024E+007;-4.845226075582576E-002;-3.685482015980352E+001;
1.161730656901240E+007;1.080486041087162E-001;-3.900092695758530E+001;
1.206095820858735E+007;-5.916601446116047E-002;-4.053597239696411E+001;
1.252155239643097E+007;-1.609168286624138E-001;-4.169897741546008E+001;
1.299973614906757E+007;-4.491553764636383E-002;-4.262331819060280E+001;
1.349618119184187E+007;-9.439630206460310E-002;-4.455947501442638E+001;
1.401158490252058E+007;-1.110175245428439E-001;-4.620190351871887E+001;
1.454667129092905E+007;-1.004258495130254E-001;-4.762930515396071E+001;
1.510219201599907E+007;-9.149776593788855E-002;-5.000981000873559E+001;
1.567892744165662E+007;-1.068514174642865E-001;-5.237169230269990E+001;
1.627768773303274E+007;-9.653730332451552E-002;-5.386052470581720E+001;
1.689931399453742E+007;-6.519481669161646E-002;-5.550538931851467E+001;
1.754467945139527E+007;-1.306455835040386E-001;-5.786068487630404E+001;
1.821469067630263E+007;-8.858141555695616E-002;-6.002353232843567E+001;
1.891028886292939E+007;-1.327685880583353E-001;-6.282604884361104E+001;
1.963245114805428E+007;-8.659711674047750E-002;-6.445243321226184E+001;
2.038219198419111E+007;-1.447249455462115E-001;-6.723760583913460E+001;
2.116056456463395E+007;-5.645085547948255E-002;-7.011264982557184E+001;
2.196866230292316E+007;-5.544104625260417E-002;-7.240075596099882E+001;
2.280762036881060E+007;-1.363796061125816E-001;-7.476829524195384E+001;
2.367861728288153E+007;-5.523617112810902E-002;-7.780503750976581E+001;
2.458287657207330E+007;-7.977130211025094E-002;-8.090400676434209E+001;
2.552166848841643E+007;-1.401512239355931E-001;-8.414109077825334E+001;
2.649631179341245E+007;-6.599131335175244E-002;-8.731609318674910E+001;
2.750817561055502E+007;-9.888881698560627E-002;-9.057811679018097E+001;
2.855868134859682E+007;-4.116358810369491E-002;-9.416617946223234E+001;
2.964930469826371E+007;-7.489196871825604E-002;-9.778108010204909E+001;
3.078157770522112E+007;-8.516230102874826E-002;-1.014320175294395E+002;
3.195709092220476E+007;-8.507146325364126E-002;-1.053845455880575E+002;
3.317749564333858E+007;-1.177107568226554E-001;-1.091791518586147E+002;
3.444450622377892E+007;-5.365827659084576E-002;-1.132445204203451E+002;
3.575990248794310E+007;-1.538290662973960E-001;-1.175682701332852E+002;
3.712553222970559E+007;-1.302514354452234E-001;-1.218261364505326E+002;
3.854331380807376E+007;-1.427108812875643E-001;-1.268924123241430E+002;
4.001523884198953E+007;-1.004149133362604E-001;-1.315107950263651E+002;
4.154337500804243E+007;-1.196085472614088E-001;-1.366309546540412E+002;
4.312986894502404E+007;-1.172968524967911E-001;-1.418210872690335E+002;
4.477694926940417E+007;-1.139863803950661E-001;-1.470076304447604E+002;
4.648692970596453E+007;-1.027152441085770E-001;-1.527017507111818E+002;
4.826221233798770E+007;-9.725309146274165E-002;-1.587395744311626E+002;
5.010529098156718E+007;-1.654188995427229E-001;-1.648841784849745E+002;
5.201875468877842E+007;-1.048219276053140E-001;-1.709319547253097E+002;
5.400529138463195E+007;-1.275630976513639E-001;-1.776084560458883E+002;
5.606769164291760E+007;-9.135118580776724E-002;1.756184484463651E+002;
5.820885260624383E+007;-1.198016960770701E-001;1.687247733208509E+002;
6.043178205577903E+007;-1.274454620015632E-001;1.614007770993088E+002;
6.273960263641138E+007;-1.418919742599625E-001;1.537258040452253E+002;
6.513555624326284E+007;-1.425125097507647E-001;1.458833828312982E+002;
6.762300857571912E+007;-1.720794512177758E-001;1.377381037711294E+002;
7.020545386537276E+007;-1.429839148427315E-001;1.293123939241711E+002;
7.288651978452097E+007;-1.451448393645203E-001;1.205182105899480E+002;
7.566997254211341E+007;-1.402758807812239E-001;1.114853264209816E+002;
7.855972217430838E+007;-1.554149688148445E-001;1.020909773339382E+002;
8.155982803706922E+007;-1.664472496343976E-001;9.202492376273793E+001;
8.467450450851679E+007;-1.515451409628927E-001;8.194145366504633E+001;
8.790812690904823E+007;-1.578149143164036E-001;7.120510153694045E+001;
9.126523764753820E+007;-1.642791957037206E-001;6.037112824580279E+001;
9.475055260225661E+007;-1.701185052229947E-001;4.882155042374743E+001;
9.836896774546625E+007;-1.911381453957373E-001;3.700609941838219E+001;
1.021255660210062E+008;-1.810516202206763E-001;2.468400155977628E+001;
1.060256244845224E+008;-1.884207813908254E-001;1.195101732410036E+001;
1.100746217163751E+008;-2.057318821880945E-001;-1.341640692972284E+000;
1.142782455176374E+008;-1.885590716384348E-001;-1.510759453199471E+001;
1.186424008999945E+008;-2.010907826428454E-001;-2.953695998182002E+001;
1.231732183807684E+008;-1.935425437480513E-001;-4.428582680704015E+001;
1.278770625947199E+008;-1.911463615525642E-001;-5.961363124619619E+001;
1.327605412347261E+008;-2.031653474961440E-001;-7.570413308825073E+001;
1.378305143338909E+008;-2.224769794896690E-001;-9.234079010328580E+001;
1.430941039021300E+008;-2.159026545660137E-001;-1.095877699566555E+002;
1.485587039307650E+008;-2.226979065174450E-001;-1.274381726980634E+002;
1.542319907791826E+008;-2.146449945766991E-001;-1.460382454152436E+002;
1.601219339581469E+008;-2.245156944389682E-001;-1.653818836275998E+002;
1.662368073249158E+008;-2.315273614101466E-001;1.745587542864313E+002;
1.725852007058845E+008;-2.428531806690283E-001;1.537523910432248E+002;
1.791760319630858E+008;-2.533645456850786E-001;1.321636949548441E+002;
1.860185595214950E+008;-2.435882830318425E-001;1.097360509706313E+002;
1.931223953747393E+008;-2.542034977043448E-001;8.655196603904000E+001;
2.004975185874796E+008;-2.517209353680824E-001;6.234035286271370E+001;
2.081542893134333E+008;-2.539277482106951E-001;3.726680140676078E+001;
2.161034633487289E+008;-2.694076163327355E-001;1.118024702678019E+001;
2.243562072410370E+008;-2.829111733176344E-001;-1.579525157931617E+001;
2.329241139757013E+008;-2.830424315062181E-001;-4.389219086901542E+001;
2.418192192609057E+008;-2.885658567628879E-001;-7.299236741896694E+001;
2.510540184347519E+008;-2.931373818473924E-001;-1.032391745290986E+002;
2.606414840180006E+008;-2.985516202995247E-001;-1.346659538657716E+002;
2.705950839371309E+008;-3.067250235766428E-001;-1.672491319375037E+002;
2.809288004433170E+008;-3.100455711569963E-001;1.588649524698209E+002;
2.916571497539004E+008;-3.168632106226952E-001;1.237466213531857E+002;
3.027952024439460E+008;-3.216372649025698E-001;8.729772533333397E+001;
3.143586046165293E+008;-3.322535509009588E-001;4.943364093038547E+001;
3.263635998814921E+008;-3.398250567483035E-001;1.012405933166114E+001;
3.388270521735421E+008;-3.457156160277555E-001;-3.071962530078329E+001;
3.517664694417494E+008;-3.537985938171674E-001;-7.308429932564087E+001;
3.652000282437178E+008;-3.552759898333169E-001;-1.170949526528475E+002;
3.791465992789793E+008;-3.690953212443365E-001;-1.627622705909677E+002;
3.936257738974798E+008;-3.723162787387021E-001;1.498399302395236E+002;
4.086578916203936E+008;-3.792577497458384E-001;1.006454748572536E+002;
4.242640687119258E+008;-3.907427881100530E-001;4.949930653446243E+001;
4.404662278422399E+008;-3.941637774392501E-001;-3.518514416628002E+000;
4.572871288831783E+008;-4.087909044701660E-001;-5.855711491895909E+001;
4.747504008800356E+008;-4.077176525355527E-001;-1.157410330342492E+002;
4.928805752442984E+008;-4.209811816076913E-001;-1.751209881853306E+002;
5.117031202139767E+008;-4.299684171458049E-001;1.232632344507010E+002;
5.312444766299368E+008;-4.374629073832211E-001;5.929184835924743E+001;
5.515320950784909E+008;-4.491726335543951E-001;-7.142952193243160E+000;
5.725944744524199E+008;-4.537523344239939E-001;-7.607224007664375E+001;
5.944612019845973E+008;-4.637323265765284E-001;-1.476747973910098E+002;
6.171629948104519E+008;-4.729046280622931E-001;1.380287085759361E+002;
6.407317431176524E+008;-4.813675375367031E-001;6.086404582872578E+001;
6.652005549436301E+008;-4.940347620024128E-001;-1.925424666221157E+001;
6.906038026838671E+008;-4.999741946622863E-001;-1.024000823715438E+002;
7.169771713762831E+008;-5.088988492084445E-001;1.712772323349575E+002;
7.443577088295471E+008;-5.168413283315375E-001;8.162699558678760E+001;
7.727838776657330E+008;-5.305686971863572E-001;-1.141053106416635E+001;
8.022956093504235E+008;-5.372320312656654E-001;-1.079941531796001E+002;
8.329343602861624E+008;-5.497970670892584E-001;1.516936621598259E+002;
8.647431700480518E+008;-5.587600842692275E-001;4.757391706062251E+001;
8.977667218432996E+008;-5.741028494472249E-001;-6.051431494650878E+001;
9.320514052796482E+008;-5.782514559859733E-001;-1.727267001073003E+002;
9.676453815308577E+008;-5.875595769774920E-001;7.076181252985211E+001;
1.004598650990784E+009;-6.023868470433718E-001;-5.020030441825366E+001;
1.042963123511089E+009;-6.114584777696289E-001;-1.757675389359390E+002;
1.082792691321250E+009;-6.238645057103965E-001;5.387754524625686E+001;
1.124143304733295E+009;-6.407454839278851E-001;-8.146568991218884E+001;
1.167073050737623E+009;-6.496424546451328E-001;1.380102799748519E+002;
1.211642234600307E+009;-6.636419465088316E-001;-7.857722875926764E+000;
1.257913464576497E+009;-6.723012783347345E-001;-1.592664740255646E+002;
1.305951739858941E+009;-6.882986951764571E-001;4.350192230103437E+001;
1.355824541885154E+009;-7.028480805412449E-001;-1.197384981957157E+002;
1.407601929131501E+009;-7.123275272186591E-001;7.082707597561497E+001;
1.461356635527369E+009;-7.304482162409663E-001;-1.051337573042764E+002;
1.517164172627645E+009;-7.423704150400404E-001;7.221536980060962E+001;
1.575102935687062E+009;-7.530262487478473E-001;-1.174074365616755E+002;
1.635254313785392E+009;-7.665514954620275E-001;4.575147147983252E+001;
1.697702804158197E+009;-7.799861598608834E-001;-1.586198586117910E+002;
1.762536130893741E+009;-7.973379560702131E-001;-1.076944467691834E+001;
1.829845368162803E+009;-8.129406420285354E-001;1.289260404068235E+002;
1.899725068154491E+009;-8.247360969754245E-001;-9.976869005183376E+001;
1.972273393897780E+009;-8.444116049462088E-001;2.274119495081659E+001;
2.047592257155356E+009;-8.631407863703879E-001;1.362614080812151E+002;
2.125787461583465E+009;-8.699081392505906E-001;-1.196150644407011E+002;
2.206968851358869E+009;-9.048347625653866E-001;-2.523824078807659E+001;
2.291250465481706E+009;-9.030131808924484E-001;5.891956933659370E+001;
2.378750697970985E+009;-9.106765396514223E-001;1.325891610624920E+002;
2.469592464177779E+009;-9.366748432271228E-001;-1.646949364110047E+002;
2.563903373449715E+009;-9.591836316399558E-001;-1.133041891161845E+002;
2.661815908389335E+009;-9.899236722216529E-001;-7.368365250116435E+001;
2.763467610958116E+009;-9.900813637225900E-001;-4.642206765471762E+001;
2.869001275687604E+009;-1.007516560532488E+000;-3.188068373974283E+001;
2.978565150269043E+009;-1.028152321431298E+000;-3.033012293446852E+001;
3.092313143803313E+009;-1.039489857181507E+000;-4.262228890480370E+001;
3.210405043003673E+009;-1.062716919807463E+000;-6.902142824585137E+001;
3.333006736655056E+009;-1.111049903154678E+000;-1.101766151170035E+002;
3.460290448645197E+009;-1.112057154374594E+000;-1.666152061191141E+002;
3.592434979894962E+009;-1.134737361171874E+000;1.210062490230010E+002;
3.729625959527711E+009;-1.128072007127734E+000;3.207453831122142E+001;
3.872056105630537E+009;-1.173224465006617E+000;-7.401316034485437E+001;
4.019925495973672E+009;-1.195671601334504E+000;1.621290643103739E+002;
4.173441849068368E+009;-1.214199341593483E+000;1.983994507375859E+001;
4.332820815958047E+009;-1.242437570154325E+000;-1.418088632343262E+002;
4.498286283152621E+009;-1.262183375102919E+000;3.678491559009159E+001;
4.670070687131537E+009;-1.287375255457036E+000;-1.654285673965904E+002;
4.848415340857322E+009;-1.319718840627252E+000;-2.892040203193654E+001;
5.033570772758309E+009;-1.338079311339752E+000;8.514347976756022E+001;
5.225797078656734E+009;-1.371255981797075E+000;1.762350457167696E+002;
5.425364287136548E+009;-1.397712142074954E+000;-1.168901812409352E+002;
5.632552738864227E+009;-1.431820048780446E+000;-7.496294651912861E+001;
