FUNIT: Hz
UNIT: dB
1.000000e+07 [-0.30, -32.79] [-0.10, -31.79] [0.10, -30.79]
1.038189e+07 [-0.33, -33.97] [-0.13, -32.97] [0.07, -31.97]
1.077836e+07 [-0.23, -36.41] [-0.03, -35.41] [0.17, -34.41]
1.118997e+07 [-0.25, -37.85] [-0.05, -36.85] [0.15, -35.85]
1.161731e+07 [-0.09, -40.00] [0.11, -39.00] [0.31, -38.00]
1.206096e+07 [-0.26, -41.54] [-0.06, -40.54] [0.14, -39.54]
1.252155e+07 [-0.36, -42.70] [-0.16, -41.70] [0.04, -40.70]
1.299974e+07 [-0.24, -43.62] [-0.04, -42.62] [0.16, -41.62]
1.349618e+07 [-0.29, -45.56] [-0.09, -44.56] [0.11, -43.56]
1.401158e+07 [-0.31, -47.20] [-0.11, -46.20] [0.09, -45.20]
1.454667e+07 [-0.30, -48.63] [-0.10, -47.63] [0.10, -46.63]
1.510219e+07 [-0.29, -51.01] [-0.09, -50.01] [0.11, -49.01]
1.567893e+07 [-0.31, -53.37] [-0.11, -52.37] [0.09, -51.37]
1.627769e+07 [-0.30, -54.86] [-0.10, -53.86] [0.10, -52.86]
1.689931e+07 [-0.27, -56.51] [-0.07, -55.51] [0.13, -54.51]
1.754468e+07 [-0.33, -58.86] [-0.13, -57.86] [0.07, -56.86]
1.821469e+07 [-0.29, -61.02] [-0.09, -60.02] [0.11, -59.02]
1.891029e+07 [-0.33, -63.83] [-0.13, -62.83] [0.07, -61.83]
1.963245e+07 [-0.29, -65.45] [-0.09, -64.45] [0.11, -63.45]
2.038219e+07 [-0.34, -68.24] [-0.14, -67.24] [0.06, -66.24]
2.116056e+07 [-0.26, -71.11] [-0.06, -70.11] [0.14, -69.11]
2.196866e+07 [-0.26, -73.40] [-0.06, -72.40] [0.14, -71.40]
2.280762e+07 [-0.34, -75.77] [-0.14, -74.77] [0.06, -73.77]
2.367862e+07 [-0.26, -78.81] [-0.06, -77.81] [0.14, -76.81]
2.458288e+07 [-0.28, -81.90] [-0.08, -80.90] [0.12, -79.90]
2.552167e+07 [-0.34, -85.14] [-0.14, -84.14] [0.06, -83.14]
2.649631e+07 [-0.27, -88.32] [-0.07, -87.32] [0.13, -86.32]
2.750818e+07 [-0.30, -91.58] [-0.10, -90.58] [0.10, -89.58]
2.855868e+07 [-0.24, -95.17] [-0.04, -94.17] [0.16, -93.17]
2.964930e+07 [-0.27, -98.78] [-0.07, -97.78] [0.13, -96.78]
3.078158e+07 [-0.29, -102.43] [-0.09, -101.43] [0.11, -100.43]
3.195709e+07 [-0.29, -106.38] [-0.09, -105.38] [0.11, -104.38]
3.317750e+07 [-0.32, -110.18] [-0.12, -109.18] [0.08, -108.18]
3.444451e+07 [-0.25, -114.24] [-0.05, -113.24] [0.15, -112.24]
3.575990e+07 [-0.35, -118.57] [-0.15, -117.57] [0.05, -116.57]
3.712553e+07 [-0.33, -122.83] [-0.13, -121.83] [0.07, -120.83]
3.854331e+07 [-0.34, -127.89] [-0.14, -126.89] [0.06, -125.89]
4.001524e+07 [-0.30, -132.51] [-0.10, -131.51] [0.10, -130.51]
4.154338e+07 [-0.32, -137.63] [-0.12, -136.63] [0.08, -135.63]
4.312987e+07 [-0.32, -142.82] [-0.12, -141.82] [0.08, -140.82]
4.477695e+07 [-0.31, -148.01] [-0.11, -147.01] [0.09, -146.01]
4.648693e+07 [-0.30, -153.70] [-0.10, -152.70] [0.10, -151.70]
4.826221e+07 [-0.30, -159.74] [-0.10, -158.74] [0.10, -157.74]
5.010529e+07 [-0.37, -165.88] [-0.17, -164.88] [0.03, -163.88]
5.201875e+07 [-0.30, -171.93] [-0.10, -170.93] [0.10, -169.93]
5.400529e+07 [-0.33, -178.61] [-0.13, -177.61] [0.07, -176.61]
5.606769e+07 [-0.29, 174.62] [-0.09, 175.62] [0.11, 176.62]
5.820885e+07 [-0.32, 167.72] [-0.12, 168.72] [0.08, 169.72]
6.043178e+07 [-0.33, 160.40] [-0.13, 161.40] [0.07, 162.40]
6.273960e+07 [-0.34, 152.73] [-0.14, 153.73] [0.06, 154.73]
6.513556e+07 [-0.34, 144.88] [-0.14, 145.88] [0.06, 146.88]
6.762301e+07 [-0.37, 136.74] [-0.17, 137.74] [0.03, 138.74]
7.020545e+07 [-0.34, 128.31] [-0.14, 129.31] [0.06, 130.31]
7.288652e+07 [-0.35, 119.52] [-0.15, 120.52] [0.05, 121.52]
7.566997e+07 [-0.34, 110.49] [-0.14, 111.49] [0.06, 112.49]
7.855972e+07 [-0.36, 101.09] [-0.16, 102.09] [0.04, 103.09]
8.155983e+07 [-0.37, 91.02] [-0.17, 92.02] [0.03, 93.02]
8.467450e+07 [-0.35, 80.94] [-0.15, 81.94] [0.05, 82.94]
8.790813e+07 [-0.36, 70.21] [-0.16, 71.21] [0.04, 72.21]
9.126524e+07 [-0.36, 59.37] [-0.16, 60.37] [0.04, 61.37]
9.475055e+07 [-0.37, 47.82] [-0.17, 48.82] [0.03, 49.82]
9.836897e+07 [-0.39, 36.01] [-0.19, 37.01] [0.01, 38.01]
1.021256e+08 [-0.38, 23.68] [-0.18, 24.68] [0.02, 25.68]
1.060256e+08 [-0.39, 10.95] [-0.19, 11.95] [0.01, 12.95]
1.100746e+08 [-0.41, -2.34] [-0.21, -1.34] [-0.01, -0.34]
1.142782e+08 [-0.39, -16.11] [-0.19, -15.11] [0.01, -14.11]
1.186424e+08 [-0.40, -30.54] [-0.20, -29.54] [-0.00, -28.54]
1.231732e+08 [-0.39, -45.29] [-0.19, -44.29] [0.01, -43.29]
1.278771e+08 [-0.39, -60.61] [-0.19, -59.61] [0.01, -58.61]
1.327605e+08 [-0.40, -76.70] [-0.20, -75.70] [-0.00, -74.70]
1.378305e+08 [-0.42, -93.34] [-0.22, -92.34] [-0.02, -91.34]
1.430941e+08 [-0.42, -110.59] [-0.22, -109.59] [-0.02, -108.59]
1.485587e+08 [-0.42, -128.44] [-0.22, -127.44] [-0.02, -126.44]
1.542320e+08 [-0.41, -147.04] [-0.21, -146.04] [-0.01, -145.04]
1.601219e+08 [-0.42, -166.38] [-0.22, -165.38] [-0.02, -164.38]
1.662368e+08 [-0.43, 173.56] [-0.23, 174.56] [-0.03, 175.56]
1.725852e+08 [-0.44, 152.75] [-0.24, 153.75] [-0.04, 154.75]
1.791760e+08 [-0.45, 131.16] [-0.25, 132.16] [-0.05, 133.16]
1.860186e+08 [-0.44, 108.74] [-0.24, 109.74] [-0.04, 110.74]
1.931224e+08 [-0.45, 85.55] [-0.25, 86.55] [-0.05, 87.55]
2.004975e+08 [-0.45, 61.34] [-0.25, 62.34] [-0.05, 63.34]
2.081543e+08 [-0.45, 36.27] [-0.25, 37.27] [-0.05, 38.27]
2.161035e+08 [-0.47, 10.18] [-0.27, 11.18] [-0.07, 12.18]
2.243562e+08 [-0.48, -16.80] [-0.28, -15.80] [-0.08, -14.80]
2.329241e+08 [-0.48, -44.89] [-0.28, -43.89] [-0.08, -42.89]
2.418192e+08 [-0.49, -73.99] [-0.29, -72.99] [-0.09, -71.99]
2.510540e+08 [-0.49, -104.24] [-0.29, -103.24] [-0.09, -102.24]
2.606415e+08 [-0.50, -135.67] [-0.30, -134.67] [-0.10, -133.67]
2.705951e+08 [-0.51, -168.25] [-0.31, -167.25] [-0.11, -166.25]
2.809288e+08 [-0.51, 157.86] [-0.31, 158.86] [-0.11, 159.86]
2.916571e+08 [-0.52, 122.75] [-0.32, 123.75] [-0.12, 124.75]
3.027952e+08 [-0.52, 86.30] [-0.32, 87.30] [-0.12, 88.30]
3.143586e+08 [-0.53, 48.43] [-0.33, 49.43] [-0.13, 50.43]
3.263636e+08 [-0.54, 9.12] [-0.34, 10.12] [-0.14, 11.12]
3.388271e+08 [-0.55, -31.72] [-0.35, -30.72] [-0.15, -29.72]
3.517665e+08 [-0.55, -74.08] [-0.35, -73.08] [-0.15, -72.08]
3.652000e+08 [-0.56, -118.09] [-0.36, -117.09] [-0.16, -116.09]
3.791466e+08 [-0.57, -163.76] [-0.37, -162.76] [-0.17, -161.76]
3.936258e+08 [-0.57, 148.84] [-0.37, 149.84] [-0.17, 150.84]
4.086579e+08 [-0.58, 99.65] [-0.38, 100.65] [-0.18, 101.65]
4.242641e+08 [-0.59, 48.50] [-0.39, 49.50] [-0.19, 50.50]
4.404662e+08 [-0.59, -4.52] [-0.39, -3.52] [-0.19, -2.52]
4.572871e+08 [-0.61, -59.56] [-0.41, -58.56] [-0.21, -57.56]
4.747504e+08 [-0.61, -116.74] [-0.41, -115.74] [-0.21, -114.74]
4.928806e+08 [-0.62, -176.12] [-0.42, -175.12] [-0.22, -174.12]
5.117031e+08 [-0.63, 122.26] [-0.43, 123.26] [-0.23, 124.26]
5.312445e+08 [-0.64, 58.29] [-0.44, 59.29] [-0.24, 60.29]
5.515321e+08 [-0.65, -8.14] [-0.45, -7.14] [-0.25, -6.14]
5.725945e+08 [-0.65, -77.07] [-0.45, -76.07] [-0.25, -75.07]
5.944612e+08 [-0.66, -148.67] [-0.46, -147.67] [-0.26, -146.67]
6.171630e+08 [-0.67, 137.03] [-0.47, 138.03] [-0.27, 139.03]
6.407317e+08 [-0.68, 59.86] [-0.48, 60.86] [-0.28, 61.86]
6.652006e+08 [-0.69, -20.25] [-0.49, -19.25] [-0.29, -18.25]
6.906038e+08 [-0.70, -103.40] [-0.50, -102.40] [-0.30, -101.40]
7.169772e+08 [-0.71, 170.28] [-0.51, 171.28] [-0.31, 172.28]
