# Version 1.00
#
freq[Hz];db:Trc1_S21;ang:Trc1_S21;
1.000000000000000E+007;-9.073764921551700E-002;-2.434721067503049E+001;
1.038188855303029E+007;-8.908575461500702E-002;-2.486253184822577E+001;
1.077836099275414E+007;-1.796670661432319E-002;-2.700170395238763E+001;
1.118997426111024E+007;-1.822141451578746E-002;-2.841592238025565E+001;
1.161730656901240E+007;1.001811177973184E-001;-2.962110746447897E+001;
1.206095820858735E+007;-4.897355831946992E-002;-3.135778320001184E+001;
1.252155239643097E+007;-1.661002354402844E-001;-3.179894139324130E+001;
1.299973614906757E+007;-2.467580640801777E-002;-3.278058085374326E+001;
1.349618119184187E+007;-8.591478542719601E-002;-3.382581343335338E+001;
1.401158490252058E+007;-1.028964615371497E-001;-3.519057564254960E+001;
1.454667129092905E+007;-6.459642233667169E-002;-3.602591412245026E+001;
1.510219201599907E+007;-7.776948473262924E-002;-3.812039997609512E+001;
1.567892744165662E+007;-8.646596429813437E-002;-4.023540170337057E+001;
1.627768773303274E+007;-8.452733416283900E-002;-4.110842059345720E+001;
1.689931399453742E+007;-3.427179980107225E-002;-4.218071538558025E+001;
1.754467945139527E+007;-1.313161964717770E-001;-4.411682081344934E+001;
1.821469067630263E+007;-8.346316292993286E-002;-4.578316984336057E+001;
1.891028886292939E+007;-1.078363452311412E-001;-4.794276431897571E+001;
1.963245114805428E+007;-6.540454571972543E-002;-4.912225283432894E+001;
2.038219198419111E+007;-1.121539120962735E-001;-5.119871891324301E+001;
2.116056456463395E+007;-2.440884741105479E-002;-5.360593704393848E+001;
2.196866230292316E+007;-4.600146989932453E-002;-5.522834921904347E+001;
2.280762036881060E+007;-1.235592253722190E-001;-5.680069164378297E+001;
2.367861728288153E+007;-4.430890600849424E-002;-5.919118060510319E+001;
2.458287657207330E+007;-5.349490534447676E-002;-6.173003167577974E+001;
2.552166848841643E+007;-1.225072004117864E-001;-6.426605149784705E+001;
2.649631179341245E+007;-4.697824122154718E-002;-6.664381828976326E+001;
2.750817561055502E+007;-6.941902621865606E-002;-6.917360007688605E+001;
2.855868134859682E+007;-1.081673532221059E-002;-7.204891408056076E+001;
2.964930469826371E+007;-4.497196313323383E-002;-7.469808809319788E+001;
3.078157770522112E+007;-5.031894412503218E-002;-7.727608328579777E+001;
3.195709092220476E+007;-5.873224367537287E-002;-8.036041094877994E+001;
3.317749564333858E+007;-9.354667754910787E-002;-8.328446254663260E+001;
3.444450622377892E+007;-4.053742219848747E-002;-8.643979392279971E+001;
3.575990248794310E+007;-1.141704242447946E-001;-8.974439016712853E+001;
3.712553222970559E+007;-1.065529975340265E-001;-9.290553279531486E+001;
3.854331380807376E+007;-1.189274634670517E-001;-9.686607963043228E+001;
4.001523884198953E+007;-7.785822808048483E-002;-1.003964233116774E+002;
4.154337500804243E+007;-9.667815213374709E-002;-1.042839564384785E+002;
4.312986894502404E+007;-9.804738455596251E-002;-1.082089561412135E+002;
4.477694926940417E+007;-9.348136791264376E-002;-1.121301124318481E+002;
4.648692970596453E+007;-7.583160025726665E-002;-1.164851462640524E+002;
4.826221233798770E+007;-6.721082830917792E-002;-1.211908931108413E+002;
5.010529098156718E+007;-1.390838382501458E-001;-1.259115937923107E+002;
5.201875468877842E+007;-7.921260331587642E-002;-1.304480516267083E+002;
5.400529138463195E+007;-9.290462781915232E-002;-1.355862962166840E+002;
5.606769164291760E+007;-6.478526969985764E-002;-1.407567519727622E+002;
5.820885260624383E+007;-9.074543183638410E-002;-1.460415185999275E+002;
6.043178205577903E+007;-9.418309815474547E-002;-1.515360821842751E+002;
6.273960263641138E+007;-1.170993576024742E-001;-1.574321690697311E+002;
6.513555624326284E+007;-1.070109274888076E-001;-1.634377686530313E+002;
6.762300857571912E+007;-1.426233491391063E-001;-1.697018334844669E+002;
7.020545386537276E+007;-1.037694184155517E-001;-1.760548295221394E+002;
7.288651978452097E+007;-1.070191657512521E-001;1.772040895021871E+002;
7.566997254211341E+007;-1.047791440506699E-001;1.703470523678063E+002;
7.855972217430838E+007;-1.174612634743435E-001;1.631728418170474E+002;
8.155982803706922E+007;-1.318783007910716E-001;1.554178874940016E+002;
8.467450450851679E+007;-1.207104779968619E-001;1.477928546537249E+002;
8.790812690904823E+007;-1.260044562069856E-001;1.395484114101128E+002;
9.126523764753820E+007;-1.228429563273620E-001;1.313306792201708E+002;
9.475055260225661E+007;-1.287194877123813E-001;1.224648459703135E+002;
9.836896774546625E+007;-1.522748328116878E-001;1.134812677561450E+002;
1.021255660210062E+008;-1.355753890648116E-001;1.040569572821937E+002;
1.060256244845224E+008;-1.479199954956206E-001;9.435283630291605E+001;
1.100746217163751E+008;-1.664748352033202E-001;8.418992090077056E+001;
1.142782455176374E+008;-1.482803853921126E-001;7.371045212092287E+001;
1.186424008999945E+008;-1.534205681574461E-001;6.268803871101245E+001;
1.231732183807684E+008;-1.495391875497611E-001;5.140888174871081E+001;
1.278770625947199E+008;-1.477369518172371E-001;3.972368640923906E+001;
1.327605412347261E+008;-1.565636640882919E-001;2.741794254081562E+001;
1.378305143338909E+008;-1.728469973700340E-001;1.470371188352037E+001;
1.430941039021300E+008;-1.715777259640415E-001;1.577356004620456E+000;
1.485587039307650E+008;-1.758556790131466E-001;-1.205906311088516E+001;
1.542319907791826E+008;-1.682051981773864E-001;-2.623235967986125E+001;
1.601219339581469E+008;-1.725582053691313E-001;-4.102012160625841E+001;
1.662368073249158E+008;-1.771571014295234E-001;-5.635801343580805E+001;
1.725852007058845E+008;-1.889328016872439E-001;-7.223648057676374E+001;
1.791760319630858E+008;-2.012297429426877E-001;-8.868278890199304E+001;
1.860185595214950E+008;-1.923970571067460E-001;-1.058443272983335E+002;
1.931223953747393E+008;-1.951512504676092E-001;-1.234829136257461E+002;
2.004975185874796E+008;-1.981477903656416E-001;-1.419967122722650E+002;
2.081542893134333E+008;-1.976547989089143E-001;-1.611292671128305E+002;
2.161034633487289E+008;-2.140017109373249E-001;1.789416285241157E+002;
2.243562072410370E+008;-2.239274427678404E-001;1.583947432262197E+002;
2.329241139757013E+008;-2.255432941428991E-001;1.369072736576967E+002;
2.418192192609057E+008;-2.276599558008988E-001;1.147104450877708E+002;
2.510540184347519E+008;-2.308660304547744E-001;9.160685593108342E+001;
2.606414840180006E+008;-2.362149901105113E-001;6.764163902608607E+001;
2.705950839371309E+008;-2.398152449207831E-001;4.276567391339935E+001;
2.809288004433170E+008;-2.446103307136552E-001;1.689217979139421E+001;
2.916571497539004E+008;-2.491692587212160E-001;-9.908814554746527E+000;
3.027952024439460E+008;-2.516858871035377E-001;-3.771629590941105E+001;
3.143586046165293E+008;-2.619876390523530E-001;-6.660975908559449E+001;
3.263635998814921E+008;-2.674041354753192E-001;-9.662247931670150E+001;
3.388270521735421E+008;-2.716416438184832E-001;-1.278093916113332E+002;
3.517664694417494E+008;-2.784270382342202E-001;-1.601678094266004E+002;
3.652000282437178E+008;-2.822642577507928E-001;1.662607759207413E+002;
3.791465992789793E+008;-2.907071568165168E-001;1.314274036927718E+002;
3.936257738974798E+008;-2.939668130099919E-001;9.522947655736246E+001;
4.086578916203936E+008;-3.012884092830589E-001;5.769957701008408E+001;
4.242640687119258E+008;-3.101892004116986E-001;1.865527137224182E+001;
4.404662278422399E+008;-3.097652829996780E-001;-2.179774055235210E+001;
4.572871288831783E+008;-3.213767030275822E-001;-6.381835568948033E+001;
4.747504008800356E+008;-3.224548119216861E-001;-1.074712209821254E+002;
4.928805752442984E+008;-3.326521945282947E-001;-1.528010329013476E+002;
5.117031202139767E+008;-3.440355678619328E-001;1.601910011789439E+002;
5.312444766299368E+008;-3.456574857169313E-001;1.113728945204537E+002;
5.515320950784909E+008;-3.566873565771066E-001;6.063774831796812E+001;
5.725944744524199E+008;-3.599832576114285E-001;8.033694208698005E+000;
5.944612019845973E+008;-3.713183913568071E-001;-4.658424718257580E+001;
6.171629948104519E+008;-3.731748212010670E-001;-1.033038088636962E+002;
6.407317431176524E+008;-3.843464980849717E-001;-1.621912568565084E+002;
6.652005549436301E+008;-3.926320557745590E-001;1.366611820226019E+002;
6.906038026838671E+008;-3.959353582768191E-001;7.318715761714714E+001;
7.169771713762831E+008;-4.041254697755262E-001;7.303381866356845E+000;
7.443577088295471E+008;-4.117714603928115E-001;-6.111174577527236E+001;
7.727838776657330E+008;-4.205740481674209E-001;-1.321232517177258E+002;
8.022956093504235E+008;-4.287207508511248E-001;1.541493244689020E+002;
8.329343602861624E+008;-4.336858912046673E-001;7.763295087644769E+001;
8.647431700480518E+008;-4.443853974266674E-001;-1.870473720761997E+000;
8.977667218432996E+008;-4.540750405051926E-001;-8.435747816483004E+001;
9.320514052796482E+008;-4.587195383142375E-001;-1.700139267392633E+002;
9.676453815308577E+008;-4.679178857482652E-001;1.010689974338151E+002;
1.004598650990784E+009;-4.786831934899468E-001;8.747941497529265E+000;
1.042963123511089E+009;-4.883640006111709E-001;-8.706461323899494E+001;
1.082792691321250E+009;-4.954119751906912E-001;1.733992167272049E+002;
1.124143304733295E+009;-5.086285301928697E-001;7.012547873949143E+001;
1.167073050737623E+009;-5.140416141889664E-001;-3.713435772386480E+001;
1.211642234600307E+009;-5.256248562983898E-001;-1.484678785789396E+002;
1.257913464576497E+009;-5.367735075637738E-001;9.596798016386795E+001;
1.305951739858941E+009;-5.441389830651999E-001;-2.404597343136006E+001;
1.355824541885154E+009;-5.562168536354490E-001;-1.486212031870404E+002;
1.407601929131501E+009;-5.657437160927622E-001;8.206637636743447E+001;
1.461356635527369E+009;-5.768367437842837E-001;-5.223792975436285E+001;
1.517164172627645E+009;-5.864303698453589E-001;1.683645415519521E+002;
1.575102935687062E+009;-5.955398878553245E-001;2.361194646045821E+001;
1.635254313785392E+009;-6.081959685228282E-001;-1.266066934243291E+002;
1.697702804158197E+009;-6.182995159809491E-001;7.737243734240363E+001;
1.762536130893741E+009;-6.273015689222068E-001;-8.455332509341716E+001;
1.829845368162803E+009;-6.412798004381320E-001;1.073466627062965E+002;
1.899725068154491E+009;-6.526373703441283E-001;-6.718048433025884E+001;
1.972273393897780E+009;-6.677594825657165E-001;1.115806539420515E+002;
2.047592257155356E+009;-6.814448857186786E-001;-7.657494477991028E+001;
2.125787461583465E+009;-6.864004416873285E-001;8.813197466963797E+001;
2.206968851358869E+009;-7.012986146429354E-001;-1.146111465429174E+002;
2.291250465481706E+009;-7.157824423658936E-001;3.483324790524724E+001;
2.378750697970985E+009;-7.216988106608155E-001;1.763313484978669E+002;
2.469592464177779E+009;-7.305266530405918E-001;-5.058020609648128E+001;
2.563903373449715E+009;-7.609395331620107E-001;7.387870964621948E+001;
2.661815908389335E+009;-7.733557463808282E-001;-1.707402093331361E+002;
2.763467610958116E+009;-7.839288010412822E-001;-6.462370899429740E+001;
2.869001275687604E+009;-8.025850353119280E-001;3.180645978093642E+001;
2.978565150269043E+009;-8.176604757296597E-001;1.181083483136566E+002;
3.092313143803313E+009;-8.304646469998573E-001;-1.659248241377321E+002;
3.210405043003673E+009;-8.449867210611195E-001;-1.009544613780687E+002;
3.333006736655056E+009;-8.665141694322274E-001;-4.723676264053385E+001;
3.460290448645197E+009;-8.801487397530956E-001;-4.975603941549712E+000;
3.592434979894962E+009;-8.874912545233399E-001;2.502275096429723E+001;
3.729625959527711E+009;-8.929465663421951E-001;4.242681330850119E+001;
3.872056105630537E+009;-9.316187825906104E-001;4.666584329313630E+001;
4.019925495973672E+009;-9.651820689682599E-001;3.736512691381931E+001;
4.173441849068368E+009;-9.727849135148519E-001;1.397681876964687E+001;
4.332820815958047E+009;-1.000412396194461E+000;-2.420683975893339E+001;
4.498286283152621E+009;-1.027247452454383E+000;-7.747000404999551E+001;
4.670070687131537E+009;-1.052968353561556E+000;-1.465275638561819E+002;
4.848415340857322E+009;-1.088783564637533E+000;1.281356295941224E+002;
5.033570772758309E+009;-1.107548098084190E+000;2.571830727632733E+001;
5.225797078656734E+009;-1.158577126497817E+000;-9.429155899011346E+001;
5.425364287136548E+009;-1.222897715065207E+000;1.273390945771402E+002;
5.632552738864227E+009;-1.237034676851455E+000;-2.998645317361964E+001;
5.847653480395394E+009;-1.251215699305457E+000;1.532617641519316E+002;
6.070968673020469E+009;-1.270786473685933E+000;-4.420138868226378E+001;
6.302812017223670E+009;-1.271480405288272E+000;9.696236948509758E+001;
6.543509193351618E+009;-1.271897910467703E+000;-1.439798737439675E+002;
6.793398319110564E+009;-1.247881210820013E+000;-4.794118211001715E+001;
7.052830424534919E+009;-1.257634399177346E+000;2.410737815235306E+001;
7.322169945094285E+009;-1.259368197055920E+000;7.151629993517877E+001;
7.601795233631680E+009;-1.235587102559309E+000;9.307153811895405E+001;
7.892099091852097E+009;-1.251229919801301E+000;8.797314655634852E+001;
8.193489322108005E+009;-1.254830355734286E+000;5.496207112977955E+001;
8.506389300256902E+009;-1.300397204917715E+000;-6.510090612620268E+000;
8.831238570395649E+009;-1.331731168501472E+000;-9.785398503829507E+001;
9.168493462307018E+009;-1.372017592312246E+000;1.396621932356958E+002;
9.518627732485830E+009;-1.393193807427736E+000;-1.467093947701032E+001;
9.882133229645132E+009;-1.421532437310020E+000;1.576189192219076E+002;
1.025952058563731E+010;-1.445885493688670E+000;-6.482867829114878E+001;
1.065131993276066E+010;-1.475660751140243E+000;3.678339886520179E+001;
1.105808164845913E+010;-1.520475979842226E+000;1.009642849241652E+002;
1.148037712846121E+010;-1.530866801908511E+000;1.264221353073163E+002;
1.191879958944423E+010;-1.569652608458399E+000;1.115696500167298E+002;
1.237396490235132E+010;-1.589552115140172E+000;5.486363264719590E+001;
1.284651245753197E+010;-1.617793553569414E+000;-4.525677591498237E+001;
1.333710606292122E+010;-1.718986809667387E+000;1.692096225574772E+002;
1.384643487651927E+010;-1.796574428416242E+000;-2.231456281796585E+001;
1.437521437448148E+010;-1.744142799660294E+000;9.731882041357602E+001;
1.492418735617858E+010;-1.783292868189521E+000;1.667403254603298E+002;
1.549412498763898E+010;-1.826063540522190E+000;-1.771627750645385E+002;
1.608582788483898E+010;-1.838427291864908E+000;1.454353035064489E+002;
1.670012723836252E+010;-1.812556956446348E+000;5.025452313960626E+001;
1.733788598101053E+010;-1.939782104406644E+000;-1.020518118809982E+002;
1.800000000000000E+010;-1.951319908678027E+000;4.426871870547566E+001;
