FUNIT: Hz
UNIT: dB
1.000000e+07 [-0.29, -25.35] [-0.09, -24.35] [0.11, -23.35]
1.038189e+07 [-0.29, -25.86] [-0.09, -24.86] [0.11, -23.86]
1.077836e+07 [-0.22, -28.00] [-0.02, -27.00] [0.18, -26.00]
1.118997e+07 [-0.22, -29.42] [-0.02, -28.42] [0.18, -27.42]
1.161731e+07 [-0.10, -30.62] [0.10, -29.62] [0.30, -28.62]
1.206096e+07 [-0.25, -32.36] [-0.05, -31.36] [0.15, -30.36]
1.252155e+07 [-0.37, -32.80] [-0.17, -31.80] [0.03, -30.80]
1.299974e+07 [-0.22, -33.78] [-0.02, -32.78] [0.18, -31.78]
1.349618e+07 [-0.29, -34.83] [-0.09, -33.83] [0.11, -32.83]
1.401158e+07 [-0.30, -36.19] [-0.10, -35.19] [0.10, -34.19]
1.454667e+07 [-0.26, -37.03] [-0.06, -36.03] [0.14, -35.03]
1.510219e+07 [-0.28, -39.12] [-0.08, -38.12] [0.12, -37.12]
1.567893e+07 [-0.29, -41.24] [-0.09, -40.24] [0.11, -39.24]
1.627769e+07 [-0.28, -42.11] [-0.08, -41.11] [0.12, -40.11]
1.689931e+07 [-0.23, -43.18] [-0.03, -42.18] [0.17, -41.18]
1.754468e+07 [-0.33, -45.12] [-0.13, -44.12] [0.07, -43.12]
1.821469e+07 [-0.28, -46.78] [-0.08, -45.78] [0.12, -44.78]
1.891029e+07 [-0.31, -48.94] [-0.11, -47.94] [0.09, -46.94]
1.963245e+07 [-0.27, -50.12] [-0.07, -49.12] [0.13, -48.12]
2.038219e+07 [-0.31, -52.20] [-0.11, -51.20] [0.09, -50.20]
2.116056e+07 [-0.22, -54.61] [-0.02, -53.61] [0.18, -52.61]
2.196866e+07 [-0.25, -56.23] [-0.05, -55.23] [0.15, -54.23]
2.280762e+07 [-0.32, -57.80] [-0.12, -56.80] [0.08, -55.80]
2.367862e+07 [-0.24, -60.19] [-0.04, -59.19] [0.16, -58.19]
2.458288e+07 [-0.25, -62.73] [-0.05, -61.73] [0.15, -60.73]
2.552167e+07 [-0.32, -65.27] [-0.12, -64.27] [0.08, -63.27]
2.649631e+07 [-0.25, -67.64] [-0.05, -66.64] [0.15, -65.64]
2.750818e+07 [-0.27, -70.17] [-0.07, -69.17] [0.13, -68.17]
2.855868e+07 [-0.21, -73.05] [-0.01, -72.05] [0.19, -71.05]
2.964930e+07 [-0.24, -75.70] [-0.04, -74.70] [0.16, -73.70]
3.078158e+07 [-0.25, -78.28] [-0.05, -77.28] [0.15, -76.28]
3.195709e+07 [-0.26, -81.36] [-0.06, -80.36] [0.14, -79.36]
3.317750e+07 [-0.29, -84.28] [-0.09, -83.28] [0.11, -82.28]
3.444451e+07 [-0.24, -87.44] [-0.04, -86.44] [0.16, -85.44]
3.575990e+07 [-0.31, -90.74] [-0.11, -89.74] [0.09, -88.74]
3.712553e+07 [-0.31, -93.91] [-0.11, -92.91] [0.09, -91.91]
3.854331e+07 [-0.32, -97.87] [-0.12, -96.87] [0.08, -95.87]
4.001524e+07 [-0.28, -101.40] [-0.08, -100.40] [0.12, -99.40]
4.154338e+07 [-0.30, -105.28] [-0.10, -104.28] [0.10, -103.28]
4.312987e+07 [-0.30, -109.21] [-0.10, -108.21] [0.10, -107.21]
4.477695e+07 [-0.29, -113.13] [-0.09, -112.13] [0.11, -111.13]
4.648693e+07 [-0.28, -117.49] [-0.08, -116.49] [0.12, -115.49]
4.826221e+07 [-0.27, -122.19] [-0.07, -121.19] [0.13, -120.19]
5.010529e+07 [-0.34, -126.91] [-0.14, -125.91] [0.06, -124.91]
5.201875e+07 [-0.28, -131.45] [-0.08, -130.45] [0.12, -129.45]
5.400529e+07 [-0.29, -136.59] [-0.09, -135.59] [0.11, -134.59]
5.606769e+07 [-0.26, -141.76] [-0.06, -140.76] [0.14, -139.76]
5.820885e+07 [-0.29, -147.04] [-0.09, -146.04] [0.11, -145.04]
6.043178e+07 [-0.29, -152.54] [-0.09, -151.54] [0.11, -150.54]
6.273960e+07 [-0.32, -158.43] [-0.12, -157.43] [0.08, -156.43]
6.513556e+07 [-0.31, -164.44] [-0.11, -163.44] [0.09, -162.44]
6.762301e+07 [-0.34, -170.70] [-0.14, -169.70] [0.06, -168.70]
7.020545e+07 [-0.30, -177.05] [-0.10, -176.05] [0.10, -175.05]
7.288652e+07 [-0.31, 176.20] [-0.11, 177.20] [0.09, 178.20]
7.566997e+07 [-0.30, 169.35] [-0.10, 170.35] [0.10, 171.35]
7.855972e+07 [-0.32, 162.17] [-0.12, 163.17] [0.08, 164.17]
8.155983e+07 [-0.33, 154.42] [-0.13, 155.42] [0.07, 156.42]
8.467450e+07 [-0.32, 146.79] [-0.12, 147.79] [0.08, 148.79]
8.790813e+07 [-0.33, 138.55] [-0.13, 139.55] [0.07, 140.55]
9.126524e+07 [-0.32, 130.33] [-0.12, 131.33] [0.08, 132.33]
9.475055e+07 [-0.33, 121.46] [-0.13, 122.46] [0.07, 123.46]
9.836897e+07 [-0.35, 112.48] [-0.15, 113.48] [0.05, 114.48]
1.021256e+08 [-0.34, 103.06] [-0.14, 104.06] [0.06, 105.06]
1.060256e+08 [-0.35, 93.35] [-0.15, 94.35] [0.05, 95.35]
1.100746e+08 [-0.37, 83.19] [-0.17, 84.19] [0.03, 85.19]
1.142782e+08 [-0.35, 72.71] [-0.15, 73.71] [0.05, 74.71]
1.186424e+08 [-0.35, 61.69] [-0.15, 62.69] [0.05, 63.69]
1.231732e+08 [-0.35, 50.41] [-0.15, 51.41] [0.05, 52.41]
1.278771e+08 [-0.35, 38.72] [-0.15, 39.72] [0.05, 40.72]
1.327605e+08 [-0.36, 26.42] [-0.16, 27.42] [0.04, 28.42]
1.378305e+08 [-0.37, 13.70] [-0.17, 14.70] [0.03, 15.70]
1.430941e+08 [-0.37, 0.58] [-0.17, 1.58] [0.03, 2.58]
1.485587e+08 [-0.38, -13.06] [-0.18, -12.06] [0.02, -11.06]
1.542320e+08 [-0.37, -27.23] [-0.17, -26.23] [0.03, -25.23]
1.601219e+08 [-0.37, -42.02] [-0.17, -41.02] [0.03, -40.02]
1.662368e+08 [-0.38, -57.36] [-0.18, -56.36] [0.02, -55.36]
1.725852e+08 [-0.39, -73.24] [-0.19, -72.24] [0.01, -71.24]
1.791760e+08 [-0.40, -89.68] [-0.20, -88.68] [-0.00, -87.68]
1.860186e+08 [-0.39, -106.84] [-0.19, -105.84] [0.01, -104.84]
1.931224e+08 [-0.40, -124.48] [-0.20, -123.48] [0.00, -122.48]
2.004975e+08 [-0.40, -143.00] [-0.20, -142.00] [0.00, -141.00]
2.081543e+08 [-0.40, -162.13] [-0.20, -161.13] [0.00, -160.13]
2.161035e+08 [-0.41, 177.94] [-0.21, 178.94] [-0.01, 179.94]
2.243562e+08 [-0.42, 157.39] [-0.22, 158.39] [-0.02, 159.39]
2.329241e+08 [-0.43, 135.91] [-0.23, 136.91] [-0.03, 137.91]
2.418192e+08 [-0.43, 113.71] [-0.23, 114.71] [-0.03, 115.71]
2.510540e+08 [-0.43, 90.61] [-0.23, 91.61] [-0.03, 92.61]
2.606415e+08 [-0.44, 66.64] [-0.24, 67.64] [-0.04, 68.64]
2.705951e+08 [-0.44, 41.77] [-0.24, 42.77] [-0.04, 43.77]
2.809288e+08 [-0.44, 15.89] [-0.24, 16.89] [-0.04, 17.89]
2.916571e+08 [-0.45, -10.91] [-0.25, -9.91] [-0.05, -8.91]
3.027952e+08 [-0.45, -38.72] [-0.25, -37.72] [-0.05, -36.72]
3.143586e+08 [-0.46, -67.61] [-0.26, -66.61] [-0.06, -65.61]
