# Version 1.00
#
freq[Hz];Trc1_S21[dB];
1.000000000000000E+007;-1.509723670378023E-001;
1.038188855303029E+007;-1.684901277695519E-001;
1.077836099275414E+007;-1.138950232396135E-001;
1.118997426111024E+007;-1.288372973720425E-001;
1.161730656901240E+007;-1.285149135534412E-001;
1.206095820858735E+007;-1.540228300233918E-001;
1.252155239643097E+007;-2.041941095510994E-001;
1.299973614906757E+007;-1.534714327551759E-001;
1.349618119184187E+007;-1.679098299622336E-001;
1.401158490252058E+007;-1.974908295760549E-001;
1.454667129092905E+007;-1.203982254685652E-001;
1.510219201599907E+007;-1.601259444875128E-001;
1.567892744165662E+007;-1.987709267746201E-001;
1.627768773303274E+007;-1.546834716066200E-001;
1.689931399453742E+007;-1.228343120013026E-001;
1.754467945139527E+007;-1.681436088405887E-001;
1.821469067630263E+007;-1.409175518769809E-001;
1.891028886292939E+007;-1.820709901083009E-001;
1.963245114805428E+007;-1.672566820724586E-001;
2.038219198419111E+007;-1.848372385059760E-001;
2.116056456463395E+007;-1.812853944007282E-001;
2.196866230292316E+007;-1.875072074964562E-001;
2.280762036881060E+007;-1.857061300422409E-001;
2.367861728288153E+007;-2.361776268634626E-001;
2.458287657207330E+007;-1.980956309737840E-001;
2.552166848841643E+007;-1.733758997155552E-001;
2.649631179341245E+007;-1.984851500396150E-001;
2.750817561055502E+007;-2.125501185888703E-001;
2.855868134859682E+007;-2.138421131452996E-001;
2.964930469826371E+007;-2.060540319765520E-001;
3.078157770522112E+007;-2.015170622439486E-001;
3.195709092220476E+007;-1.966334697503087E-001;
3.317749564333858E+007;-2.255759283783405E-001;
3.444450622377892E+007;-2.262988669794079E-001;
3.575990248794310E+007;-2.308986786544124E-001;
3.712553222970559E+007;-2.315144167770197E-001;
3.854331380807376E+007;-2.528513760368969E-001;
4.001523884198953E+007;-2.338533916261421E-001;
4.154337500804243E+007;-2.512453873018850E-001;
4.312986894502404E+007;-2.473819727517949E-001;
4.477694926940417E+007;-2.464055154117739E-001;
4.648692970596453E+007;-2.566517007085713E-001;
4.826221233798770E+007;-2.593235084352164E-001;
5.010529098156718E+007;-2.689695978815536E-001;
5.201875468877842E+007;-2.678522820677566E-001;
5.400529138463195E+007;-2.699115090081385E-001;
5.606769164291760E+007;-2.737098637174908E-001;
5.820885260624383E+007;-2.782744592926607E-001;
6.043178205577903E+007;-2.940307838001508E-001;
6.273960263641138E+007;-2.866219903128816E-001;
6.513555624326284E+007;-2.990585249941148E-001;
6.762300857571912E+007;-3.016658012063178E-001;
7.020545386537276E+007;-3.068033376061770E-001;
7.288651978452097E+007;-3.171588102261012E-001;
7.566997254211341E+007;-3.213014301680311E-001;
7.855972217430838E+007;-3.295623859844367E-001;
8.155982803706922E+007;-3.331458647443787E-001;
8.467450450851679E+007;-3.479498818466222E-001;
8.790812690904823E+007;-3.450980410808620E-001;
9.126523764753820E+007;-3.594122801092987E-001;
9.475055260225661E+007;-3.644037310296989E-001;
9.836896774546625E+007;-3.671498233615525E-001;
1.021255660210062E+008;-3.747289286240379E-001;
1.060256244845224E+008;-3.808741348359053E-001;
1.100746217163751E+008;-3.846271905124631E-001;
1.142782455176374E+008;-3.915193912236829E-001;
1.186424008999945E+008;-3.994482856030764E-001;
1.231732183807684E+008;-4.077171993202578E-001;
1.278770625947199E+008;-4.145520339765625E-001;
1.327605412347261E+008;-4.205831967043839E-001;
1.378305143338909E+008;-4.262883993187587E-001;
1.430941039021300E+008;-4.343812987344060E-001;
1.485587039307650E+008;-4.466247968277794E-001;
1.542319907791826E+008;-4.542809224045991E-001;
1.601219339581469E+008;-4.604906779940930E-001;
1.662368073249158E+008;-4.700332737477111E-001;
1.725852007058845E+008;-4.797974278364338E-001;
1.791760319630858E+008;-4.913133520460526E-001;
1.860185595214950E+008;-4.975882798953339E-001;
1.931223953747393E+008;-5.095840108117963E-001;
2.004975185874796E+008;-5.156689532456777E-001;
2.081542893134333E+008;-5.251386190442755E-001;
2.161034633487289E+008;-5.350673752234088E-001;
