# Version 1.00
#
freq[Hz];Trc1_S21[dB];
1.000000000000000E+007;-8.589607481262078E-002;
1.038188855303029E+007;-8.953136008768120E-002;
1.077836099275414E+007;-5.186315235306147E-002;
1.118997426111024E+007;-7.055617294614297E-002;
1.161730656901240E+007;-1.076784900964560E-002;
1.206095820858735E+007;-9.553778106306819E-002;
1.252155239643097E+007;-8.811632436574665E-002;
1.299973614906757E+007;-9.363779144357853E-002;
1.349618119184187E+007;-8.324975068399523E-002;
1.401158490252058E+007;-4.189113882549942E-002;
1.454667129092905E+007;-6.415941478082651E-002;
1.510219201599907E+007;-6.104040941570236E-002;
1.567892744165662E+007;-8.376857223043356E-002;
1.627768773303274E+007;-7.859568292942457E-002;
1.689931399453742E+007;-6.207976992973900E-002;
1.754467945139527E+007;-3.741435575479177E-002;
1.821469067630263E+007;-6.047352896548793E-002;
1.891028886292939E+007;-8.659583544972335E-002;
1.963245114805428E+007;-5.531797954143787E-002;
2.038219198419111E+007;-7.486961314490265E-002;
2.116056456463395E+007;-8.192972299717974E-002;
2.196866230292316E+007;-8.887174314178269E-002;
2.280762036881060E+007;-8.623264248802005E-002;
2.367861728288153E+007;-1.100073086552778E-001;
2.458287657207330E+007;-6.282937661146205E-002;
2.552166848841643E+007;-5.651323689261888E-002;
2.649631179341245E+007;-7.568267030926242E-002;
2.750817561055502E+007;-9.010628253593414E-002;
2.855868134859682E+007;-1.019745265279589E-001;
2.964930469826371E+007;-6.930066227994181E-002;
3.078157770522112E+007;-5.845595799442854E-002;
3.195709092220476E+007;-7.944660266727745E-002;
3.317749564333858E+007;-7.796866183273461E-002;
3.444450622377892E+007;-6.643369266949989E-002;
3.575990248794310E+007;-9.456844774923018E-002;
3.712553222970559E+007;-8.603267715291817E-002;
3.854331380807376E+007;-9.567186653588658E-002;
4.001523884198953E+007;-9.267991974909952E-002;
4.154337500804243E+007;-9.494542457309396E-002;
4.312986894502404E+007;-9.035357757503629E-002;
4.477694926940417E+007;-9.516375048312283E-002;
4.648692970596453E+007;-9.640845339240897E-002;
4.826221233798770E+007;-9.204899185249005E-002;
5.010529098156718E+007;-1.016910063573937E-001;
5.201875468877842E+007;-9.736616124321879E-002;
5.400529138463195E+007;-1.010006904961160E-001;
5.606769164291760E+007;-9.197476987669344E-002;
5.820885260624383E+007;-9.618050580165233E-002;
6.043178205577903E+007;-1.002638653791067E-001;
6.273960263641138E+007;-9.406292130474206E-002;
6.513555624326284E+007;-1.118740417125892E-001;
6.762300857571912E+007;-1.056852894917127E-001;
7.020545386537276E+007;-1.084321729440183E-001;
7.288651978452097E+007;-1.144879733501159E-001;
7.566997254211341E+007;-1.121526447985354E-001;
7.855972217430838E+007;-1.146754488685762E-001;
8.155982803706922E+007;-1.209645991375106E-001;
8.467450450851679E+007;-1.240580315286732E-001;
8.790812690904823E+007;-1.240984749969499E-001;
9.126523764753820E+007;-1.289928344833589E-001;
9.475055260225661E+007;-1.303878302069277E-001;
9.836896774546625E+007;-1.301013194942629E-001;
1.021255660210062E+008;-1.323110494809319E-001;
1.060256244845224E+008;-1.315157836042976E-001;
1.100746217163751E+008;-1.348996713495941E-001;
1.142782455176374E+008;-1.375492477811361E-001;
1.186424008999945E+008;-1.376470201135824E-001;
1.231732183807684E+008;-1.465115208002691E-001;
1.278770625947199E+008;-1.426456348605698E-001;
1.327605412347261E+008;-1.424681780827133E-001;
1.378305143338909E+008;-1.453029152105062E-001;
1.430941039021300E+008;-1.485912167138588E-001;
1.485587039307650E+008;-1.531884156190604E-001;
1.542319907791826E+008;-1.604683329148515E-001;
1.601219339581469E+008;-1.563357357461327E-001;
1.662368073249158E+008;-1.596151692747063E-001;
1.725852007058845E+008;-1.634435600233904E-001;
1.791760319630858E+008;-1.692411668047308E-001;
1.860185595214950E+008;-1.710001048040836E-001;
1.931223953747393E+008;-1.743606602026389E-001;
2.004975185874796E+008;-1.784574606021444E-001;
2.081542893134333E+008;-1.802993269944433E-001;
2.161034633487289E+008;-1.828547396440088E-001;
2.243562072410370E+008;-1.846496235244096E-001;
2.329241139757013E+008;-1.873240079230965E-001;
2.418192192609057E+008;-1.927598372693777E-001;
2.510540184347519E+008;-1.933729992730006E-001;
2.606414840180006E+008;-1.976100060468639E-001;
2.705950839371309E+008;-2.017783695763536E-001;
2.809288004433170E+008;-2.032833906222265E-001;
2.916571497539004E+008;-2.072585468306121E-001;
3.027952024439460E+008;-2.113997914863367E-001;
3.143586046165293E+008;-2.180635735603440E-001;
3.263635998814921E+008;-2.211840637339366E-001;
3.388270521735421E+008;-2.253430963677978E-001;
3.517664694417494E+008;-2.283570933602022E-001;
3.652000282437178E+008;-2.318544534657727E-001;
3.791465992789793E+008;-2.393217923244357E-001;
3.936257738974798E+008;-2.432574000303418E-001;
4.086578916203936E+008;-2.453189108468893E-001;
4.242640687119258E+008;-2.512829399810286E-001;
4.404662278422399E+008;-2.559772184471129E-001;
4.572871288831783E+008;-2.614046294332164E-001;
4.747504008800356E+008;-2.640818438164301E-001;
4.928805752442984E+008;-2.689466718062428E-001;
5.117031202139767E+008;-2.766402957333307E-001;
5.312444766299368E+008;-2.807504131830981E-001;
5.515320950784909E+008;-2.888161035898262E-001;
5.725944744524199E+008;-2.888836128567390E-001;
5.944612019845973E+008;-2.950498995409369E-001;
6.171629948104519E+008;-3.006445877008923E-001;
6.407317431176524E+008;-3.076782759474541E-001;
6.652005549436301E+008;-3.164579852555062E-001;
6.906038026838671E+008;-3.212230876159489E-001;
7.169771713762831E+008;-3.246151953802812E-001;
7.443577088295471E+008;-3.301968833776883E-001;
7.727838776657330E+008;-3.361216746398747E-001;
8.022956093504235E+008;-3.444539885305029E-001;
8.329343602861624E+008;-3.487882205117202E-001;
8.647431700480518E+008;-3.569244238238591E-001;
8.977667218432996E+008;-3.653412700012567E-001;
9.320514052796482E+008;-3.678833246803192E-001;
9.676453815308577E+008;-3.717913292690848E-001;
1.004598650990784E+009;-3.866531411912240E-001;
1.042963123511089E+009;-3.907101607087191E-001;
1.082792691321250E+009;-3.951460169379868E-001;
1.124143304733295E+009;-4.036031494750203E-001;
1.167073050737623E+009;-4.035543938515606E-001;
1.211642234600307E+009;-4.169985116124597E-001;
1.257913464576497E+009;-4.223688869980617E-001;
1.305951739858941E+009;-4.352126218428207E-001;
1.355824541885154E+009;-4.440509362781906E-001;
1.407601929131501E+009;-4.437375343319098E-001;
1.461356635527369E+009;-4.570794967913958E-001;
1.517164172627645E+009;-4.661498838747220E-001;
1.575102935687062E+009;-4.703913643693062E-001;
1.635254313785392E+009;-4.857960029974889E-001;
1.697702804158197E+009;-4.881885180822770E-001;
1.762536130893741E+009;-5.072503721341064E-001;
1.829845368162803E+009;-5.174911851148150E-001;
1.899725068154491E+009;-5.232007498752487E-001;
1.972273393897780E+009;-5.308356709609700E-001;
2.047592257155356E+009;-5.491075081311726E-001;
2.125787461583465E+009;-5.519895241442406E-001;
2.206968851358869E+009;-5.734927418504447E-001;
2.291250465481706E+009;-5.799985348505647E-001;
2.378750697970985E+009;-5.727058062862933E-001;
2.469592464177779E+009;-5.857085323050281E-001;
2.563903373449715E+009;-6.071069096244246E-001;
2.661815908389335E+009;-6.167724150952365E-001;
2.763467610958116E+009;-6.293428425491431E-001;
2.869001275687604E+009;-6.427130591158659E-001;
2.978565150269043E+009;-6.611005645205524E-001;
3.092313143803313E+009;-6.730022739467643E-001;
3.210405043003673E+009;-6.817086061077003E-001;
3.333006736655056E+009;-7.150810358634473E-001;
3.460290448645197E+009;-7.177771593566351E-001;
3.592434979894962E+009;-7.102446194861761E-001;
3.729625959527711E+009;-7.304133182660209E-001;
3.872056105630537E+009;-7.443288849173302E-001;
4.019925495973672E+009;-7.632169737662573E-001;
4.173441849068368E+009;-7.771969485919482E-001;
4.332820815958047E+009;-7.930778371400397E-001;
4.498286283152621E+009;-8.064791961690663E-001;
4.670070687131537E+009;-8.200047765944326E-001;
4.848415340857322E+009;-8.483412528076221E-001;
5.033570772758309E+009;-8.383921986486286E-001;
5.225797078656734E+009;-8.728985525456828E-001;
5.425364287136548E+009;-8.907738447499399E-001;
5.632552738864227E+009;-8.918978507598401E-001;
5.847653480395394E+009;-9.285075159969333E-001;
6.070968673020469E+009;-9.410760347064073E-001;
6.302812017223670E+009;-9.632818051261661E-001;
6.543509193351618E+009;-9.893875403326281E-001;
6.793398319110564E+009;-1.010613062473410E+000;
7.052830424534919E+009;-1.027227181859582E+000;
7.322169945094285E+009;-1.051302148302690E+000;
7.601795233631680E+009;-1.048142926359056E+000;
7.892099091852097E+009;-1.088882787765634E+000;
8.193489322108005E+009;-1.105601813418770E+000;
8.506389300256902E+009;-1.138294205321228E+000;
8.831238570395649E+009;-1.180282905891641E+000;
9.168493462307018E+009;-1.199944426197987E+000;
9.518627732485830E+009;-1.231304418596546E+000;
9.882133229645132E+009;-1.212805492643935E+000;
1.025952058563731E+010;-1.236870631410689E+000;
1.065131993276066E+010;-1.271265555847487E+000;
1.105808164845913E+010;-1.297082549948772E+000;
1.148037712846121E+010;-1.340555418526462E+000;
1.191879958944423E+010;-1.386356527780558E+000;
1.237396490235132E+010;-1.369607907267885E+000;
1.284651245753197E+010;-1.410033081442315E+000;
