# Version 1.00
#
freq[Hz];Trc1_S21[dB];
1.000000000000000E+007;-2.132875910887355E-001;
1.038188855303029E+007;-2.286658463355474E-001;
1.077836099275414E+007;-1.739826969538340E-001;
1.118997426111024E+007;-2.035532888332294E-001;
1.161730656901240E+007;-2.055302265350415E-001;
1.206095820858735E+007;-2.082340342906594E-001;
1.252155239643097E+007;-2.298778989427216E-001;
1.299973614906757E+007;-2.552039163401583E-001;
1.349618119184187E+007;-2.202008251237154E-001;
1.401158490252058E+007;-2.078754523508724E-001;
1.454667129092905E+007;-1.868922887455026E-001;
1.510219201599907E+007;-1.827454106559855E-001;
1.567892744165662E+007;-2.210382600933518E-001;
1.627768773303274E+007;-2.187294608041016E-001;
1.689931399453742E+007;-2.075156776471981E-001;
1.754467945139527E+007;-2.267472826635852E-001;
1.821469067630263E+007;-1.853333011773788E-001;
1.891028886292939E+007;-2.441343642056857E-001;
1.963245114805428E+007;-2.147718892076347E-001;
2.038219198419111E+007;-2.395735283597179E-001;
2.116056456463395E+007;-2.423076867011889E-001;
2.196866230292316E+007;-2.464828815409299E-001;
2.280762036881060E+007;-2.410297206744257E-001;
2.367861728288153E+007;-2.732879882415272E-001;
2.458287657207330E+007;-2.379274850839624E-001;
2.552166848841643E+007;-2.523421169928327E-001;
2.649631179341245E+007;-2.434623189073520E-001;
2.750817561055502E+007;-2.730323637941272E-001;
2.855868134859682E+007;-2.801387835128076E-001;
2.964930469826371E+007;-2.651083496820603E-001;
3.078157770522112E+007;-2.632980905482546E-001;
3.195709092220476E+007;-2.689415946822057E-001;
3.317749564333858E+007;-2.957352744466641E-001;
3.444450622377892E+007;-2.812402256325146E-001;
3.575990248794310E+007;-3.044562308062530E-001;
3.712553222970559E+007;-3.061615743015102E-001;
3.854331380807376E+007;-3.159335021456065E-001;
4.001523884198953E+007;-3.046868964695327E-001;
4.154337500804243E+007;-3.172318407158105E-001;
4.312986894502404E+007;-3.286903398698979E-001;
4.477694926940417E+007;-3.278247097759177E-001;
4.648692970596453E+007;-3.329690302232745E-001;
4.826221233798770E+007;-3.361216765295750E-001;
5.010529098156718E+007;-3.493162683871235E-001;
5.201875468877842E+007;-3.434096147038475E-001;
