# Version 1.00
#
freq[Hz];Trc1_S21[dB];
1.000000000000000E+007;-1.876403402418140E-001;
1.038188855303029E+007;-2.200109862211607E-001;
1.077836099275414E+007;-2.206847931682045E-001;
1.118997426111024E+007;-1.744744504483847E-001;
1.161730656901240E+007;-1.918840216602355E-001;
1.206095820858735E+007;-2.125528011423825E-001;
1.252155239643097E+007;-2.138092208927023E-001;
1.299973614906757E+007;-2.508737333441406E-001;
1.349618119184187E+007;-2.290730644465182E-001;
1.401158490252058E+007;-2.091211835448352E-001;
1.454667129092905E+007;-1.767391809821503E-001;
1.510219201599907E+007;-2.135888497133849E-001;
1.567892744165662E+007;-2.391045816823217E-001;
1.627768773303274E+007;-2.262360923997600E-001;
1.689931399453742E+007;-1.912055237334265E-001;
1.754467945139527E+007;-2.301981046223036E-001;
1.821469067630263E+007;-2.168036586641200E-001;
1.891028886292939E+007;-2.466656624191373E-001;
1.963245114805428E+007;-2.149819796358657E-001;
2.038219198419111E+007;-2.450603393078428E-001;
2.116056456463395E+007;-2.353914083076379E-001;
2.196866230292316E+007;-2.524268447845249E-001;
2.280762036881060E+007;-2.551887545375633E-001;
2.367861728288153E+007;-2.771578483384777E-001;
2.458287657207330E+007;-2.635062607721402E-001;
2.552166848841643E+007;-2.469681731339093E-001;
2.649631179341245E+007;-2.580950775372612E-001;
2.750817561055502E+007;-2.804680726609030E-001;
2.855868134859682E+007;-2.811180649607514E-001;
2.964930469826371E+007;-2.744117760988045E-001;
3.078157770522112E+007;-2.604156648782462E-001;
3.195709092220476E+007;-2.765334888917875E-001;
3.317749564333858E+007;-2.873007915412852E-001;
3.444450622377892E+007;-2.881719749273623E-001;
3.575990248794310E+007;-3.073092865742027E-001;
3.712553222970559E+007;-2.884315897744501E-001;
3.854331380807376E+007;-3.189434178122861E-001;
4.001523884198953E+007;-3.022524518445477E-001;
4.154337500804243E+007;-3.162117625518389E-001;
4.312986894502404E+007;-3.212123986263229E-001;
4.477694926940417E+007;-3.313693407519333E-001;
4.648692970596453E+007;-3.388797915398998E-001;
4.826221233798770E+007;-3.339381993569523E-001;
5.010529098156718E+007;-3.445865155275186E-001;
5.201875468877842E+007;-3.447354347565942E-001;
5.400529138463195E+007;-3.539282906724059E-001;
5.606769164291760E+007;-3.523987561262653E-001;
5.820885260624383E+007;-3.606462066531013E-001;
6.043178205577903E+007;-3.723546949044669E-001;
6.273960263641138E+007;-3.718183699463965E-001;
6.513555624326284E+007;-3.911899934506473E-001;
6.762300857571912E+007;-3.914191572587945E-001;
