FUNIT: Hz
UNIT: dB
1.000000e+07 [-0.42, -54.91] [-0.22, -53.91] [-0.02, -52.91]
1.038189e+07 [-0.29, -57.79] [-0.09, -56.79] [0.11, -55.79]
1.077836e+07 [-0.29, -60.38] [-0.09, -59.38] [0.11, -58.38]
1.118997e+07 [-0.25, -62.47] [-0.05, -61.47] [0.15, -60.47]
1.161731e+07 [-0.32, -63.87] [-0.12, -62.87] [0.08, -61.87]
1.206096e+07 [-0.21, -67.07] [-0.01, -66.07] [0.19, -65.07]
1.252155e+07 [-0.31, -69.28] [-0.11, -68.28] [0.09, -67.28]
1.299974e+07 [-0.37, -72.42] [-0.17, -71.42] [0.03, -70.42]
1.349618e+07 [-0.34, -74.13] [-0.14, -73.13] [0.06, -72.13]
1.401158e+07 [-0.43, -78.20] [-0.23, -77.20] [-0.03, -76.20]
1.454667e+07 [-0.33, -80.77] [-0.13, -79.77] [0.07, -78.77]
1.510219e+07 [-0.21, -83.33] [-0.01, -82.33] [0.19, -81.33]
1.567893e+07 [-0.18, -86.31] [0.02, -85.31] [0.22, -84.31]
1.627769e+07 [-0.37, -90.19] [-0.17, -89.19] [0.03, -88.19]
1.689931e+07 [-0.30, -93.40] [-0.10, -92.40] [0.10, -91.40]
1.754468e+07 [-0.29, -96.35] [-0.09, -95.35] [0.11, -94.35]
1.821469e+07 [-0.40, -100.70] [-0.20, -99.70] [0.00, -98.70]
1.891029e+07 [-0.34, -104.56] [-0.14, -103.56] [0.06, -102.56]
1.963245e+07 [-0.34, -107.89] [-0.14, -106.89] [0.06, -105.89]
2.038219e+07 [-0.44, -112.56] [-0.24, -111.56] [-0.04, -110.56]
2.116056e+07 [-0.39, -116.69] [-0.19, -115.69] [0.01, -114.69]
2.196866e+07 [-0.31, -121.00] [-0.11, -120.00] [0.09, -119.00]
2.280762e+07 [-0.39, -125.46] [-0.19, -124.46] [0.01, -123.46]
2.367862e+07 [-0.39, -130.33] [-0.19, -129.33] [0.01, -128.33]
2.458288e+07 [-0.43, -135.05] [-0.23, -134.05] [-0.03, -133.05]
2.552167e+07 [-0.32, -139.83] [-0.12, -138.83] [0.08, -137.83]
2.649631e+07 [-0.40, -145.70] [-0.20, -144.70] [-0.00, -143.70]
2.750818e+07 [-0.38, -151.13] [-0.18, -150.13] [0.02, -149.13]
2.855868e+07 [-0.38, -156.86] [-0.18, -155.86] [0.02, -154.86]
2.964930e+07 [-0.41, -162.31] [-0.21, -161.31] [-0.01, -160.31]
3.078158e+07 [-0.38, -169.07] [-0.18, -168.07] [0.02, -167.07]
3.195709e+07 [-0.45, -175.13] [-0.25, -174.13] [-0.05, -173.13]
3.317750e+07 [-0.42, 178.39] [-0.22, 179.39] [-0.02, 180.39]
3.444451e+07 [-0.41, 171.25] [-0.21, 172.25] [-0.01, 173.25]
3.575990e+07 [-0.36, 164.11] [-0.16, 165.11] [0.04, 166.11]
3.712553e+07 [-0.41, 156.72] [-0.21, 157.72] [-0.01, 158.72]
3.854331e+07 [-0.44, 148.92] [-0.24, 149.92] [-0.04, 150.92]
4.001524e+07 [-0.44, 141.08] [-0.24, 142.08] [-0.04, 143.08]
4.154338e+07 [-0.44, 132.60] [-0.24, 133.60] [-0.04, 134.60]
4.312987e+07 [-0.45, 124.46] [-0.25, 125.46] [-0.05, 126.46]
4.477695e+07 [-0.43, 115.31] [-0.23, 116.31] [-0.03, 117.31]
4.648693e+07 [-0.44, 105.96] [-0.24, 106.96] [-0.04, 107.96]
4.826221e+07 [-0.41, 96.19] [-0.21, 97.19] [-0.01, 98.19]
5.010529e+07 [-0.49, 86.52] [-0.29, 87.52] [-0.09, 88.52]
5.201875e+07 [-0.48, 75.83] [-0.28, 76.83] [-0.08, 77.83]
5.400529e+07 [-0.47, 65.22] [-0.27, 66.22] [-0.07, 67.22]
5.606769e+07 [-0.46, 53.99] [-0.26, 54.99] [-0.06, 55.99]
5.820885e+07 [-0.49, 42.47] [-0.29, 43.47] [-0.09, 44.47]
6.043178e+07 [-0.50, 30.40] [-0.30, 31.40] [-0.10, 32.40]
