FUNIT: Hz
UNIT: dB
1.000000e+07 [-0.40, -66.84] [-0.20, -65.84] [-0.00, -64.84]
1.038189e+07 [-0.27, -70.40] [-0.07, -69.40] [0.13, -68.40]
1.077836e+07 [-0.28, -73.29] [-0.08, -72.29] [0.12, -71.29]
1.118997e+07 [-0.22, -75.81] [-0.02, -74.81] [0.18, -73.81]
1.161731e+07 [-0.36, -77.81] [-0.16, -76.81] [0.04, -75.81]
1.206096e+07 [-0.24, -81.69] [-0.04, -80.69] [0.16, -79.69]
1.252155e+07 [-0.29, -84.53] [-0.09, -83.53] [0.11, -82.53]
1.299974e+07 [-0.40, -87.68] [-0.20, -86.68] [0.00, -85.68]
1.349618e+07 [-0.30, -90.17] [-0.10, -89.17] [0.10, -88.17]
1.401158e+07 [-0.40, -94.71] [-0.20, -93.71] [0.00, -92.71]
1.454667e+07 [-0.36, -98.21] [-0.16, -97.21] [0.04, -96.21]
1.510219e+07 [-0.26, -100.99] [-0.06, -99.99] [0.14, -98.99]
1.567893e+07 [-0.21, -105.10] [-0.01, -104.10] [0.19, -103.10]
1.627769e+07 [-0.37, -109.64] [-0.17, -108.64] [0.03, -107.64]
1.689931e+07 [-0.32, -113.41] [-0.12, -112.41] [0.08, -111.41]
1.754468e+07 [-0.31, -117.25] [-0.11, -116.25] [0.09, -115.25]
1.821469e+07 [-0.40, -122.42] [-0.20, -121.42] [0.00, -120.42]
1.891029e+07 [-0.38, -127.05] [-0.18, -126.05] [0.02, -125.05]
1.963245e+07 [-0.39, -131.37] [-0.19, -130.37] [0.01, -129.37]
2.038219e+07 [-0.43, -136.94] [-0.23, -135.94] [-0.03, -134.94]
2.116056e+07 [-0.41, -141.66] [-0.21, -140.66] [-0.01, -139.66]
2.196866e+07 [-0.34, -147.19] [-0.14, -146.19] [0.06, -145.19]
2.280762e+07 [-0.40, -152.70] [-0.20, -151.70] [0.00, -150.70]
2.367862e+07 [-0.40, -158.67] [-0.20, -157.67] [0.00, -156.67]
2.458288e+07 [-0.44, -164.25] [-0.24, -163.25] [-0.04, -162.25]
2.552167e+07 [-0.33, -170.24] [-0.13, -169.24] [0.07, -168.24]
2.649631e+07 [-0.39, -177.24] [-0.19, -176.24] [0.01, -175.24]
2.750818e+07 [-0.41, 176.14] [-0.21, 177.14] [-0.01, 178.14]
2.855868e+07 [-0.39, 169.18] [-0.19, 170.18] [0.01, 171.18]
2.964930e+07 [-0.41, 162.39] [-0.21, 163.39] [-0.01, 164.39]
3.078158e+07 [-0.39, 154.24] [-0.19, 155.24] [0.01, 156.24]
3.195709e+07 [-0.45, 146.69] [-0.25, 147.69] [-0.05, 148.69]
3.317750e+07 [-0.42, 138.82] [-0.22, 139.82] [-0.02, 140.82]
3.444451e+07 [-0.41, 130.12] [-0.21, 131.12] [-0.01, 132.12]
3.575990e+07 [-0.37, 121.46] [-0.17, 122.46] [0.03, 123.46]
3.712553e+07 [-0.42, 112.52] [-0.22, 113.52] [-0.02, 114.52]
3.854331e+07 [-0.45, 103.06] [-0.25, 104.06] [-0.05, 105.06]
4.001524e+07 [-0.45, 93.46] [-0.25, 94.46] [-0.05, 95.46]
4.154338e+07 [-0.44, 83.12] [-0.24, 84.12] [-0.04, 85.12]
4.312987e+07 [-0.46, 73.06] [-0.26, 74.06] [-0.06, 75.06]
4.477695e+07 [-0.44, 62.05] [-0.24, 63.05] [-0.04, 64.05]
4.648693e+07 [-0.45, 50.63] [-0.25, 51.63] [-0.05, 52.63]
4.826221e+07 [-0.41, 38.74] [-0.21, 39.74] [-0.01, 40.74]
5.010529e+07 [-0.49, 26.86] [-0.29, 27.86] [-0.09, 28.86]
5.201875e+07 [-0.48, 13.95] [-0.28, 14.95] [-0.08, 15.95]
5.400529e+07 [-0.49, 0.95] [-0.29, 1.95] [-0.09, 2.95]
5.606769e+07 [-0.47, -12.72] [-0.27, -11.72] [-0.07, -10.72]
5.820885e+07 [-0.49, -26.79] [-0.29, -25.79] [-0.09, -24.79]
6.043178e+07 [-0.51, -41.50] [-0.31, -40.50] [-0.11, -39.50]
6.273960e+07 [-0.50, -57.01] [-0.30, -56.01] [-0.10, -55.01]
6.513556e+07 [-0.51, -72.59] [-0.31, -71.59] [-0.11, -70.59]
6.762301e+07 [-0.51, -89.17] [-0.31, -88.17] [-0.11, -87.17]
7.020545e+07 [-0.53, -106.12] [-0.33, -105.12] [-0.13, -104.12]
7.288652e+07 [-0.54, -123.82] [-0.34, -122.82] [-0.14, -121.82]
7.566997e+07 [-0.54, -142.33] [-0.34, -141.33] [-0.14, -140.33]
7.855972e+07 [-0.55, -161.34] [-0.35, -160.34] [-0.15, -159.34]
8.155983e+07 [-0.55, 178.73] [-0.35, 179.73] [-0.15, 180.73]
8.467450e+07 [-0.56, 158.11] [-0.36, 159.11] [-0.16, 160.11]
8.790813e+07 [-0.57, 136.75] [-0.37, 137.75] [-0.17, 138.75]
9.126524e+07 [-0.56, 114.52] [-0.36, 115.52] [-0.16, 116.52]
9.475055e+07 [-0.58, 91.64] [-0.38, 92.64] [-0.18, 93.64]
9.836897e+07 [-0.59, 67.68] [-0.39, 68.68] [-0.19, 69.68]
1.021256e+08 [-0.59, 42.74] [-0.39, 43.74] [-0.19, 44.74]
1.060256e+08 [-0.61, 17.12] [-0.41, 18.12] [-0.21, 19.12]
1.100746e+08 [-0.61, -9.64] [-0.41, -8.64] [-0.21, -7.64]
1.142782e+08 [-0.63, -37.54] [-0.43, -36.54] [-0.23, -35.54]
1.186424e+08 [-0.62, -66.35] [-0.42, -65.35] [-0.22, -64.35]
1.231732e+08 [-0.63, -96.29] [-0.43, -95.29] [-0.23, -94.29]
1.278771e+08 [-0.66, -127.33] [-0.46, -126.33] [-0.26, -125.33]
1.327605e+08 [-0.67, -159.63] [-0.47, -158.63] [-0.27, -157.63]
1.378305e+08 [-0.66, 166.92] [-0.46, 167.92] [-0.26, 168.92]
1.430941e+08 [-0.68, 132.16] [-0.48, 133.16] [-0.28, 134.16]
1.485587e+08 [-0.67, 96.06] [-0.47, 97.06] [-0.27, 98.06]
1.542320e+08 [-0.68, 58.49] [-0.48, 59.49] [-0.28, 60.49]
1.601219e+08 [-0.70, 19.65] [-0.50, 20.65] [-0.30, 21.65]
1.662368e+08 [-0.71, -20.70] [-0.51, -19.70] [-0.31, -18.70]
1.725852e+08 [-0.72, -62.72] [-0.52, -61.72] [-0.32, -60.72]
1.791760e+08 [-0.74, -106.25] [-0.54, -105.25] [-0.34, -104.25]
1.860186e+08 [-0.75, -151.37] [-0.55, -150.37] [-0.35, -149.37]
1.931224e+08 [-0.76, 161.73] [-0.56, 162.73] [-0.36, 163.73]
2.004975e+08 [-0.77, 113.00] [-0.57, 114.00] [-0.37, 115.00]
2.081543e+08 [-0.79, 62.46] [-0.59, 63.46] [-0.39, 64.46]
2.161035e+08 [-0.79, 9.96] [-0.59, 10.96] [-0.39, 11.96]
2.243562e+08 [-0.80, -44.47] [-0.60, -43.47] [-0.40, -42.47]
2.329241e+08 [-0.82, -101.10] [-0.62, -100.10] [-0.42, -99.10]
2.418192e+08 [-0.82, -159.83] [-0.62, -158.83] [-0.42, -157.83]
2.510540e+08 [-0.85, 139.20] [-0.65, 140.20] [-0.45, 141.20]
2.606415e+08 [-0.86, 75.88] [-0.66, 76.88] [-0.46, 77.88]
2.705951e+08 [-0.87, 10.15] [-0.67, 11.15] [-0.47, 12.15]
2.809288e+08 [-0.90, -58.07] [-0.70, -57.07] [-0.50, -56.07]
2.916571e+08 [-0.91, -128.88] [-0.71, -127.88] [-0.51, -126.88]
3.027952e+08 [-0.93, 157.63] [-0.73, 158.63] [-0.53, 159.63]
3.143586e+08 [-0.94, 81.31] [-0.74, 82.31] [-0.54, 83.31]
3.263636e+08 [-0.95, 2.01] [-0.75, 3.01] [-0.55, 4.01]
3.388271e+08 [-0.96, -80.27] [-0.76, -79.27] [-0.56, -78.27]
3.517665e+08 [-0.99, -165.65] [-0.79, -164.65] [-0.59, -163.65]
3.652000e+08 [-1.00, 105.69] [-0.80, 106.69] [-0.60, 107.69]
3.791466e+08 [-1.02, 13.62] [-0.82, 14.62] [-0.62, 15.62]
3.936258e+08 [-1.03, -81.95] [-0.83, -80.95] [-0.63, -79.95]
4.086579e+08 [-1.05, 178.76] [-0.85, 179.76] [-0.65, 180.76]
4.242641e+08 [-1.08, 75.73] [-0.88, 76.73] [-0.68, 77.73]
4.404662e+08 [-1.10, -31.00] [-0.90, -30.00] [-0.70, -29.00]
4.572871e+08 [-1.10, -142.08] [-0.90, -141.08] [-0.70, -140.08]
4.747504e+08 [-1.13, 102.64] [-0.93, 103.64] [-0.73, 104.64]
4.928806e+08 [-1.14, -16.98] [-0.94, -15.98] [-0.74, -14.98]
5.117031e+08 [-1.17, -141.27] [-0.97, -140.27] [-0.77, -139.27]
5.312445e+08 [-1.18, 89.84] [-0.98, 90.84] [-0.78, 91.84]
