FUNIT: Hz
UNIT: dB
1.000000e+07 [-0.42, -76.26] [-0.22, -75.26] [-0.02, -74.26]
1.038189e+07 [-0.25, -78.45] [-0.05, -77.45] [0.15, -76.45]
1.077836e+07 [-0.17, -82.33] [0.03, -81.33] [0.23, -80.33]
1.118997e+07 [-0.27, -85.95] [-0.07, -84.95] [0.13, -83.95]
1.161731e+07 [-0.44, -87.37] [-0.24, -86.37] [-0.04, -85.37]
1.206096e+07 [-0.33, -91.18] [-0.13, -90.18] [0.07, -89.18]
1.252155e+07 [-0.24, -94.94] [-0.04, -93.94] [0.16, -92.94]
1.299974e+07 [-0.48, -98.85] [-0.28, -97.85] [-0.08, -96.85]
1.349618e+07 [-0.37, -101.77] [-0.17, -100.77] [0.03, -99.77]
1.401158e+07 [-0.36, -106.74] [-0.16, -105.74] [0.04, -104.74]
1.454667e+07 [-0.38, -110.41] [-0.18, -109.41] [0.02, -108.41]
1.510219e+07 [-0.22, -114.06] [-0.02, -113.06] [0.18, -112.06]
1.567893e+07 [-0.20, -118.80] [-0.00, -117.80] [0.20, -116.80]
1.627769e+07 [-0.42, -123.86] [-0.22, -122.86] [-0.02, -121.86]
1.689931e+07 [-0.41, -128.78] [-0.21, -127.78] [-0.01, -126.78]
1.754468e+07 [-0.40, -131.58] [-0.20, -130.58] [-0.00, -129.58]
1.821469e+07 [-0.37, -138.01] [-0.17, -137.01] [0.03, -136.01]
1.891029e+07 [-0.40, -143.32] [-0.20, -142.32] [0.00, -141.32]
1.963245e+07 [-0.45, -148.47] [-0.25, -147.47] [-0.05, -146.47]
2.038219e+07 [-0.52, -154.22] [-0.32, -153.22] [-0.12, -152.22]
2.116056e+07 [-0.40, -159.61] [-0.20, -158.61] [0.00, -157.61]
2.196866e+07 [-0.36, -165.91] [-0.16, -164.91] [0.04, -163.91]
2.280762e+07 [-0.42, -171.85] [-0.22, -170.85] [-0.02, -169.85]
2.367862e+07 [-0.45, -178.78] [-0.25, -177.78] [-0.05, -176.78]
2.458288e+07 [-0.48, 174.96] [-0.28, 175.96] [-0.08, 176.96]
2.552167e+07 [-0.36, 168.59] [-0.16, 169.59] [0.04, 170.59]
2.649631e+07 [-0.37, 160.06] [-0.17, 161.06] [0.03, 162.06]
2.750818e+07 [-0.41, 152.79] [-0.21, 153.79] [-0.01, 154.79]
2.855868e+07 [-0.46, 145.13] [-0.26, 146.13] [-0.06, 147.13]
2.964930e+07 [-0.54, 137.05] [-0.34, 138.05] [-0.14, 139.05]
3.078158e+07 [-0.43, 128.06] [-0.23, 129.06] [-0.03, 130.06]
3.195709e+07 [-0.51, 119.70] [-0.31, 120.70] [-0.11, 121.70]
3.317750e+07 [-0.46, 110.90] [-0.26, 111.90] [-0.06, 112.90]
