FUNIT: Hz
UNIT: dB
1.000000e+07 [-0.38, -63.24] [-0.18, -62.24] [0.02, -61.24]
1.038189e+07 [-0.29, -65.85] [-0.09, -64.85] [0.11, -63.85]
1.077836e+07 [-0.34, -68.98] [-0.14, -67.98] [0.06, -66.98]
1.118997e+07 [-0.23, -71.34] [-0.03, -70.34] [0.17, -69.34]
1.161731e+07 [-0.34, -72.98] [-0.14, -71.98] [0.06, -70.98]
1.206096e+07 [-0.23, -76.66] [-0.03, -75.66] [0.17, -74.66]
1.252155e+07 [-0.30, -79.20] [-0.10, -78.20] [0.10, -77.20]
1.299974e+07 [-0.39, -82.41] [-0.19, -81.41] [0.01, -80.41]
1.349618e+07 [-0.33, -84.66] [-0.13, -83.66] [0.07, -82.66]
1.401158e+07 [-0.39, -88.98] [-0.19, -87.98] [0.01, -86.98]
1.454667e+07 [-0.33, -92.14] [-0.13, -91.14] [0.07, -90.14]
1.510219e+07 [-0.26, -94.90] [-0.06, -93.90] [0.14, -92.90]
1.567893e+07 [-0.19, -98.61] [0.01, -97.61] [0.21, -96.61]
1.627769e+07 [-0.36, -102.91] [-0.16, -101.91] [0.04, -100.91]
1.689931e+07 [-0.29, -106.53] [-0.09, -105.53] [0.11, -104.53]
1.754468e+07 [-0.31, -110.02] [-0.11, -109.02] [0.09, -108.02]
1.821469e+07 [-0.38, -114.89] [-0.18, -113.89] [0.02, -112.89]
1.891029e+07 [-0.36, -119.47] [-0.16, -118.47] [0.04, -117.47]
1.963245e+07 [-0.34, -123.29] [-0.14, -122.29] [0.06, -121.29]
2.038219e+07 [-0.43, -128.56] [-0.23, -127.56] [-0.03, -126.56]
2.116056e+07 [-0.39, -132.89] [-0.19, -131.89] [0.01, -130.89]
2.196866e+07 [-0.31, -138.08] [-0.11, -137.08] [0.09, -136.08]
2.280762e+07 [-0.39, -143.29] [-0.19, -142.29] [0.01, -141.29]
2.367862e+07 [-0.38, -148.81] [-0.18, -147.81] [0.02, -146.81]
2.458288e+07 [-0.42, -154.21] [-0.22, -153.21] [-0.02, -152.21]
2.552167e+07 [-0.33, -159.67] [-0.13, -158.67] [0.07, -157.67]
2.649631e+07 [-0.39, -166.37] [-0.19, -165.37] [0.01, -164.37]
2.750818e+07 [-0.41, -172.61] [-0.21, -171.61] [-0.01, -170.61]
2.855868e+07 [-0.39, -179.12] [-0.19, -178.12] [0.01, -177.12]
2.964930e+07 [-0.40, 174.56] [-0.20, 175.56] [-0.00, 176.56]
3.078158e+07 [-0.40, 166.98] [-0.20, 167.98] [0.00, 168.98]
3.195709e+07 [-0.45, 159.97] [-0.25, 160.97] [-0.05, 161.97]
3.317750e+07 [-0.43, 152.38] [-0.23, 153.38] [-0.03, 154.38]
3.444451e+07 [-0.41, 144.31] [-0.21, 145.31] [-0.01, 146.31]
3.575990e+07 [-0.37, 136.14] [-0.17, 137.14] [0.03, 138.14]
3.712553e+07 [-0.42, 127.78] [-0.22, 128.78] [-0.02, 129.78]
3.854331e+07 [-0.44, 118.81] [-0.24, 119.81] [-0.04, 120.81]
4.001524e+07 [-0.46, 109.87] [-0.26, 110.87] [-0.06, 111.87]
4.154338e+07 [-0.44, 100.20] [-0.24, 101.20] [-0.04, 102.20]
4.312987e+07 [-0.47, 90.80] [-0.27, 91.80] [-0.07, 92.80]
4.477695e+07 [-0.44, 80.42] [-0.24, 81.42] [-0.04, 82.42]
4.648693e+07 [-0.45, 69.68] [-0.25, 70.68] [-0.05, 71.68]
4.826221e+07 [-0.41, 58.47] [-0.21, 59.47] [-0.01, 60.47]
5.010529e+07 [-0.50, 47.33] [-0.30, 48.33] [-0.10, 49.33]
5.201875e+07 [-0.48, 35.27] [-0.28, 36.27] [-0.08, 37.27]
5.400529e+07 [-0.48, 23.05] [-0.28, 24.05] [-0.08, 25.05]
5.606769e+07 [-0.46, 10.28] [-0.26, 11.28] [-0.06, 12.28]
5.820885e+07 [-0.49, -2.92] [-0.29, -1.92] [-0.09, -0.92]
6.043178e+07 [-0.51, -16.67] [-0.31, -15.67] [-0.11, -14.67]
6.273960e+07 [-0.50, -31.21] [-0.30, -30.21] [-0.10, -29.21]
6.513556e+07 [-0.50, -45.87] [-0.30, -44.87] [-0.10, -43.87]
6.762301e+07 [-0.51, -61.39] [-0.31, -60.39] [-0.11, -59.39]
7.020545e+07 [-0.53, -77.28] [-0.33, -76.28] [-0.13, -75.28]
7.288652e+07 [-0.53, -93.90] [-0.33, -92.90] [-0.13, -91.90]
7.566997e+07 [-0.54, -111.27] [-0.34, -110.27] [-0.14, -109.27]
7.855972e+07 [-0.54, -129.13] [-0.34, -128.13] [-0.14, -127.13]
8.155983e+07 [-0.54, -147.80] [-0.34, -146.80] [-0.14, -145.80]
8.467450e+07 [-0.55, -167.15] [-0.35, -166.15] [-0.15, -165.15]
8.790813e+07 [-0.57, 172.79] [-0.37, 173.79] [-0.17, 174.79]
9.126524e+07 [-0.56, 151.95] [-0.36, 152.95] [-0.16, 153.95]
9.475055e+07 [-0.58, 130.50] [-0.38, 131.50] [-0.18, 132.50]
9.836897e+07 [-0.58, 107.99] [-0.38, 108.99] [-0.18, 109.99]
1.021256e+08 [-0.60, 84.63] [-0.40, 85.63] [-0.20, 86.63]
1.060256e+08 [-0.60, 60.58] [-0.40, 61.58] [-0.20, 62.58]
1.100746e+08 [-0.61, 35.49] [-0.41, 36.49] [-0.21, 37.49]
1.142782e+08 [-0.63, 9.33] [-0.43, 10.33] [-0.23, 11.33]
1.186424e+08 [-0.61, -17.70] [-0.41, -16.70] [-0.21, -15.70]
1.231732e+08 [-0.63, -45.81] [-0.43, -44.81] [-0.23, -43.81]
1.278771e+08 [-0.65, -74.90] [-0.45, -73.90] [-0.25, -72.90]
1.327605e+08 [-0.68, -105.22] [-0.48, -104.22] [-0.28, -103.22]
1.378305e+08 [-0.66, -136.58] [-0.46, -135.58] [-0.26, -134.58]
1.430941e+08 [-0.69, -169.14] [-0.49, -168.14] [-0.29, -167.14]
1.485587e+08 [-0.68, 157.05] [-0.48, 158.05] [-0.28, 159.05]
1.542320e+08 [-0.68, 121.82] [-0.48, 122.82] [-0.28, 123.82]
1.601219e+08 [-0.69, 85.38] [-0.49, 86.38] [-0.29, 87.38]
1.662368e+08 [-0.71, 47.51] [-0.51, 48.51] [-0.31, 49.51]
1.725852e+08 [-0.71, 8.12] [-0.51, 9.12] [-0.31, 10.12]
1.791760e+08 [-0.73, -32.73] [-0.53, -31.73] [-0.33, -30.73]
1.860186e+08 [-0.73, -75.08] [-0.53, -74.08] [-0.33, -73.08]
1.931224e+08 [-0.75, -119.10] [-0.55, -118.10] [-0.35, -117.10]
2.004975e+08 [-0.76, -164.82] [-0.56, -163.82] [-0.36, -162.82]
2.081543e+08 [-0.78, 147.78] [-0.58, 148.78] [-0.38, 149.78]
2.161035e+08 [-0.78, 98.57] [-0.58, 99.57] [-0.38, 100.57]
2.243562e+08 [-0.79, 47.50] [-0.59, 48.50] [-0.39, 49.50]
2.329241e+08 [-0.81, -5.63] [-0.61, -4.63] [-0.41, -3.63]
2.418192e+08 [-0.82, -60.72] [-0.62, -59.72] [-0.42, -58.72]
2.510540e+08 [-0.85, -117.91] [-0.65, -116.91] [-0.45, -115.91]
2.606415e+08 [-0.85, -177.29] [-0.65, -176.29] [-0.45, -175.29]
2.705951e+08 [-0.88, 121.03] [-0.68, 122.03] [-0.48, 123.03]
2.809288e+08 [-0.91, 57.14] [-0.71, 58.14] [-0.51, 59.14]
2.916571e+08 [-0.91, -9.16] [-0.71, -8.16] [-0.51, -7.16]
3.027952e+08 [-0.91, -78.16] [-0.71, -77.16] [-0.51, -76.16]
3.143586e+08 [-0.92, -149.82] [-0.72, -148.82] [-0.52, -147.82]
3.263636e+08 [-0.94, 135.79] [-0.74, 136.79] [-0.54, 137.79]
3.388271e+08 [-0.95, 58.62] [-0.75, 59.62] [-0.55, 60.62]
3.517665e+08 [-0.98, -21.51] [-0.78, -20.51] [-0.58, -19.51]
3.652000e+08 [-0.99, -104.65] [-0.79, -103.65] [-0.59, -102.65]
3.791466e+08 [-1.01, 168.98] [-0.81, 169.98] [-0.61, 170.98]
3.936258e+08 [-1.04, 79.29] [-0.84, 80.29] [-0.64, 81.29]
4.086579e+08 [-1.06, -13.77] [-0.86, -12.77] [-0.66, -11.77]
4.242641e+08 [-1.09, -110.35] [-0.89, -109.35] [-0.69, -108.35]
4.404662e+08 [-1.10, 149.56] [-0.90, 150.56] [-0.70, 151.56]
4.572871e+08 [-1.10, 45.36] [-0.90, 46.36] [-0.70, 47.36]
4.747504e+08 [-1.13, -62.79] [-0.93, -61.79] [-0.73, -60.79]
4.928806e+08 [-1.15, -175.04] [-0.95, -174.04] [-0.75, -173.04]
5.117031e+08 [-1.17, 68.45] [-0.97, 69.45] [-0.77, 70.45]
5.312445e+08 [-1.19, -52.56] [-0.99, -51.56] [-0.79, -50.56]
5.515321e+08 [-1.22, -178.04] [-1.02, -177.04] [-0.82, -176.04]
5.725945e+08 [-1.25, 51.64] [-1.05, 52.64] [-0.85, 53.64]
5.944612e+08 [-1.26, -83.68] [-1.06, -82.68] [-0.86, -81.68]
6.171630e+08 [-1.28, 135.78] [-1.08, 136.78] [-0.88, 137.78]
6.407317e+08 [-1.31, -10.11] [-1.11, -9.11] [-0.91, -8.11]
6.652006e+08 [-1.34, -161.55] [-1.14, -160.55] [-0.94, -159.55]
6.906038e+08 [-1.37, 41.25] [-1.17, 42.25] [-0.97, 43.25]
7.169772e+08 [-1.39, -121.97] [-1.19, -120.97] [-0.99, -119.97]
7.443577e+08 [-1.42, 68.64] [-1.22, 69.64] [-1.02, 70.64]
7.727839e+08 [-1.45, -107.31] [-1.25, -106.31] [-1.05, -105.31]
8.022956e+08 [-1.48, 70.07] [-1.28, 71.07] [-1.08, 72.07]
8.329344e+08 [-1.51, -119.53] [-1.31, -118.53] [-1.11, -117.53]
8.647432e+08 [-1.54, 43.71] [-1.34, 44.71] [-1.14, 45.71]
8.977667e+08 [-1.57, -160.67] [-1.37, -159.67] [-1.17, -158.67]
9.320514e+08 [-1.63, -12.79] [-1.43, -11.79] [-1.23, -10.79]
9.676454e+08 [-1.64, 127.03] [-1.44, 128.03] [-1.24, 129.03]
1.004599e+09 [-1.69, -101.59] [-1.49, -100.59] [-1.29, -99.59]
1.042963e+09 [-1.71, 20.91] [-1.51, 21.91] [-1.31, 22.91]
1.082793e+09 [-1.77, 134.66] [-1.57, 135.66] [-1.37, 136.66]
1.124143e+09 [-1.80, -121.27] [-1.60, -120.27] [-1.40, -119.27]
1.167073e+09 [-1.83, -26.88] [-1.63, -25.88] [-1.43, -24.88]
1.211642e+09 [-1.92, 57.31] [-1.72, 58.31] [-1.52, 59.31]
1.257913e+09 [-1.95, 131.32] [-1.75, 132.32] [-1.55, 133.32]
1.305952e+09 [-1.97, -165.96] [-1.77, -164.96] [-1.57, -163.96]
1.355825e+09 [-2.06, -114.53] [-1.86, -113.53] [-1.66, -112.53]
1.407602e+09 [-2.09, -74.50] [-1.89, -73.50] [-1.69, -72.50]
1.461357e+09 [-2.15, -47.21] [-1.95, -46.21] [-1.75, -45.21]
1.517164e+09 [-2.22, -32.17] [-2.02, -31.17] [-1.82, -30.17]
1.575103e+09 [-2.26, -30.67] [-2.06, -29.67] [-1.86, -28.67]
1.635254e+09 [-2.30, -42.51] [-2.10, -41.51] [-1.90, -40.51]
1.697703e+09 [-2.35, -68.68] [-2.15, -67.68] [-1.95, -66.68]
1.762536e+09 [-2.42, -109.45] [-2.22, -108.45] [-2.02, -107.45]
1.829845e+09 [-2.46, -165.63] [-2.26, -164.63] [-2.06, -163.63]
1.899725e+09 [-2.51, 122.37] [-2.31, 123.37] [-2.11, 124.37]
1.972273e+09 [-2.55, 33.82] [-2.35, 34.82] [-2.15, 35.82]
2.047592e+09 [-2.59, -71.75] [-2.39, -70.75] [-2.19, -69.75]
2.125787e+09 [-2.61, 164.74] [-2.41, 165.74] [-2.21, 166.74]
2.206969e+09 [-2.64, 22.76] [-2.44, 23.76] [-2.24, 24.76]
2.291250e+09 [-2.65, -138.41] [-2.45, -137.41] [-2.25, -136.41]
2.378751e+09 [-2.66, 40.49] [-2.46, 41.49] [-2.26, 42.49]
2.469592e+09 [-2.73, -161.42] [-2.53, -160.42] [-2.33, -159.42]
2.563903e+09 [-2.75, -24.55] [-2.55, -23.55] [-2.35, -22.55]
2.661816e+09 [-2.79, 89.88] [-2.59, 90.88] [-2.39, 91.88]
2.763468e+09 [-2.78, -178.62] [-2.58, -177.62] [-2.38, -176.62]
2.869001e+09 [-2.86, -112.06] [-2.66, -111.06] [-2.46, -110.06]
2.978565e+09 [-2.81, -69.44] [-2.61, -68.44] [-2.41, -67.44]
3.092313e+09 [-3.07, -54.82] [-2.87, -53.82] [-2.67, -52.82]
3.210405e+09 [-3.11, -62.63] [-2.91, -61.63] [-2.71, -60.63]
3.333007e+09 [-3.08, -100.85] [-2.88, -99.85] [-2.68, -98.85]
3.460290e+09 [-3.10, -168.27] [-2.90, -167.27] [-2.70, -166.27]
3.592435e+09 [-3.09, 94.12] [-2.89, 95.12] [-2.69, 96.12]
3.729626e+09 [-3.14, -34.72] [-2.94, -33.72] [-2.74, -32.72]
3.872056e+09 [-3.20, 164.07] [-3.00, 165.07] [-2.80, 166.07]
4.019925e+09 [-3.31, -30.72] [-3.11, -29.72] [-2.91, -28.72]
4.173442e+09 [-3.46, 99.47] [-3.26, 100.47] [-3.06, 101.47]
4.332821e+09 [-3.72, -166.59] [-3.52, -165.59] [-3.32, -164.59]
4.498286e+09 [-4.06, -109.04] [-3.86, -108.04] [-3.66, -107.04]
4.670071e+09 [-3.94, -89.31] [-3.74, -88.31] [-3.54, -87.31]
4.848415e+09 [-3.90, -111.74] [-3.70, -110.74] [-3.50, -109.74]
5.033571e+09 [-3.79, -177.41] [-3.59, -176.41] [-3.39, -175.41]
5.225797e+09 [-3.91, 73.86] [-3.71, 74.86] [-3.51, 75.86]
5.425364e+09 [-4.02, -81.47] [-3.82, -80.47] [-3.62, -79.47]
5.632553e+09 [-4.02, 76.81] [-3.82, 77.81] [-3.62, 78.81]
5.847653e+09 [-4.39, -174.14] [-4.19, -173.14] [-3.99, -172.14]
6.070969e+09 [-4.49, -115.25] [-4.29, -114.25] [-4.09, -113.25]
6.302812e+09 [-4.84, -107.38] [-4.64, -106.38] [-4.44, -105.38]
6.543509e+09 [-4.83, -155.91] [-4.63, -154.91] [-4.43, -153.91]
6.793398e+09 [-5.01, 97.57] [-4.81, 98.57] [-4.61, 99.57]
7.052830e+09 [-5.04, -64.41] [-4.84, -63.41] [-4.64, -62.41]
7.322170e+09 [-5.29, 71.53] [-5.09, 72.53] [-4.89, 73.53]
7.601795e+09 [-4.78, 144.17] [-4.58, 145.17] [-4.38, 146.17]
7.892099e+09 [-4.64, 146.53] [-4.44, 147.53] [-4.24, 148.53]
8.193489e+09 [-4.79, 79.26] [-4.59, 80.26] [-4.39, 81.26]
8.506389e+09 [-4.93, -56.46] [-4.73, -55.46] [-4.53, -54.46]
8.831239e+09 [-5.14, 95.07] [-4.94, 96.07] [-4.74, 97.07]
9.168493e+09 [-5.30, 164.41] [-5.10, 165.41] [-4.90, 166.41]
9.518628e+09 [-5.71, 165.04] [-5.51, 166.04] [-5.31, 167.04]
9.882133e+09 [-6.19, 70.91] [-5.99, 71.91] [-5.79, 72.91]
1.025952e+10 [-5.95, -100.41] [-5.75, -99.41] [-5.55, -98.41]
1.065132e+10 [-5.85, -5.18] [-5.65, -4.18] [-5.45, -3.18]
1.105808e+10 [-7.14, -2.59] [-6.94, -1.59] [-6.74, -0.59]
1.148038e+10 [-6.47, -87.95] [-6.27, -86.95] [-6.07, -85.95]
1.191880e+10 [-7.04, 70.25] [-6.84, 71.25] [-6.64, 72.25]
