# Version 1.00
#
freq[Hz];db:Trc1_S21;ang:Trc1_S21;
1.000000000000000E+007;-2.271589690848030E-001;-5.907298309192532E+001;
1.038188855303029E+007;-3.631204977606549E-002;-6.227621887012027E+001;
1.077836099275414E+007;-1.254462189884931E-001;-6.488670155437876E+001;
1.118997426111024E+007;-6.102700871525475E-002;-6.751643271172493E+001;
1.161730656901240E+007;-1.404896647162184E-001;-6.868871948383658E+001;
1.206095820858735E+007;-3.084156586156209E-002;-7.247367813851943E+001;
1.252155239643097E+007;-9.522486227472909E-002;-7.474716934747002E+001;
1.299973614906757E+007;-1.882649179461343E-001;-7.789944839590474E+001;
1.349618119184187E+007;-1.413290777456187E-001;-7.997905108861609E+001;
1.401158490252058E+007;-2.099619831456232E-001;-8.440225815368390E+001;
1.454667129092905E+007;-1.283190412610190E-001;-8.725986243986304E+001;
1.510219201599907E+007;-3.754698117811407E-002;-9.003364726715006E+001;
1.567892744165662E+007;-8.548054584049544E-003;-9.324251188933970E+001;
1.627768773303274E+007;-1.794625412104502E-001;-9.751727572839521E+001;
1.689931399453742E+007;-1.049328223053996E-001;-1.010549506513579E+002;
1.754467945139527E+007;-1.086767290437545E-001;-1.042828083412233E+002;
1.821469067630263E+007;-2.114131287038819E-001;-1.090418052536844E+002;
1.891028886292939E+007;-1.370095717519156E-001;-1.131604093619147E+002;
1.963245114805428E+007;-1.533566765201623E-001;-1.167912853574796E+002;
2.038219198419111E+007;-2.549265137522463E-001;-1.220662641901267E+002;
2.116056456463395E+007;-2.048460773414148E-001;-1.262856314991126E+002;
2.196866230292316E+007;-1.147915715348605E-001;-1.311688784868050E+002;
2.280762036881060E+007;-1.845766728832043E-001;-1.361563884878736E+002;
2.367861728288153E+007;-1.839432248241303E-001;-1.414091063976040E+002;
2.458287657207330E+007;-2.278119314720090E-001;-1.465638397363465E+002;
2.552166848841643E+007;-1.272378015170950E-001;-1.517910313137376E+002;
2.649631179341245E+007;-1.991490230822876E-001;-1.582284342207427E+002;
2.750817561055502E+007;-2.092328982001597E-001;-1.641799154936454E+002;
2.855868134859682E+007;-1.874323019624306E-001;-1.703452934013208E+002;
2.964930469826371E+007;-2.141309552738107E-001;-1.763613718797750E+002;
3.078157770522112E+007;-1.797182222277120E-001;1.761640514070942E+002;
3.195709092220476E+007;-2.387699892630753E-001;1.695271473515074E+002;
3.317749564333858E+007;-2.247857515680671E-001;1.624045327666039E+002;
3.444450622377892E+007;-2.135238871445468E-001;1.545749973292210E+002;
3.575990248794310E+007;-1.763000837787506E-001;1.468402358151019E+002;
3.712553222970559E+007;-2.275431061406789E-001;1.387712007761332E+002;
3.854331380807376E+007;-2.461802694276005E-001;1.302983608720511E+002;
4.001523884198953E+007;-2.511232528853182E-001;1.217328026155294E+002;
4.154337500804243E+007;-2.316321689183757E-001;1.124430199657761E+002;
4.312986894502404E+007;-2.600070944301984E-001;1.034301723301872E+002;
4.477694926940417E+007;-2.388687585164133E-001;9.348230913859251E+001;
4.648692970596453E+007;-2.569504835043510E-001;8.328475708996467E+001;
4.826221233798770E+007;-2.208834461607718E-001;7.257428462829756E+001;
5.010529098156718E+007;-3.045964343619939E-001;6.192670881616262E+001;
