FUNIT: Hz
UNIT: dB
1.000000e+07 [-0.43, -60.07] [-0.23, -59.07] [-0.03, -58.07]
1.038189e+07 [-0.24, -63.28] [-0.04, -62.28] [0.16, -61.28]
1.077836e+07 [-0.33, -65.89] [-0.13, -64.89] [0.07, -63.89]
1.118997e+07 [-0.26, -68.52] [-0.06, -67.52] [0.14, -66.52]
1.161731e+07 [-0.34, -69.69] [-0.14, -68.69] [0.06, -67.69]
1.206096e+07 [-0.23, -73.47] [-0.03, -72.47] [0.17, -71.47]
1.252155e+07 [-0.30, -75.75] [-0.10, -74.75] [0.10, -73.75]
1.299974e+07 [-0.39, -78.90] [-0.19, -77.90] [0.01, -76.90]
1.349618e+07 [-0.34, -80.98] [-0.14, -79.98] [0.06, -78.98]
1.401158e+07 [-0.41, -85.40] [-0.21, -84.40] [-0.01, -83.40]
1.454667e+07 [-0.33, -88.26] [-0.13, -87.26] [0.07, -86.26]
1.510219e+07 [-0.24, -91.03] [-0.04, -90.03] [0.16, -89.03]
1.567893e+07 [-0.21, -94.24] [-0.01, -93.24] [0.19, -92.24]
1.627769e+07 [-0.38, -98.52] [-0.18, -97.52] [0.02, -96.52]
1.689931e+07 [-0.30, -102.05] [-0.10, -101.05] [0.10, -100.05]
1.754468e+07 [-0.31, -105.28] [-0.11, -104.28] [0.09, -103.28]
1.821469e+07 [-0.41, -110.04] [-0.21, -109.04] [-0.01, -108.04]
1.891029e+07 [-0.34, -114.16] [-0.14, -113.16] [0.06, -112.16]
1.963245e+07 [-0.35, -117.79] [-0.15, -116.79] [0.05, -115.79]
2.038219e+07 [-0.45, -123.07] [-0.25, -122.07] [-0.05, -121.07]
2.116056e+07 [-0.40, -127.29] [-0.20, -126.29] [-0.00, -125.29]
2.196866e+07 [-0.31, -132.17] [-0.11, -131.17] [0.09, -130.17]
2.280762e+07 [-0.38, -137.16] [-0.18, -136.16] [0.02, -135.16]
2.367862e+07 [-0.38, -142.41] [-0.18, -141.41] [0.02, -140.41]
2.458288e+07 [-0.43, -147.56] [-0.23, -146.56] [-0.03, -145.56]
2.552167e+07 [-0.33, -152.79] [-0.13, -151.79] [0.07, -150.79]
2.649631e+07 [-0.40, -159.23] [-0.20, -158.23] [0.00, -157.23]
2.750818e+07 [-0.41, -165.18] [-0.21, -164.18] [-0.01, -163.18]
2.855868e+07 [-0.39, -171.35] [-0.19, -170.35] [0.01, -169.35]
2.964930e+07 [-0.41, -177.36] [-0.21, -176.36] [-0.01, -175.36]
3.078158e+07 [-0.38, 175.16] [-0.18, 176.16] [0.02, 177.16]
3.195709e+07 [-0.44, 168.53] [-0.24, 169.53] [-0.04, 170.53]
3.317750e+07 [-0.42, 161.40] [-0.22, 162.40] [-0.02, 163.40]
3.444451e+07 [-0.41, 153.57] [-0.21, 154.57] [-0.01, 155.57]
3.575990e+07 [-0.38, 145.84] [-0.18, 146.84] [0.02, 147.84]
