FUNIT: Hz
UNIT: dB
1.000000e+07 [-0.25, -49.30] [-0.05, -48.30] [0.15, -47.30]
1.038189e+07 [-0.05, -49.96] [0.15, -48.96] [0.35, -47.96]
1.077836e+07 [-0.34, -52.99] [-0.14, -51.99] [0.06, -50.99]
1.118997e+07 [-0.32, -52.41] [-0.12, -51.41] [0.08, -50.41]
1.161731e+07 [-0.66, -55.14] [-0.46, -54.14] [-0.26, -53.14]
1.206096e+07 [-0.51, -56.80] [-0.31, -55.80] [-0.11, -54.80]
1.252155e+07 [0.03, -60.71] [0.23, -59.71] [0.43, -58.71]
1.299974e+07 [-0.21, -65.78] [-0.01, -64.78] [0.19, -63.78]
1.349618e+07 [-0.05, -66.19] [0.15, -65.19] [0.35, -64.19]
1.401158e+07 [-0.39, -67.48] [-0.19, -66.48] [0.01, -65.48]
1.454667e+07 [-0.25, -68.98] [-0.05, -67.98] [0.15, -66.98]
1.510219e+07 [-0.43, -73.04] [-0.23, -72.04] [-0.03, -71.04]
1.567893e+07 [-0.59, -77.04] [-0.39, -76.04] [-0.19, -75.04]
1.627769e+07 [-0.38, -75.48] [-0.18, -74.48] [0.02, -73.48]
1.689931e+07 [-0.35, -79.84] [-0.15, -78.84] [0.05, -77.84]
1.754468e+07 [-0.36, -85.68] [-0.16, -84.68] [0.04, -83.68]
1.821469e+07 [-0.28, -85.12] [-0.08, -84.12] [0.12, -83.12]
1.891029e+07 [-0.50, -89.48] [-0.30, -88.48] [-0.10, -87.48]
1.963245e+07 [-0.39, -94.16] [-0.19, -93.16] [0.01, -92.16]
2.038219e+07 [-0.27, -98.86] [-0.07, -97.86] [0.13, -96.86]
2.116056e+07 [-0.31, -101.40] [-0.11, -100.40] [0.09, -99.40]
2.196866e+07 [-0.19, -105.39] [0.01, -104.39] [0.21, -103.39]
2.280762e+07 [-0.64, -110.66] [-0.44, -109.66] [-0.24, -108.66]
2.367862e+07 [-0.26, -112.86] [-0.06, -111.86] [0.14, -110.86]
2.458288e+07 [-0.33, -117.16] [-0.13, -116.16] [0.07, -115.16]
2.552167e+07 [-0.43, -123.17] [-0.23, -122.17] [-0.03, -121.17]
2.649631e+07 [-0.39, -126.27] [-0.19, -125.27] [0.01, -124.27]
2.750818e+07 [-0.44, -131.39] [-0.24, -130.39] [-0.04, -129.39]
2.855868e+07 [-0.32, -137.23] [-0.12, -136.23] [0.08, -135.23]
2.964930e+07 [-0.46, -142.15] [-0.26, -141.15] [-0.06, -140.15]
