# Version 1.00
#
freq[Hz];db:Trc1_S21;ang:Trc1_S21;
1.000000000000000E+007;-8.535579994136915E-002;-6.824820093066056E+001;
1.038188855303029E+007;1.421574356056737E-001;-7.004918318240497E+001;
1.077836099275414E+007;-9.568353315479190E-002;-7.483646376218944E+001;
1.118997426111024E+007;-2.196675126885233E-001;-7.433763486499930E+001;
1.161730656901240E+007;-4.786699847011957E-001;-7.758426414971599E+001;
1.206095820858735E+007;-3.935914937235031E-001;-8.061013534043778E+001;
1.252155239643097E+007;1.314894413182927E-001;-8.579379008650200E+001;
1.299973614906757E+007;-6.406699890060774E-002;-9.126528779827468E+001;
1.349618119184187E+007;9.048384669731291E-002;-9.279561901287481E+001;
1.401158490252058E+007;-2.890280616219750E-001;-9.490334714859777E+001;
1.454667129092905E+007;-5.305246240020904E-002;-9.753518439191741E+001;
1.510219201599907E+007;-2.730501087221728E-001;-1.032351907286248E+002;
1.567892744165662E+007;-3.722618932975874E-001;-1.074460872634841E+002;
1.627768773303274E+007;-2.687024096819066E-001;-1.075491771815859E+002;
1.689931399453742E+007;-1.697388164775029E-001;-1.135503218283717E+002;
1.754467945139527E+007;-1.650570475667169E-001;-1.205488055484145E+002;
1.821469067630263E+007;-1.000976654155568E-001;-1.216088396241826E+002;
1.891028886292939E+007;-3.151909964740402E-001;-1.272819718357248E+002;
1.963245114805428E+007;-2.446796477587581E-001;-1.333182730393440E+002;
2.038219198419111E+007;-8.406036707886222E-002;-1.395982829114989E+002;
2.116056456463395E+007;-1.555320124812053E-001;-1.437413740108704E+002;
2.196866230292316E+007;1.724564935832948E-002;-1.493468333978288E+002;
2.280762036881060E+007;-4.874418700545969E-001;-1.562465287599721E+002;
2.367861728288153E+007;-8.971309786347402E-002;-1.603264917083102E+002;
2.458287657207330E+007;-1.669439498248120E-001;-1.666612411630120E+002;
2.552166848841643E+007;-2.840967934055707E-001;-1.740118830729420E+002;
2.649631179341245E+007;-2.485063744350764E-001;-1.793115594736519E+002;
2.750817561055502E+007;-2.552318913414404E-001;1.733715468371629E+002;
