# Version 1.00
#
freq[Hz];db:Trc1_S21;ang:Trc1_S21;
1.000000000000000E+007;8.293776288800503E-002;-5.735276572668541E+001;
1.038188855303029E+007;1.790411056976101E-001;-5.800821468904096E+001;
1.077836099275414E+007;-5.380552066578825E-002;-6.240399957028770E+001;
1.118997426111024E+007;4.965499259607017E-002;-6.140597434948936E+001;
1.161730656901240E+007;-2.842613766711888E-001;-6.403248623466850E+001;
1.206095820858735E+007;-2.276340244598012E-001;-6.648347717871296E+001;
1.252155239643097E+007;2.753889783760661E-001;-7.065646455244483E+001;
1.299973614906757E+007;7.018586736228002E-002;-7.588090734131784E+001;
1.349618119184187E+007;2.625001769249177E-001;-7.688891734115498E+001;
1.401158490252058E+007;-1.099867146852919E-001;-7.859994147592995E+001;
1.454667129092905E+007;9.060734788712593E-002;-8.030286337817971E+001;
1.510219201599907E+007;-1.342317476186452E-001;-8.512213251589287E+001;
1.567892744165662E+007;-3.376120401057514E-001;-8.935149628919571E+001;
1.627768773303274E+007;-1.659765288156315E-001;-8.786901786217646E+001;
1.689931399453742E+007;-7.614107953870651E-003;-9.329906863652941E+001;
1.754467945139527E+007;-8.070361594539878E-002;-9.952689112863648E+001;
1.821469067630263E+007;-5.989906536002096E-004;-9.959085176607931E+001;
1.891028886292939E+007;-2.115940046345775E-001;-1.048033353511728E+002;
1.963245114805428E+007;-1.196086829640248E-001;-1.097219093584513E+002;
2.038219198419111E+007;-1.095099976877456E-002;-1.150991480635334E+002;
2.116056456463395E+007;-3.557804551749367E-003;-1.182480588250423E+002;
2.196866230292316E+007;9.088829969050410E-002;-1.229858848417286E+002;
2.280762036881060E+007;-3.907321555631840E-001;-1.286500955002835E+002;
2.367861728288153E+007;-1.911413785604453E-002;-1.318577550768765E+002;
2.458287657207330E+007;-4.270866187978516E-002;-1.368638755548319E+002;
2.552166848841643E+007;-1.827002631882378E-001;-1.432829757488435E+002;
2.649631179341245E+007;-1.587295017296732E-001;-1.473051779195245E+002;
2.750817561055502E+007;-1.684833795348104E-001;-1.531845627688348E+002;
2.855868134859682E+007;-4.872491003968261E-002;-1.600407768935464E+002;
2.964930469826371E+007;-2.100813812539265E-001;-1.658113105655674E+002;
3.078157770522112E+007;-1.786549679646795E-001;-1.724177603639868E+002;
3.195709092220476E+007;-1.910849649523480E-001;-1.774789015545523E+002;
3.317749564333858E+007;-2.028966762363848E-001;1.744820400773633E+002;
3.444450622377892E+007;-2.660430526279976E-001;1.675998010826581E+002;
3.575990248794310E+007;-1.778284199133146E-001;1.607260954298901E+002;
3.712553222970559E+007;-6.471840954726425E-002;1.525478131482069E+002;
3.854331380807376E+007;-1.167893552059610E-001;1.458084504584312E+002;
4.001523884198953E+007;-1.551515929687951E-001;1.377435059299823E+002;
4.154337500804243E+007;-2.194792261278614E-002;1.280674608869945E+002;
4.312986894502404E+007;-1.959416008908964E-001;1.204057616368841E+002;
4.477694926940417E+007;-2.429311353402469E-001;1.097755416700450E+002;
4.648692970596453E+007;-2.063236586015627E-001;1.009201189564302E+002;
4.826221233798770E+007;-2.489199250434222E-001;9.142292549553012E+001;
5.010529098156718E+007;-2.605896919566852E-001;8.138822054140108E+001;
5.201875468877842E+007;-2.488224923424393E-001;7.020717390911730E+001;
5.400529138463195E+007;-2.292840623628561E-001;5.916902493997077E+001;
5.606769164291760E+007;-1.392757523474247E-001;4.711978128943235E+001;
5.820885260624383E+007;-2.274051238257930E-001;3.618350693567324E+001;
6.043178205577903E+007;-3.250062204889848E-001;2.339594058948910E+001;
6.273960263641138E+007;-2.057070009276688E-001;1.039201328859424E+001;
6.513555624326284E+007;-2.450433681146954E-001;-2.490131407485356E+000;
6.762300857571912E+007;-2.182698989921719E-001;-1.585256756887187E+001;
7.020545386537276E+007;-1.881002428725668E-001;-3.063184697709297E+001;
7.288651978452097E+007;-2.312192181392465E-001;-4.538944931528974E+001;
7.566997254211341E+007;-2.402914229050044E-001;-6.061467214447072E+001;
7.855972217430838E+007;-2.661493643728194E-001;-7.667505718287215E+001;
8.155982803706922E+007;-2.396365935285346E-001;-9.375418454944332E+001;
8.467450450851679E+007;-2.495005550031508E-001;-1.107225129653592E+002;
8.790812690904823E+007;-2.676407701048825E-001;-1.284528979750766E+002;
9.126523764753820E+007;-3.111239971357885E-001;-1.473933822593619E+002;
9.475055260225661E+007;-2.429085833458235E-001;-1.665667027717612E+002;
9.836896774546625E+007;-2.867148219801270E-001;1.727521058974325E+002;
1.021255660210062E+008;-3.081013369574935E-001;1.523975371531305E+002;
1.060256244845224E+008;-3.568505202602727E-001;1.307507350413635E+002;
1.100746217163751E+008;-3.290911224089368E-001;1.080666897618856E+002;
1.142782455176374E+008;-3.567206409110164E-001;8.509123699346152E+001;
1.186424008999945E+008;-3.650017696057855E-001;6.047616742550124E+001;
1.231732183807684E+008;-3.659040898337631E-001;3.577171695055547E+001;
