FUNIT: Hz
UNIT: dB
1.000000e+07 [-0.12, -58.35] [0.08, -57.35] [0.28, -56.35]
1.038189e+07 [-0.02, -59.01] [0.18, -58.01] [0.38, -57.01]
1.077836e+07 [-0.25, -63.40] [-0.05, -62.40] [0.15, -61.40]
1.118997e+07 [-0.15, -62.41] [0.05, -61.41] [0.25, -60.41]
1.161731e+07 [-0.48, -65.03] [-0.28, -64.03] [-0.08, -63.03]
1.206096e+07 [-0.43, -67.48] [-0.23, -66.48] [-0.03, -65.48]
1.252155e+07 [0.08, -71.66] [0.28, -70.66] [0.48, -69.66]
1.299974e+07 [-0.13, -76.88] [0.07, -75.88] [0.27, -74.88]
1.349618e+07 [0.06, -77.89] [0.26, -76.89] [0.46, -75.89]
1.401158e+07 [-0.31, -79.60] [-0.11, -78.60] [0.09, -77.60]
1.454667e+07 [-0.11, -81.30] [0.09, -80.30] [0.29, -79.30]
1.510219e+07 [-0.33, -86.12] [-0.13, -85.12] [0.07, -84.12]
1.567893e+07 [-0.54, -90.35] [-0.34, -89.35] [-0.14, -88.35]
1.627769e+07 [-0.37, -88.87] [-0.17, -87.87] [0.03, -86.87]
1.689931e+07 [-0.21, -94.30] [-0.01, -93.30] [0.19, -92.30]
1.754468e+07 [-0.28, -100.53] [-0.08, -99.53] [0.12, -98.53]
1.821469e+07 [-0.20, -100.59] [-0.00, -99.59] [0.20, -98.59]
1.891029e+07 [-0.41, -105.80] [-0.21, -104.80] [-0.01, -103.80]
1.963245e+07 [-0.32, -110.72] [-0.12, -109.72] [0.08, -108.72]
2.038219e+07 [-0.21, -116.10] [-0.01, -115.10] [0.19, -114.10]
2.116056e+07 [-0.20, -119.25] [-0.00, -118.25] [0.20, -117.25]
2.196866e+07 [-0.11, -123.99] [0.09, -122.99] [0.29, -121.99]
2.280762e+07 [-0.59, -129.65] [-0.39, -128.65] [-0.19, -127.65]
2.367862e+07 [-0.22, -132.86] [-0.02, -131.86] [0.18, -130.86]
2.458288e+07 [-0.24, -137.86] [-0.04, -136.86] [0.16, -135.86]
2.552167e+07 [-0.38, -144.28] [-0.18, -143.28] [0.02, -142.28]
2.649631e+07 [-0.36, -148.31] [-0.16, -147.31] [0.04, -146.31]
2.750818e+07 [-0.37, -154.18] [-0.17, -153.18] [0.03, -152.18]
2.855868e+07 [-0.25, -161.04] [-0.05, -160.04] [0.15, -159.04]
2.964930e+07 [-0.41, -166.81] [-0.21, -165.81] [-0.01, -164.81]
3.078158e+07 [-0.38, -173.42] [-0.18, -172.42] [0.02, -171.42]
3.195709e+07 [-0.39, -178.48] [-0.19, -177.48] [0.01, -176.48]
3.317750e+07 [-0.40, 173.48] [-0.20, 174.48] [-0.00, 175.48]
3.444451e+07 [-0.47, 166.60] [-0.27, 167.60] [-0.07, 168.60]
3.575990e+07 [-0.38, 159.73] [-0.18, 160.73] [0.02, 161.73]
3.712553e+07 [-0.26, 151.55] [-0.06, 152.55] [0.14, 153.55]
3.854331e+07 [-0.32, 144.81] [-0.12, 145.81] [0.08, 146.81]
4.001524e+07 [-0.36, 136.74] [-0.16, 137.74] [0.04, 138.74]
4.154338e+07 [-0.22, 127.07] [-0.02, 128.07] [0.18, 129.07]
4.312987e+07 [-0.40, 119.41] [-0.20, 120.41] [0.00, 121.41]
4.477695e+07 [-0.44, 108.78] [-0.24, 109.78] [-0.04, 110.78]
4.648693e+07 [-0.41, 99.92] [-0.21, 100.92] [-0.01, 101.92]
4.826221e+07 [-0.45, 90.42] [-0.25, 91.42] [-0.05, 92.42]
5.010529e+07 [-0.46, 80.39] [-0.26, 81.39] [-0.06, 82.39]
5.201875e+07 [-0.45, 69.21] [-0.25, 70.21] [-0.05, 71.21]
5.400529e+07 [-0.43, 58.17] [-0.23, 59.17] [-0.03, 60.17]
5.606769e+07 [-0.34, 46.12] [-0.14, 47.12] [0.06, 48.12]
5.820885e+07 [-0.43, 35.18] [-0.23, 36.18] [-0.03, 37.18]
6.043178e+07 [-0.53, 22.40] [-0.33, 23.40] [-0.13, 24.40]
