FUNIT: Hz
UNIT: dB
1.000000e+07 [-0.14, -59.70] [0.06, -58.70] [0.26, -57.70]
1.038189e+07 [0.09, -61.24] [0.29, -60.24] [0.49, -59.24]
1.077836e+07 [-0.24, -65.04] [-0.04, -64.04] [0.16, -63.04]
1.118997e+07 [-0.24, -64.06] [-0.04, -63.06] [0.16, -62.06]
1.161731e+07 [-0.57, -66.55] [-0.37, -65.55] [-0.17, -64.55]
1.206096e+07 [-0.46, -69.15] [-0.26, -68.15] [-0.06, -67.15]
1.252155e+07 [0.05, -73.69] [0.25, -72.69] [0.45, -71.69]
1.299974e+07 [-0.08, -78.60] [0.12, -77.60] [0.32, -76.60]
1.349618e+07 [0.08, -79.75] [0.28, -78.75] [0.48, -77.75]
1.401158e+07 [-0.33, -81.60] [-0.13, -80.60] [0.07, -79.60]
1.454667e+07 [-0.12, -83.36] [0.08, -82.36] [0.28, -81.36]
1.510219e+07 [-0.39, -88.06] [-0.19, -87.06] [0.01, -86.06]
1.567893e+07 [-0.49, -92.53] [-0.29, -91.53] [-0.09, -90.53]
1.627769e+07 [-0.38, -91.45] [-0.18, -90.45] [0.02, -89.45]
1.689931e+07 [-0.27, -96.94] [-0.07, -95.94] [0.13, -94.94]
1.754468e+07 [-0.27, -102.76] [-0.07, -101.76] [0.13, -100.76]
1.821469e+07 [-0.24, -103.18] [-0.04, -102.18] [0.16, -101.18]
1.891029e+07 [-0.44, -108.39] [-0.24, -107.39] [-0.04, -106.39]
1.963245e+07 [-0.35, -113.57] [-0.15, -112.57] [0.05, -111.57]
2.038219e+07 [-0.19, -118.93] [0.01, -117.93] [0.21, -116.93]
2.116056e+07 [-0.22, -122.44] [-0.02, -121.44] [0.18, -120.44]
2.196866e+07 [-0.11, -127.01] [0.09, -126.01] [0.29, -125.01]
2.280762e+07 [-0.59, -133.05] [-0.39, -132.05] [-0.19, -131.05]
2.367862e+07 [-0.22, -136.16] [-0.02, -135.16] [0.18, -134.16]
2.458288e+07 [-0.25, -141.35] [-0.05, -140.35] [0.15, -139.35]
2.552167e+07 [-0.41, -147.84] [-0.21, -146.84] [-0.01, -145.84]
2.649631e+07 [-0.38, -151.93] [-0.18, -150.93] [0.02, -149.93]
2.750818e+07 [-0.38, -158.13] [-0.18, -157.13] [0.02, -156.13]
2.855868e+07 [-0.26, -164.76] [-0.06, -163.76] [0.14, -162.76]
2.964930e+07 [-0.41, -170.91] [-0.21, -169.91] [-0.01, -168.91]
3.078158e+07 [-0.41, -177.59] [-0.21, -176.59] [-0.01, -175.59]
3.195709e+07 [-0.42, 177.27] [-0.22, 178.27] [-0.02, 179.27]
3.317750e+07 [-0.42, 168.97] [-0.22, 169.97] [-0.02, 170.97]
3.444451e+07 [-0.46, 161.92] [-0.26, 162.92] [-0.06, 163.92]
3.575990e+07 [-0.40, 154.80] [-0.20, 155.80] [-0.00, 156.80]
3.712553e+07 [-0.28, 146.59] [-0.08, 147.59] [0.12, 148.59]
3.854331e+07 [-0.34, 139.35] [-0.14, 140.35] [0.06, 141.35]
4.001524e+07 [-0.35, 131.40] [-0.15, 132.40] [0.05, 133.40]
4.154338e+07 [-0.24, 121.40] [-0.04, 122.40] [0.16, 123.40]
4.312987e+07 [-0.40, 113.39] [-0.20, 114.39] [-0.00, 115.39]
4.477695e+07 [-0.45, 102.65] [-0.25, 103.65] [-0.05, 104.65]
4.648693e+07 [-0.43, 93.67] [-0.23, 94.67] [-0.03, 95.67]
4.826221e+07 [-0.46, 83.91] [-0.26, 84.91] [-0.06, 85.91]
5.010529e+07 [-0.47, 73.65] [-0.27, 74.65] [-0.07, 75.65]
5.201875e+07 [-0.46, 62.23] [-0.26, 63.23] [-0.06, 64.23]
5.400529e+07 [-0.45, 50.86] [-0.25, 51.86] [-0.05, 52.86]
5.606769e+07 [-0.37, 38.61] [-0.17, 39.61] [0.03, 40.61]
5.820885e+07 [-0.45, 27.30] [-0.25, 28.30] [-0.05, 29.30]
6.043178e+07 [-0.55, 14.27] [-0.35, 15.27] [-0.15, 16.27]
6.273960e+07 [-0.43, 1.00] [-0.23, 2.00] [-0.03, 3.00]
6.513556e+07 [-0.46, -12.19] [-0.26, -11.19] [-0.06, -10.19]
6.762301e+07 [-0.43, -26.01] [-0.23, -25.01] [-0.03, -24.01]
7.020545e+07 [-0.40, -41.05] [-0.20, -40.05] [0.00, -39.05]
7.288652e+07 [-0.44, -56.10] [-0.24, -55.10] [-0.04, -54.10]
7.566997e+07 [-0.47, -71.81] [-0.27, -70.81] [-0.07, -69.81]
7.855972e+07 [-0.49, -88.27] [-0.29, -87.27] [-0.09, -86.27]
8.155983e+07 [-0.46, -105.76] [-0.26, -104.76] [-0.06, -103.76]
8.467450e+07 [-0.48, -122.99] [-0.28, -121.99] [-0.08, -120.99]
8.790813e+07 [-0.49, -141.24] [-0.29, -140.24] [-0.09, -139.24]
9.126524e+07 [-0.53, -160.56] [-0.33, -159.56] [-0.13, -158.56]
9.475055e+07 [-0.47, -180.25] [-0.27, -179.25] [-0.07, -178.25]
9.836897e+07 [-0.51, 158.65] [-0.31, 159.65] [-0.11, 160.65]
1.021256e+08 [-0.53, 137.80] [-0.33, 138.80] [-0.13, 139.80]
1.060256e+08 [-0.58, 115.60] [-0.38, 116.60] [-0.18, 117.60]
1.100746e+08 [-0.55, 92.37] [-0.35, 93.37] [-0.15, 94.37]
1.142782e+08 [-0.56, 68.83] [-0.36, 69.83] [-0.16, 70.83]
1.186424e+08 [-0.58, 43.63] [-0.38, 44.63] [-0.18, 45.63]
1.231732e+08 [-0.58, 18.29] [-0.38, 19.29] [-0.18, 20.29]
1.278771e+08 [-0.54, -8.68] [-0.34, -7.68] [-0.14, -6.68]
1.327605e+08 [-0.58, -36.30] [-0.38, -35.30] [-0.18, -34.30]
1.378305e+08 [-0.62, -64.99] [-0.42, -63.99] [-0.22, -62.99]
1.430941e+08 [-0.63, -94.95] [-0.43, -93.95] [-0.23, -92.95]
