# Version 1.00
#
freq[Hz];db:Trc1_S21;ang:Trc1_S21;
1.000000000000000E+007;-2.006860971608038E+001;-7.462622089633335E+001;
1.038188855303029E+007;-1.999141815555825E+001;-7.676971880077529E+001;
1.077836099275414E+007;-2.029393206529390E+001;-8.076083339503272E+001;
1.118997426111024E+007;-2.027696576854540E+001;-8.097591316994733E+001;
1.161730656901240E+007;-2.060494415145906E+001;-8.415852323695262E+001;
1.206095820858735E+007;-2.043522962602789E+001;-8.789105296949818E+001;
1.252155239643097E+007;-2.007087237706143E+001;-9.291092869595768E+001;
1.299973614906757E+007;-2.020987770673012E+001;-9.865506072570875E+001;
1.349618119184187E+007;-2.004609065648096E+001;-1.005171692938035E+002;
1.401158490252058E+007;-2.037630460416272E+001;-1.027674367871842E+002;
1.454667129092905E+007;-2.030336882779509E+001;-1.055808487365210E+002;
1.510219201599907E+007;-2.046391073178587E+001;-1.115074341807674E+002;
1.567892744165662E+007;-2.058903080758125E+001;-1.162121147692996E+002;
1.627768773303274E+007;-2.037179185654402E+001;-1.165657032701142E+002;
1.689931399453742E+007;-2.037152789637928E+001;-1.227589859113643E+002;
1.754467945139527E+007;-2.031304385404184E+001;-1.303068935663791E+002;
1.821469067630263E+007;-2.032207411252091E+001;-1.315526115816211E+002;
1.891028886292939E+007;-2.049325732169301E+001;-1.378622829822248E+002;
1.963245114805428E+007;-2.042450393361676E+001;-1.438135811678090E+002;
2.038219198419111E+007;-2.027267572861426E+001;-1.508845221282001E+002;
2.116056456463395E+007;-2.036984143148635E+001;-1.550593220126478E+002;
2.196866230292316E+007;-2.016392692607102E+001;-1.611511434434468E+002;
2.280762036881060E+007;-2.067721068493632E+001;-1.684474878832025E+002;
2.367861728288153E+007;-2.030701374202732E+001;-1.730423563931172E+002;
2.458287657207330E+007;-2.036437437619123E+001;-1.795438448082263E+002;
2.552166848841643E+007;-2.050793614563401E+001;1.722431694419200E+002;
2.649631179341245E+007;-2.048558679825405E+001;1.667701390881602E+002;
2.750817561055502E+007;-2.044519504644428E+001;1.590251296670353E+002;
2.855868134859682E+007;-2.034469185892241E+001;1.505690619032342E+002;
2.964930469826371E+007;-2.051357886589821E+001;1.426659592768332E+002;
3.078157770522112E+007;-2.050221391065710E+001;1.340226220204480E+002;
3.195709092220476E+007;-2.051671861012443E+001;1.271189621816503E+002;
3.317749564333858E+007;-2.052652756534868E+001;1.168754316331121E+002;
3.444450622377892E+007;-2.055390668429044E+001;1.078413151583396E+002;
3.575990248794310E+007;-2.051198695330853E+001;9.867065319888479E+001;
3.712553222970559E+007;-2.039178842195969E+001;8.830369182691209E+001;
3.854331380807376E+007;-2.046380069972814E+001;7.881709044554211E+001;
4.001523884198953E+007;-2.046708487392472E+001;6.828236956390570E+001;
4.154337500804243E+007;-2.034300970995536E+001;5.591366004852912E+001;
4.312986894502404E+007;-2.051854735484941E+001;4.565122452851515E+001;
4.477694926940417E+007;-2.058236896911802E+001;3.201685709888539E+001;
4.648692970596453E+007;-2.054655897400826E+001;2.018990742374425E+001;
4.826221233798770E+007;-2.058425128253572E+001;7.822904787504834E+000;
5.010529098156718E+007;-2.058770848388009E+001;-5.511096236859461E+000;
5.201875468877842E+007;-2.059602689755704E+001;-1.989247533521518E+001;
5.400529138463195E+007;-2.058464499076630E+001;-3.441121234979460E+001;
5.606769164291760E+007;-2.050957834296289E+001;-5.000397272330997E+001;
5.820885260624383E+007;-2.059536632758113E+001;-6.461654321062298E+001;
6.043178205577903E+007;-2.068523156029936E+001;-8.129596759412726E+001;
6.273960263641138E+007;-2.058114207763522E+001;-9.823100418913265E+001;
6.513555624326284E+007;-2.060927074502531E+001;-1.151532172878495E+002;
6.762300857571912E+007;-2.059692338289391E+001;-1.328588932004228E+002;
7.020545386537276E+007;-2.057329726715808E+001;-1.520974270371138E+002;
7.288651978452097E+007;-2.059713950432898E+001;-1.714524923186042E+002;
7.566997254211341E+007;-2.062342083697583E+001;1.684400638756229E+002;
7.855972217430838E+007;-2.065189854917974E+001;1.474537919918046E+002;
8.155982803706922E+007;-2.063710043633623E+001;1.252043454650854E+002;
8.467450450851679E+007;-2.063580522554157E+001;1.029169811272469E+002;
8.790812690904823E+007;-2.067117191195211E+001;7.962373409071414E+001;
9.126523764753820E+007;-2.072080904237554E+001;5.485322135759726E+001;
9.475055260225661E+007;-2.065857849954308E+001;2.971070965439591E+001;
9.836896774546625E+007;-2.069812964393088E+001;2.901513241907944E+000;
1.021255660210062E+008;-2.072438970773489E+001;-2.396647029964209E+001;
1.060256244845224E+008;-2.077173450534584E+001;-5.239483231956025E+001;
1.100746217163751E+008;-2.074498591048155E+001;-8.191392092856961E+001;
1.142782455176374E+008;-2.076808113983903E+001;-1.121660101365306E+002;
1.186424008999945E+008;-2.079282138716390E+001;-1.443296560214116E+002;
1.231732183807684E+008;-2.079371103468606E+001;-1.768665469199153E+002;
1.278770625947199E+008;-2.076526001809726E+001;1.486937548199106E+002;
1.327605412347261E+008;-2.079492711018421E+001;1.133284831448482E+002;
