FUNIT: Hz
UNIT: dB
1.000000e+07 [-20.27, -75.63] [-20.07, -74.63] [-19.87, -73.63]
1.038189e+07 [-20.19, -77.77] [-19.99, -76.77] [-19.79, -75.77]
1.077836e+07 [-20.49, -81.76] [-20.29, -80.76] [-20.09, -79.76]
1.118997e+07 [-20.48, -81.98] [-20.28, -80.98] [-20.08, -79.98]
1.161731e+07 [-20.80, -85.16] [-20.60, -84.16] [-20.40, -83.16]
1.206096e+07 [-20.64, -88.89] [-20.44, -87.89] [-20.24, -86.89]
1.252155e+07 [-20.27, -93.91] [-20.07, -92.91] [-19.87, -91.91]
1.299974e+07 [-20.41, -99.66] [-20.21, -98.66] [-20.01, -97.66]
1.349618e+07 [-20.25, -101.52] [-20.05, -100.52] [-19.85, -99.52]
1.401158e+07 [-20.58, -103.77] [-20.38, -102.77] [-20.18, -101.77]
1.454667e+07 [-20.50, -106.58] [-20.30, -105.58] [-20.10, -104.58]
1.510219e+07 [-20.66, -112.51] [-20.46, -111.51] [-20.26, -110.51]
1.567893e+07 [-20.79, -117.21] [-20.59, -116.21] [-20.39, -115.21]
1.627769e+07 [-20.57, -117.57] [-20.37, -116.57] [-20.17, -115.57]
1.689931e+07 [-20.57, -123.76] [-20.37, -122.76] [-20.17, -121.76]
1.754468e+07 [-20.51, -131.31] [-20.31, -130.31] [-20.11, -129.31]
1.821469e+07 [-20.52, -132.55] [-20.32, -131.55] [-20.12, -130.55]
1.891029e+07 [-20.69, -138.86] [-20.49, -137.86] [-20.29, -136.86]
1.963245e+07 [-20.62, -144.81] [-20.42, -143.81] [-20.22, -142.81]
2.038219e+07 [-20.47, -151.88] [-20.27, -150.88] [-20.07, -149.88]
2.116056e+07 [-20.57, -156.06] [-20.37, -155.06] [-20.17, -154.06]
2.196866e+07 [-20.36, -162.15] [-20.16, -161.15] [-19.96, -160.15]
2.280762e+07 [-20.88, -169.45] [-20.68, -168.45] [-20.48, -167.45]
2.367862e+07 [-20.51, -174.04] [-20.31, -173.04] [-20.11, -172.04]
2.458288e+07 [-20.56, -180.54] [-20.36, -179.54] [-20.16, -178.54]
2.552167e+07 [-20.71, 171.24] [-20.51, 172.24] [-20.31, 173.24]
2.649631e+07 [-20.69, 165.77] [-20.49, 166.77] [-20.29, 167.77]
2.750818e+07 [-20.65, 158.03] [-20.45, 159.03] [-20.25, 160.03]
2.855868e+07 [-20.54, 149.57] [-20.34, 150.57] [-20.14, 151.57]
2.964930e+07 [-20.71, 141.67] [-20.51, 142.67] [-20.31, 143.67]
3.078158e+07 [-20.70, 133.02] [-20.50, 134.02] [-20.30, 135.02]
3.195709e+07 [-20.72, 126.12] [-20.52, 127.12] [-20.32, 128.12]
3.317750e+07 [-20.73, 115.88] [-20.53, 116.88] [-20.33, 117.88]
3.444451e+07 [-20.75, 106.84] [-20.55, 107.84] [-20.35, 108.84]
3.575990e+07 [-20.71, 97.67] [-20.51, 98.67] [-20.31, 99.67]
3.712553e+07 [-20.59, 87.30] [-20.39, 88.30] [-20.19, 89.30]
3.854331e+07 [-20.66, 77.82] [-20.46, 78.82] [-20.26, 79.82]
4.001524e+07 [-20.67, 67.28] [-20.47, 68.28] [-20.27, 69.28]
4.154338e+07 [-20.54, 54.91] [-20.34, 55.91] [-20.14, 56.91]
4.312987e+07 [-20.72, 44.65] [-20.52, 45.65] [-20.32, 46.65]
4.477695e+07 [-20.78, 31.02] [-20.58, 32.02] [-20.38, 33.02]
4.648693e+07 [-20.75, 19.19] [-20.55, 20.19] [-20.35, 21.19]
4.826221e+07 [-20.78, 6.82] [-20.58, 7.82] [-20.38, 8.82]
5.010529e+07 [-20.79, -6.51] [-20.59, -5.51] [-20.39, -4.51]
5.201875e+07 [-20.80, -20.89] [-20.60, -19.89] [-20.40, -18.89]
5.400529e+07 [-20.78, -35.41] [-20.58, -34.41] [-20.38, -33.41]
5.606769e+07 [-20.71, -51.00] [-20.51, -50.00] [-20.31, -49.00]
5.820885e+07 [-20.80, -65.62] [-20.60, -64.62] [-20.40, -63.62]
6.043178e+07 [-20.89, -82.30] [-20.69, -81.30] [-20.49, -80.30]
6.273960e+07 [-20.78, -99.23] [-20.58, -98.23] [-20.38, -97.23]
6.513556e+07 [-20.81, -116.15] [-20.61, -115.15] [-20.41, -114.15]
6.762301e+07 [-20.80, -133.86] [-20.60, -132.86] [-20.40, -131.86]
7.020545e+07 [-20.77, -153.10] [-20.57, -152.10] [-20.37, -151.10]
7.288652e+07 [-20.80, -172.45] [-20.60, -171.45] [-20.40, -170.45]
7.566997e+07 [-20.82, 167.44] [-20.62, 168.44] [-20.42, 169.44]
7.855972e+07 [-20.85, 146.45] [-20.65, 147.45] [-20.45, 148.45]
8.155983e+07 [-20.84, 124.20] [-20.64, 125.20] [-20.44, 126.20]
8.467450e+07 [-20.84, 101.92] [-20.64, 102.92] [-20.44, 103.92]
8.790813e+07 [-20.87, 78.62] [-20.67, 79.62] [-20.47, 80.62]
9.126524e+07 [-20.92, 53.85] [-20.72, 54.85] [-20.52, 55.85]
9.475055e+07 [-20.86, 28.71] [-20.66, 29.71] [-20.46, 30.71]
9.836897e+07 [-20.90, 1.90] [-20.70, 2.90] [-20.50, 3.90]
1.021256e+08 [-20.92, -24.97] [-20.72, -23.97] [-20.52, -22.97]
1.060256e+08 [-20.97, -53.39] [-20.77, -52.39] [-20.57, -51.39]
1.100746e+08 [-20.94, -82.91] [-20.74, -81.91] [-20.54, -80.91]
1.142782e+08 [-20.97, -113.17] [-20.77, -112.17] [-20.57, -111.17]
1.186424e+08 [-20.99, -145.33] [-20.79, -144.33] [-20.59, -143.33]
1.231732e+08 [-20.99, -177.87] [-20.79, -176.87] [-20.59, -175.87]
1.278771e+08 [-20.97, 147.69] [-20.77, 148.69] [-20.57, 149.69]
1.327605e+08 [-20.99, 112.33] [-20.79, 113.33] [-20.59, 114.33]
1.378305e+08 [-21.05, 75.64] [-20.85, 76.64] [-20.65, 77.64]
1.430941e+08 [-21.07, 37.27] [-20.87, 38.27] [-20.67, 39.27]
1.485587e+08 [-21.06, -2.24] [-20.86, -1.24] [-20.66, -0.24]
1.542320e+08 [-21.07, -43.54] [-20.87, -42.54] [-20.67, -41.54]
1.601219e+08 [-21.07, -86.24] [-20.87, -85.24] [-20.67, -84.24]
1.662368e+08 [-21.11, -130.69] [-20.91, -129.69] [-20.71, -128.69]
1.725852e+08 [-21.08, -176.94] [-20.88, -175.94] [-20.68, -174.94]
1.791760e+08 [-21.12, 135.24] [-20.92, 136.24] [-20.72, 137.24]
1.860186e+08 [-21.13, 85.56] [-20.93, 86.56] [-20.73, 87.56]
1.931224e+08 [-21.18, 34.13] [-20.98, 35.13] [-20.78, 36.13]
2.004975e+08 [-21.18, -19.47] [-20.98, -18.47] [-20.78, -17.47]
2.081543e+08 [-21.18, -75.05] [-20.98, -74.05] [-20.78, -73.05]
2.161035e+08 [-21.21, -132.76] [-21.01, -131.76] [-20.81, -130.76]
2.243562e+08 [-21.21, 167.34] [-21.01, 168.34] [-20.81, 169.34]
2.329241e+08 [-21.27, 105.10] [-21.07, 106.10] [-20.87, 107.10]
2.418192e+08 [-21.27, 40.58] [-21.07, 41.58] [-20.87, 42.58]
2.510540e+08 [-21.29, -26.39] [-21.09, -25.39] [-20.89, -24.39]
2.606415e+08 [-21.30, -96.18] [-21.10, -95.18] [-20.90, -94.18]
2.705951e+08 [-21.32, -168.25] [-21.12, -167.25] [-20.92, -166.25]
2.809288e+08 [-21.37, 116.68] [-21.17, 117.68] [-20.97, 118.68]
2.916571e+08 [-21.37, 38.86] [-21.17, 39.86] [-20.97, 40.86]
3.027952e+08 [-21.37, -42.04] [-21.17, -41.04] [-20.97, -40.04]
3.143586e+08 [-21.39, -125.98] [-21.19, -124.98] [-20.99, -123.98]
3.263636e+08 [-21.43, 146.88] [-21.23, 147.88] [-21.03, 148.88]
3.388271e+08 [-21.43, 56.36] [-21.23, 57.36] [-21.03, 58.36]
