FUNIT: Hz
UNIT: dB
9.676454e+08 [-40.85, -120.95] [-40.65, -119.95] [-40.45, -118.95]
1.004599e+09 [-40.67, -170.37] [-40.47, -169.37] [-40.27, -168.37]
1.042963e+09 [-40.54, 137.93] [-40.34, 138.93] [-40.14, 139.93]
1.082793e+09 [-40.41, 84.70] [-40.21, 85.70] [-40.01, 86.70]
1.124143e+09 [-40.29, 29.43] [-40.09, 30.43] [-39.89, 31.43]
1.167073e+09 [-40.19, -28.03] [-39.99, -27.03] [-39.79, -26.03]
1.211642e+09 [-40.10, -87.73] [-39.90, -86.73] [-39.70, -85.73]
1.257913e+09 [-40.03, -149.76] [-39.83, -148.76] [-39.63, -147.76]
1.305952e+09 [-40.00, 145.74] [-39.80, 146.74] [-39.60, 147.74]
1.355825e+09 [-39.99, 78.81] [-39.79, 79.81] [-39.59, 80.81]
1.407602e+09 [-39.98, 9.20] [-39.78, 10.20] [-39.58, 11.20]
1.461357e+09 [-40.01, -63.18] [-39.81, -62.18] [-39.61, -61.18]
1.517164e+09 [-40.09, -138.38] [-39.89, -137.38] [-39.69, -136.38]
1.575103e+09 [-40.18, 143.39] [-39.98, 144.39] [-39.78, 145.39]
1.635254e+09 [-40.29, 62.08] [-40.09, 63.08] [-39.89, 64.08]
1.697703e+09 [-40.43, -22.62] [-40.23, -21.62] [-40.03, -20.62]
1.762536e+09 [-40.63, -110.62] [-40.43, -109.62] [-40.23, -108.62]
1.829845e+09 [-40.85, 157.75] [-40.65, 158.75] [-40.45, 159.75]
1.899725e+09 [-41.09, 62.20] [-40.89, 63.20] [-40.69, 64.20]
1.972273e+09 [-41.36, -37.39] [-41.16, -36.39] [-40.96, -35.39]
2.000000e+09 [-41.65, -141.12] [-41.45, -140.12] [-41.25, -139.12]
2.000000e+09 [-41.34, 101.21] [-41.14, 102.21] [-40.94, 103.21]
2.125787e+09 [-41.18, 32.74] [-40.98, 33.74] [-40.78, 34.74]
2.206969e+09 [-41.03, -38.28] [-40.83, -37.28] [-40.63, -36.28]
2.291250e+09 [-40.89, -112.19] [-40.69, -111.19] [-40.49, -110.19]
2.378751e+09 [-40.74, 170.66] [-40.54, 171.66] [-40.34, 172.66]
2.469592e+09 [-40.63, 91.04] [-40.43, 92.04] [-40.23, 93.04]
2.563903e+09 [-40.56, 8.98] [-40.36, 9.98] [-40.16, 10.98]
2.661816e+09 [-40.46, -75.97] [-40.26, -74.97] [-40.06, -73.97]
2.763468e+09 [-40.41, -165.29] [-40.21, -164.29] [-40.01, -163.29]
2.869001e+09 [-40.38, 101.69] [-40.18, 102.69] [-39.98, 103.69]
2.978565e+09 [-40.37, 5.15] [-40.17, 6.15] [-39.97, 7.15]
3.092313e+09 [-40.39, -95.10] [-40.19, -94.10] [-39.99, -93.10]
