# Version 1.00
#
freq[Hz];db:Trc1_S42;ang:Trc1_S42;
9.676453815308577E+008;-4.032636414806203E+001;2.551868127768242E+001;
1.004598650990784E+009;-4.015681301355982E+001;-5.932915661711157E+001;
1.042963123511089E+009;-3.999977024961189E+001;-1.477055759626449E+002;
1.082792691321250E+009;-3.986778805485068E+001;1.205957873223750E+002;
1.124143304733295E+009;-3.976311630032986E+001;2.544625308914742E+001;
1.167073050737623E+009;-3.966627768280676E+001;-7.343281584612745E+001;
1.211642234600307E+009;-3.957930555206782E+001;-1.761041073788001E+002;
1.257913464576497E+009;-3.952429988641508E+001;7.728484673853031E+001;
1.305951739858941E+009;-3.948440954274105E+001;-3.352641646105391E+001;
1.355824541885154E+009;-3.944896174831816E+001;-1.485172177993702E+002;
1.407601929131501E+009;-3.945949586834806E+001;9.202532109822519E+001;
1.461356635527369E+009;-3.949107835359121E+001;-3.207999209928743E+001;
1.517164172627645E+009;-3.954681569064132E+001;-1.610482968138377E+002;
1.575102935687062E+009;-3.964109711317479E+001;6.489657250550272E+001;
1.635254313785392E+009;-3.973054961936374E+001;-7.442088186730285E+001;
1.697702804158197E+009;-3.988332214016979E+001;1.407278170312514E+002;
1.762536130893741E+009;-4.005651344158053E+001;-9.722667561555660E+000;
1.829845368162803E+009;-4.024895525961289E+001;-1.663944571194081E+002;
1.899725068154491E+009;-4.046810526436481E+001;3.082986952349041E+001;
1.972273393897780E+009;-4.072546966646839E+001;-1.385376162875402E+002;
2.000000000000000E+009;-4.098795590575193E+001;4.528146547684672E+001;
2.000000000000001E+009;-4.127134895568157E+001;3.083178270564250E+001;
2.125787461583465E+009;-4.114477955399589E+001;-1.228689747036423E+002;
2.206968851358869E+009;-4.104756416066630E+001;7.804509879685665E+001;
2.291250465481706E+009;-4.087165478179595E+001;-8.681930918564078E+001;
2.378750697970985E+009;-4.077359966635645E+001;1.007854415789490E+002;
2.469592464177779E+009;-4.064645925208797E+001;-7.754660982649807E+001;
2.563903373449715E+009;-4.041126178268518E+001;9.745592394813686E+001;
2.661815908389335E+009;-4.038408375246960E+001;-9.305583650899727E+001;
2.763467610958116E+009;-4.036752643370554E+001;6.478587771753945E+001;
2.869001275687604E+009;-4.034103116235312E+001;-1.428007469684047E+002;
2.978565150269043E+009;-4.033814645177509E+001;1.726192304393835E+000;
3.092313143803313E+009;-4.032534046762547E+001;1.377497017410980E+002;
3.210405043003673E+009;-4.038703102802224E+001;-9.453095038258356E+001;
3.333006736655056E+009;-4.039842995990979E+001;2.392362018919521E+001;
3.460290448645197E+009;-4.048193666142746E+001;1.328985600253783E+002;
3.592434979894962E+009;-4.055269290145356E+001;-1.275880859629469E+002;
3.729625959527711E+009;-4.069369894761811E+001;-3.831125984071789E+001;
3.872056105630537E+009;-4.081533714515098E+001;4.030302375310119E+001;
4.019925495973672E+009;-4.097640611030941E+001;1.083012281879983E+002;
4.173441849068368E+009;-4.109564903805347E+001;1.652612980638660E+002;
4.332820815958047E+009;-4.129246520873814E+001;-1.498663369426236E+002;
4.498286283152621E+009;-4.144229615233210E+001;-1.177537477936705E+002;
4.670070687131537E+009;-4.152845112576721E+001;-9.808858689314110E+001;
4.848415340857322E+009;-4.166976203577774E+001;-9.166476187304265E+001;
5.033570772758309E+009;-4.179263609820522E+001;-9.870054754860510E+001;
5.225797078656734E+009;-4.183412954870702E+001;-1.200265751193605E+002;
5.425364287136548E+009;-4.179193695490741E+001;-1.557256782476217E+002;
5.632552738864227E+009;-4.184665973105199E+001;1.538630307386471E+002;
5.847653480395394E+009;-4.189881630119289E+001;8.849887200238669E+001;
6.000000000000000E+009;-4.174893090231009E+001;7.983392252151653E+000;
6.000000000000001E+009;-3.927262874321547E+001;1.003553722294004E+002;
6.302812017223670E+009;-3.936173971360137E+001;1.301318068747193E+002;
6.543509193351618E+009;-3.938406865631041E+001;1.450728347126873E+002;
6.793398319110564E+009;-3.938383579174288E+001;1.480384121278276E+002;
7.052830424534919E+009;-3.943744153852225E+001;1.364490062390666E+002;
7.322169945094285E+009;-3.943886123087924E+001;1.111369600113856E+002;
7.601795233631680E+009;-3.944314940722359E+001;7.102898704201748E+001;
7.892099091852097E+009;-3.945858506004302E+001;1.558632780309707E+001;
8.193489322108005E+009;-3.947259364792178E+001;-5.607619861271473E+001;
8.506389300256902E+009;-3.952818429853448E+001;-1.438012223604354E+002;
8.831238570395649E+009;-3.957256723811062E+001;1.114951009580764E+002;
9.168493462307018E+009;-3.959668628090872E+001;-1.119613869373996E+001;
9.518627732485830E+009;-3.965032482438720E+001;-1.519681967824537E+002;
9.882133229645132E+009;-3.978100911872401E+001;4.544809198488422E+001;
1.025952058563731E+010;-3.998838622847576E+001;-1.368540554742791E+002;
1.065131993276066E+010;-4.006937065918638E+001;2.376890049089058E+001;
1.105808164845913E+010;-4.027671075350134E+001;1.608078755888832E+002;
1.148037712846121E+010;-4.037777697051150E+001;-8.437814194677033E+001;
1.191879958944423E+010;-4.032433884662314E+001;7.251221242217909E+000;
1.237396490235132E+010;-4.048700131535359E+001;7.423719792130051E+001;
1.284651245753197E+010;-4.049069974732365E+001;1.163020479071738E+002;
1.333710606292122E+010;-4.059019866325959E+001;1.324417064218925E+002;
1.384643487651927E+010;-4.071557047742942E+001;1.216666717500419E+002;
1.437521437448148E+010;-4.072018973760180E+001;8.379645619329573E+001;
1.492418735617858E+010;-4.077697396339299E+001;1.637101428645430E+001;
1.549412498763898E+010;-4.070298376412504E+001;-8.426209863951145E+001;
1.608582788483898E+010;-4.097844113036632E+001;1.450737976065253E+002;
1.670012723836252E+010;-4.095307827208185E+001;-1.909775068452916E+001;
1.733788598101053E+010;-4.129603913935589E+001;1.424210829325365E+002;
1.800000000000000E+010;-4.120717581756868E+001;-8.794091492327544E+001;
