FUNIT: Hz
UNIT: dB
1.000000e+07 [-70.84, 42.68] [-70.64, 43.68] [-70.44, 44.68]
1.038189e+07 [-81.22, -86.21] [-81.02, -85.21] [-80.82, -84.21]
1.077836e+07 [-64.31, 111.91] [-64.11, 112.91] [-63.91, 113.91]
1.118997e+07 [-73.55, 156.85] [-73.35, 157.85] [-73.15, 158.85]
1.161731e+07 [-77.42, 105.82] [-77.22, 106.82] [-77.02, 107.82]
1.206096e+07 [-63.27, -79.01] [-63.07, -78.01] [-62.87, -77.01]
1.252155e+07 [-73.51, 38.14] [-73.31, 39.14] [-73.11, 40.14]
1.299974e+07 [-65.69, 66.07] [-65.49, 67.07] [-65.29, 68.07]
1.349618e+07 [-71.06, 83.61] [-70.86, 84.61] [-70.66, 85.61]
1.401158e+07 [-81.38, 38.06] [-81.18, 39.06] [-80.98, 40.06]
1.454667e+07 [-78.25, -178.82] [-78.05, -177.82] [-77.85, -176.82]
1.510219e+07 [-66.83, 65.39] [-66.63, 66.39] [-66.43, 67.39]
1.567893e+07 [-81.40, 39.68] [-81.20, 40.68] [-81.00, 41.68]
1.627769e+07 [-80.63, 44.17] [-80.43, 45.17] [-80.23, 46.17]
1.689931e+07 [-68.75, 71.02] [-68.55, 72.02] [-68.35, 73.02]
1.754468e+07 [-68.22, 101.32] [-68.02, 102.32] [-67.82, 103.32]
1.821469e+07 [-69.08, 121.39] [-68.88, 122.39] [-68.68, 123.39]
1.891029e+07 [-78.82, 72.41] [-78.62, 73.41] [-78.42, 74.41]
1.963245e+07 [-70.59, 14.89] [-70.39, 15.89] [-70.19, 16.89]
2.038219e+07 [-69.60, 64.28] [-69.40, 65.28] [-69.20, 66.28]
2.116056e+07 [-70.96, 57.72] [-70.76, 58.72] [-70.56, 59.72]
2.196866e+07 [-73.33, -17.58] [-73.13, -16.58] [-72.93, -15.58]
2.280762e+07 [-71.05, 90.90] [-70.85, 91.90] [-70.65, 92.90]
2.367862e+07 [-68.63, 41.29] [-68.43, 42.29] [-68.23, 43.29]
