# Version 1.00
#
freq[Hz];db:Trc1_S42;ang:Trc1_S42;
1.000000000000000E+007;-8.585562968970595E+001;-1.716132741535294E+002;
1.038188855303029E+007;-6.980580818804144E+001;-1.505787472251820E+002;
1.077836099275414E+007;-6.346449298965721E+001;7.766707538135302E+001;
1.118997426111024E+007;-6.867637287851406E+001;-4.884910742958802E+001;
1.161730656901240E+007;-7.297336598244856E+001;-5.231745599341503E+001;
1.206095820858735E+007;-7.098529900056740E+001;5.398479264693995E+001;
1.252155239643097E+007;-7.563772304354741E+001;1.384161941512755E+002;
1.299973614906757E+007;-6.550154388397749E+001;-9.764789613418974E+001;
1.349618119184187E+007;-7.235114726012614E+001;5.133817102822783E+001;
1.401158490252058E+007;-6.537685419893495E+001;-1.701595941348653E+002;
1.454667129092905E+007;-9.535050591211733E+001;-4.768269919163833E+000;
1.510219201599907E+007;-6.753196721751431E+001;-1.468775607068742E+002;
1.567892744165662E+007;-6.780683340950832E+001;-6.766844934681627E+000;
1.627768773303274E+007;-7.462270857790847E+001;1.222818384730316E+002;
1.689931399453742E+007;-7.903432410568252E+001;-4.172521254670472E+001;
1.754467945139527E+007;-7.095033000050113E+001;1.514532793039140E+002;
1.821469067630263E+007;-7.428718112696738E+001;1.686994642142579E+001;
1.891028886292939E+007;-7.048512546966283E+001;6.358272772666672E+001;
1.963245114805428E+007;-7.201659460306257E+001;1.087814416873521E+002;
2.038219198419111E+007;-7.302645415060378E+001;7.220667060644874E+001;
2.116056456463395E+007;-7.322290558948737E+001;-1.601640603815568E+002;
2.196866230292316E+007;-7.066675246502055E+001;1.260036510369765E+002;
2.280762036881060E+007;-7.288765063253304E+001;4.588970581092006E+001;
2.367861728288153E+007;-7.085987988022187E+001;-1.008193936648322E+000;
2.458287657207330E+007;-7.503208917380782E+001;5.876995858186808E+001;
2.552166848841643E+007;-6.854683496300385E+001;-5.002039441268421E+001;
2.649631179341245E+007;-7.144827445014447E+001;2.623472849450681E+001;
2.750817561055502E+007;-8.005860861163966E+001;-5.913026245358854E+001;
2.855868134859682E+007;-6.666845204157889E+001;6.937804824694764E+001;
2.964930469826371E+007;-8.229730709082055E+001;5.334129806104804E+001;
3.078157770522112E+007;-6.984872459852129E+001;2.974388318413829E+001;
3.195709092220476E+007;-7.309902070672310E+001;1.187914677519592E+002;
3.317749564333858E+007;-6.858794782419588E+001;-6.523126089928896E+000;
3.444450622377892E+007;-7.697341974346779E+001;-6.881183314328465E+000;
3.575990248794310E+007;-6.989785347817853E+001;-1.057338158685880E+001;
3.712553222970559E+007;-7.221430282705693E+001;1.491121529352230E+001;
3.854331380807376E+007;-6.900147516245977E+001;6.287360528754052E+000;
4.001523884198953E+007;-6.803488266567867E+001;-5.663340188358994E+000;
4.154337500804243E+007;-7.094083409386268E+001;-3.679225445567425E+000;
4.312986894502404E+007;-7.286548117706285E+001;-1.019738636361175E+001;
4.477694926940417E+007;-6.957182986286340E+001;8.199112047610083E+000;
4.648692970596453E+007;-7.023622068064840E+001;-2.849265130029333E+001;
4.826221233798770E+007;-7.032402641682323E+001;1.627285273473715E+001;
5.010529098156718E+007;-6.954232738322979E+001;6.382140119434046E+000;
5.201875468877842E+007;-6.792847989305042E+001;-2.767273000397128E+001;
5.400529138463195E+007;-7.142431940907179E+001;-4.452849006617275E+000;
5.606769164291760E+007;-7.202804306991388E+001;-9.015285383524216E+000;
5.820885260624383E+007;-7.090525163356656E+001;-2.366076148022679E+001;
6.043178205577903E+007;-6.871945701028123E+001;-4.421231442534069E+001;
6.273960263641138E+007;-6.899884291091928E+001;-2.827624785299989E+001;
6.513555624326284E+007;-6.680153996095518E+001;-2.899332924406189E+001;
6.762300857571912E+007;-7.084249769751739E+001;-4.660925960531047E+001;
7.020545386537276E+007;-6.755868955445560E+001;-3.736435194504603E+001;
7.288651978452097E+007;-6.638372258808474E+001;-5.314801499402191E+001;
7.566997254211341E+007;-6.569892815760980E+001;-7.374728644353381E+001;
7.855972217430838E+007;-6.622698627869481E+001;-6.479652339315830E+001;
8.155982803706922E+007;-6.688656290130267E+001;-6.340172329742223E+001;
8.467450450851679E+007;-6.673230854288845E+001;-7.549124553444959E+001;
8.790812690904823E+007;-6.636329128963290E+001;-9.096426821381705E+001;
9.126523764753820E+007;-6.485241606478611E+001;-9.308811074896953E+001;
9.475055260225661E+007;-6.594692326414183E+001;-9.315310255519255E+001;
9.836896774546625E+007;-6.434562331949883E+001;-1.014199684695327E+002;
1.021255660210062E+008;-6.457424459035698E+001;-1.115516993923911E+002;
1.060256244845224E+008;-6.334564210642406E+001;-1.165529776719925E+002;
1.100746217163751E+008;-6.426052333773443E+001;-1.240524066649649E+002;
1.142782455176374E+008;-6.338360446856226E+001;-1.361724067348146E+002;
1.186424008999945E+008;-6.399068014472518E+001;-1.442068484636357E+002;
1.231732183807684E+008;-6.311282516411541E+001;-1.500057802688119E+002;
1.278770625947199E+008;-6.161011950306491E+001;-1.614512412385862E+002;
1.327605412347261E+008;-6.215056626889725E+001;-1.711188215382003E+002;
1.378305143338909E+008;-6.230031893067831E+001;1.791628617865894E+002;
1.430941039021300E+008;-6.175052978186422E+001;1.660527337440364E+002;
1.485587039307650E+008;-6.129642189953459E+001;1.564924515794754E+002;
1.542319907791826E+008;-6.138636650676705E+001;1.446575087352853E+002;
1.601219339581469E+008;-6.073440824158248E+001;1.363342296694925E+002;
1.662368073249158E+008;-6.034370386733991E+001;1.234017145940053E+002;
1.725852007058845E+008;-5.983263960362119E+001;1.103993566705839E+002;
1.791760319630858E+008;-5.966135117335659E+001;9.544062031673802E+001;
1.860185595214950E+008;-5.945009647461162E+001;8.331329552918956E+001;
1.931223953747393E+008;-5.902665613647259E+001;6.969034622481019E+001;
2.004975185874796E+008;-5.889987750502279E+001;5.439368226011304E+001;
2.081542893134333E+008;-5.825324351822962E+001;4.097022857778018E+001;
2.161034633487289E+008;-5.805015074502799E+001;2.412082460987051E+001;
2.243562072410370E+008;-5.785645353464362E+001;9.853002674352148E+000;
