FUNIT: Hz
UNIT: dB
1.000000e+07 [-68.85, -100.76] [-68.65, -99.76] [-68.45, -98.76]
1.038189e+07 [-60.69, 139.89] [-60.49, 140.89] [-60.29, 141.89]
1.077836e+07 [-75.49, -94.66] [-75.29, -93.66] [-75.09, -92.66]
1.118997e+07 [-65.91, 93.24] [-65.71, 94.24] [-65.51, 95.24]
1.161731e+07 [-64.60, -134.70] [-64.40, -133.70] [-64.20, -132.70]
1.206096e+07 [-66.90, -76.99] [-66.70, -75.99] [-66.50, -74.99]
1.252155e+07 [-64.04, 21.00] [-63.84, 22.00] [-63.64, 23.00]
1.299974e+07 [-69.61, 47.97] [-69.41, 48.97] [-69.21, 49.97]
1.349618e+07 [-72.25, 98.43] [-72.05, 99.43] [-71.85, 100.43]
1.401158e+07 [-66.63, -65.10] [-66.43, -64.10] [-66.23, -63.10]
1.454667e+07 [-70.43, 105.88] [-70.23, 106.88] [-70.03, 107.88]
1.510219e+07 [-66.11, 42.59] [-65.91, 43.59] [-65.71, 44.59]
1.567893e+07 [-71.39, -179.84] [-71.19, -178.84] [-70.99, -177.84]
1.627769e+07 [-73.54, 9.49] [-73.34, 10.49] [-73.14, 11.49]
1.689931e+07 [-82.56, -134.03] [-82.36, -133.03] [-82.16, -132.03]
1.754468e+07 [-68.83, -24.59] [-68.63, -23.59] [-68.43, -22.59]
1.821469e+07 [-71.86, -99.41] [-71.66, -98.41] [-71.46, -97.41]
1.891029e+07 [-74.67, 36.72] [-74.47, 37.72] [-74.27, 38.72]
1.963245e+07 [-70.47, -89.87] [-70.27, -88.87] [-70.07, -87.87]
2.038219e+07 [-81.58, -31.25] [-81.38, -30.25] [-81.18, -29.25]
2.116056e+07 [-67.39, 84.03] [-67.19, 85.03] [-66.99, 86.03]
2.196866e+07 [-76.67, 55.36] [-76.47, 56.36] [-76.27, 57.36]
2.280762e+07 [-68.24, 72.97] [-68.04, 73.97] [-67.84, 74.97]
2.367862e+07 [-71.64, 23.08] [-71.44, 24.08] [-71.24, 25.08]
2.458288e+07 [-71.46, 20.76] [-71.26, 21.76] [-71.06, 22.76]
2.552167e+07 [-71.95, -23.38] [-71.75, -22.38] [-71.55, -21.38]
2.649631e+07 [-71.12, 55.85] [-70.92, 56.85] [-70.72, 57.85]
2.750818e+07 [-70.79, 130.48] [-70.59, 131.48] [-70.39, 132.48]
2.855868e+07 [-73.93, -47.45] [-73.73, -46.45] [-73.53, -45.45]
2.964930e+07 [-75.38, -16.99] [-75.18, -15.99] [-74.98, -14.99]
3.078158e+07 [-69.67, 10.84] [-69.47, 11.84] [-69.27, 12.84]
3.195709e+07 [-75.82, 136.73] [-75.62, 137.73] [-75.42, 138.73]
3.317750e+07 [-76.51, -70.01] [-76.31, -69.01] [-76.11, -68.01]
3.444451e+07 [-69.13, -15.32] [-68.93, -14.32] [-68.73, -13.32]
3.575990e+07 [-69.85, 66.05] [-69.65, 67.05] [-69.45, 68.05]
3.712553e+07 [-72.00, 82.74] [-71.80, 83.74] [-71.60, 84.74]
3.854331e+07 [-68.72, 22.30] [-68.52, 23.30] [-68.32, 24.30]
4.001524e+07 [-70.58, 41.89] [-70.38, 42.89] [-70.18, 43.89]
4.154338e+07 [-80.73, 85.77] [-80.53, 86.77] [-80.33, 87.77]
4.312987e+07 [-72.39, 49.28] [-72.19, 50.28] [-71.99, 51.28]
4.477695e+07 [-71.20, 55.33] [-71.00, 56.33] [-70.80, 57.33]
4.648693e+07 [-69.16, 44.38] [-68.96, 45.38] [-68.76, 46.38]
4.826221e+07 [-73.63, 23.84] [-73.43, 24.84] [-73.23, 25.84]
5.010529e+07 [-72.02, 30.06] [-71.82, 31.06] [-71.62, 32.06]
5.201875e+07 [-70.81, 32.15] [-70.61, 33.15] [-70.41, 34.15]
5.400529e+07 [-68.01, 14.88] [-67.81, 15.88] [-67.61, 16.88]
5.606769e+07 [-68.07, 34.17] [-67.87, 35.17] [-67.67, 36.17]
5.820885e+07 [-68.96, 3.59] [-68.76, 4.59] [-68.56, 5.59]
6.043178e+07 [-70.16, -32.92] [-69.96, -31.92] [-69.76, -30.92]
6.273960e+07 [-68.67, 4.46] [-68.47, 5.46] [-68.27, 6.46]
6.513556e+07 [-70.44, -2.69] [-70.24, -1.69] [-70.04, -0.69]
6.762301e+07 [-67.71, 14.39] [-67.51, 15.39] [-67.31, 16.39]
7.020545e+07 [-68.29, 0.31] [-68.09, 1.31] [-67.89, 2.31]
7.288652e+07 [-67.76, -6.08] [-67.56, -5.08] [-67.36, -4.08]
7.566997e+07 [-70.25, -20.07] [-70.05, -19.07] [-69.85, -18.07]
7.855972e+07 [-68.76, -15.28] [-68.56, -14.28] [-68.36, -13.28]
8.155983e+07 [-67.09, -21.62] [-66.89, -20.62] [-66.69, -19.62]
8.467450e+07 [-66.83, -27.66] [-66.63, -26.66] [-66.43, -25.66]
8.790813e+07 [-66.23, -38.82] [-66.03, -37.82] [-65.83, -36.82]
9.126524e+07 [-64.92, -40.92] [-64.72, -39.92] [-64.52, -38.92]
9.475055e+07 [-66.69, -47.42] [-66.49, -46.42] [-66.29, -45.42]
9.836897e+07 [-66.46, -61.78] [-66.26, -60.78] [-66.06, -59.78]
1.021256e+08 [-65.13, -62.62] [-64.93, -61.62] [-64.73, -60.62]
1.060256e+08 [-65.67, -57.29] [-65.47, -56.29] [-65.27, -55.29]
1.100746e+08 [-63.75, -64.89] [-63.55, -63.89] [-63.35, -62.89]
1.142782e+08 [-64.48, -80.47] [-64.28, -79.47] [-64.08, -78.47]
1.186424e+08 [-64.96, -78.77] [-64.76, -77.77] [-64.56, -76.77]
1.231732e+08 [-63.57, -85.82] [-63.37, -84.82] [-63.17, -83.82]
1.278771e+08 [-63.26, -91.11] [-63.06, -90.11] [-62.86, -89.11]
1.327605e+08 [-63.48, -101.81] [-63.28, -100.81] [-63.08, -99.81]
1.378305e+08 [-62.89, -110.54] [-62.69, -109.54] [-62.49, -108.54]
1.430941e+08 [-62.27, -116.45] [-62.07, -115.45] [-61.87, -114.45]
1.485587e+08 [-62.60, -124.06] [-62.40, -123.06] [-62.20, -122.06]
