# Version 1.00
#
freq[Hz];db:Trc1_S21;ang:Trc1_S21;
1.000000000000000E+007;-6.200044535820344E+001;7.148267515515180E+001;
1.038188855303029E+007;-6.605211676383561E+001;3.765895999151708E+001;
1.077836099275414E+007;-6.482292970777534E+001;1.034383762487472E+002;
1.118997426111024E+007;-6.079089844298605E+001;8.056327252074586E+001;
1.161730656901240E+007;-7.326652511398639E+001;7.793967266236494E+001;
1.206095820858735E+007;-7.052195690373507E+001;-9.580029589342253E+000;
1.252155239643097E+007;-6.180199475325649E+001;6.599188036425542E+001;
1.299973614906757E+007;-6.072840849714211E+001;7.787861458961881E+001;
1.349618119184187E+007;-6.042295067491244E+001;6.890711330056234E+001;
1.401158490252058E+007;-6.326736549504756E+001;8.747795820136815E+001;
1.454667129092905E+007;-5.964550980302735E+001;8.372892702755704E+001;
1.510219201599907E+007;-6.022117457407556E+001;4.920489669440288E+001;
1.567892744165662E+007;-5.820237543132966E+001;6.618703061162303E+001;
1.627768773303274E+007;-5.970083208005625E+001;4.327382025269289E+001;
1.689931399453742E+007;-6.032455054568208E+001;4.905398380439358E+001;
1.754467945139527E+007;-6.015824129274557E+001;3.289439942171565E+001;
1.821469067630263E+007;-5.716407572476171E+001;4.502212693140214E+001;
1.891028886292939E+007;-5.630096861186242E+001;4.194651969977804E+001;
1.963245114805428E+007;-5.923049418522830E+001;4.636085695432580E+001;
2.038219198419111E+007;-5.510637602286980E+001;3.541362782831489E+001;
2.116056456463395E+007;-5.577439852170507E+001;2.960637089235084E+001;
2.196866230292316E+007;-5.621233996968361E+001;1.583752336361955E+001;
2.280762036881060E+007;-5.621198819633500E+001;1.788969327137790E+001;
2.367861728288153E+007;-5.399278318932249E+001;8.132148721316169E+000;
2.458287657207330E+007;-5.465346061474132E+001;-1.344729629015850E+000;
2.552166848841643E+007;-5.340757409814189E+001;-1.696678022554168E+001;
2.649631179341245E+007;-5.340946784814290E+001;-1.160842765325836E+001;
2.750817561055502E+007;-5.377310467290143E+001;-2.797912003055578E+001;
2.855868134859682E+007;-5.180676793907303E+001;-3.688502918502357E+001;
2.964930469826371E+007;-5.202655979086683E+001;-3.887358605495410E+001;
3.078157770522112E+007;-5.150274478600865E+001;-4.407515788161928E+001;
3.195709092220476E+007;-5.106915929650904E+001;-4.893478212502887E+001;
3.317749564333858E+007;-5.020187778668607E+001;-6.179920334622316E+001;
3.444450622377892E+007;-4.991272370102615E+001;-6.658602895226662E+001;
3.575990248794310E+007;-4.984979474640031E+001;-7.145562368711124E+001;
3.712553222970559E+007;-4.948503502848637E+001;-8.406592057001194E+001;
3.854331380807376E+007;-4.872829935967636E+001;-9.282494441321713E+001;
4.001523884198953E+007;-4.827797579371790E+001;-1.028434581239185E+002;
4.154337500804243E+007;-4.798590095062945E+001;-1.131991143801063E+002;
4.312986894502404E+007;-4.726450316846663E+001;-1.179605186784043E+002;
4.477694926940417E+007;-4.686793325261335E+001;-1.312613155114907E+002;
4.648692970596453E+007;-4.626531258840209E+001;-1.415474978530126E+002;
4.826221233798770E+007;-4.552958370235817E+001;-1.511429217385346E+002;
5.010529098156718E+007;-4.535023287545876E+001;-1.637159956818881E+002;
5.201875468877842E+007;-4.447367414697635E+001;-1.735680617673129E+002;
5.400529138463195E+007;-4.398728324703404E+001;1.728827956137304E+002;
5.606769164291760E+007;-4.340541211067080E+001;1.592817955944167E+002;
5.820885260624383E+007;-4.297035091289721E+001;1.436338199424417E+002;
6.043178205577903E+007;-4.251626803832131E+001;1.304042616892657E+002;
6.273960263641138E+007;-4.207878623485306E+001;1.152277261285844E+002;
6.513555624326284E+007;-4.147451298900353E+001;9.913695378283651E+001;
6.762300857571912E+007;-4.126561255379732E+001;8.264363261021413E+001;
7.020545386537276E+007;-4.085030738233926E+001;6.537315755540585E+001;
7.288651978452097E+007;-4.049242480250504E+001;4.750645583260337E+001;
7.566997254211341E+007;-4.061124880706115E+001;2.794155935556436E+001;
7.855972217430838E+007;-4.029384498043569E+001;1.010507545137457E+001;
8.155982803706922E+007;-4.030565078174347E+001;-8.767746487436162E+000;
8.467450450851679E+007;-4.016154917068349E+001;-2.893943186319937E+001;
8.790812690904823E+007;-4.014974135016617E+001;-4.835269658021655E+001;
9.126523764753820E+007;-4.017113594064105E+001;-6.920481849449018E+001;
9.475055260225661E+007;-4.013953300705385E+001;-8.959976877563075E+001;
9.836896774546625E+007;-4.013001392087158E+001;-1.109361852525507E+002;
1.021255660210062E+008;-4.030366040174645E+001;-1.327350240893752E+002;
1.060256244845224E+008;-4.028078294961966E+001;-1.554406350254492E+002;
1.100746217163751E+008;-4.027287097509748E+001;-1.781551706580686E+002;
1.142782455176374E+008;-4.032001253539361E+001;1.579463729758303E+002;
1.186424008999945E+008;-4.038409284800083E+001;1.339010881328675E+002;
1.231732183807684E+008;-4.034640346292118E+001;1.086873344462391E+002;
1.278770625947199E+008;-4.037695527986254E+001;8.272289966106295E+001;
1.327605412347261E+008;-4.040850037090595E+001;5.508269793251282E+001;
1.378305143338909E+008;-4.034904687510906E+001;2.779568890239625E+001;
1.430941039021300E+008;-4.044963874414662E+001;-7.640418556776765E-001;
1.485587039307650E+008;-4.047012764386775E+001;-3.091398216577254E+001;
1.542319907791826E+008;-4.041436828961273E+001;-6.102626418253087E+001;
1.601219339581469E+008;-4.043862429664745E+001;-9.346431337456723E+001;
1.662368073249158E+008;-4.050214913625827E+001;-1.260039385235168E+002;
1.725852007058845E+008;-4.050315310141829E+001;-1.606066684797821E+002;
1.791760319630858E+008;-4.052578222513915E+001;1.641190537521763E+002;
1.860185595214950E+008;-4.058687061039246E+001;1.272102334692010E+002;
