FUNIT: Hz
UNIT: dB
1.000000e+07 [-62.20, 70.48] [-62.00, 71.48] [-61.80, 72.48]
1.038189e+07 [-66.25, 36.66] [-66.05, 37.66] [-65.85, 38.66]
1.077836e+07 [-65.02, 102.44] [-64.82, 103.44] [-64.62, 104.44]
1.118997e+07 [-60.99, 79.56] [-60.79, 80.56] [-60.59, 81.56]
1.161731e+07 [-73.47, 76.94] [-73.27, 77.94] [-73.07, 78.94]
1.206096e+07 [-70.72, -10.58] [-70.52, -9.58] [-70.32, -8.58]
1.252155e+07 [-62.00, 64.99] [-61.80, 65.99] [-61.60, 66.99]
1.299974e+07 [-60.93, 76.88] [-60.73, 77.88] [-60.53, 78.88]
1.349618e+07 [-60.62, 67.91] [-60.42, 68.91] [-60.22, 69.91]
1.401158e+07 [-63.47, 86.48] [-63.27, 87.48] [-63.07, 88.48]
1.454667e+07 [-59.85, 82.73] [-59.65, 83.73] [-59.45, 84.73]
1.510219e+07 [-60.42, 48.20] [-60.22, 49.20] [-60.02, 50.20]
1.567893e+07 [-58.40, 65.19] [-58.20, 66.19] [-58.00, 67.19]
1.627769e+07 [-59.90, 42.27] [-59.70, 43.27] [-59.50, 44.27]
1.689931e+07 [-60.52, 48.05] [-60.32, 49.05] [-60.12, 50.05]
1.754468e+07 [-60.36, 31.89] [-60.16, 32.89] [-59.96, 33.89]
1.821469e+07 [-57.36, 44.02] [-57.16, 45.02] [-56.96, 46.02]
1.891029e+07 [-56.50, 40.95] [-56.30, 41.95] [-56.10, 42.95]
1.963245e+07 [-59.43, 45.36] [-59.23, 46.36] [-59.03, 47.36]
2.038219e+07 [-55.31, 34.41] [-55.11, 35.41] [-54.91, 36.41]
2.116056e+07 [-55.97, 28.61] [-55.77, 29.61] [-55.57, 30.61]
2.196866e+07 [-56.41, 14.84] [-56.21, 15.84] [-56.01, 16.84]
2.280762e+07 [-56.41, 16.89] [-56.21, 17.89] [-56.01, 18.89]
2.367862e+07 [-54.19, 7.13] [-53.99, 8.13] [-53.79, 9.13]
2.458288e+07 [-54.85, -2.34] [-54.65, -1.34] [-54.45, -0.34]
2.552167e+07 [-53.61, -17.97] [-53.41, -16.97] [-53.21, -15.97]
2.649631e+07 [-53.61, -12.61] [-53.41, -11.61] [-53.21, -10.61]
2.750818e+07 [-53.97, -28.98] [-53.77, -27.98] [-53.57, -26.98]
2.855868e+07 [-52.01, -37.89] [-51.81, -36.89] [-51.61, -35.89]
2.964930e+07 [-52.23, -39.87] [-52.03, -38.87] [-51.83, -37.87]
3.078158e+07 [-51.70, -45.08] [-51.50, -44.08] [-51.30, -43.08]
3.195709e+07 [-51.27, -49.93] [-51.07, -48.93] [-50.87, -47.93]
3.317750e+07 [-50.40, -62.80] [-50.20, -61.80] [-50.00, -60.80]
3.444451e+07 [-50.11, -67.59] [-49.91, -66.59] [-49.71, -65.59]
3.575990e+07 [-50.05, -72.46] [-49.85, -71.46] [-49.65, -70.46]
3.712553e+07 [-49.69, -85.07] [-49.49, -84.07] [-49.29, -83.07]
3.854331e+07 [-48.93, -93.82] [-48.73, -92.82] [-48.53, -91.82]
4.001524e+07 [-48.48, -103.84] [-48.28, -102.84] [-48.08, -101.84]
4.154338e+07 [-48.19, -114.20] [-47.99, -113.20] [-47.79, -112.20]
