# Version 1.00
#
freq[Hz];db:Trc1_S21;ang:Trc1_S21;
1.000000000000000E+007;-2.664025532864747E-001;-5.353222673382616E+001;
1.038188855303029E+007;-4.362360902288042E-001;-6.001336773436873E+001;
1.077836099275414E+007;-3.392288350989536E-001;-5.433009551643937E+001;
1.118997426111024E+007;2.015190381090652E-001;-6.112657510960441E+001;
1.161730656901240E+007;2.337050046198307E-001;-6.610802091662227E+001;
1.206095820858735E+007;-2.297877385059403E-001;-6.488825767872069E+001;
1.252155239643097E+007;9.010529563279998E-002;-6.637929013758935E+001;
1.299973614906757E+007;-1.686173419943696E-002;-7.225432437831400E+001;
1.349618119184187E+007;-2.710295110074851E-001;-7.128124240806660E+001;
1.401158490252058E+007;-7.895979404497157E-002;-7.615072757481634E+001;
1.454667129092905E+007;6.071014864445123E-002;-7.814063386122015E+001;
1.510219201599907E+007;-5.440237475636899E-002;-8.315334521689296E+001;
1.567892744165662E+007;4.551694654818619E-002;-8.466218357245265E+001;
1.627768773303274E+007;-1.981471876914632E-001;-8.966230629880653E+001;
1.689931399453742E+007;-1.530362397255091E-001;-9.126855100760380E+001;
1.754467945139527E+007;-1.465092028599909E-001;-9.555030941730702E+001;
1.821469067630263E+007;1.983928777954341E-001;-9.853094676795061E+001;
1.891028886292939E+007;-4.558735176746241E-001;-1.028636455060812E+002;
1.963245114805428E+007;-2.718996387262210E-001;-1.052391143122653E+002;
2.038219198419111E+007;-2.776228072289353E-001;-1.107616802373862E+002;
2.116056456463395E+007;-2.629336290549639E-001;-1.173976329516988E+002;
2.196866230292316E+007;-2.086383873713423E-001;-1.191035248480555E+002;
2.280762036881060E+007;-2.819236233413620E-001;-1.227911261997945E+002;
2.367861728288153E+007;-2.737048267703853E-001;-1.284978088694951E+002;
2.458287657207330E+007;-1.891060213849719E-001;-1.337369917086653E+002;
2.552166848841643E+007;-3.460426288945350E-001;-1.377406705382058E+002;
2.649631179341245E+007;-3.978182107752894E-001;-1.434984935089337E+002;
2.750817561055502E+007;-1.253741923471171E-001;-1.491445657863407E+002;
2.855868134859682E+007;-1.846246735978103E-001;-1.548165611223563E+002;
2.964930469826371E+007;-1.675338032436410E-001;-1.615115049262209E+002;
3.078157770522112E+007;-1.416015898323671E-001;-1.675187461697371E+002;
3.195709092220476E+007;-3.405995216848873E-001;-1.719712226861627E+002;
3.317749564333858E+007;-6.004258812345400E-002;-1.796362878088641E+002;
3.444450622377892E+007;-1.619766716912471E-001;1.747874656427222E+002;
3.575990248794310E+007;-1.644960330207463E-001;1.657306050948900E+002;
3.712553222970559E+007;-2.317088651077229E-001;1.590689793158377E+002;
3.854331380807376E+007;-2.960021240567434E-001;1.515241407216209E+002;
4.001523884198953E+007;-1.998124343158481E-001;1.444619647127564E+002;
4.154337500804243E+007;-2.119219673798359E-001;1.355392119374346E+002;
4.312986894502404E+007;-2.495514430389120E-001;1.263377249539477E+002;
4.477694926940417E+007;-3.542173436638126E-001;1.183380949967071E+002;
4.648692970596453E+007;-1.619253054889402E-001;1.081674923348341E+002;
4.826221233798770E+007;-1.914509690246132E-001;9.944496444915301E+001;
5.010529098156718E+007;-2.854950976027073E-001;8.947516113123963E+001;
5.201875468877842E+007;-2.436038156543948E-001;7.904465583705003E+001;
5.400529138463195E+007;-2.548379163274473E-001;6.818944010673948E+001;
5.606769164291760E+007;-2.701726344422833E-001;5.705836550900282E+001;
5.820885260624383E+007;-2.489321535001173E-001;4.567338703229247E+001;
6.043178205577903E+007;-3.003793678701606E-001;3.373191632416065E+001;
6.273960263641138E+007;-3.200887843694610E-001;2.131046803451159E+001;
6.513555624326284E+007;-3.140303907456631E-001;8.135260358408386E+000;
