# Version 1.00
#
freq[Hz],db:Trc1_S21,ang:Trc1_S21,
1.000000000000000E+007,3.402386531883999E-001,-1.408659707936574E+002,
9.995000000000000E+007,-8.041388564754615E-001,5.656056757829223E+001,
1.899000000000000E+008,-1.111854282354980E+000,-1.059409957318792E+002,
2.798500000000000E+008,-1.327995873672371E+000,9.204055704222131E+001,
3.698000000000000E+008,-1.526846654393876E+000,-6.969644832442623E+001,
4.597500000000000E+008,-1.704086969811242E+000,1.287449519428597E+002,
5.497000000000000E+008,-1.842348561418253E+000,-3.272371189455620E+001,
6.396500000000000E+008,-2.001352445778362E+000,1.658782015623591E+002,
7.296000000000000E+008,-2.151545123096362E+000,4.471743374671997E+000,
8.195500000000000E+008,-2.284008472275199E+000,-1.566743476330441E+002,
9.095000000000000E+008,-2.384580612643782E+000,4.229489129880130E+001,
9.994500000000000E+008,-2.503415082900486E+000,-1.189873292379549E+002,
1.089400000000000E+009,-2.613189730982918E+000,7.971232428192758E+001,
1.179350000000000E+009,-2.715263953517095E+000,-8.149872466394932E+001,
1.269300000000000E+009,-2.812701464502575E+000,1.173963489637190E+002,
1.359250000000000E+009,-2.925267492187746E+000,-4.360986765137384E+001,
1.449200000000000E+009,-3.016888025645891E+000,1.552839954831831E+002,
1.539150000000000E+009,-3.106866147059901E+000,-5.836052672789252E+000,
1.629100000000000E+009,-3.191666755375759E+000,-1.669626830449697E+002,
1.719050000000000E+009,-3.297363107850245E+000,3.209986129162675E+001,
1.809000000000000E+009,-3.388344724061917E+000,-1.289418728711740E+002,
1.898950000000000E+009,-3.467008571334236E+000,7.026468257326783E+001,
1.988900000000000E+009,-3.548622551598844E+000,-9.101218672810904E+001,
2.078850000000000E+009,-3.694830008674749E+000,1.081759631849047E+002,
2.168800000000000E+009,-3.779137920088583E+000,-5.289272450819269E+001,
2.258750000000000E+009,-3.828264414573273E+000,1.462824674988612E+002,
2.348700000000000E+009,-3.925140495843996E+000,-1.452750884762432E+001,
2.438650000000000E+009,-3.987734707403028E+000,-1.754883101759623E+002,
2.528600000000000E+009,-4.158410272727686E+000,2.366109597672037E+001,
2.618550000000000E+009,-4.105821670354452E+000,-1.372068978459863E+002,
2.708500000000000E+009,-4.221312432471950E+000,6.176841909133504E+001,
2.798450000000000E+009,-4.323514997397098E+000,-9.899897707996415E+001,
2.888400000000000E+009,-4.507947569167981E+000,1.013485211943850E+002,
2.978350000000000E+009,-4.464242676997215E+000,-5.960603648167181E+001,
3.068300000000000E+009,-4.452684338315556E+000,1.385067302010227E+002,
3.158250000000000E+009,-4.503450597734858E+000,-2.293873728765364E+001,
3.248200000000000E+009,-4.635327657969093E+000,1.762175836494395E+002,
3.338150000000000E+009,-4.667568297525779E+000,1.691718546943031E+001,
3.428100000000000E+009,-4.730290281364544E+000,-1.452364415646377E+002,
3.518050000000000E+009,-4.836604583835577E+000,5.401536835063067E+001,
3.608000000000000E+009,-4.887486715131313E+000,-1.071641071175637E+002,
3.697950000000000E+009,-4.970733332163086E+000,9.242173117309508E+001,
3.787900000000000E+009,-5.120887357194457E+000,-6.845546398263006E+001,
3.877850000000000E+009,-5.023017758466947E+000,1.308184789915140E+002,
3.967800000000000E+009,-5.137173664300957E+000,-3.082618638881015E+001,
4.057750000000000E+009,-5.197816488381719E+000,1.691775929087328E+002,
4.147700000000000E+009,-5.313961702814088E+000,8.476989964427290E+000,
4.237650000000000E+009,-5.367581688927325E+000,-1.534368499858583E+002,
4.327600000000000E+009,-5.517427907524673E+000,4.609635747018696E+001,
4.417550000000000E+009,-5.448478695821333E+000,-1.139446877916644E+002,
4.507500000000000E+009,-5.480824875610047E+000,8.498040340467074E+001,
4.597450000000000E+009,-5.557484664902058E+000,-7.612705496835763E+001,
4.687400000000000E+009,-5.713558044397229E+000,1.230610095857839E+002,
4.777350000000000E+009,-5.680857586085862E+000,-3.728645189657172E+001,
4.867300000000000E+009,-5.811509221722194E+000,1.617294433976440E+002,
4.957250000000000E+009,-5.741872213849684E+000,2.563101360935283E-001,
5.047200000000000E+009,-5.790909677783064E+000,-1.610078294940988E+002,
5.137150000000000E+009,-5.877094096160337E+000,3.890941525653773E+001,
5.227100000000000E+009,-6.021668100828118E+000,-1.223852789374376E+002,
5.317050000000000E+009,-6.035854819962329E+000,7.733869229919559E+001,
5.407000000000000E+009,-6.197809791551442E+000,-8.356214443956877E+001,
5.496950000000000E+009,-6.200846104143649E+000,1.150748569428848E+002,
5.586900000000000E+009,-6.410682989480552E+000,-4.502314605521406E+001,
5.676850000000000E+009,-6.211078027786658E+000,1.544619336946425E+002,
5.766800000000000E+009,-6.262543067721097E+000,-6.409316059979883E+000,
5.856750000000000E+009,-6.356493927270780E+000,-1.680470623022912E+002,
5.946700000000000E+009,-6.525720757929167E+000,3.206150991714345E+001,
6.036650000000000E+009,-6.452649568848829E+000,-1.292587995633422E+002,
6.126600000000000E+009,-6.492697978801871E+000,6.969708370532557E+001,
6.216550000000000E+009,-6.524036612948052E+000,-9.155701823942874E+001,
6.306500000000000E+009,-6.592698561604651E+000,1.072197949558761E+002,
6.396450000000000E+009,-6.743051026020638E+000,-5.314441013271332E+001,
6.486400000000000E+009,-6.902833481666399E+000,1.460291208706173E+002,
6.576350000000000E+009,-6.793769210461127E+000,-1.536363002385939E+001,
6.666300000000000E+009,-6.918001200012211E+000,-1.763022083778328E+002,
6.756250000000000E+009,-6.898276711171794E+000,2.264300331371688E+001,
6.846200000000000E+009,-7.094609996256252E+000,-1.369114820212173E+002,
6.936150000000000E+009,-7.078648060335123E+000,6.070936127351506E+001,
7.026100000000000E+009,-7.115658961378314E+000,-9.961548340602668E+001,
7.116050000000000E+009,-7.238509919662506E+000,9.860241593872556E+001,
7.206000000000000E+009,-7.471720003858327E+000,-6.221288994889751E+001,
7.295950000000000E+009,-7.405561605001565E+000,1.375656461741933E+002,
7.385900000000000E+009,-7.439849120304621E+000,-2.347050598370374E+001,
7.475850000000000E+009,-7.619738212854022E+000,1.755245538940741E+002,
7.565800000000000E+009,-8.159985299649508E+000,1.574969280314343E+001,
7.655750000000000E+009,-7.690458488124921E+000,-1.460427673289939E+002,
7.745700000000000E+009,-7.666974085404925E+000,5.523903520003564E+001,
7.835650000000000E+009,-7.776347936988205E+000,-1.074007336081627E+002,
7.925600000000000E+009,-8.240661902932601E+000,9.421931594253213E+001,
8.015550000000000E+009,-8.028854338676270E+000,-7.102083800644535E+001,
8.105500000000000E+009,-7.775900208839233E+000,1.336101799522741E+002,
8.195450000000000E+009,-7.798790994211146E+000,-3.007463630807338E+001,
8.285400000000000E+009,-7.973342587672496E+000,1.681029841517852E+002,
8.375350000000000E+009,-8.225717784294673E+000,5.145965978253501E+000,
8.465300000000000E+009,-8.078964174531173E+000,-1.514349413610027E+002,
8.555250000000000E+009,-7.935843722214550E+000,4.634521083764847E+001,
8.645200000000000E+009,-8.325611005743644E+000,-1.185748909533062E+002,
8.735150000000000E+009,-8.380659908129282E+000,7.969740905257009E+001,
8.825100000000000E+009,-8.877978100714277E+000,-7.351040323561944E+001,
8.915050000000000E+009,-8.613044186406341E+000,1.202675688181756E+002,
9.005000000000000E+009,-9.056562105527101E+000,-3.870676610401478E+001,
9.094950000000000E+009,-8.536549754658509E+000,1.584740268339165E+002,
9.184900000000000E+009,-9.224382613156962E+000,4.084152068348629E+000,
9.274850000000000E+009,-9.728063711626843E+000,-1.575380385122867E+002,
9.364800000000000E+009,-8.580000106902528E+000,4.074097590428239E+001,
9.454750000000000E+009,-8.551797301854817E+000,-1.254596325372156E+002,
9.544700000000000E+009,-8.625349226375178E+000,7.781334001416147E+001,
9.634650000000000E+009,-8.926857928743297E+000,-7.875367520973062E+001,
9.724600000000000E+009,-8.503698989432076E+000,1.163253507591010E+002,
9.814550000000000E+009,-8.618275223152354E+000,-4.856398542747748E+001,
9.904500000000000E+009,-9.520679534704760E+000,1.477143466704991E+002,
9.994450000000000E+009,-9.592730556883824E+000,-1.132065834002805E+001,
1.008440000000000E+010,-8.858277306792715E+000,-1.676365421938615E+002,
1.017435000000000E+010,-8.954908645087430E+000,2.863564490218007E+001,
1.026430000000000E+010,-1.003932539534658E+001,-1.316302908534267E+002,
1.035425000000000E+010,-1.094635885858668E+001,6.867846609165451E+001,
1.044420000000000E+010,-9.178962010288524E+000,-9.077327300146455E+001,
1.053415000000000E+010,-9.205130947758718E+000,1.087215650591531E+002,
1.062410000000000E+010,-9.504130137835755E+000,-5.335830518417171E+001,
1.071405000000000E+010,-1.024280012514453E+001,1.474785648151628E+002,
1.080400000000000E+010,-9.647977111484488E+000,-1.470478073729091E+001,
1.089395000000000E+010,-9.386440967394833E+000,-1.751888200398620E+002,
1.098390000000000E+010,-9.543979677180021E+000,2.151222836977174E+001,
1.107385000000000E+010,-9.875877684818331E+000,-1.411502464973397E+002,
1.116380000000000E+010,-9.927506528098396E+000,6.187229248613922E+001,
1.125375000000000E+010,-1.030246599190901E+001,-9.944323796968095E+001,
1.134370000000000E+010,-1.019188214122452E+001,9.853444338888208E+001,
1.143365000000000E+010,-1.005178872116310E+001,-6.375440779173296E+001,
1.152360000000000E+010,-9.896798689832282E+000,1.391630061783573E+002,
1.161355000000000E+010,-1.003683309605978E+001,-2.095643782652157E+001,
1.170350000000000E+010,-9.869227350709402E+000,1.736983228146606E+002,
1.179345000000000E+010,-1.029574799589312E+001,1.026765265706550E+001,
1.188340000000000E+010,-9.734758734406842E+000,-1.435414967649112E+002,
1.197335000000000E+010,-9.735116631583583E+000,5.198423126689760E+001,
1.206330000000000E+010,-9.667379326560107E+000,-1.095721116428593E+002,
1.215325000000000E+010,-9.724027083704817E+000,8.804730135246945E+001,
1.224320000000000E+010,-1.034658339556324E+001,-7.248916116913958E+001,
1.233315000000000E+010,-9.842694835991226E+000,1.264980650285220E+002,
1.242310000000000E+010,-9.839914799005264E+000,-3.804907949688476E+001,
1.251305000000000E+010,-1.020390432944499E+001,1.625268382678687E+002,
1.260300000000000E+010,-1.028418763530763E+001,1.071336248636022E+000,
1.269295000000000E+010,-1.007229642318538E+001,-1.603451972908684E+002,
1.278290000000000E+010,-1.037970113381341E+001,3.825522732836344E+001,
1.287285000000000E+010,-1.051467333844777E+001,-1.217854108494558E+002,
1.296280000000000E+010,-1.020369246696833E+001,7.501886865102838E+001,
1.305275000000000E+010,-1.027580044781546E+001,-8.759967060024884E+001,
1.314270000000000E+010,-1.045265421316299E+001,1.124939196643918E+002,
1.323265000000000E+010,-1.052316239924208E+001,-5.055961515560864E+001,
1.332260000000000E+010,-1.051474222775553E+001,1.478529091348113E+002,
1.341255000000000E+010,-1.071763200655725E+001,-1.284354931162374E+001,
1.350250000000000E+010,-1.105345235144893E+001,-1.750443565435830E+002,
1.359245000000000E+010,-1.096873215622061E+001,2.251957030335553E+001,
1.368240000000000E+010,-1.078780519002873E+001,-1.375601241219766E+002,
1.377235000000000E+010,-1.102850908703892E+001,6.354898845236387E+001,
1.386230000000000E+010,-1.121214969107879E+001,-9.992646138276697E+001,
1.395225000000000E+010,-1.109719230633134E+001,9.745115275684530E+001,
1.404220000000000E+010,-1.091761487146680E+001,-6.519533611808915E+001,
1.413215000000000E+010,-1.111497034073261E+001,1.348805831557702E+002,
1.422210000000000E+010,-1.131845974257422E+001,-2.681349741060338E+001,
1.431205000000000E+010,-1.133951872856116E+001,1.691435539140219E+002,
1.440200000000000E+010,-1.149728168335757E+001,5.591882280664565E+000,
1.449195000000000E+010,-1.156083736320552E+001,-1.545448305015100E+002,
1.458190000000000E+010,-1.181025269096410E+001,4.292510576272286E+001,
1.467185000000000E+010,-1.189352035326420E+001,-1.191849461642392E+002,
1.476180000000000E+010,-1.270413496719589E+001,8.015172964449306E+001,
1.485175000000000E+010,-1.256978680483573E+001,-7.828815870661188E+001,
1.494170000000000E+010,-1.238766717180097E+001,1.169618791124779E+002,
1.503165000000000E+010,-1.276262664486168E+001,-4.636955216933524E+001,
1.512160000000000E+010,-1.281308595977338E+001,1.546133585004072E+002,
1.521155000000000E+010,-1.334067567575123E+001,-1.126511551082448E+001,
1.530150000000000E+010,-1.343058287945245E+001,-1.687064062757013E+002,
1.539145000000000E+010,-1.311473816240169E+001,3.468797194192913E+001,
1.548140000000000E+010,-1.309830302755795E+001,-1.324701273128098E+002,
1.557135000000000E+010,-1.589074723196900E+001,6.838804925666808E+001,
1.566130000000000E+010,-1.384216655821584E+001,-9.056477517818942E+001,
1.575125000000000E+010,-1.348278268855918E+001,1.141471893510509E+002,
1.584120000000000E+010,-1.338655843861278E+001,-5.341901306633734E+001,
1.593115000000000E+010,-1.493522491983332E+001,1.513539301798026E+002,
1.602110000000000E+010,-1.349074915716800E+001,-2.109137443400445E+001,
1.611105000000000E+010,-1.345152044782746E+001,-1.668119587426467E+002,
1.620100000000000E+010,-1.318488451092937E+001,2.272530607985215E+001,
1.629095000000000E+010,-1.360029278434453E+001,-1.406705541417171E+002,
1.638090000000000E+010,-1.363523138611764E+001,4.869569730663231E+001,
1.647085000000000E+010,-1.313291298138858E+001,-1.016205472503164E+002,
1.656080000000000E+010,-1.379360387213166E+001,9.019684706278237E+001,
1.665075000000000E+010,-1.329745318966514E+001,-7.068454337053500E+001,
1.674070000000000E+010,-1.351304583085293E+001,1.168359131002800E+002,
1.683065000000000E+010,-1.461405427869565E+001,-3.128034992878004E+001,
1.692060000000000E+010,-1.422269983925315E+001,1.614532572571889E+002,
1.701055000000000E+010,-1.411447302169309E+001,-4.210943243612982E+000,
1.710050000000000E+010,-1.444484509044218E+001,-1.712921720798864E+002,
