FUNIT: Hz
UNIT: dB
1.000000e+07 [0.14, -141.87] [0.34, -140.87] [0.54, -139.87]
9.995000e+07 [-1.00, 55.56] [-0.80, 56.56] [-0.60, 57.56]
1.899000e+08 [-1.31, -106.94] [-1.11, -105.94] [-0.91, -104.94]
2.798500e+08 [-1.53, 91.04] [-1.33, 92.04] [-1.13, 93.04]
3.698000e+08 [-1.73, -70.70] [-1.53, -69.70] [-1.33, -68.70]
4.597500e+08 [-1.90, 127.74] [-1.70, 128.74] [-1.50, 129.74]
5.497000e+08 [-2.04, -33.72] [-1.84, -32.72] [-1.64, -31.72]
6.396500e+08 [-2.20, 164.88] [-2.00, 165.88] [-1.80, 166.88]
7.296000e+08 [-2.35, 3.47] [-2.15, 4.47] [-1.95, 5.47]
8.195500e+08 [-2.48, -157.67] [-2.28, -156.67] [-2.08, -155.67]
9.095000e+08 [-2.58, 41.29] [-2.38, 42.29] [-2.18, 43.29]
9.994500e+08 [-2.70, -119.99] [-2.50, -118.99] [-2.30, -117.99]
1.089400e+09 [-2.81, 78.71] [-2.61, 79.71] [-2.41, 80.71]
1.179350e+09 [-2.92, -82.50] [-2.72, -81.50] [-2.52, -80.50]
1.269300e+09 [-3.01, 116.40] [-2.81, 117.40] [-2.61, 118.40]
1.359250e+09 [-3.13, -44.61] [-2.93, -43.61] [-2.73, -42.61]
1.449200e+09 [-3.22, 154.28] [-3.02, 155.28] [-2.82, 156.28]
1.539150e+09 [-3.31, -6.84] [-3.11, -5.84] [-2.91, -4.84]
1.629100e+09 [-3.39, -167.96] [-3.19, -166.96] [-2.99, -165.96]
1.719050e+09 [-3.50, 31.10] [-3.30, 32.10] [-3.10, 33.10]
1.809000e+09 [-3.59, -129.94] [-3.39, -128.94] [-3.19, -127.94]
1.898950e+09 [-3.67, 69.26] [-3.47, 70.26] [-3.27, 71.26]
1.988900e+09 [-3.75, -92.01] [-3.55, -91.01] [-3.35, -90.01]
2.078850e+09 [-3.89, 107.18] [-3.69, 108.18] [-3.49, 109.18]
2.168800e+09 [-3.98, -53.89] [-3.78, -52.89] [-3.58, -51.89]
2.258750e+09 [-4.03, 145.28] [-3.83, 146.28] [-3.63, 147.28]
2.348700e+09 [-4.13, -15.53] [-3.93, -14.53] [-3.73, -13.53]
2.438650e+09 [-4.19, -176.49] [-3.99, -175.49] [-3.79, -174.49]
2.528600e+09 [-4.36, 22.66] [-4.16, 23.66] [-3.96, 24.66]
2.618550e+09 [-4.31, -138.21] [-4.11, -137.21] [-3.91, -136.21]
2.708500e+09 [-4.42, 60.77] [-4.22, 61.77] [-4.02, 62.77]
2.798450e+09 [-4.52, -100.00] [-4.32, -99.00] [-4.12, -98.00]
2.888400e+09 [-4.71, 100.35] [-4.51, 101.35] [-4.31, 102.35]
2.978350e+09 [-4.66, -60.61] [-4.46, -59.61] [-4.26, -58.61]
3.068300e+09 [-4.65, 137.51] [-4.45, 138.51] [-4.25, 139.51]
3.158250e+09 [-4.70, -23.94] [-4.50, -22.94] [-4.30, -21.94]
3.248200e+09 [-4.84, 175.22] [-4.64, 176.22] [-4.44, 177.22]
3.338150e+09 [-4.87, 15.92] [-4.67, 16.92] [-4.47, 17.92]
3.428100e+09 [-4.93, -146.24] [-4.73, -145.24] [-4.53, -144.24]
3.518050e+09 [-5.04, 53.02] [-4.84, 54.02] [-4.64, 55.02]
3.608000e+09 [-5.09, -108.16] [-4.89, -107.16] [-4.69, -106.16]
3.697950e+09 [-5.17, 91.42] [-4.97, 92.42] [-4.77, 93.42]
3.787900e+09 [-5.32, -69.46] [-5.12, -68.46] [-4.92, -67.46]
3.877850e+09 [-5.22, 129.82] [-5.02, 130.82] [-4.82, 131.82]
3.967800e+09 [-5.34, -31.83] [-5.14, -30.83] [-4.94, -29.83]
4.057750e+09 [-5.40, 168.18] [-5.20, 169.18] [-5.00, 170.18]
4.147700e+09 [-5.51, 7.48] [-5.31, 8.48] [-5.11, 9.48]
4.237650e+09 [-5.57, -154.44] [-5.37, -153.44] [-5.17, -152.44]
4.327600e+09 [-5.72, 45.10] [-5.52, 46.10] [-5.32, 47.10]
4.417550e+09 [-5.65, -114.94] [-5.45, -113.94] [-5.25, -112.94]
4.507500e+09 [-5.68, 83.98] [-5.48, 84.98] [-5.28, 85.98]
4.597450e+09 [-5.76, -77.13] [-5.56, -76.13] [-5.36, -75.13]
4.687400e+09 [-5.91, 122.06] [-5.71, 123.06] [-5.51, 124.06]
4.777350e+09 [-5.88, -38.29] [-5.68, -37.29] [-5.48, -36.29]
4.867300e+09 [-6.01, 160.73] [-5.81, 161.73] [-5.61, 162.73]
4.957250e+09 [-5.94, -0.74] [-5.74, 0.26] [-5.54, 1.26]
5.047200e+09 [-5.99, -162.01] [-5.79, -161.01] [-5.59, -160.01]
5.137150e+09 [-6.08, 37.91] [-5.88, 38.91] [-5.68, 39.91]
5.227100e+09 [-6.22, -123.39] [-6.02, -122.39] [-5.82, -121.39]
5.317050e+09 [-6.24, 76.34] [-6.04, 77.34] [-5.84, 78.34]
5.407000e+09 [-6.40, -84.56] [-6.20, -83.56] [-6.00, -82.56]
5.496950e+09 [-6.40, 114.07] [-6.20, 115.07] [-6.00, 116.07]
5.586900e+09 [-6.61, -46.02] [-6.41, -45.02] [-6.21, -44.02]
