# Version 1.00
#
freq[Hz],db:Trc1_S21,ang:Trc1_S21,
1.000000000000000E+007,-1.048031014480333E-001,-9.599543633205082E+001,
9.995000000000000E+007,-6.355595390206286E-001,1.145868029763853E+002,
1.899000000000000E+008,-8.484909839128650E-001,-3.166765385268301E+001,
2.798500000000000E+008,-1.040272465750680E+000,-1.779844518846391E+002,
3.698000000000000E+008,-1.187131865203725E+000,3.605930454326010E+001,
4.597500000000000E+008,-1.332392531919406E+000,-1.096399574097226E+002,
5.497000000000000E+008,-1.450141283197794E+000,1.044557114590187E+002,
6.396500000000000E+008,-1.567697657322382E+000,-4.119609458759209E+001,
7.296000000000000E+008,-1.669811911071520E+000,1.731336789404872E+002,
8.195500000000000E+008,-1.763722011822916E+000,2.754418977411813E+001,
9.095000000000000E+008,-1.871940425887756E+000,-1.180040718583601E+002,
9.994500000000000E+008,-1.969338272988455E+000,9.643939062037728E+001,
1.089400000000000E+009,-2.043165122511521E+000,-4.909681213455316E+001,
1.179350000000000E+009,-2.129256156425372E+000,1.652755620563580E+002,
1.269300000000000E+009,-2.198760841962927E+000,1.982420902439207E+001,
1.359250000000000E+009,-2.299764703656804E+000,-1.256124886354903E+002,
1.449200000000000E+009,-2.371113621161504E+000,8.892404642851437E+001,
1.539150000000000E+009,-2.421484396988285E+000,-5.661209337183893E+001,
1.629100000000000E+009,-2.493253044906598E+000,1.578246839251367E+002,
1.719050000000000E+009,-2.575099334643386E+000,1.253981806137232E+001,
1.809000000000000E+009,-2.649458599133986E+000,-1.328035989638164E+002,
1.898950000000000E+009,-2.704041206075167E+000,8.192738094869739E+001,
1.988900000000000E+009,-2.757194809416830E+000,-6.374721962695544E+001,
2.078850000000000E+009,-2.856735702491209E+000,1.511521283066395E+002,
2.168800000000000E+009,-2.955558088306303E+000,5.565599121735533E+000,
2.258750000000000E+009,-2.966581575398424E+000,-1.396570317027644E+002,
2.348700000000000E+009,-3.063431494367281E+000,7.494558111076007E+001,
