FUNIT: Hz
UNIT: dB
1.000000e+07 [-0.30, -97.00] [-0.10, -96.00] [0.10, -95.00]
9.995000e+07 [-0.84, 113.59] [-0.64, 114.59] [-0.44, 115.59]
1.899000e+08 [-1.05, -32.67] [-0.85, -31.67] [-0.65, -30.67]
2.798500e+08 [-1.24, -178.98] [-1.04, -177.98] [-0.84, -176.98]
3.698000e+08 [-1.39, 35.06] [-1.19, 36.06] [-0.99, 37.06]
4.597500e+08 [-1.53, -110.64] [-1.33, -109.64] [-1.13, -108.64]
5.497000e+08 [-1.65, 103.46] [-1.45, 104.46] [-1.25, 105.46]
6.396500e+08 [-1.77, -42.20] [-1.57, -41.20] [-1.37, -40.20]
7.296000e+08 [-1.87, 172.13] [-1.67, 173.13] [-1.47, 174.13]
8.195500e+08 [-1.96, 26.54] [-1.76, 27.54] [-1.56, 28.54]
9.095000e+08 [-2.07, -119.00] [-1.87, -118.00] [-1.67, -117.00]
9.994500e+08 [-2.17, 95.44] [-1.97, 96.44] [-1.77, 97.44]
1.089400e+09 [-2.24, -50.10] [-2.04, -49.10] [-1.84, -48.10]
1.179350e+09 [-2.33, 164.28] [-2.13, 165.28] [-1.93, 166.28]
1.269300e+09 [-2.40, 18.82] [-2.20, 19.82] [-2.00, 20.82]
1.359250e+09 [-2.50, -126.61] [-2.30, -125.61] [-2.10, -124.61]
1.449200e+09 [-2.57, 87.92] [-2.37, 88.92] [-2.17, 89.92]
1.539150e+09 [-2.62, -57.61] [-2.42, -56.61] [-2.22, -55.61]
1.629100e+09 [-2.69, 156.82] [-2.49, 157.82] [-2.29, 158.82]
1.719050e+09 [-2.78, 11.54] [-2.58, 12.54] [-2.38, 13.54]
1.809000e+09 [-2.85, -133.80] [-2.65, -132.80] [-2.45, -131.80]
1.898950e+09 [-2.90, 80.93] [-2.70, 81.93] [-2.50, 82.93]
1.988900e+09 [-2.96, -64.75] [-2.76, -63.75] [-2.56, -62.75]
2.078850e+09 [-3.06, 150.15] [-2.86, 151.15] [-2.66, 152.15]
2.168800e+09 [-3.16, 4.57] [-2.96, 5.57] [-2.76, 6.57]
2.258750e+09 [-3.17, -140.66] [-2.97, -139.66] [-2.77, -138.66]
2.348700e+09 [-3.26, 73.95] [-3.06, 74.95] [-2.86, 75.95]
2.438650e+09 [-3.30, -71.21] [-3.10, -70.21] [-2.90, -69.21]
2.528600e+09 [-3.51, 143.05] [-3.31, 144.05] [-3.11, 145.05]
2.618550e+09 [-3.44, -1.80] [-3.24, -0.80] [-3.04, 0.20]
2.708500e+09 [-3.45, -147.28] [-3.25, -146.28] [-3.05, -145.28]
2.798450e+09 [-3.53, 67.37] [-3.33, 68.37] [-3.13, 69.37]
2.888400e+09 [-3.64, -78.02] [-3.44, -77.02] [-3.24, -76.02]
2.978350e+09 [-3.68, 137.21] [-3.48, 138.21] [-3.28, 139.21]
3.068300e+09 [-3.70, -8.64] [-3.50, -7.64] [-3.30, -6.64]
3.158250e+09 [-3.74, -154.32] [-3.54, -153.32] [-3.34, -152.32]
3.248200e+09 [-3.82, 60.31] [-3.62, 61.31] [-3.42, 62.31]
3.338150e+09 [-3.94, -83.75] [-3.74, -82.75] [-3.54, -81.75]
3.428100e+09 [-3.95, 129.89] [-3.75, 130.89] [-3.55, 131.89]
3.518050e+09 [-4.08, -15.47] [-3.88, -14.47] [-3.68, -13.47]
3.608000e+09 [-4.07, -161.37] [-3.87, -160.37] [-3.67, -159.37]
3.697950e+09 [-4.08, 54.49] [-3.88, 55.49] [-3.68, 56.49]
3.787900e+09 [-4.20, -91.79] [-4.00, -90.79] [-3.80, -89.79]
3.877850e+09 [-4.18, 123.62] [-3.98, 124.62] [-3.78, 125.62]
3.967800e+09 [-4.19, -22.51] [-3.99, -21.51] [-3.79, -20.51]
4.057750e+09 [-4.30, -166.76] [-4.10, -165.76] [-3.90, -164.76]
4.147700e+09 [-4.30, 47.48] [-4.10, 48.48] [-3.90, 49.48]
4.237650e+09 [-4.36, -98.25] [-4.16, -97.25] [-3.96, -96.25]
4.327600e+09 [-4.46, 115.67] [-4.26, 116.67] [-4.06, 117.67]
4.417550e+09 [-4.42, -28.08] [-4.22, -27.08] [-4.02, -26.08]
4.507500e+09 [-4.48, -174.16] [-4.28, -173.16] [-4.08, -172.16]
4.597450e+09 [-4.49, 41.06] [-4.29, 42.06] [-4.09, 43.06]
4.687400e+09 [-4.64, -103.93] [-4.44, -102.93] [-4.24, -101.93]
4.777350e+09 [-4.75, 110.09] [-4.55, 111.09] [-4.35, 112.09]
4.867300e+09 [-4.74, -33.99] [-4.54, -32.99] [-4.34, -31.99]
4.957250e+09 [-4.81, -179.92] [-4.61, -178.92] [-4.41, -177.92]
5.047200e+09 [-4.74, 34.20] [-4.54, 35.20] [-4.34, 36.20]
5.137150e+09 [-4.85, -110.84] [-4.65, -109.84] [-4.45, -108.84]
5.227100e+09 [-4.89, 104.30] [-4.69, 105.30] [-4.49, 106.30]
5.317050e+09 [-4.93, -40.98] [-4.73, -39.98] [-4.53, -38.98]
5.407000e+09 [-4.93, 173.47] [-4.73, 174.47] [-4.53, 175.47]
5.496950e+09 [-4.97, 28.14] [-4.77, 29.14] [-4.57, 30.14]
5.586900e+09 [-5.12, -117.34] [-4.92, -116.34] [-4.72, -115.34]
5.676850e+09 [-5.07, 98.04] [-4.87, 99.04] [-4.67, 100.04]
5.766800e+09 [-5.16, -47.21] [-4.96, -46.21] [-4.76, -45.21]
5.856750e+09 [-5.14, 166.78] [-4.94, 167.78] [-4.74, 168.78]
5.946700e+09 [-5.40, 21.96] [-5.20, 22.96] [-5.00, 23.96]
6.036650e+09 [-5.36, -124.00] [-5.16, -123.00] [-4.96, -122.00]
6.126600e+09 [-5.32, 90.97] [-5.12, 91.97] [-4.92, 92.97]
6.216550e+09 [-5.35, -54.79] [-5.15, -53.79] [-4.95, -52.79]
6.306500e+09 [-5.40, 159.65] [-5.20, 160.65] [-5.00, 161.65]
6.396450e+09 [-5.48, 14.81] [-5.28, 15.81] [-5.08, 16.81]
6.486400e+09 [-5.61, -130.62] [-5.41, -129.62] [-5.21, -128.62]
6.576350e+09 [-5.57, 83.58] [-5.37, 84.58] [-5.17, 85.58]
6.666300e+09 [-5.65, -62.19] [-5.45, -61.19] [-5.25, -60.19]
6.756250e+09 [-5.67, 152.59] [-5.47, 153.59] [-5.27, 154.59]
6.846200e+09 [-5.90, 8.23] [-5.70, 9.23] [-5.50, 10.23]
6.936150e+09 [-5.82, -137.94] [-5.62, -136.94] [-5.42, -135.94]
7.026100e+09 [-5.84, 76.48] [-5.64, 77.48] [-5.44, 78.48]
7.116050e+09 [-5.99, -69.35] [-5.79, -68.35] [-5.59, -67.35]
7.206000e+09 [-6.19, 144.93] [-5.99, 145.93] [-5.79, 146.93]
7.295950e+09 [-6.14, 0.92] [-5.94, 1.92] [-5.74, 2.92]
7.385900e+09 [-6.18, -144.42] [-5.98, -143.42] [-5.78, -142.42]
7.475850e+09 [-6.35, 70.18] [-6.15, 71.18] [-5.95, 72.18]
7.565800e+09 [-6.76, -75.02] [-6.56, -74.02] [-6.36, -73.02]
7.655750e+09 [-6.42, 140.10] [-6.22, 141.10] [-6.02, 142.10]
7.745700e+09 [-6.39, -4.02] [-6.19, -3.02] [-5.99, -2.02]
7.835650e+09 [-6.39, -149.47] [-6.19, -148.47] [-5.99, -147.47]
7.925600e+09 [-6.70, 65.69] [-6.50, 66.69] [-6.30, 67.69]
8.015550e+09 [-6.65, -82.31] [-6.45, -81.31] [-6.25, -80.31]
8.105500e+09 [-6.39, 137.33] [-6.19, 138.33] [-5.99, 139.33]
8.195450e+09 [-6.39, -10.38] [-6.19, -9.38] [-5.99, -8.38]
8.285400e+09 [-6.54, -156.34] [-6.34, -155.34] [-6.14, -154.34]
8.375350e+09 [-6.76, 55.93] [-6.56, 56.93] [-6.36, 57.93]
8.465300e+09 [-6.52, -85.66] [-6.32, -84.66] [-6.12, -83.66]
8.555250e+09 [-6.47, 127.69] [-6.27, 128.69] [-6.07, 129.69]
8.645200e+09 [-6.62, -20.82] [-6.42, -19.82] [-6.22, -18.82]
8.735150e+09 [-6.87, -168.07] [-6.67, -167.07] [-6.47, -166.07]
8.825100e+09 [-7.11, 53.45] [-6.91, 54.45] [-6.71, 55.45]
8.915050e+09 [-7.30, -95.47] [-7.10, -94.47] [-6.90, -93.47]
9.005000e+09 [-7.26, 121.52] [-7.06, 122.52] [-6.86, 123.52]
9.094950e+09 [-7.03, -28.99] [-6.83, -27.99] [-6.63, -26.99]
9.184900e+09 [-7.37, -166.80] [-7.17, -165.80] [-6.97, -164.80]
9.274850e+09 [-8.53, 47.11] [-8.33, 48.11] [-8.13, 49.11]
9.364800e+09 [-6.98, -99.01] [-6.78, -98.01] [-6.58, -97.01]
9.454750e+09 [-7.15, 110.01] [-6.95, 111.01] [-6.75, 112.01]
9.544700e+09 [-7.04, -30.87] [-6.84, -29.87] [-6.64, -28.87]
9.634650e+09 [-7.50, -172.98] [-7.30, -171.98] [-7.10, -170.98]
9.724600e+09 [-6.93, 39.13] [-6.73, 40.13] [-6.53, 41.13]
